time,CANESM5,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR
2062.0,234467020000.0,214130500000.0,169676910000.0,225593840000.0
2063.0,227630060000.0,205547080000.0,168857160000.0,218650540000.0
2064.0,217030800000.0,204881740000.0,168184270000.0,217529990000.0
2065.0,217912280000.0,196294980000.0,167339920000.0,206125740000.0
2066.0,218102320000.0,191683070000.0,164491350000.0,188979840000.0
2067.0,207575000000.0,186591800000.0,165872040000.0,170781800000.0
2068.0,201512580000.0,184580010000.0,164442030000.0,158246850000.0
2069.0,197787570000.0,181048670000.0,166087480000.0,158773530000.0
2070.0,197389060000.0,178266050000.0,161745270000.0,145635870000.0
2071.0,188246020000.0,171657740000.0,161453970000.0,141982630000.0
2072.0,183894080000.0,168382480000.0,159482800000.0,137659830000.0
2073.0,177885020000.0,163307770000.0,160163170000.0,131598385000.0
2074.0,177041060000.0,161717240000.0,158616450000.0,129540470000.0
2075.0,168486810000.0,160270340000.0,159975900000.0,127918670000.0
2076.0,160990270000.0,157626420000.0,159411270000.0,128014980000.0
2077.0,154739920000.0,156264870000.0,161432680000.0,128586850000.0
2078.0,159107370000.0,156746700000.0,159242810000.0,123186980000.0
2079.0,157766980000.0,155554710000.0,159286720000.0,126016810000.0
2080.0,159909270000.0,153588320000.0,158767350000.0,131082470000.0
2081.0,162303050000.0,152532650000.0,160427430000.0,132177674000.0
2082.0,163030650000.0,152516130000.0,160398560000.0,133940940000.0
2083.0,167522350000.0,150232300000.0,159684920000.0,133739610000.0
2084.0,165169580000.0,147871580000.0,161827780000.0,135007270000.0
2085.0,164391900000.0,147722550000.0,164886250000.0,127694316000.0
2086.0,164024010000.0,147574440000.0,166537970000.0,127794225000.0
2087.0,166896300000.0,147721540000.0,169603580000.0,128109710000.0
2088.0,166833240000.0,149371360000.0,168330330000.0,127258750000.0
2089.0,163599100000.0,150746800000.0,169077150000.0,131994420000.0
2090.0,165765510000.0,152743080000.0,169167850000.0,133113390000.0
2091.0,166384550000.0,151916530000.0,171010720000.0,135369695000.0
2092.0,161224600000.0,150461810000.0,172226760000.0,138178330000.0
2093.0,164898980000.0,147890680000.0,173470970000.0,142310800000.0
2094.0,162576730000.0,150587060000.0,175373120000.0,143406890000.0
2095.0,159612910000.0,151200780000.0,174658700000.0,144677540000.0
2096.0,156803800000.0,153005030000.0,175931850000.0,147881850000.0
2097.0,156003600000.0,150931210000.0,179163230000.0,149751000000.0
2098.0,156596520000.0,150647000000.0,180556610000.0,142237730000.0
2099.0,157219400000.0,152714820000.0,183189030000.0,139002530000.0
2100.0,156284390000.0,152740800000.0,185562920000.0,134697850000.0
