time,NORESM1-M,GFDL-ESM2G,CESM1-CAM5,CCSM4,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2075.0,5400835000000.0,5853133400000.0,5207863300000.0,5499560000000.0,5127888000000.0,6060532300000.0,6026925400000.0,3787041000000.0
2076.0,5328634000000.0,5824919000000.0,5123529000000.0,5456362700000.0,5053504000000.0,6039302300000.0,5998030000000.0,3662009600000.0
2077.0,5259447000000.0,5780631000000.0,5021290700000.0,5391031700000.0,4975504700000.0,6002737400000.0,5943796400000.0,3514789800000.0
2078.0,5206876000000.0,5738792500000.0,4931317700000.0,5334514500000.0,4909561000000.0,5974488000000.0,5921088000000.0,3415676000000.0
2079.0,5140883400000.0,5714962500000.0,4826640400000.0,5278791600000.0,4849498300000.0,5951193600000.0,5887325000000.0,3344475400000.0
2080.0,5081060000000.0,5674903000000.0,4713583000000.0,5184263000000.0,4770255000000.0,5909205000000.0,5861233700000.0,3247750000000.0
2081.0,5008027000000.0,5631405000000.0,4596179000000.0,5134808000000.0,4706458000000.0,5864789000000.0,5824671000000.0,3144719500000.0
2082.0,4949489500000.0,5595861000000.0,4491852000000.0,5062712000000.0,4636959300000.0,5830145500000.0,5792298700000.0,3060957000000.0
2083.0,4885565000000.0,5564547000000.0,4357809000000.0,4986936000000.0,4554054700000.0,5797142000000.0,5746670000000.0,2979014400000.0
2084.0,4811940000000.0,5531670400000.0,4208378800000.0,4930501300000.0,4471950700000.0,5758493000000.0,5715018000000.0,2889942800000.0
2085.0,4718053600000.0,5506868000000.0,4077543800000.0,4893772000000.0,4374098300000.0,5720973500000.0,5675832300000.0,2824542600000.0
2086.0,4647415000000.0,5457676000000.0,3935006600000.0,4845424600000.0,4295028000000.0,5686595000000.0,5633933000000.0,2759683500000.0
2087.0,4591337300000.0,5413852400000.0,3819461700000.0,4769351500000.0,4217821200000.0,5635629400000.0,5588059700000.0,2664266700000.0
2088.0,4501317600000.0,5342903700000.0,3710418400000.0,4700093000000.0,4138833800000.0,5572933500000.0,5562854000000.0,2609651000000.0
2089.0,4416732000000.0,5302236000000.0,3624304400000.0,4627648000000.0,4065676800000.0,5540816600000.0,5505443000000.0,2554772800000.0
2090.0,4313237200000.0,5257497000000.0,3521191000000.0,4572081000000.0,3997473000000.0,5511117300000.0,5455471000000.0,2502225800000.0
2091.0,4223423200000.0,5198164000000.0,3418683600000.0,4505431000000.0,3935688000000.0,5470943000000.0,5429145400000.0,2445500000000.0
2092.0,4149581700000.0,5152232700000.0,3296881300000.0,4444738000000.0,3874238500000.0,5449839000000.0,5419654000000.0,2400002200000.0
2093.0,4079067600000.0,5108707400000.0,3204401600000.0,4397280300000.0,3802204000000.0,5414413000000.0,5386095600000.0,2329295200000.0
2094.0,3995006100000.0,5047865000000.0,3122384300000.0,4339667300000.0,3746435400000.0,5386893500000.0,5340621400000.0,2257858300000.0
2095.0,3938960000000.0,5001185000000.0,3018572200000.0,4290810700000.0,3692878400000.0,5359325400000.0,5278234300000.0,2200171700000.0
2096.0,3853922900000.0,4964358300000.0,2909397800000.0,4225691300000.0,3632113000000.0,5329308400000.0,5246576000000.0,2133266700000.0
2097.0,3792931400000.0,4895308000000.0,2815094000000.0,4155034600000.0,3577676000000.0,5276736400000.0,5190496300000.0,2088619100000.0
2098.0,3718220000000.0,4840486300000.0,2740554800000.0,4085426000000.0,3524512400000.0,5253562400000.0,5145568500000.0,2032870500000.0
2099.0,3631360000000.0,4788528000000.0,2658789000000.0,4021482700000.0,3464526800000.0,5190475300000.0,5095736000000.0,1962480200000.0
2100.0,3543585300000.0,4752867000000.0,2594638000000.0,3945064000000.0,3410013000000.0,5160190000000.0,5059627000000.0,1918839800000.0
