time,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,GFDL-CM3,CCSM4,CNRM-CM5,GISS-E2-R,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR
2036.0,6854367000000.0,6859456500000.0,6891202700000.0,6839435000000.0,6924724600000.0,6795787000000.0,6992696400000.0,6915640300000.0,6967266000000.0,6643262700000.0
2037.0,6822223700000.0,6828946000000.0,6829379700000.0,6794603700000.0,6907370700000.0,6738978300000.0,6965964000000.0,6866057000000.0,6938516000000.0,6583920000000.0
2038.0,6796866500000.0,6788353600000.0,6768367000000.0,6764506000000.0,6890854500000.0,6652163000000.0,6950158300000.0,6828051000000.0,6929606000000.0,6527269000000.0
2039.0,6765298000000.0,6758870000000.0,6728313700000.0,6707790500000.0,6860263000000.0,6585567400000.0,6909688000000.0,6796708000000.0,6898588300000.0,6473846400000.0
2040.0,6747196000000.0,6706409000000.0,6686174000000.0,6662922000000.0,6855065000000.0,6536325000000.0,6891296000000.0,6764596600000.0,6871740000000.0,6415090000000.0
2041.0,6722706000000.0,6661046500000.0,6645442000000.0,6632233000000.0,6842884300000.0,6471791700000.0,6881462500000.0,6743256000000.0,6830677000000.0,6397851300000.0
2042.0,6688054700000.0,6609176600000.0,6584249400000.0,6580148000000.0,6827909000000.0,6387884000000.0,6844779600000.0,6674709500000.0,6808524600000.0,6355902000000.0
2043.0,6681906400000.0,6568685000000.0,6539770000000.0,6534225000000.0,6799514700000.0,6327226600000.0,6808026500000.0,6636062000000.0,6791267600000.0,6291142000000.0
2044.0,6661759000000.0,6510994000000.0,6486578000000.0,6478448000000.0,6769270000000.0,6262858700000.0,6799880000000.0,6602328000000.0,6764653700000.0,6215344600000.0
2045.0,6632833000000.0,6469489000000.0,6419669000000.0,6429121000000.0,6746996000000.0,6178193500000.0,6786243400000.0,6558218000000.0,6724645000000.0,6142023000000.0
2046.0,6609476000000.0,6425662000000.0,6354642000000.0,6386007700000.0,6719714000000.0,6074289000000.0,6748963000000.0,6518254600000.0,6701153000000.0,6027102000000.0
2047.0,6598397000000.0,6386492600000.0,6273603000000.0,6343468500000.0,6696375000000.0,6008774600000.0,6716118300000.0,6449142000000.0,6655465000000.0,5931327000000.0
2048.0,6553231400000.0,6351023500000.0,6199906000000.0,6289466300000.0,6653017000000.0,5942530300000.0,6661119000000.0,6385848300000.0,6600926400000.0,5821100000000.0
2049.0,6532097400000.0,6312828600000.0,6130336000000.0,6232583000000.0,6620829500000.0,5854677400000.0,6632130500000.0,6314755400000.0,6570740000000.0,5696615600000.0
2050.0,6497161400000.0,6239742300000.0,6070061000000.0,6172412000000.0,6603335500000.0,5771056600000.0,6586872000000.0,6258893000000.0,6532167000000.0,5593459300000.0
2051.0,6453208300000.0,6173371000000.0,6011332600000.0,6118652000000.0,6569991300000.0,5686885000000.0,6551857000000.0,6205782600000.0,6499831600000.0,5465279300000.0
2052.0,6400456500000.0,6127294000000.0,5945425000000.0,6070811500000.0,6498370000000.0,5559708000000.0,6518735000000.0,6123904600000.0,6456163700000.0,5336688000000.0
2053.0,6344064000000.0,6085038000000.0,5903673000000.0,6007502000000.0,6468082300000.0,5469734000000.0,6498029700000.0,6090127300000.0,6403599600000.0,5205155400000.0
2054.0,6277999600000.0,6034243000000.0,5827132400000.0,5947933000000.0,6407408600000.0,5378258500000.0,6465135000000.0,6038125000000.0,6370555300000.0,5034811600000.0
2055.0,6226468000000.0,5984430300000.0,5749946700000.0,5904922600000.0,6364691000000.0,5256422400000.0,6431002600000.0,5997070000000.0,6341395000000.0,4908356500000.0
2056.0,6162460700000.0,5912177700000.0,5692734300000.0,5858106000000.0,6343269000000.0,5177891000000.0,6399195000000.0,5947338500000.0,6307472000000.0,4800641500000.0
2057.0,6099945700000.0,5846490000000.0,5627741000000.0,5786825700000.0,6286586000000.0,5045039400000.0,6353048300000.0,5889842000000.0,6275254500000.0,4654666000000.0
2058.0,6037415400000.0,5801272400000.0,5567777600000.0,5721128000000.0,6225488500000.0,4929066000000.0,6296664000000.0,5839346000000.0,6233799000000.0,4503357000000.0
2059.0,5973013000000.0,5747872600000.0,5515792000000.0,5645316700000.0,6162392500000.0,4780656700000.0,6254266000000.0,5800052400000.0,6205425600000.0,4333933400000.0
2060.0,5904823500000.0,5700269400000.0,5441768000000.0,5558568500000.0,6100235000000.0,4625338500000.0,6212974300000.0,5740285700000.0,6158685300000.0,4172452200000.0
2061.0,5852275700000.0,5642788000000.0,5350913000000.0,5486466300000.0,6065254000000.0,4486218000000.0,6171544500000.0,5683236300000.0,6125883000000.0,4027364100000.0
2062.0,5763362000000.0,5575856000000.0,5313345000000.0,5396843500000.0,6020816400000.0,4363021500000.0,6127728000000.0,5634967700000.0,6044037000000.0,3889500000000.0
