time,GISS-E2-R,CSIRO-MK3-6-0,CNRM-CM5,CCSM4,GFDL-CM3,CANESM2,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G,MPI-ESM-LR
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14550374000000.0,14525153000000.0,14560173000000.0,14565545000000.0,14519975000000.0,14573270000000.0,14509366000000.0,14562957000000.0,14521508000000.0,14499089000000.0
2022.0,14481790000000.0,14430452000000.0,14479046000000.0,14529919000000.0,14459946000000.0,14521291000000.0,14453212000000.0,14501206000000.0,14507293000000.0,14485876000000.0
2023.0,14424934000000.0,14383706000000.0,14386422000000.0,14521726000000.0,14377330000000.0,14440702000000.0,14421629000000.0,14478809000000.0,14442073000000.0,14415795000000.0
2024.0,14331321000000.0,14372057000000.0,14380180000000.0,14466924000000.0,14305049000000.0,14397458000000.0,14401002000000.0,14380977000000.0,14384157000000.0,14357881000000.0
2025.0,14270880000000.0,14291886000000.0,14350035000000.0,14418796000000.0,14207476000000.0,14344906000000.0,14331244000000.0,14347285000000.0,14310325000000.0,14316048000000.0
2026.0,14209129000000.0,14236741000000.0,14337712000000.0,14394676000000.0,14084723000000.0,14290440000000.0,14281741000000.0,14277869000000.0,14253069000000.0,14281806000000.0
2027.0,14136835000000.0,14176496000000.0,14252680000000.0,14369683000000.0,13947288000000.0,14196038000000.0,14205676000000.0,14250512000000.0,14199461000000.0,14203425000000.0
2028.0,14059942000000.0,14098881000000.0,14146069000000.0,14322540000000.0,13854165000000.0,14100441000000.0,14139644000000.0,14184580000000.0,14150062000000.0,14133782000000.0
2029.0,13977143000000.0,14038936000000.0,14091356000000.0,14293600000000.0,13722122000000.0,13961612000000.0,14071410000000.0,14124556000000.0,14071978000000.0,14074655000000.0
2030.0,13904502000000.0,13981973000000.0,14017157000000.0,14238566000000.0,13632734000000.0,13882941000000.0,13970412000000.0,14062953000000.0,14097846000000.0,14022062000000.0
2031.0,13865366000000.0,13921470000000.0,14039854000000.0,14209005000000.0,13519130000000.0,13769289000000.0,13867015000000.0,13974160000000.0,14016011000000.0,13924623000000.0
2032.0,13778036000000.0,13906195000000.0,13955761000000.0,14179265000000.0,13389428000000.0,13694842000000.0,13783640000000.0,13964701000000.0,13962410000000.0,13849985000000.0
2033.0,13698310000000.0,13908509000000.0,13887818000000.0,14117098000000.0,13287608000000.0,13638930000000.0,13716370000000.0,13861608000000.0,13869135000000.0,13773879000000.0
2034.0,13616140000000.0,13831602000000.0,13787163000000.0,14135869000000.0,13184402000000.0,13557478000000.0,13643429000000.0,13754431000000.0,13873115000000.0,13673154000000.0
2035.0,13543879000000.0,13776066000000.0,13808824000000.0,14095314000000.0,13052666000000.0,13511809000000.0,13591749000000.0,13596945000000.0,13790884000000.0,13610463000000.0
2036.0,13469521000000.0,13722806000000.0,13732687000000.0,14061657000000.0,12928832000000.0,13427632000000.0,13497522000000.0,13537370000000.0,13736957000000.0,13541304000000.0
2037.0,13392270000000.0,13693284000000.0,13639394000000.0,13999352000000.0,12799024000000.0,13303423000000.0,13446621000000.0,13397418000000.0,13663333000000.0,13468090000000.0
2038.0,13287632000000.0,13611999000000.0,13599029000000.0,13951338000000.0,12663187000000.0,13187211000000.0,13391144000000.0,13275031000000.0,13573041000000.0,13336423000000.0
2039.0,13220925000000.0,13543286000000.0,13523065000000.0,13908043000000.0,12535769000000.0,13110094000000.0,13272060000000.0,13148317000000.0,13500678000000.0,13264751000000.0
2040.0,13119664000000.0,13438554000000.0,13447164000000.0,13868898000000.0,12424302000000.0,12982627000000.0,13155224000000.0,13002286000000.0,13424371000000.0,13177119000000.0
2041.0,13050921000000.0,13387991000000.0,13367160000000.0,13843848000000.0,12296056000000.0,12899569000000.0,13056728000000.0,12934893000000.0,13332341000000.0,13070725000000.0
2042.0,12935413000000.0,13331387000000.0,13298207000000.0,13838281000000.0,12167413000000.0,12815155000000.0,13012082000000.0,12832494000000.0,13276912000000.0,12958349000000.0
2043.0,12853443000000.0,13260483000000.0,13217437000000.0,13770073000000.0,12029590000000.0,12719840000000.0,12907165000000.0,12700318000000.0,13203595000000.0,12878515000000.0
2044.0,12737997000000.0,13205790000000.0,13154869000000.0,13698172000000.0,11912930000000.0,12628314000000.0,12829274000000.0,12579381000000.0,13144549000000.0,12702947000000.0
2045.0,12638822000000.0,13068081000000.0,13051899000000.0,13599162000000.0,11795327000000.0,12526633000000.0,12713924000000.0,12518268000000.0,13048927000000.0,12585596000000.0
2046.0,12562038000000.0,12995215000000.0,12975267000000.0,13535571000000.0,11645304000000.0,12386693000000.0,12650144000000.0,12379307000000.0,12973308000000.0,12478203000000.0
2047.0,12448888000000.0,12957674000000.0,12906086000000.0,13455990000000.0,11512188000000.0,12282583000000.0,12574792000000.0,12216477000000.0,12897617000000.0,12349364000000.0
2048.0,12381233000000.0,12857039000000.0,12801030000000.0,13322035000000.0,11338397000000.0,12157578000000.0,12508549000000.0,12156957000000.0,12808708000000.0,12227120000000.0
2049.0,12272784000000.0,12793015000000.0,12751364000000.0,13231337000000.0,11193014000000.0,11998426000000.0,12424644000000.0,12025613000000.0,12756703000000.0,12132715000000.0
2050.0,12183553000000.0,12735971000000.0,12712538000000.0,13183184000000.0,11013921000000.0,11898164000000.0,12346166000000.0,11891730000000.0,12670579000000.0,12044392000000.0
2051.0,12093569000000.0,12666738000000.0,12708505000000.0,13150290000000.0,10875967000000.0,11834152000000.0,12244581000000.0,11785066000000.0,12618533000000.0,11891700000000.0
2052.0,12036406000000.0,12638993000000.0,12702361000000.0,13032938000000.0,10722782000000.0,11770696000000.0,12128470000000.0,11663580000000.0,12506243000000.0,11777080000000.0
2053.0,11948769000000.0,12553712000000.0,12590760000000.0,12958398000000.0,10563461000000.0,11658648000000.0,11957558000000.0,11541904000000.0,12483670000000.0,11665468000000.0
2054.0,11878646000000.0,12455238000000.0,12463350000000.0,12875021000000.0,10423834000000.0,11555319000000.0,11829557000000.0,11420211000000.0,12421644000000.0,11547183000000.0
2055.0,11820910000000.0,12428800000000.0,12395580000000.0,12824350000000.0,10289138000000.0,11460467000000.0,11751632000000.0,11252546000000.0,12317814000000.0,11443520000000.0
2056.0,11727993000000.0,12375416000000.0,12293759000000.0,12767254000000.0,10159260000000.0,11333796000000.0,11643184000000.0,11097793000000.0,12267980000000.0,11324907000000.0
2057.0,11660217000000.0,12316578000000.0,12220321000000.0,12667772000000.0,9997609000000.0,11184136000000.0,11504505000000.0,11055094000000.0,12185482000000.0,11170112000000.0
2058.0,11583847000000.0,12236295000000.0,12085763000000.0,12612350000000.0,9839260000000.0,11067052000000.0,11396545000000.0,10954485000000.0,12089768000000.0,11054061000000.0
2059.0,11534339000000.0,12153475000000.0,11988581000000.0,12495692000000.0,9677935000000.0,10960910000000.0,11286836000000.0,10764192000000.0,11993667000000.0,10932992000000.0
2060.0,11446599000000.0,12081612000000.0,11878291000000.0,12391734000000.0,9520029000000.0,10842488000000.0,11156971000000.0,10629026000000.0,11898248000000.0,10828824000000.0
2061.0,11348566000000.0,12032276000000.0,11791371000000.0,12282662000000.0,9371879000000.0,10708567000000.0,11043870000000.0,10498998000000.0,11864186000000.0,10704417000000.0
2062.0,11329232000000.0,11971939000000.0,11669889000000.0,12137868000000.0,9236822000000.0,10563420000000.0,10933354000000.0,10364325000000.0,11762699000000.0,10550327000000.0
2063.0,11260413000000.0,11921182000000.0,11577232000000.0,12029099000000.0,9082514000000.0,10409864000000.0,10844098000000.0,10207995000000.0,11688512000000.0,10418214000000.0
2064.0,11192482000000.0,11895903000000.0,11424694000000.0,11923057000000.0,8916017000000.0,10262663000000.0,10689840000000.0,10092484000000.0,11570833000000.0,10299936000000.0
2065.0,11090253000000.0,11849843000000.0,11282628000000.0,11803633000000.0,8759707000000.0,10172385000000.0,10539701000000.0,9955567000000.0,11502096000000.0,10154499000000.0
2066.0,10993562000000.0,11798448000000.0,11146926000000.0,11697997000000.0,8592342600000.0,9998027000000.0,10455819000000.0,9856970000000.0,11423787000000.0,10020848000000.0
2067.0,10929584000000.0,11708292000000.0,11011135000000.0,11588148000000.0,8412779000000.0,9899307000000.0,10322351000000.0,9766915000000.0,11290992000000.0,9902406000000.0
2068.0,10886899000000.0,11639826000000.0,10868702000000.0,11426340000000.0,8253134600000.0,9773475000000.0,10180128000000.0,9625416000000.0,11245158000000.0,9782728000000.0
2069.0,10812282000000.0,11550261000000.0,10786395000000.0,11279725000000.0,8100561000000.0,9605411000000.0,10012168000000.0,9483004000000.0,11192367000000.0,9671070000000.0
2070.0,10730489000000.0,11508245000000.0,10668882000000.0,11173838000000.0,7938224700000.0,9480266000000.0,9877423000000.0,9354311000000.0,11108301000000.0,9572224000000.0
2071.0,10650455000000.0,11400435000000.0,10610272000000.0,11028404000000.0,7785800500000.0,9389040000000.0,9728950000000.0,9276737000000.0,11065231000000.0,9427217000000.0
2072.0,10661391000000.0,11336443000000.0,10527688000000.0,10903931000000.0,7628012400000.0,9272754000000.0,9580919000000.0,9135867000000.0,10987293000000.0,9288890000000.0
2073.0,10636344000000.0,11241275000000.0,10422833000000.0,10739791000000.0,7501005700000.0,9104984000000.0,9441845000000.0,9001568000000.0,10858452000000.0,9162846000000.0
2074.0,10567356000000.0,11137516000000.0,10289305000000.0,10617614000000.0,7366075500000.0,8994925000000.0,9289714000000.0,8881665000000.0,10777662000000.0,8993603000000.0
2075.0,10518128000000.0,11055647000000.0,10113339000000.0,10559811000000.0,7229113000000.0,8863066000000.0,9167066000000.0,8780507500000.0,10638216000000.0,8843642000000.0
2076.0,10478716000000.0,10991296000000.0,9973162000000.0,10399086000000.0,7085386000000.0,8771239700000.0,9020377000000.0,8618886000000.0,10536871000000.0,8695118000000.0
2077.0,10352664000000.0,10922528000000.0,9865309000000.0,10295865000000.0,6954753000000.0,8652885300000.0,8885188000000.0,8468543600000.0,10435081000000.0,8566450700000.0
2078.0,10238386000000.0,10868341000000.0,9805504000000.0,10168004000000.0,6797390000000.0,8502946000000.0,8759575000000.0,8349087000000.0,10324467000000.0,8418869400000.0
2079.0,10173915000000.0,10740572000000.0,9736668000000.0,10021418000000.0,6643527000000.0,8353381600000.0,8626620000000.0,8274755700000.0,10209968000000.0,8291274000000.0
2080.0,10063846000000.0,10582338000000.0,9602107000000.0,9870672000000.0,6499268000000.0,8187500600000.0,8445636000000.0,8168911000000.0,10082336000000.0,8178055500000.0
2081.0,10002982000000.0,10480788000000.0,9446493000000.0,9745174000000.0,6367743000000.0,8035500000000.0,8317360400000.0,8046497000000.0,9966143000000.0,8025236000000.0
2082.0,9914131000000.0,10333058000000.0,9289290000000.0,9608618000000.0,6239091000000.0,7893899000000.0,8164621000000.0,7931065000000.0,9838772000000.0,7883246000000.0
2083.0,9844963000000.0,10227418000000.0,9106429000000.0,9478717000000.0,6119181000000.0,7780249000000.0,8025997300000.0,7830616700000.0,9748697000000.0,7785106400000.0
2084.0,9760818000000.0,10089163000000.0,9018515000000.0,9389478000000.0,5965761500000.0,7624378500000.0,7865873500000.0,7704615000000.0,9655107000000.0,7653131600000.0
2085.0,9703689000000.0,9955457000000.0,8841080000000.0,9295086000000.0,5808257500000.0,7478797400000.0,7724549500000.0,7562982000000.0,9566958000000.0,7501003000000.0
2086.0,9625598000000.0,9908928000000.0,8779896700000.0,9196225000000.0,5674486000000.0,7343359700000.0,7570290400000.0,7416659000000.0,9444962000000.0,7370459600000.0
2087.0,9556503000000.0,9840370000000.0,8600141400000.0,9046929000000.0,5544337700000.0,7237667400000.0,7440063500000.0,7291496000000.0,9364075000000.0,7252497000000.0
2088.0,9484797000000.0,9769231000000.0,8442596000000.0,8902839000000.0,5406250000000.0,7140365000000.0,7263100600000.0,7146014000000.0,9244466000000.0,7107494000000.0
2089.0,9406470000000.0,9668575000000.0,8239704000000.0,8780253000000.0,5264547000000.0,7022044500000.0,7090423000000.0,7002204400000.0,9104003000000.0,6972336000000.0
2090.0,9328563000000.0,9524836000000.0,8035739600000.0,8672832000000.0,5124161000000.0,6892463600000.0,6945161000000.0,6852313000000.0,9024638000000.0,6829894000000.0
2091.0,9238874000000.0,9398542000000.0,7882638000000.0,8523982300000.0,5003755400000.0,6776119400000.0,6791801300000.0,6734496000000.0,8893818000000.0,6712385300000.0
2092.0,9166909000000.0,9253836000000.0,7741894000000.0,8416583500000.0,4877152000000.0,6666899000000.0,6659782000000.0,6620335000000.0,8758925700000.0,6580161500000.0
2093.0,9062877000000.0,9144021000000.0,7669583000000.0,8315746000000.0,4755439000000.0,6519172000000.0,6548700000000.0,6458641000000.0,8604137600000.0,6469512000000.0
2094.0,8952552000000.0,9001277000000.0,7450943600000.0,8187822500000.0,4643417500000.0,6392858500000.0,6433413000000.0,6322805000000.0,8520339600000.0,6342932700000.0
2095.0,8864356000000.0,8894987000000.0,7312617500000.0,8045223500000.0,4514676500000.0,6282915300000.0,6320923000000.0,6182137000000.0,8408376300000.0,6242247000000.0
2096.0,8758370500000.0,8777780700000.0,7190880500000.0,7901078400000.0,4386792100000.0,6151843000000.0,6189935500000.0,6085495000000.0,8330564000000.0,6119544600000.0
2097.0,8682423000000.0,8653595000000.0,7052009700000.0,7783793600000.0,4257173000000.0,6043388000000.0,6045725400000.0,6007657000000.0,8237588400000.0,6009154000000.0
2098.0,8626275000000.0,8539538500000.0,6892525500000.0,7677067400000.0,4132176100000.0,5917776500000.0,5921198600000.0,5889969400000.0,8170110500000.0,5883607000000.0
2099.0,8543285500000.0,8454483000000.0,6750211700000.0,7549335000000.0,4012719500000.0,5775541400000.0,5830835000000.0,5753665000000.0,8090538000000.0,5782372400000.0
2100.0,8423163000000.0,8320057300000.0,6665557000000.0,7442181700000.0,3885569700000.0,5683085300000.0,5709658300000.0,5681662400000.0,7997600000000.0,5658813000000.0
