time,CESM1-CAM5,CCSM4,CNRM-CM5,GISS-E2-R,CSIRO-MK3-6-0,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,CANESM2,GFDL-CM3,IPSL-CM5A-LR
2074.0,8776819000000.0,12722288000000.0,11584268000000.0,12640593000000.0,12403326000000.0,10739964000000.0,12557388000000.0,10957283000000.0,10669178000000.0,8945728000000.0,10935529000000.0
2075.0,8686045500000.0,12686575000000.0,11614317000000.0,12614244000000.0,12401118000000.0,10660636000000.0,12568175000000.0,10917139000000.0,10598219000000.0,8870151000000.0,10875928000000.0
2076.0,8587173700000.0,12623347000000.0,11577737000000.0,12557965000000.0,12418677000000.0,10580878000000.0,12542872000000.0,10827742000000.0,10498781000000.0,8794548000000.0,10826461000000.0
2077.0,8494154500000.0,12589760000000.0,11519813000000.0,12517950000000.0,12416436000000.0,10522758000000.0,12524008000000.0,10774948000000.0,10401468000000.0,8718701300000.0,10784232000000.0
2078.0,8410243300000.0,12623001000000.0,11452241000000.0,12475526000000.0,12361461000000.0,10447050000000.0,12524222000000.0,10778105000000.0,10334867000000.0,8621310600000.0,10775191000000.0
2079.0,8324576000000.0,12596361000000.0,11392909000000.0,12458544000000.0,12341730000000.0,10392182000000.0,12488131000000.0,10666026000000.0,10241655000000.0,8531122000000.0,10680828000000.0
2080.0,8208455300000.0,12581290000000.0,11331654000000.0,12443096000000.0,12294549000000.0,10346183000000.0,12433768000000.0,10614628000000.0,10196604000000.0,8466938700000.0,10610655000000.0
2081.0,8101639500000.0,12539308000000.0,11273820000000.0,12410164000000.0,12293202000000.0,10278416000000.0,12398647000000.0,10554364000000.0,10137919000000.0,8350977000000.0,10547344000000.0
2082.0,8015996500000.0,12538986000000.0,11208454000000.0,12355026000000.0,12217546000000.0,10240691000000.0,12358894000000.0,10478456000000.0,10062302000000.0,8267126000000.0,10447083000000.0
2083.0,7929944600000.0,12509634000000.0,11128768000000.0,12283905000000.0,12220136000000.0,10192110000000.0,12331902000000.0,10380231000000.0,9962467000000.0,8204051000000.0,10364121000000.0
2084.0,7865962000000.0,12509389000000.0,11107190000000.0,12254361000000.0,12211899000000.0,10116807000000.0,12308368000000.0,10263815000000.0,9900464000000.0,8125536000000.0,10244985000000.0
2085.0,7784530000000.0,12500479000000.0,11009653000000.0,12227572000000.0,12214561000000.0,10087722000000.0,12276287000000.0,10192463000000.0,9865040000000.0,8036590600000.0,10167227000000.0
2086.0,7726610500000.0,12540223000000.0,10926730000000.0,12170570000000.0,12203533000000.0,10007710000000.0,12203014000000.0,10077688000000.0,9752124000000.0,7958126700000.0,10099131000000.0
