time,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CESM1-CAM5,GFDL-ESM2G
2081.0,12398064000000.0,11593636000000.0,10904720000000.0,10150609000000.0,8103674000000.0,9101120000000.0,6631377600000.0,11346847000000.0
2082.0,12343197000000.0,11501177000000.0,10785054000000.0,10040811000000.0,7964231500000.0,9010796000000.0,6518465400000.0,11276839000000.0
2083.0,12258083000000.0,11441530000000.0,10694507000000.0,9939543000000.0,7832271000000.0,8885542000000.0,6352508300000.0,11272495000000.0
2084.0,12216284000000.0,11364287000000.0,10592431000000.0,9857396000000.0,7718131700000.0,8724061600000.0,6200143400000.0,11196550000000.0
2085.0,12139600000000.0,11313235000000.0,10472883000000.0,9817365000000.0,7560465000000.0,8609572000000.0,6057069000000.0,11125175000000.0
2086.0,12124261000000.0,11264047000000.0,10403671000000.0,9724566000000.0,7419559700000.0,8475720000000.0,5933345300000.0,11125138000000.0
2087.0,12093994000000.0,11251507000000.0,10305643000000.0,9600786000000.0,7274052000000.0,8371190600000.0,5776934400000.0,11068873000000.0
2088.0,12019696000000.0,11217038000000.0,10227807000000.0,9535388000000.0,7154133000000.0,8308244000000.0,5635057400000.0,10979824000000.0
2089.0,11944954000000.0,11212035000000.0,10159666000000.0,9448530000000.0,7031771600000.0,8235293600000.0,5506798700000.0,10932428000000.0
2090.0,11857769000000.0,11158278000000.0,10094728000000.0,9395777000000.0,6911262500000.0,8121318000000.0,5406657600000.0,10912686000000.0
2091.0,11771832000000.0,11138059000000.0,9997037000000.0,9321629000000.0,6779864000000.0,8016182000000.0,5277790000000.0,10831615000000.0
2092.0,11702465000000.0,11070149000000.0,9910093000000.0,9238327000000.0,6680021600000.0,7913999400000.0,5139761000000.0,10763449000000.0
2093.0,11601632000000.0,11031489000000.0,9836863000000.0,9208965000000.0,6564847000000.0,7810302600000.0,5010802300000.0,10680893000000.0
2094.0,11497489000000.0,10967355000000.0,9721149000000.0,9101445000000.0,6450880400000.0,7715771000000.0,4912896300000.0,10618648000000.0
2095.0,11450557000000.0,10886951000000.0,9632984000000.0,9014858000000.0,6382707300000.0,7646860000000.0,4797263000000.0,10581046000000.0
2096.0,11409505000000.0,10819849000000.0,9542593000000.0,8932685000000.0,6294866500000.0,7545543500000.0,4715162600000.0,10526147000000.0
2097.0,11355118000000.0,10766887000000.0,9463311000000.0,8886453000000.0,6182214300000.0,7446348700000.0,4599871000000.0,10458309000000.0
2098.0,11204082000000.0,10710720000000.0,9402889000000.0,8844849000000.0,6078922000000.0,7357008400000.0,4478728000000.0,10395251000000.0
2099.0,11181703000000.0,10637621000000.0,9335525000000.0,8788673000000.0,5990115000000.0,7281357400000.0,4370415700000.0,10314545000000.0
2100.0,11149206000000.0,10590818000000.0,9276445000000.0,8715540400000.0,5893820000000.0,7187155400000.0,4244549000000.0,10272287000000.0
