time,CCSM4,CSIRO-Mk3-6-0,MPI-ESM-LR
2000,58406936317.092,58406936317.092,58406936317.092
2001,57311165521.542465,56570566641.01172,57588841326.09539
2002,56824222505.201546,55742339953.13305,57873632724.06453
2003,55791026964.082634,54036383026.94511,59010233945.346565
2004,54670732096.80844,53443204746.41243,58814733882.96885
2005,53102506644.934166,53380846121.63938,57371223481.3645
2006,52936677552.2713,53316039369.60058,56252045175.45182
2007,52048178194.9435,53146680386.76983,55335746087.42311
2008,50895942194.95281,51796479698.451195,52144262825.603165
2009,50945656570.54055,50837770156.991135,50719289263.91513
2010,51574480476.703865,49744595899.02291,51222959272.18785
2011,51070659446.44029,48749057661.786125,50635393828.731544
2012,49801457278.417946,49229156235.876144,50325356904.80306
2013,48333031163.07936,48008864832.95355,49960292163.410805
2014,47673537456.77006,47382249868.619286,48925336904.934845
2015,47088992705.15079,46762141066.96917,48145161090.89969
2016,46726025212.55742,46335943958.456406,46966145483.57184
2017,45707751639.72392,44797234709.4815,46459822427.16923
2018,45473060325.08646,43819782312.76196,45338166468.5941
2019,44595456135.406746,43486820233.779686,44866759755.34306
2020,43199885729.98247,42918051602.0676,42960540621.79311
2021,41996051133.17507,42055884894.74169,42918862427.398735
2022,40329121573.833855,41095373003.261986,42892124744.89277
2023,40439163989.25681,39997032155.01382,42373228277.919395
2024,38896220302.45801,41103288069.70751,40606838310.64422
2025,37516401458.571556,40534768333.4602,39198709190.35034
2026,36678745307.69344,39250533234.314705,38422333700.81685
2027,35974692206.625206,38278620956.546036,36756221215.75825
2028,34762171900.749825,39282865355.5882,36533429536.383545
2029,34437413222.191185,38181625387.82374,36224962286.86973
2030,33546345000.049564,37707476820.12542,35833283617.010414
2031,31868195386.41679,36975064648.4975,35895453426.36346
2032,30804176995.57889,34166685365.28317,34800902575.75767
2033,30796676466.980225,33860226804.561974,33398707552.52452
2034,29472159622.69062,31619731188.90535,33488160304.26856
2035,28728257766.648064,30455167350.029545,33095206035.548367
2036,27285342119.492283,28420100009.952824,33452811476.61603
2037,26423716321.873318,27055781234.792435,30631505515.409588
