time,CESM1-CAM5,CSIRO-Mk3-6-0,MPI-ESM-LR,NorESM1-M
2000,58406936317.092,58406936317.092,58406936317.092,58406936317.092
2001,58150160702.056915,56561310436.89245,57612374947.3364,58274864620.994415
2002,57148272798.55172,55583338048.23523,57884032154.83519,57906649439.69587
2003,56218688774.01316,53981893286.56943,58948484845.956985,58149560583.56964
2004,55682813885.22426,53398855913.394424,58774902186.64167,58233232116.822
2005,54818479200.383255,53068805170.81467,57407930241.474,58149990998.224945
2006,53942075629.237045,52510405595.34698,56235996063.92025,56440948932.89592
2007,54166200237.82712,51230551966.96228,54686559893.690025,54441150630.92054
2008,54663369743.635254,51784003888.19426,54413007210.010216,54418991670.00448
2009,53216479454.15474,51438630103.683975,53779114350.291855,53342853692.69858
2010,51699802444.69832,51167199782.4753,52235218408.57012,51914996354.984634
2011,51086603224.19671,50329789092.5751,52210978973.827805,50822724612.45627
2012,50836221738.17148,51456450301.23507,51101332235.43424,50668454789.1533
2013,50178748745.531715,50238401183.686455,50515507119.2424,49377840163.639114
2014,47287476452.838394,49941544691.57156,49367535196.426025,48983175091.13734
2015,47347817633.221275,48520050389.54855,47733185409.2927,48111946974.28219
2016,46639411637.003265,47845130991.53029,46107499549.74076,47639918831.84589
2017,45698219226.776024,47445987311.07597,46852625809.57619,46388526449.22876
2018,43759278230.984825,45803822596.38232,45427902336.78049,45406595640.79053
2019,42717653391.923744,44563668981.30809,44032476890.881256,43572244781.285835
2020,42486310539.05109,43155178745.34549,43042695110.11672,42712197603.49193
2021,42471810070.97403,42091576943.68636,42111330088.76735,40977106950.55252
2022,41808307150.48313,41384342581.70774,42995429038.090744,40407313336.29183
2023,42424303878.08275,40951156538.19782,43257221218.378944,39579975426.448784
2024,41238798218.739334,40066445667.118614,42167284685.07361,39738019916.95466
2025,39400259145.67652,38173057613.93315,41265991853.70102,38279047790.16092
2026,38643695843.84959,37211789239.699554,41812535500.53324,36950966131.52134
2027,38255248376.26208,36891142091.82426,40568027401.04764,35401531090.66773
2028,37064611435.129776,36730665635.22249,39705873409.59289,34257042639.28752
2029,35762882957.31094,35868809831.942276,38595258132.07468,33248708980.928497
2030,33765810827.152367,35669426503.461914,36505027157.23363,32637710580.134953
2031,33144005919.657345,34224414094.93356,34301085775.577976,32914392677.099968
2032,33246724897.930416,33609794349.12851,33128625725.443,32589819763.626553
2033,31788947676.824333,32205084850.20369,32596836196.259563,31354883525.926487
2034,30509280958.96969,31544671334.7352,32023851801.74736,30865382232.784885
2035,30140766709.739986,29844372727.136517,31296762476.9586,29214617147.30099
2036,30334606353.440025,28523407148.218685,30795097742.176506,28894413312.02245
2037,29375292316.85681,27382308690.364956,31027985577.5027,27807462263.153927
2038,28653067260.70606,26109818686.645237,30454190301.965183,26538045761.319656
2039,28183939192.770935,24975275528.342007,28778570926.62608,25670527166.981136
2040,26883654246.505802,24364234787.473724,28309826605.520855,24830641174.282017
2041,26692605347.36333,23039025466.243164,27818705551.58502,24417860240.52971
2042,25772290183.368298,21646132794.503696,26687038526.9931,23793549812.281475
2043,24502367300.79553,21819043873.39592,26612799788.068764,22463835120.5222
2044,23579547690.475048,21224890827.34593,26041017291.7393,21400903270.908794
2045,22804116721.570797,20187414511.593212,25381726169.378746,20360997940.86977
2046,21686186003.175617,19075460018.650963,25068012169.88789,19520988258.792255
2047,20781388545.978294,18316634087.90489,24481028934.190624,19122139167.603256
2048,20220714789.14882,16587376116.038544,24209836237.327713,18859347598.0587
2049,19568405405.530113,15777055115.120262,23095061731.090492,17613302433.474762
2050,18917484904.290123,15823912612.568811,23167509571.397682,17322670058.220036
2051,18378782155.750927,15610214107.788618,22283743695.316006,17045224122.964397
2052,18562142182.141273,15425165971.044422,21881648221.62342,16478188639.461035
2053,17947878239.73625,14993722196.808693,20914872399.43461,15761629492.917423
2054,17397455188.450375,14355083336.137478,20612078717.918247,14913461164.522333
2055,17054029004.512495,14227585257.180075,19994866651.023113,14652602026.847101
2056,16790019139.088396,13706919103.664375,19386407167.338703,14070073613.14694
2057,16172012433.601572,13228513651.062014,18628110599.217102,13869992317.759268
2058,15881687120.217861,12857609715.083128,18561080986.116524,13371743433.82263
2059,15556895028.572792,12824047053.956778,18648475464.70968,13074616008.918215
2060,15250272365.60173,12652586113.475376,18488912311.44074,12749950022.122948
2061,14700189896.926914,12644394201.564695,18035476044.429142,12505582537.445587
2062,14296151952.082254,12430723237.325827,17899103758.823357,12278350711.709429
2063,13859928104.242088,12308463274.831465,17632140239.93205,11729845211.962109
2064,13345564714.29352,12169012331.07932,17512597030.924484,11198533902.13064
2065,12783576747.728828,11981780563.146946,17183199526.034046,10969082884.230532
2066,12545507463.558685,11460482236.687216,16562677679.261282,10938591156.520924
2067,12553419444.083134,11040420477.265121,15712150615.252802,10215456931.667002
2068,12281327586.46972,10757340175.660566,15505887731.083458,9929835082.440351
2069,12269834036.532192,10549037416.177576,15397748722.88914,9475654953.312561
2070,12220224032.578846,10359036769.928669,15393764125.704401,9251857898.470814
2071,12068719746.73347,10153185423.671593,15950249784.019762,9290318488.64031
2072,11891288979.9498,9968058481.316818,15812312848.313179,9106832912.765968
2073,11708281713.054056,9801867363.756966,15119284059.576435,9039259899.49145
2074,11484674758.494663,9789656761.683798,14775411734.742609,8492801219.3469305
2075,11358986566.62681,9534938619.679665,14652171254.38634,8354268343.077809
2076,11068530852.542233,9295389604.706518,13942098603.23892,8095686417.025806
2077,10670795913.123816,9064508635.87844,13838035607.139723,7872159627.093898
2078,10716919544.87319,8722133474.49973,13754976352.73337,7691485244.359937
2079,10443956255.39415,8428455752.622348,13083162635.856102,7492828965.506622
2080,10245263678.316269,8074176999.652985,12867510118.366041,7412510004.358507
2081,9909599001.688995,8103323160.972658,12938375978.570631,7226487048.690147
2082,9356032480.414797,7951393793.411099,13491009889.513454,6828072741.349063
2083,9174070540.780817,7517907172.012848,13356413890.599625,6674095970.337628
2084,9045901649.068111,7732013624.013537,13006860539.411758,6769944344.292648
2085,8908197624.560863,7439961349.142189,12893157005.705257,6861045124.112042
2086,8739024505.69197,7015889278.295826,12631111060.738634,6693640457.966102
2087,8569015667.547743,6775993975.360673,12532927018.505526,6516615776.221331
2088,8231295668.702865,6514904266.115777,12660841894.43821,6295840166.856563
2089,7945524237.303474,6520077865.6755495,12684903581.991241,6383869358.015249
2090,7741237539.810331,6205147662.854878,12900390499.03548,6303320376.262182
2091,7874784098.824429,6166703427.66066,13083531673.69972,6088313370.469515
2092,7545622127.423956,5999136569.995619,13294162701.313227,6140917267.75314
2093,7270950520.993142,6002923130.91837,12764705807.687386,5994390297.68109
2094,7306005261.461786,5841980222.864264,12245542551.357006,5998385858.37615
2095,7157733931.620367,5551972039.311183,11647222149.566605,6124496702.118524
2096,7270713677.255833,5714738057.838412,11555088922.09312,6104875918.96368
2097,7437317245.364906,5664170726.539904,11556908857.877321,6106933698.810978
2098,7495439562.735999,5596577514.396791,11146786499.621105,6006373317.715233
2099,7602108415.713114,5435247631.154398,10830551099.704775,5967906658.593835
2100,7500281345.898791,5361359188.816026,10834797211.520546,5972701993.190805
2101,7537065067.124822,5347060415.122421,11067173229.362467,5951135715.040448
2102,7549289693.962223,5158911146.267422,11189691862.014383,5896664032.164518
2103,7455199877.73076,5215363507.006279,10934394451.164047,5988498122.3102865
2104,7331911679.056788,5073347858.557245,10805574729.31279,5997580733.717112
2105,7359312221.474666,5008841037.055293,10822526283.805836,6084947994.021509
2106,7085378287.974581,4817027419.737054,10788491728.209852,5973233981.849484
2107,6968271738.690587,4870650181.54071,10229310386.295393,5842388593.818295
2108,6833092899.295944,4910132532.4115,10043273682.529675,5838564272.264383
2109,6543267511.377631,4775444808.348382,10664770591.763454,6044027474.884994
2110,6111707294.126205,4811686517.297037,10554831999.13446,6221977654.232326
2111,6017443696.695864,4751291188.737192,10602269637.929623,6188893294.309295
2112,5975209402.346433,4784255708.172679,10879409779.154202,6142936825.349076
2113,5823922192.775377,4742028361.353576,10882360071.075247,6033566590.346922
2114,5840510945.699292,4688111124.750302,10621865930.278793,5945838713.241658
2115,5711717153.961421,4577993719.586324,10519910832.397072,5922232152.080939
2116,5631319916.6303,4544998028.332473,10405429130.764296,5798341506.313412
2117,5743787904.409478,4607762697.322401,10376497939.815817,5674248500.81449
2118,5516037046.354011,4654756434.997791,10755878670.546564,5677006727.868021
2119,5561183228.292715,4689256935.674799,10847402772.826178,5770845571.315834
2120,5400663592.709254,4718188912.877744,11410854809.28788,5872057679.628242
2121,5521790770.483841,4535357097.196417,11240826594.284803,5848665183.254579
2122,5490828861.89468,4524099862.324712,11142377349.751087,5560488649.549177
2123,5582534737.984157,4540193027.14407,11127204071.176947,5567295672.271852
2124,5640649157.5696335,4527647079.043422,10856767664.999659,5461016312.718424
2125,5829238984.649357,4516705042.041727,10907338959.325148,5619901607.920752
2126,5987467174.360635,4453288125.482919,11234002486.281767,5505759285.8985195
2127,6076830038.196924,4420649722.506833,10973102859.855196,5301002416.846239
2128,6012686262.533585,4457933535.252062,11162773670.4102,5242197717.746718
2129,6080955039.190101,4463203888.110306,11069265976.579517,5115220102.312163
2130,5903561213.631552,4325362606.785649,11613640725.318869,5053703695.22367
2131,5805774311.695342,4377328142.847255,11624698326.974606,5089098005.3959875
2132,5726652436.657882,4473650618.360244,11385796937.121529,4957132501.514516
2133,5644517457.428972,4499494813.273357,11250238960.43848,5029988275.013761
2134,5594858993.959328,4530327560.171394,10770358436.574814,5016376221.129487
2135,5710462834.535843,4519840715.384062,10667479475.706636,4921323047.877081
2136,5545296903.658187,4445626633.492279,10969090998.770344,4882093309.97628
2137,5575140625.411686,4515923874.223101,10563803697.319952,4906690252.342173
2138,5439491935.43695,4583872978.88927,10435011354.197958,4871479468.620353
2139,5381033260.130722,4585676646.466869,10231283448.998014,4802231064.057147
2140,5425581332.921338,4735024103.078417,10189190391.102646,4703904763.666089
2141,5476967162.73766,4673548967.414752,10283300200.97663,4597550190.89851
2142,5354734038.673955,4763506159.382337,10583942472.913555,4636164422.832078
2143,5257803095.57656,4701011659.103521,11032965993.084248,4616503203.965616
2144,5350665192.535604,4801592135.998717,10546092546.305088,4588022775.405036
2145,5367701270.467444,4786959187.312481,10436681876.789171,4509408182.615933
2146,5157132161.859399,4738335702.355404,10542853763.670252,4500568289.963966
2147,5056605103.822767,4807040082.784628,10384265114.005371,4421680955.871327
2148,4962409518.883187,4784291365.407257,10213136168.38464,4381099305.802219
2149,5018590324.245636,4767640292.619032,9787877667.005465,4382770564.85335
2150,4990207761.840479,4782944070.79827,9761351389.335123,4274753723.8651752
2151,4907512019.194745,4857384523.125485,9381995860.565979,4280156125.998349
2152,4918868633.106724,4889589686.74198,8999408230.636244,4360718122.110589
2153,5136783486.475956,4881103647.882658,8755294027.29244,4228788542.547811
2154,5154347260.445633,4943736760.066131,8688530764.792486,4253275320.3755546
2155,5204038770.2302685,4983591772.608474,8475038018.256998,4263564796.194851
2156,5164415497.552466,4880026529.473296,8027480053.9502325,4202575730.99023
2157,5186836087.662993,4811605840.206814,7543022498.385656,4139105165.990285
2158,5195127454.259553,4705180793.603991,7587587252.333134,4017867200.5299783
2159,5023642273.872458,4708828150.471913,7818263597.311478,3988595968.2352295
2160,5055804113.0689335,4661580187.378417,7875730181.946406,4132831179.9825706
2161,5106725102.574247,4600703534.89998,7770404994.935496,4189942975.670584
2162,5088375171.38965,4420864234.46456,7678690890.142845,4321902792.966868
2163,4984671966.964605,4380513870.005473,7785738477.534795,4312573113.45736
2164,4955333411.239416,4239517035.468024,7752095269.753896,4312817353.538313
2165,5002062793.714746,4143254009.925009,7468299697.325424,4386232536.841416
2166,4987438431.196823,4046864824.65714,7428847581.059434,4481448840.910547
2167,4972514123.831079,4048434946.593072,7357069646.714395,4443224954.994968
2168,4999214798.305447,4075952787.129713,7056406776.445189,4464438442.316903
2169,4906061709.634712,4078138601.8918786,7025693549.760851,4426401257.017122
2170,4740534143.73227,4017719628.0271616,6936162137.007634,4562107982.4570675
2171,4846506896.522168,4036672682.926302,6766487289.895283,4494410097.209942
2172,4890184545.315542,4042700951.576851,6563038414.876525,4521423287.868741
2173,4970337854.479558,3922737324.578754,6504261906.165215,4727752137.869929
2174,4879943537.4378195,3888450186.3471956,6474367474.156528,4615829385.264476
2175,4949933446.347256,3843874861.1378183,6470988814.143271,4631671690.419969
2176,4837314652.046571,3920617705.0711536,6571772218.325459,4672917316.074416
2177,4848476962.284228,3940270928.051745,6539500814.677625,4648913298.231968
2178,4746619114.8713875,4033157112.539806,6294696017.717637,4701531465.536222
2179,4801959190.523175,3897739769.9888954,6444530759.213102,4730860753.21209
2180,4612191982.737995,3869597956.7326264,6597257764.558459,4823802552.323458
2181,4576028589.964294,3866106540.753724,6388170635.89146,4741048647.328564
2182,4592230279.179999,3820460158.381148,6445994648.208869,4590264032.661327
2183,4678617552.9358225,3782286945.480938,6313609647.210086,4552916124.559305
2184,4633634825.104249,3727146357.424769,6383529743.408762,4541679771.341859
2185,4534371728.228127,3692085635.596609,6361015332.611596,4537301394.91128
2186,4427837781.366744,3620337889.4199967,6273933877.81457,4435109020.4501095
2187,4497774909.5317,3614270404.2227283,6177960020.121362,4397976078.753422
2188,4642781966.606605,3542874063.0876894,6142532222.11647,4497734910.186096
2189,4691815806.235143,3455247363.76567,6175551115.654968,4527526309.162955
2190,4892031744.78785,3395501204.006457,6296727869.65118,4429503603.987822
2191,4862807529.836016,3354786221.231269,6229158166.037506,4274059654.385048
2192,4775106626.565736,3367914431.991913,6373599219.700166,4084409669.449501
2193,4810503576.796503,3292261927.9179606,6495000904.559696,3967516459.734064
2194,4896437047.214926,3317634582.6508183,6717026608.727879,3975300123.085319
2195,4778746306.233489,3385791637.534645,6758735353.959182,3996461313.2681756
2196,4500450264.397405,3339791459.3007784,6744190512.024368,3991816007.68952
2197,4411254370.878565,3331777134.470349,6519015409.5301485,3930934911.7210474
2198,4495549074.087939,3282526139.365888,6473416972.756118,3788642771.6931353
2199,4491633652.298567,3318249757.3328767,6418602776.317428,3749736637.1364307
2200,4494506425.3368225,3340609088.9711075,6317586531.335456,3663989372.655251
2201,4448391378.361268,3298197196.2401304,6680886973.008467,3662354780.8060827
2202,4553031366.937517,3328842719.3427415,6746686495.827788,3738518581.559401
2203,4574682600.825319,3320514458.575216,6881207926.5106,3762461956.4946523
2204,4613291613.966127,3264124884.753014,6917833111.507731,3675189691.6978602
2205,4568032797.711264,3231224502.854255,6886946266.217367,3761445946.743318
2206,4565714881.092158,3205879676.5012956,6904866138.4966,3668936485.677788
2207,4608145401.279083,3173744227.9349093,6821990576.161674,3627695805.830635
2208,4532517768.990973,3175853534.055102,7055902088.71538,3632250963.699672
2209,4517722560.6799965,3068792927.19407,7159140707.12085,3703936178.1275396
2210,4560444921.432599,2950938400.584164,7369686317.530807,3710769867.817283
2211,4462236756.5724945,3042140449.6708617,7460414403.4171505,3714849610.8897777
2212,4427718846.392189,3025962683.02603,7353198692.68001,3785900127.6322885
2213,4426563279.86491,3084831243.5689607,7504452867.755574,3727452182.144711
2214,4526375373.172742,3079611693.3994966,7614856066.385464,3792056626.1922555
2215,4519165944.241213,3065841872.405924,7657384767.783678,3935256000.3803444
2216,4636242299.597596,3032085975.5069265,7492507521.345684,3845399624.216947
2217,4662880064.5710945,2980027453.9456143,7407834558.602166,3880109622.7472997
2218,4545180949.041942,2926486092.521347,7512702806.46965,3861485426.061645
2219,4518757860.422853,2909158860.8243876,7442613464.521316,4018979393.2826767
2220,4531891791.468406,2924443533.9379144,7456618435.916436,4016220750.91013
2221,4578472070.392651,2834891798.733436,7421628041.963247,4130463286.0725007
2222,4366932149.247015,2839897218.6167216,7307247414.731618,4124759019.4669056
2223,4293700401.404908,2807970084.757772,7153794951.1123495,4240461398.526239
2224,4345039704.8838825,2769128472.2085037,7166351677.880907,4155525567.350497
2225,4360178465.825957,2720859262.5748568,7237098727.849955,4041454540.940701
2226,4330472173.059667,2724513573.740245,7472064188.01106,3994456846.42897
2227,4414592896.072899,2729361990.9576406,7369929567.477016,4100239392.3199778
2228,4491915929.893289,2712451635.0936165,7216973481.185406,4033394153.125866
2229,4482888027.661839,2651787672.0386467,7142881815.885434,4005423242.4903092
2230,4493324702.145556,2617654297.4277105,6779664792.191814,3977455816.889466
2231,4589203383.133345,2671022313.226829,6759743434.652761,3976112391.606986
2232,4567437895.286546,2681577018.2358522,6871870833.860633,3909952445.666302
2233,4592393646.914259,2695423216.8561196,6748232010.834978,3820679723.5195603
2234,4498502760.608344,2681818330.617126,6475092866.546545,3889659005.8009458
2235,4503044649.673372,2643681303.3495984,6352450858.394492,3911588114.6030083
2236,4481219664.724705,2558889930.7485833,6469748072.249228,3900339860.80805
2237,4418204674.064695,2611594744.774977,6528524248.757188,3777513507.17643
2238,4251217526.7646456,2591034227.588282,6508432779.398783,3872728175.826043
2239,4252657242.91949,2614505164.5575976,6524689672.974877,4025779953.4659753
2240,4306941551.955843,2629885964.1885996,6806262257.555935,3957882286.46224
2241,4305402928.43785,2611858152.938513,6948670061.439964,3966233407.5162005
2242,4371518639.164848,2651124286.766994,6822706130.734006,3805487880.665333
2243,4500356852.554023,2638128717.3182516,6702483641.677628,3783504826.7481775
2244,4393552533.838632,2669148480.8846517,6885002570.227561,3770123831.8518605
2245,4349566467.860036,2651576058.7482686,7090710149.776684,3704564998.1660824
2246,4370743737.710135,2648372796.3866506,7207834102.36021,3775323150.9908757
2247,4392633650.781009,2710315830.6772904,7165865390.616233,3755857490.773626
2248,4488864481.899403,2712825826.344116,7125495804.618346,3724248319.3089275
2249,4648253177.83874,2734211302.1365285,7068117952.503188,3621046222.1523857
2250,4723174603.091368,2761748840.7861094,7182529052.377903,3580446139.6321583
2251,4673845240.564156,2747024199.3310695,7070381756.200883,3624924768.805802
2252,4749059125.555392,2705394872.7982564,7005927734.460654,3625316962.6787224
2253,4824615307.899072,2786468060.544228,6687122933.847491,3623358164.4884315
2254,4761137911.934666,2802104259.741588,7057302706.632028,3634590040.541926
2255,4676495619.476841,2883293939.4500356,6905095969.935388,3571760543.709791
2256,4556622332.260849,2877674770.0830956,7246158685.796722,3531893225.5171013
2257,4441070237.121737,2972902645.623322,7148997210.453023,3616764429.7162495
2258,4334839455.160507,2991376408.097847,6999102581.973258,3707586827.3154564
2259,4264316900.8885646,3148883916.920531,6899033767.907383,3729695431.4054275
2260,4230348642.1858625,3126089316.4428854,6903177240.838017,3731409056.683388
2261,4285225482.150303,3128632667.160464,6668377441.738117,3692101561.6388426
2262,4283938958.5708528,3151307685.628307,6685461797.378837,3594910026.671762
2263,4339915215.421645,3097548019.447921,6537564486.462502,3578880908.47765
2264,4321845753.3016815,3202318225.4581976,6280610470.128869,3505031647.404491
2265,4228680566.6014223,3206197872.773454,6281386108.520112,3548871577.952284
2266,4160841189.8206663,3208874872.8679934,6566738873.292003,3550994433.580817
2267,4145517778.912611,3204059246.260196,6880543654.815936,3631102081.20721
2268,4142522662.805242,3251812562.8989544,6661486308.433142,3643052592.279878
2269,4135692907.2131557,3239003422.5044785,6458545042.075548,3701347740.1054697
2270,4244272149.0944676,3195863306.3081136,6531365531.565754,3798900258.9950933
2271,4271591985.3751926,3131639837.5617323,6661114884.2203045,3774064771.293341
2272,4144910251.249454,3023935394.378663,6712452247.212384,3813422517.4573665
2273,3962025631.3303394,3035462821.03983,6444470431.509649,3984502883.1983204
2274,3990118538.1951737,2963426686.764959,6748789427.122418,3979761198.4449377
2275,4007788462.0334153,2964156727.9431067,6715384461.25386,3824634489.6173277
2276,3989843971.227621,2898327985.840484,6901414412.670492,3743565510.9426975
2277,3937508695.7125044,2918583292.340766,6618998214.401389,3816157443.4568567
2278,3950266123.0404673,2872982982.225626,6556165419.235351,3829608680.6644726
2279,3985245418.73648,2854463150.0637693,6373343128.193617,3797701496.2175603
2280,3963006490.692662,2810308726.52726,6340090013.557084,3828766441.3143907
2281,3886715974.461033,2693282804.943348,6288368074.136267,3809115879.3993993
2282,3726593318.7156415,2730335987.6522613,6305995361.448162,3899069775.0027175
2283,3674647668.192197,2790922528.7436285,6318132833.470362,3972860050.001714
2284,3617422042.7247076,2785172150.8126626,6433513717.842064,4191626275.0570083
2285,3525444003.230862,2893403464.3638844,6506213300.111744,4216437549.6818247
2286,3583981687.822242,2881314449.680815,6211599578.258838,4231355734.2028737
2287,3627149885.1263385,2812248950.638459,6172962752.430241,4178140823.7693596
2288,3702941937.887367,2810469237.6043468,6284314496.592309,4385403678.49449
2289,3755893485.1979933,2868690095.9824924,6032279513.450398,4378466413.277098
2290,3764918861.7303495,2799531660.3486166,5824990813.62755,4343850375.403243
2291,3812694490.715253,2852579184.181297,6048341133.303814,4315172166.5252075
2292,3798521569.510255,2737047573.1824546,6046424014.422843,4306276631.209279
2293,3848358827.7433953,2690801556.7011533,6106263199.207297,4331396520.8527975
2294,3871212856.763061,2691509948.4060616,6124379354.895231,4351004609.753517
2295,3784124462.9979906,2803011464.7294555,6208197428.030524,4317075468.386525
2296,3814207367.6726975,2775344879.7158475,5921966009.948094,4343389087.229876
2297,3788340488.4765124,2779143200.3021936,5718490204.769434,4417163793.029619
2298,3807606974.4920745,2731555220.302561,5525809344.756928,4501401121.987201
2299,3846734565.875025,2717990115.2901783,5453015652.827994,4521254949.005324
2300,3885303153.8147273,2625296706.5005913,5676422466.260181,4550363837.671027
