time,CESM1-CAM5,CanESM2,MPI-ESM-LR
2000,58406936317.092,58406936317.092,58406936317.092
2001,58226248532.33547,56055387123.58838,57559257839.09818
2002,57269534206.73988,55539481038.98029,57495903064.73791
2003,56423856567.41651,54303433604.53181,58203974536.669846
2004,56076463757.17641,54543335911.01369,57602078810.66765
2005,55328614313.528694,55065730093.34684,55918063182.21384
2006,54403115114.36475,54000568741.7997,54428571956.78864
2007,53222302493.73786,54506192235.02925,52165432574.720314
2008,52152855969.33329,51795316370.81704,51385418276.70302
2009,51192980245.20437,50953437797.06322,50351066422.976295
2010,50874731455.73847,50197395190.89138,49862287538.62961
2011,50284493553.83871,50199702685.78485,49567758224.01305
2012,50104449767.981224,48631146289.45935,49175910777.56073
2013,48376926667.710335,48698030928.99459,48813341145.877846
2014,48548914651.80658,49607781583.33869,50006416398.73046
2015,49109586490.395,48357179813.13999,48893207393.655815
2016,48401101446.44045,46950844207.41042,47986824486.14362
2017,47362409270.39445,45894904847.96134,46166428765.58602
2018,46514642816.04282,44934516243.35719,43307381390.89685
2019,44026663499.108055,43372631623.74069,43266096295.67412
2020,42621682170.268974,42982630960.35373,42391579403.769516
2021,41293219195.17123,42784404395.021774,41942087147.92817
2022,38179511688.084145,41903694110.08722,39874946718.42408
2023,36335218142.8701,39150100698.5845,37935661151.27791
2024,35059698586.54027,38374692342.16634,36045402831.78039
2025,34893663950.1453,38119130409.200294,34048937050.345695
2026,35326280498.700325,35881329988.04415,31586811140.157772
2027,34270997806.02448,33574207187.167976,31822274615.937473
2028,32810928214.23927,32386473184.9451,30199897186.318295
2029,32199151746.27111,31366834678.70268,29544873654.56125
2030,32545656632.668312,31050029564.863968,28187318718.661648
2031,31681527957.0415,29904200057.56652,26684913748.65133
2032,30820286295.57853,28611498158.937595,25651140735.41824
2033,29326371663.117462,26860438850.62566,24903501892.55788
2034,28624587502.375374,27047721288.949596,24628591499.126255
2035,26823654493.896156,25886987123.212017,24213355349.48167
2036,25807819096.218624,25325204026.24517,23625163254.122547
2037,24941679376.15175,24436422023.133537,23858168949.037857
2038,24266218189.296146,23893668994.15263,23502013117.04179
2039,23736363992.95899,22576143230.835358,23090528976.208084
2040,23085314694.33062,22104497171.141857,23654458816.652855
2041,22539716253.000576,22581494933.193573,23200420398.31833
2042,22222767550.83558,21781083600.07767,22405215807.843216
2043,21470422449.650803,20820362140.17051,21353030311.669506
2044,22079343544.476242,20274853177.86784,20902326962.66998
2045,21774207351.98295,19519135536.483692,20853599413.152935
2046,21233002911.907288,19486227195.986744,21228822148.323914
2047,21077137969.98106,18937769193.48703,20454657903.017483
2048,20420672736.86762,18577088417.388096,20226396850.74247
2049,20014951696.84157,18623433830.450996,20420974862.1953
2050,19240174764.629982,18261596771.83463,20137947913.73389
2051,18077974478.842083,17847366273.95567,20293264159.76812
2052,18528923380.002808,17403363105.978558,20338342339.232395
2053,18074934064.37906,16745538449.505083,20498623337.37393
2054,17874630152.551395,16973907106.008963,20589635960.68634
2055,17909753075.032093,16770382812.7932,20603903467.49073
2056,17593714585.45842,16826875116.119064,20244206524.427647
2057,17141562808.266487,16875011449.466276,20140482937.54276
2058,16857503146.504885,16725647646.521769,19659799107.42818
2059,16564318245.315594,17244620876.556477,19420876953.56472
2060,16332203650.479458,17084027485.355797,19315225733.392735
2061,16060805156.725683,17164331601.181862,19511447915.030407
2062,16123379866.408396,17245820408.114746,19896855743.303635
2063,16286398750.395016,17076143538.361559,20583743042.13962
2064,15561016567.7392,17356132652.449615,20595335864.037544
2065,15355178481.411226,17067151376.220778,20900809693.213837
2066,15548761419.50013,17134414123.106155,21214653022.454445
2067,15396321460.872072,17547290512.72082,21526657740.72531
2068,15351722290.616121,17870094262.659542,22246379852.45221
2069,15134344280.519695,17202308854.64734,22544886441.20465
2070,15334286516.488047,16714623947.830349,22367467628.03418
2071,15237661212.053665,16101256607.436304,22268743733.451393
2072,15295118776.41441,16055209589.300684,21833832977.20832
2073,15189510408.83435,15731810846.486515,21482244021.6704
2074,15598626275.399689,15624154810.648487,21148928483.33562
2075,16029704177.681557,15403100823.144613,21734958376.133873
2076,15778870088.116997,15238772526.530563,20892252007.38964
2077,15676695517.57684,15168354768.210836,20334813317.37763
2078,15739269811.936377,15144786660.036179,19667037291.994316
2079,15695374122.332142,15059012606.765236,18770672752.437016
2080,15966008184.843534,15120731939.46543,19014832430.274574
2081,15656187609.346962,15255189948.344925,18603368590.742477
2082,15162991504.280441,15008487788.353167,18351761322.366272
2083,15030686340.112415,14730407206.8355,18279235407.43486
2084,15236246066.586672,14549198846.468855,18162615367.8895
2085,15078510381.93259,14373088549.669313,17926209901.89911
2086,15289819131.411701,14168493811.529186,18247727747.33272
2087,15339826242.770025,14490839787.913591,17914483631.293457
2088,15298870740.118502,14559441292.249718,17806116198.533775
2089,15079925560.430439,15177227021.146626,17698368318.71215
2090,15028874882.184069,15326956059.134447,17441303854.186386
2091,14855751519.205143,15288171923.289919,17406728756.470806
2092,15227703589.427921,15681645509.382133,17195658346.989426
2093,15618779820.656261,14944672368.243286,17086275598.304537
2094,15351211400.68048,14936023352.83314,17536038589.093266
2095,15431341206.816456,14786840410.087437,17290166145.928448
2096,15031506559.244326,14468272078.148838,17240147631.279697
2097,14692110952.69687,14175609462.416357,17401298578.209564
2098,14619740843.29112,14007845801.40495,16982248923.340021
2099,14123649800.319872,13874105113.30507,17130072213.17471
2100,14020328805.108717,13634534839.566988,17055445716.3616
2101,13881034082.626507,13687380141.100721,17230591000.215656
2102,13909993140.566992,13862195200.249151,16774874716.205925
2103,13820152204.848322,14064335491.14975,17068309171.404469
2104,13377235684.306314,13832776329.13235,16922986296.07109
2105,13758628363.901339,13874885562.342638,16846834754.828415
2106,13888695682.629555,14056156495.79818,16799241624.159807
2107,14306085378.166466,14028048094.766071,16653018211.50428
2108,14397864785.696476,14220277513.407831,16945759746.776766
2109,14530934562.417233,14431841982.803179,17124216341.679693
2110,14382475039.78131,14529826005.297058,17358450140.903053
2111,14464162072.97919,14095321114.369524,17419438318.23198
2112,14391496418.6755,13721996067.911777,17523422769.678272
2113,14286401907.459146,13828949555.526598,17959070665.33881
2114,14281309311.5453,13897329421.595171,18628353880.748154
2115,14381484136.876402,13777744343.247026,18778246199.99228
2116,14579996571.211905,13591835624.011934,19109325736.33438
2117,14842903818.547834,13650684232.08065,19503221113.255768
2118,14284288850.742586,13728646327.687529,19608362123.47834
2119,14246397703.52123,13677243605.663006,19445550028.925797
2120,14154989722.96949,13601836185.312126,19818992200.76674
2121,14219762651.038816,13472788560.766441,19637304444.762154
2122,14669006975.183783,13613318137.54099,19784434135.772324
2123,14851386679.554567,13746119509.269814,19803527147.544865
2124,14990596137.475111,13717157665.439938,19719675495.113132
2125,15044641445.400742,14011521223.291805,19442253139.76065
2126,15103230796.240795,14095350336.502,20015725686.25647
2127,15340118843.5213,14292981224.562468,20578507310.66869
2128,15366926240.665167,14301299103.287535,20441260380.72198
2129,14932856660.2687,14312494159.971952,20851388634.719627
2130,15189222368.465157,14626147024.759516,22022045931.26653
2131,15045693624.67414,14896045799.563719,22079419116.41145
2132,15050024006.781513,14676484146.495018,21686934279.675594
2133,14789673900.800098,14525331750.296545,21674075884.136974
2134,14610165491.798456,14756346970.798658,21791962289.6438
2135,14584048428.837711,14964520476.069818,22304878906.400066
2136,14828840387.569054,15043556617.41378,22528971594.99006
2137,14823808549.559763,15688275398.344458,23227439182.208847
2138,14846601020.711752,16052117341.36814,23378079164.592842
2139,14969123644.366556,15871120847.319572,23930162721.533813
2140,15000056860.084467,16304188148.978765,24215771349.81228
2141,15097663413.61667,17469124619.276497,23996248603.80189
2142,15431226065.974205,17432102926.945442,24517964053.37229
2143,15753136130.07989,17441183841.11406,24470209624.03176
2144,15918694742.497576,17247944352.23841,23999452109.38213
2145,16370957474.97336,17616056022.30805,24213269230.10326
2146,16289040273.363672,17770964444.334835,23706671363.83395
2147,16628510975.209635,18097778423.948208,23766246600.579506
2148,16456380925.277693,17959369908.770855,24053825041.376045
2149,16286393601.709593,17918355514.63092,24261920522.877335
2150,16435129491.812262,18323943417.432034,24271119776.94593
2151,16483785946.545412,18358106975.691326,25034673957.96313
2152,16804403331.363785,18380272985.503906,25427412781.03469
2153,16743126039.09848,17991996192.134937,25699161827.5262
2154,16684041616.692402,17895185855.82431,25876399283.67436
2155,17002840505.522364,17888022943.84793,26040536519.15059
2156,17141236635.397726,17865432053.281986,26050252589.756496
2157,17021455037.683517,18351929388.609802,26412213382.810204
2158,16969854858.734953,18549890081.615932,26613911595.212925
2159,17341568637.56683,18875605061.00641,26511479118.104744
2160,17239796058.14934,18672154478.985943,25565741055.795532
2161,17372135965.01986,18725887855.526707,24950729271.33486
2162,17344102138.027977,18899761857.442127,25097816263.008434
2163,17541595708.792194,19063398876.509014,25947873997.31096
