time,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR
2000.0,27491964000000.0,27491964000000.0,27491964000000.0
2001.0,27479643000000.0,27479643000000.0,27479643000000.0
2002.0,27461970000000.0,27461970000000.0,27461970000000.0
2003.0,27449540000000.0,27449540000000.0,27449540000000.0
2004.0,27401896000000.0,27401896000000.0,27401896000000.0
2005.0,27436092000000.0,27436092000000.0,27436092000000.0
2006.0,27401872000000.0,27401872000000.0,27401872000000.0
2007.0,27411538000000.0,27411538000000.0,27411538000000.0
2008.0,27322862000000.0,27322862000000.0,27322862000000.0
2009.0,27254782000000.0,27254782000000.0,27254782000000.0
2010.0,27145800000000.0,27145800000000.0,27145800000000.0
2011.0,27077634000000.0,27077634000000.0,27077634000000.0
2012.0,26995537000000.0,26995537000000.0,26995537000000.0
2013.0,26869284000000.0,26869284000000.0,26869284000000.0
2014.0,26929110000000.0,26929110000000.0,26929110000000.0
2015.0,26889794000000.0,26889794000000.0,26889794000000.0
2016.0,26799472000000.0,26799472000000.0,26799472000000.0
2017.0,26789632000000.0,26789632000000.0,26789632000000.0
2018.0,26771397000000.0,26771397000000.0,26771397000000.0
2019.0,26780020000000.0,26780020000000.0,26780020000000.0
2020.0,26796683000000.0,26796683000000.0,26796683000000.0
2021.0,26715559000000.0,26818980000000.0,26682394000000.0
2022.0,26655863000000.0,26790993000000.0,26704429000000.0
2023.0,26682426000000.0,26845639000000.0,26662863000000.0
2024.0,26677410000000.0,26853922000000.0,26659260000000.0
2025.0,26669356000000.0,26827624000000.0,26610724000000.0
2026.0,26658745000000.0,26834950000000.0,26628537000000.0
2027.0,26608956000000.0,26729670000000.0,26562475000000.0
2028.0,26532210000000.0,26646357000000.0,26488010000000.0
2029.0,26461090000000.0,26601526000000.0,26452790000000.0
2030.0,26446880000000.0,26631773000000.0,26424642000000.0
2031.0,26409095000000.0,26650033000000.0,26341714000000.0
2032.0,26384860000000.0,26628617000000.0,26270943000000.0
2033.0,26318618000000.0,26504514000000.0,26209354000000.0
2034.0,26261525000000.0,26500338000000.0,26143480000000.0
2035.0,26193424000000.0,26400868000000.0,26115834000000.0
2036.0,26136619000000.0,26396299000000.0,26091419000000.0
2037.0,26160891000000.0,26299777000000.0,26076980000000.0
2038.0,26072094000000.0,26180443000000.0,25931716000000.0
2039.0,26024323000000.0,26183329000000.0,25884960000000.0
2040.0,26006816000000.0,26180372000000.0,25822927000000.0
2041.0,25918180000000.0,26161315000000.0,25738021000000.0
2042.0,25883870000000.0,26049048000000.0,25746150000000.0
2043.0,25783120000000.0,25977371000000.0,25694352000000.0
2044.0,25697578000000.0,25940370000000.0,25536972000000.0
2045.0,25557889000000.0,25859709000000.0,25476024000000.0
2046.0,25516269000000.0,25880334000000.0,25414936000000.0
2047.0,25499974000000.0,25760954000000.0,25357980000000.0
2048.0,25456690000000.0,25728330000000.0,25301466000000.0
2049.0,25413309000000.0,25636796000000.0,25140935000000.0
2050.0,25356342000000.0,25588044000000.0,25038334000000.0
2051.0,25321657000000.0,25507247000000.0,24936940000000.0
2052.0,25300088000000.0,25474596000000.0,24883814000000.0
2053.0,25268289000000.0,25413825000000.0,24809507000000.0
2054.0,25210407000000.0,25337050000000.0,24694260000000.0
2055.0,25166797000000.0,25257330000000.0,24691041000000.0
2056.0,25102656000000.0,25207853000000.0,24626332000000.0
2057.0,25058777000000.0,25131531000000.0,24529563000000.0
2058.0,24974453000000.0,25011725000000.0,24432488000000.0
2059.0,24895275000000.0,24965390000000.0,24377542000000.0
2060.0,24819412000000.0,24926677000000.0,24302926000000.0
2061.0,24747539000000.0,24877984000000.0,24234795000000.0
2062.0,24630897000000.0,24862890000000.0,24091038000000.0
2063.0,24592940000000.0,24765340000000.0,23975386000000.0
2064.0,24512368000000.0,24635943000000.0,23882182000000.0
2065.0,24474710000000.0,24490824000000.0,23763064000000.0
2066.0,24481022000000.0,24369613000000.0,23643330000000.0
2067.0,24379306000000.0,24316396000000.0,23533428000000.0
2068.0,24282240000000.0,24248207000000.0,23418448000000.0
2069.0,24152370000000.0,24167831000000.0,23263432000000.0
2070.0,24012934000000.0,24065406000000.0,23201076000000.0
2071.0,23909860000000.0,23963082000000.0,23107333000000.0
2072.0,23826646000000.0,23796279000000.0,22964010000000.0
2073.0,23735426000000.0,23713865000000.0,22836756000000.0
2074.0,23617025000000.0,23613565000000.0,22741525000000.0
2075.0,23553043000000.0,23493668000000.0,22574816000000.0
