time,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4
2069.0,2652261300000.0,1715693000000.0,2831570200000.0,2340348800000.0,2822684300000.0
2070.0,2639762800000.0,1680054200000.0,2820541000000.0,2325766500000.0,2809030800000.0
2071.0,2625319000000.0,1652559800000.0,2812978700000.0,2318553000000.0,2800982700000.0
2072.0,2611086600000.0,1622045000000.0,2805013200000.0,2305562000000.0,2792008500000.0
2073.0,2588516000000.0,1593471100000.0,2796214800000.0,2294494000000.0,2776857300000.0
2074.0,2583381400000.0,1560902400000.0,2785531100000.0,2282490700000.0,2774358000000.0
2075.0,2573788300000.0,1527054000000.0,2776679000000.0,2274359000000.0,2769819800000.0
2076.0,2555220900000.0,1487007500000.0,2769672500000.0,2271479300000.0,2761442000000.0
2077.0,2541513900000.0,1447578800000.0,2763854200000.0,2265026700000.0,2754589000000.0
2078.0,2529527300000.0,1419050100000.0,2756202200000.0,2262358600000.0,2742082900000.0
2079.0,2518318600000.0,1381407900000.0,2746223200000.0,2254987300000.0,2738154000000.0
2080.0,2498855700000.0,1357111000000.0,2720798000000.0,2256329500000.0,2729349000000.0
2081.0,2483804200000.0,1329554400000.0,2715907300000.0,2248655200000.0,2724118400000.0
2082.0,2470929200000.0,1305974100000.0,2706153100000.0,2248314700000.0,2711916400000.0
2083.0,2450452600000.0,1269249500000.0,2692424700000.0,2241454000000.0,2703877200000.0
2084.0,2435353100000.0,1235035400000.0,2681792600000.0,2242589200000.0,2702090700000.0
2085.0,2412745300000.0,1209017600000.0,2675133400000.0,2243985400000.0,2695745200000.0
2086.0,2393753000000.0,1180206100000.0,2662713000000.0,2253338700000.0,2690239700000.0
2087.0,2382907800000.0,1152228500000.0,2651551000000.0,2253761500000.0,2690862300000.0
2088.0,2371463000000.0,1130128300000.0,2642477600000.0,2242766000000.0,2687919500000.0
2089.0,2350870000000.0,1112693800000.0,2644023700000.0,2241102600000.0,2685039800000.0
2090.0,2330807800000.0,1079620400000.0,2633518800000.0,2232011000000.0,2676722800000.0
2091.0,2315064000000.0,1057064500000.0,2630318300000.0,2230792500000.0,2660300200000.0
2092.0,2298206200000.0,1025486000000.0,2615880200000.0,2231789400000.0,2654097000000.0
2093.0,2292349100000.0,999772100000.0,2599682600000.0,2233858800000.0,2646571000000.0
2094.0,2272959000000.0,976881700000.0,2596595800000.0,2227948500000.0,2645922200000.0
2095.0,2265420000000.0,953441200000.0,2580990400000.0,2221960000000.0,2627088400000.0
2096.0,2253438600000.0,932517840000.0,2566286700000.0,2224990000000.0,2618085600000.0
2097.0,2240803800000.0,913300800000.0,2557138200000.0,2226291000000.0,2616150200000.0
2098.0,2236538000000.0,887468900000.0,2551383300000.0,2232251600000.0,2610261400000.0
2099.0,2220960800000.0,867666300000.0,2538391000000.0,2222235600000.0,2605797600000.0
2100.0,2212526600000.0,852608300000.0,2520492500000.0,2215369200000.0,2597846800000.0
