time,MRI-ESM2-0,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4
2069.0,1986148800000.0,2240895500000.0,2701735200000.0,1405244800000.0,2645691700000.0
2070.0,1966457000000.0,2211516300000.0,2688990000000.0,1363654000000.0,2621277200000.0
2071.0,1941532000000.0,2173703600000.0,2671477300000.0,1320313000000.0,2602237700000.0
2072.0,1919217200000.0,2147142300000.0,2644897200000.0,1276253300000.0,2576366400000.0
2073.0,1905095200000.0,2115743900000.0,2622270500000.0,1237877500000.0,2554397700000.0
2074.0,1884958100000.0,2069441400000.0,2597571500000.0,1185645900000.0,2535783100000.0
2075.0,1865665900000.0,2026559000000.0,2570288600000.0,1134280700000.0,2520183000000.0
2076.0,1839963200000.0,1979750000000.0,2549518200000.0,1085138300000.0,2500279400000.0
2077.0,1823904100000.0,1935369400000.0,2532291600000.0,1032479050000.0,2482748000000.0
2078.0,1810125600000.0,1899114800000.0,2511196700000.0,992431600000.0,2464554000000.0
2079.0,1785427100000.0,1849924400000.0,2495104200000.0,954195100000.0,2442434200000.0
2080.0,1774287500000.0,1801450000000.0,2475658600000.0,911070000000.0,2422422000000.0
2081.0,1758305500000.0,1761272900000.0,2456819900000.0,859949240000.0,2403530200000.0
2082.0,1745079000000.0,1721107700000.0,2431082300000.0,815011800000.0,2388480500000.0
2083.0,1730476900000.0,1676372600000.0,2405403200000.0,770359800000.0,2362242800000.0
2084.0,1719341400000.0,1649819500000.0,2382828100000.0,726520100000.0,2335518000000.0
2085.0,1700424300000.0,1613467400000.0,2366299400000.0,678658000000.0,2310473300000.0
2086.0,1671246500000.0,1586672800000.0,2350097400000.0,629654750000.0,2283980700000.0
2087.0,1652163600000.0,1554995900000.0,2336261100000.0,582877900000.0,2267295300000.0
2088.0,1630293600000.0,1522715700000.0,2315633600000.0,540171600000.0,2245382600000.0
2089.0,1603403100000.0,1496419800000.0,2295957300000.0,497274320000.0,2223762600000.0
2090.0,1579890100000.0,1469786800000.0,2281795500000.0,456234630000.0,2207087600000.0
2091.0,1556534500000.0,1433566800000.0,2257592000000.0,416004100000.0,2188142600000.0
2092.0,1532823200000.0,1390714800000.0,2238249000000.0,378566340000.0,2164567000000.0
2093.0,1507748000000.0,1349124500000.0,2220840700000.0,347556940000.0,2130947000000.0
2094.0,1498166300000.0,1322662200000.0,2203100600000.0,322340880000.0,2099502500000.0
2095.0,1478222500000.0,1291055100000.0,2186419400000.0,292626170000.0,2073392300000.0
2096.0,1466730800000.0,1255371000000.0,2169631900000.0,268461540000.0,2049311600000.0
2097.0,1449561300000.0,1217900700000.0,2155416300000.0,243773880000.0,2023049500000.0
2098.0,1425838000000.0,1188169800000.0,2141252200000.0,220065120000.0,1991967500000.0
2099.0,1405801600000.0,1154735700000.0,2124340000000.0,197205820000.0,1966364800000.0
2100.0,1391203800000.0,1121555200000.0,2105532200000.0,178177180000.0,1940539000000.0
