time,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2069.0,2774851600000.0,1381410900000.0,2408086800000.0,2094276300000.0,2595573700000.0
2070.0,2756865700000.0,1343370000000.0,2383614600000.0,2079582500000.0,2572729500000.0
2071.0,2734263600000.0,1312090900000.0,2352345300000.0,2054945600000.0,2551137400000.0
2072.0,2718700400000.0,1280945400000.0,2319860400000.0,2028764700000.0,2522751400000.0
2073.0,2703566300000.0,1244587600000.0,2284563500000.0,2013033300000.0,2492477000000.0
2074.0,2686772000000.0,1206817300000.0,2259328400000.0,1993437200000.0,2460414000000.0
2075.0,2670997800000.0,1161673400000.0,2227936000000.0,1973065000000.0,2428788500000.0
2076.0,2655754600000.0,1124164700000.0,2197329000000.0,1949928700000.0,2408566200000.0
2077.0,2642805500000.0,1083768700000.0,2173882200000.0,1927586500000.0,2377281400000.0
2078.0,2622966200000.0,1037298040000.0,2151533400000.0,1907575200000.0,2349872200000.0
2079.0,2607434200000.0,1006379470000.0,2124915300000.0,1885702500000.0,2325491700000.0
2080.0,2591003800000.0,967104660000.0,2095126500000.0,1867006200000.0,2308717200000.0
2081.0,2574931200000.0,927966040000.0,2071402300000.0,1845164900000.0,2284171600000.0
2082.0,2567749800000.0,889460700000.0,2040712300000.0,1818859500000.0,2252583200000.0
2083.0,2550329000000.0,855679800000.0,2004251400000.0,1798125900000.0,2236760700000.0
2084.0,2532124400000.0,814887300000.0,1978788600000.0,1780348200000.0,2211424500000.0
2085.0,2517126300000.0,781013300000.0,1944852000000.0,1760537300000.0,2190556700000.0
2086.0,2502308100000.0,739223800000.0,1909854200000.0,1747184000000.0,2168294500000.0
2087.0,2483632500000.0,707191000000.0,1881111500000.0,1726069500000.0,2146932200000.0
2088.0,2462371800000.0,672032600000.0,1848320200000.0,1709904900000.0,2114527600000.0
2089.0,2441618400000.0,640429500000.0,1809991600000.0,1693337800000.0,2084659800000.0
2090.0,2414992400000.0,604091900000.0,1771951200000.0,1679976600000.0,2055739900000.0
2091.0,2399978700000.0,571491800000.0,1741516200000.0,1666967400000.0,2028820100000.0
2092.0,2377054000000.0,536503880000.0,1711631500000.0,1656093800000.0,2006531800000.0
2093.0,2356701800000.0,501894740000.0,1685566100000.0,1634988200000.0,1980576200000.0
2094.0,2343629200000.0,468168100000.0,1659122900000.0,1618626900000.0,1958351100000.0
2095.0,2327225800000.0,431517730000.0,1632917300000.0,1604060800000.0,1939237500000.0
2096.0,2305289600000.0,402465420000.0,1605538500000.0,1590896800000.0,1920686400000.0
2097.0,2285764600000.0,380366300000.0,1580480500000.0,1579578800000.0,1903514600000.0
2098.0,2268778000000.0,351271120000.0,1556022400000.0,1559875800000.0,1884281500000.0
2099.0,2247550000000.0,325284230000.0,1520104500000.0,1545732400000.0,1864108100000.0
2100.0,2235900400000.0,301076900000.0,1495211000000.0,1527868200000.0,1841468900000.0
