time,EC-EARTH3-VEG,MRI-ESM2-0,GFDL-ESM4,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM5-0,INM-CM4-8,CESM2-WACCM,CAMS-CSM1-0
2010.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0
2011.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0
2012.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0
2013.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0
2014.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0
2015.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0
2016.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0
2017.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0
2018.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0
2019.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0
2020.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0
2021.0,843987200000.0,837965700000.0,844332200000.0,847487600000.0,855898060000.0,840853200000.0,838168500000.0,828825500000.0,832452760000.0,853029160000.0,839805400000.0,839873800000.0,841889550000.0,839865400000.0
2022.0,826190400000.0,818298900000.0,820583140000.0,832113740000.0,837838100000.0,833584400000.0,833953200000.0,817895600000.0,811969350000.0,831068640000.0,826529550000.0,818506960000.0,827416100000.0,827552100000.0
2023.0,809181100000.0,798722200000.0,791850200000.0,807877540000.0,813502560000.0,816982100000.0,809691050000.0,817946300000.0,796478100000.0,811226800000.0,808725800000.0,810205000000.0,805831250000.0,822006300000.0
2024.0,794866400000.0,779952650000.0,770479300000.0,789362400000.0,799192300000.0,810551100000.0,808068450000.0,794358640000.0,775194100000.0,789657160000.0,792245200000.0,799409000000.0,798607340000.0,821577840000.0
2025.0,775981500000.0,755148260000.0,754378150000.0,777035600000.0,798028400000.0,807604260000.0,786432800000.0,774810040000.0,753729900000.0,762404500000.0,780889400000.0,790323400000.0,785353150000.0,815130700000.0
2026.0,752596900000.0,728624500000.0,748226200000.0,765908700000.0,776040300000.0,798725200000.0,780442800000.0,754636500000.0,745024260000.0,727848400000.0,777937100000.0,765467800000.0,767189300000.0,796814000000.0
2027.0,744640600000.0,708119000000.0,719780900000.0,745659700000.0,755265300000.0,788942000000.0,767196300000.0,725656140000.0,744622060000.0,701373150000.0,773360250000.0,741718560000.0,748618900000.0,797390140000.0
2028.0,735565250000.0,692530800000.0,714088700000.0,733919300000.0,768118200000.0,785241150000.0,761317500000.0,697548800000.0,738085960000.0,682161540000.0,755255600000.0,731779300000.0,736610100000.0,771403200000.0
2029.0,724899460000.0,661909100000.0,694298740000.0,717098650000.0,758988730000.0,763512300000.0,751122450000.0,677764860000.0,723423900000.0,658739760000.0,746039930000.0,715861850000.0,716324140000.0,766204840000.0
2030.0,717078300000.0,633010650000.0,684128340000.0,706580840000.0,744732200000.0,749313400000.0,730562500000.0,647078000000.0,700028300000.0,643096440000.0,731515060000.0,683923870000.0,706398100000.0,771766750000.0
2031.0,700472000000.0,615302230000.0,672517900000.0,694756900000.0,728574900000.0,737634800000.0,709761000000.0,621384400000.0,678278460000.0,629746570000.0,724669100000.0,663573040000.0,702179300000.0,765778600000.0
2032.0,703767050000.0,602522100000.0,662781800000.0,673891900000.0,704424000000.0,730729100000.0,704054030000.0,615642760000.0,662344900000.0,614266100000.0,704967900000.0,644183600000.0,683199800000.0,743101370000.0
2033.0,700266400000.0,586970700000.0,647011200000.0,655798300000.0,700305900000.0,712627500000.0,691463850000.0,594402740000.0,647087200000.0,583635570000.0,689944900000.0,629054400000.0,656810840000.0,739182200000.0
2034.0,685358400000.0,572388000000.0,638408000000.0,624174200000.0,685229150000.0,702329500000.0,673959300000.0,574751050000.0,629609300000.0,568922300000.0,684000800000.0,608067450000.0,637342000000.0,731581250000.0
2035.0,665747800000.0,560901600000.0,625288200000.0,613607000000.0,673265700000.0,695568800000.0,667562900000.0,559368500000.0,629214940000.0,551164200000.0,667584900000.0,585733770000.0,622874260000.0,742505400000.0
2036.0,654761900000.0,544045830000.0,610807050000.0,599291900000.0,660490940000.0,690972460000.0,653969260000.0,536876650000.0,626533400000.0,538671940000.0,660352000000.0,567054500000.0,604805500000.0,735906900000.0
2037.0,646062740000.0,528568550000.0,598580400000.0,589275200000.0,652156500000.0,681513000000.0,647381060000.0,510294130000.0,617828250000.0,534580400000.0,643592360000.0,556294340000.0,597136240000.0,726850300000.0
2038.0,640855700000.0,510437820000.0,585415070000.0,575812100000.0,645574800000.0,666906460000.0,640737000000.0,483774660000.0,587700900000.0,531317980000.0,620685100000.0,545794600000.0,578785440000.0,727646500000.0
2039.0,623061760000.0,500493400000.0,577261100000.0,567348560000.0,633021460000.0,641596850000.0,623227630000.0,469347570000.0,562803800000.0,512449580000.0,614030300000.0,532520930000.0,559152760000.0,718164900000.0
2040.0,609285440000.0,484428050000.0,569233400000.0,548670600000.0,608780350000.0,617739800000.0,609838400000.0,453703830000.0,553422550000.0,496988520000.0,591103070000.0,524362800000.0,543960040000.0,711496560000.0
2041.0,593586100000.0,471753030000.0,548393680000.0,541994450000.0,597383300000.0,598393600000.0,601067550000.0,428632640000.0,540284260000.0,494265860000.0,587155000000.0,513809650000.0,518946320000.0,708519260000.0
2042.0,590457600000.0,460788240000.0,532744730000.0,519345860000.0,588107740000.0,583311500000.0,589019200000.0,413758400000.0,523665670000.0,481188050000.0,574516300000.0,493393020000.0,508597470000.0,713856900000.0
2043.0,576753100000.0,443495100000.0,531175470000.0,501993870000.0,569607600000.0,564376760000.0,578303030000.0,395575260000.0,502321220000.0,460825760000.0,569856160000.0,479598540000.0,491804430000.0,712696860000.0
2044.0,557565500000.0,433963240000.0,523621400000.0,486420840000.0,551240500000.0,548172270000.0,573782300000.0,374437970000.0,482933100000.0,458164440000.0,558488550000.0,459787860000.0,468140700000.0,701750100000.0
2045.0,545164230000.0,420862360000.0,511302400000.0,477741060000.0,550821700000.0,533882200000.0,562161600000.0,355629370000.0,468258000000.0,440125400000.0,555431560000.0,444737130000.0,445729470000.0,703458640000.0
2046.0,532841270000.0,402340940000.0,503749050000.0,464412440000.0,537378900000.0,530733270000.0,547732200000.0,342391800000.0,449591600000.0,424525460000.0,543844040000.0,434777880000.0,422021500000.0,699096370000.0
2047.0,520352200000.0,387615420000.0,496944120000.0,453127930000.0,511810340000.0,523982140000.0,545935720000.0,327724600000.0,426032560000.0,409169300000.0,530898320000.0,425037270000.0,398115440000.0,695641830000.0
2048.0,506912930000.0,380680040000.0,487085830000.0,432344900000.0,490245320000.0,518518470000.0,530485380000.0,318321900000.0,403844000000.0,402123720000.0,522072750000.0,419086140000.0,378057700000.0,696761800000.0
2049.0,491241050000.0,356753570000.0,477456370000.0,413159620000.0,465139040000.0,505435100000.0,523906250000.0,308158070000.0,393984840000.0,388935220000.0,514287700000.0,411040840000.0,360285830000.0,694978540000.0
2050.0,478934470000.0,348966800000.0,467849900000.0,399257040000.0,451326840000.0,498643170000.0,522120130000.0,295229300000.0,380539570000.0,380073740000.0,506375270000.0,399229520000.0,344525670000.0,683755900000.0
2051.0,463265800000.0,331054100000.0,457974700000.0,388552430000.0,445215340000.0,482247770000.0,508169850000.0,282803270000.0,366440050000.0,363625800000.0,500715800000.0,388076400000.0,323082620000.0,679030160000.0
2052.0,447687600000.0,319062100000.0,453074120000.0,373598550000.0,427366680000.0,464615100000.0,490218620000.0,271197900000.0,351674660000.0,357972930000.0,488532380000.0,383939400000.0,306255170000.0,670262200000.0
2053.0,430844350000.0,307066630000.0,447385570000.0,364928100000.0,411519120000.0,457418800000.0,481856230000.0,259386980000.0,338094560000.0,351764770000.0,477984500000.0,372138150000.0,289919070000.0,655996550000.0
2054.0,424785640000.0,299264970000.0,425614020000.0,355082440000.0,393005140000.0,445653450000.0,471998070000.0,249531740000.0,315676950000.0,346874450000.0,477447880000.0,359021450000.0,279078000000.0,641396300000.0
2055.0,408279700000.0,287849900000.0,413862630000.0,344023530000.0,381157600000.0,437548740000.0,465148120000.0,236450530000.0,300877840000.0,334039970000.0,470983400000.0,349200700000.0,270756510000.0,619307340000.0
2056.0,399507420000.0,280856100000.0,397492000000.0,330045650000.0,359776650000.0,433481970000.0,456756920000.0,227812720000.0,288125680000.0,321254360000.0,464900460000.0,342291200000.0,256602360000.0,615189300000.0
2057.0,385586040000.0,271919220000.0,384075400000.0,320755000000.0,356262280000.0,420577570000.0,448918000000.0,221907500000.0,276893530000.0,307756430000.0,458682900000.0,335143470000.0,244037810000.0,600839500000.0
2058.0,368936520000.0,262532660000.0,378661630000.0,307610300000.0,341950300000.0,409737920000.0,438504230000.0,211868040000.0,268854210000.0,299346800000.0,453158140000.0,325149820000.0,233525560000.0,582946900000.0
2059.0,354675720000.0,251023070000.0,376295420000.0,296767980000.0,324283530000.0,396216570000.0,422578500000.0,200515220000.0,262007930000.0,291372140000.0,444766550000.0,315409920000.0,224160350000.0,578409660000.0
2060.0,353880540000.0,238329100000.0,371689100000.0,287908070000.0,311508700000.0,386032960000.0,411421600000.0,189759320000.0,250729400000.0,277947000000.0,430914900000.0,305612750000.0,209978700000.0,569641140000.0
2061.0,341505380000.0,230820350000.0,359349900000.0,280776740000.0,295570080000.0,373420820000.0,406744920000.0,183096120000.0,236912670000.0,255311940000.0,418361380000.0,298393040000.0,198475500000.0,551829900000.0
2062.0,328633220000.0,220558770000.0,345542800000.0,271880900000.0,278584900000.0,362151840000.0,396934680000.0,175715630000.0,228668230000.0,245053210000.0,416522270000.0,293262030000.0,188179040000.0,540140540000.0
2063.0,321591930000.0,217559600000.0,335535600000.0,258741900000.0,273049080000.0,350164880000.0,381734350000.0,170176900000.0,220157870000.0,233000520000.0,402794840000.0,285384000000.0,180486910000.0,539761800000.0
2064.0,311221030000.0,212708470000.0,328407650000.0,242616680000.0,262070340000.0,340740180000.0,375858660000.0,164202050000.0,214026700000.0,224407550000.0,396615600000.0,279923300000.0,172320650000.0,538418480000.0
2065.0,299274300000.0,204153540000.0,322025720000.0,229816570000.0,250165840000.0,325851870000.0,368819600000.0,156634920000.0,208292680000.0,211505990000.0,390942130000.0,273228680000.0,163408250000.0,533094960000.0
2066.0,289481420000.0,194565080000.0,319653020000.0,219984080000.0,241838230000.0,316030160000.0,362569960000.0,145563340000.0,203119330000.0,202166780000.0,377911480000.0,266866460000.0,155254080000.0,519635530000.0
2067.0,276900900000.0,187475590000.0,314862800000.0,210950910000.0,235506060000.0,309005800000.0,355166650000.0,138343200000.0,195424800000.0,191687790000.0,368985930000.0,258848670000.0,146125300000.0,511733860000.0
2068.0,268701240000.0,177122250000.0,306981140000.0,199289900000.0,231675180000.0,297898540000.0,351144740000.0,132972675000.0,190638050000.0,184030640000.0,356617520000.0,249846970000.0,138196270000.0,497061500000.0
2069.0,255807080000.0,171318690000.0,300093340000.0,188743750000.0,222449570000.0,287492770000.0,347202200000.0,126776380000.0,184553060000.0,171540410000.0,344454960000.0,245730900000.0,130986385000.0,493564920000.0
2070.0,246426040000.0,167895560000.0,297250000000.0,177383750000.0,214157640000.0,282533950000.0,342350820000.0,120272480000.0,175461990000.0,163981840000.0,334558270000.0,241725060000.0,125153290000.0,482612400000.0
2071.0,236335800000.0,159766970000.0,292674140000.0,170738160000.0,208425010000.0,283942320000.0,330406800000.0,113250206000.0,165917590000.0,150285620000.0,325086580000.0,235196270000.0,118930210000.0,480254620000.0
2072.0,221939500000.0,151714760000.0,287661360000.0,162917190000.0,203235770000.0,271445440000.0,325850000000.0,107411230000.0,159949770000.0,144628760000.0,318070820000.0,229710860000.0,112139680000.0,475971160000.0
2073.0,213187220000.0,146181960000.0,278677780000.0,154337050000.0,197488950000.0,266023680000.0,318243140000.0,103040120000.0,153092750000.0,137461900000.0,310518250000.0,224190740000.0,105539790000.0,466919850000.0
2074.0,200563330000.0,140003560000.0,272601760000.0,144188310000.0,192546320000.0,253017010000.0,305623760000.0,98163860000.0,146775430000.0,129190780000.0,296705160000.0,216321180000.0,101206100000.0,463539080000.0
2075.0,194770600000.0,134791774000.0,266747900000.0,132935210000.0,186595230000.0,244434400000.0,299633340000.0,93069130000.0,140592790000.0,124079180000.0,289660100000.0,213425930000.0,96053110000.0,452893340000.0
2076.0,188114060000.0,131546270000.0,264849670000.0,122779270000.0,177539220000.0,241735750000.0,290355400000.0,90058810000.0,136810490000.0,121311390000.0,283366060000.0,204952470000.0,90395380000.0,438407630000.0
2077.0,180386840000.0,123121615000.0,262351390000.0,115160130000.0,171879020000.0,228996970000.0,280522900000.0,84901270000.0,131044370000.0,115744120000.0,273561240000.0,200055570000.0,84564074000.0,421854280000.0
2078.0,170058630000.0,119007986000.0,252311140000.0,106199150000.0,166132500000.0,218802950000.0,274475680000.0,79222610000.0,123524880000.0,109380480000.0,266249600000.0,195969780000.0,80827280000.0,419307720000.0
2079.0,164890130000.0,116016456000.0,249622530000.0,97275490000.0,158247940000.0,207738370000.0,267998800000.0,75603255000.0,118939520000.0,105181940000.0,256413000000.0,192667860000.0,74368820000.0,404346140000.0
2080.0,155872200000.0,112349170000.0,240631040000.0,89882810000.0,149583530000.0,204290500000.0,261710100000.0,71451330000.0,112029020000.0,100383390000.0,252917320000.0,187929310000.0,68895870000.0,394996700000.0
2081.0,148531840000.0,108321160000.0,232229700000.0,82443485000.0,147311940000.0,199495730000.0,257102200000.0,67925357000.0,105513280000.0,94213550000.0,249899160000.0,182419650000.0,64126030000.0,395571660000.0
2082.0,145621420000.0,102486420000.0,229401610000.0,75043660000.0,139430150000.0,190175180000.0,248378000000.0,63463956000.0,101092450000.0,87607430000.0,248820860000.0,179114840000.0,59727500000.0,386207320000.0
2083.0,141753120000.0,99181230000.0,220488910000.0,67710670000.0,133078570000.0,182347300000.0,239795800000.0,59927052000.0,97027965000.0,83001100000.0,245262370000.0,174690300000.0,55094590000.0,375881960000.0
2084.0,132029710000.0,93655970000.0,213138640000.0,63247495000.0,124882160000.0,176635040000.0,237041160000.0,57019260000.0,91375800000.0,81418690000.0,240635970000.0,169058550000.0,51391824000.0,369988270000.0
2085.0,121392185000.0,90340024000.0,208289940000.0,59635343000.0,119895980000.0,170553280000.0,232145520000.0,54608847000.0,87117890000.0,78566640000.0,235413830000.0,166200790000.0,48187314000.0,369048450000.0
2086.0,114893530000.0,85711300000.0,202728690000.0,56333038000.0,113032410000.0,166442120000.0,223024120000.0,51410010000.0,81501430000.0,74413230000.0,227757100000.0,163791780000.0,45359970000.0,360361100000.0
2087.0,109159850000.0,82611440000.0,197943440000.0,53087010000.0,107902484000.0,160044630000.0,212332630000.0,48751380000.0,76324640000.0,70138140000.0,220998840000.0,159554550000.0,42690253000.0,355896560000.0
2088.0,103311730000.0,78103570000.0,197917030000.0,49683775000.0,103872030000.0,154264160000.0,204248550000.0,45932835000.0,71541160000.0,69359075000.0,211772670000.0,155954300000.0,38841967000.0,345050450000.0
2089.0,98162870000.0,74848900000.0,191446530000.0,46332610000.0,100256604000.0,150180180000.0,195056440000.0,44654248000.0,66989150000.0,65923100000.0,207742840000.0,151000940000.0,36454556000.0,340876920000.0
2090.0,94054460000.0,71912100000.0,184738740000.0,43381190000.0,95238940000.0,143183560000.0,188691230000.0,42672730000.0,62992065000.0,62552380000.0,200783180000.0,144861070000.0,34897793000.0,333892420000.0
2091.0,89799330000.0,69812750000.0,178244880000.0,40347050000.0,88541870000.0,139000870000.0,185819800000.0,40257230000.0,59919530000.0,58661810000.0,197932700000.0,138929540000.0,32765807000.0,323224200000.0
2092.0,86909750000.0,67128496000.0,176263450000.0,38306050000.0,82812440000.0,131060340000.0,181212920000.0,37927068000.0,56606960000.0,55111340000.0,188713400000.0,134861000000.0,30556946000.0,315716570000.0
2093.0,82252240000.0,64529904000.0,169877950000.0,36267790000.0,78454140000.0,125404820000.0,172725130000.0,35891660000.0,53602222000.0,52445807000.0,184759370000.0,130213540000.0,28631290000.0,313555100000.0
2094.0,75340780000.0,62250860000.0,165257660000.0,35085283000.0,73809854000.0,120731030000.0,166190800000.0,33567674000.0,51765658000.0,50592210000.0,179674000000.0,126981190000.0,27466338000.0,307538600000.0
2095.0,72464260000.0,60136542000.0,163380350000.0,32448315000.0,69483390000.0,115544710000.0,160723220000.0,32419568000.0,49798627000.0,48378778000.0,175201450000.0,121770060000.0,26259413000.0,304057200000.0
2096.0,67199430000.0,57912205000.0,156972370000.0,30510813000.0,66910590000.0,109605190000.0,149969220000.0,31453526000.0,47141327000.0,46300426000.0,169977050000.0,118476240000.0,25144254000.0,301764150000.0
2097.0,62650884000.0,56426950000.0,154485340000.0,28430017000.0,64073390000.0,107021620000.0,148008420000.0,29527738000.0,45392520000.0,43503350000.0,166571950000.0,115386020000.0,23607620000.0,297360260000.0
2098.0,58786010000.0,54831206000.0,148439680000.0,26852573000.0,61157060000.0,104082900000.0,145618600000.0,28338532000.0,44661006000.0,42192480000.0,159343590000.0,109554690000.0,22409420000.0,294559740000.0
2099.0,56287760000.0,53593420000.0,146133810000.0,25061345000.0,60278043000.0,101615305000.0,141088600000.0,26906230000.0,42510970000.0,41678156000.0,155573730000.0,103383930000.0,21870787000.0,284297600000.0
2100.0,53760184000.0,52419015000.0,145092350000.0,22851070000.0,56625170000.0,99303180000.0,139160470000.0,26317476000.0,41060520000.0,38483546000.0,151763830000.0,101196180000.0,20696957000.0,281534730000.0
