time,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0
2001.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0
2002.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0
2003.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0
2004.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0
2005.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0
2006.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0
2007.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0
2008.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0
2009.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0
2010.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0
2011.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0
2012.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0
2013.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0
2014.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0
2015.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0
2016.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0
2017.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0
2018.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0
2019.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0
2020.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0
2021.0,2755712300000.0,2760795200000.0,2758174300000.0,2766120200000.0
2022.0,2739008400000.0,2760153000000.0,2727953300000.0,2757148300000.0
2023.0,2717633700000.0,2764512000000.0,2691150600000.0,2726650400000.0
2024.0,2697665700000.0,2747104200000.0,2657844000000.0,2703979200000.0
2025.0,2677800700000.0,2730423700000.0,2621468800000.0,2689193200000.0
2026.0,2648757000000.0,2703474000000.0,2575223500000.0,2667753200000.0
2027.0,2634261700000.0,2684702400000.0,2574733300000.0,2633167500000.0
2028.0,2611101800000.0,2668671800000.0,2538691600000.0,2605062600000.0
2029.0,2603567800000.0,2641259100000.0,2504407400000.0,2587302800000.0
2030.0,2569527000000.0,2626811900000.0,2462047000000.0,2573776700000.0
2031.0,2558787800000.0,2612626200000.0,2417106600000.0,2549873600000.0
2032.0,2539539100000.0,2591824800000.0,2384313000000.0,2534452800000.0
2033.0,2504653800000.0,2573393200000.0,2340490600000.0,2500580900000.0
2034.0,2479675400000.0,2542910000000.0,2318946000000.0,2468419700000.0
2035.0,2482576300000.0,2516145400000.0,2254766000000.0,2444028500000.0
2036.0,2476790000000.0,2503006500000.0,2213010700000.0,2415487000000.0
2037.0,2455637000000.0,2489140400000.0,2171322600000.0,2388740500000.0
2038.0,2431742400000.0,2472106000000.0,2135815200000.0,2344025800000.0
2039.0,2402160700000.0,2444761200000.0,2073478600000.0,2301063300000.0
2040.0,2366180400000.0,2418685200000.0,2079137900000.0,2283063000000.0
2041.0,2331715300000.0,2377881000000.0,2036673800000.0,2238216400000.0
2042.0,2307273500000.0,2359587500000.0,2008740500000.0,2208404900000.0
2043.0,2270936400000.0,2336021800000.0,1947502100000.0,2166075400000.0
2044.0,2243125600000.0,2309795600000.0,1899048600000.0,2115620200000.0
2045.0,2207319600000.0,2279841500000.0,1869254200000.0,2080595500000.0
2046.0,2158167500000.0,2253157300000.0,1833263700000.0,2039781000000.0
2047.0,2131221300000.0,2227489700000.0,1790527800000.0,2007329800000.0
2048.0,2097645000000.0,2187754600000.0,1762909400000.0,1955587700000.0
2049.0,2078076400000.0,2164509900000.0,1726241600000.0,1917301800000.0
2050.0,2041277700000.0,2129963800000.0,1685687500000.0,1880144900000.0
2051.0,2004754400000.0,2102355200000.0,1664383500000.0,1855415100000.0
2052.0,1981144400000.0,2076890200000.0,1634913000000.0,1818393200000.0
2053.0,1954088100000.0,2044368500000.0,1604412800000.0,1784598900000.0
2054.0,1933675600000.0,2020824400000.0,1586719600000.0,1764684100000.0
2055.0,1908324400000.0,1991049500000.0,1558781600000.0,1727628200000.0
2056.0,1897476700000.0,1971071700000.0,1518462700000.0,1705131500000.0
2057.0,1868776500000.0,1940107800000.0,1481931000000.0,1675508700000.0
2058.0,1851239000000.0,1913190400000.0,1452727100000.0,1655238200000.0
2059.0,1838760000000.0,1884310500000.0,1422713200000.0,1629275800000.0
2060.0,1807573600000.0,1850772300000.0,1398320800000.0,1603162500000.0
2061.0,1779192600000.0,1826684900000.0,1374639100000.0,1573836200000.0
2062.0,1754009200000.0,1794134100000.0,1352737100000.0,1561218000000.0
2063.0,1744423200000.0,1768814500000.0,1325294400000.0,1548617000000.0
2064.0,1730916800000.0,1749428900000.0,1310170500000.0,1537357300000.0
2065.0,1705227500000.0,1732806600000.0,1282970100000.0,1519915000000.0
2066.0,1679673900000.0,1713849900000.0,1273941000000.0,1508805800000.0
2067.0,1656599100000.0,1691570400000.0,1260631100000.0,1495430700000.0
2068.0,1638964800000.0,1681443000000.0,1235359100000.0,1480773900000.0
2069.0,1618883600000.0,1665316000000.0,1204244700000.0,1464819000000.0
2070.0,1603583700000.0,1648177300000.0,1184456200000.0,1453275100000.0
2071.0,1587280900000.0,1627186000000.0,1176572500000.0,1440163700000.0
2072.0,1563505000000.0,1607271600000.0,1167320700000.0,1431670100000.0
2073.0,1551846700000.0,1595362600000.0,1151917000000.0,1420398200000.0
2074.0,1539027000000.0,1575815500000.0,1135112100000.0,1411988000000.0
2075.0,1540284200000.0,1564695500000.0,1112554300000.0,1401396400000.0
2076.0,1524132100000.0,1547590400000.0,1103185700000.0,1388363500000.0
2077.0,1502040400000.0,1534732500000.0,1091549600000.0,1380735100000.0
2078.0,1490398100000.0,1521921400000.0,1092445300000.0,1373585400000.0
2079.0,1479687300000.0,1508926700000.0,1075125800000.0,1367913000000.0
2080.0,1465768000000.0,1491974500000.0,1057361900000.0,1358252300000.0
2081.0,1459619100000.0,1478455700000.0,1041444600000.0,1347709000000.0
2082.0,1458741200000.0,1465066200000.0,1026717500000.0,1338715300000.0
2083.0,1453504600000.0,1450419700000.0,1023828600000.0,1331445400000.0
2084.0,1438218200000.0,1436957500000.0,1032613500000.0,1319653600000.0
2085.0,1430969500000.0,1420848800000.0,1025683400000.0,1310652900000.0
2086.0,1423663700000.0,1411674100000.0,1020049300000.0,1306230500000.0
2087.0,1425026000000.0,1400355700000.0,1014344500000.0,1295290500000.0
2088.0,1423794500000.0,1388498100000.0,1033439200000.0,1296594900000.0
2089.0,1412478900000.0,1378973800000.0,1026382700000.0,1291354000000.0
2090.0,1410210100000.0,1375889400000.0,1010449450000.0,1286152100000.0
2091.0,1404786400000.0,1374613700000.0,993044800000.0,1283535900000.0
2092.0,1399991800000.0,1366379900000.0,988768300000.0,1281387000000.0
2093.0,1396051700000.0,1349839700000.0,981735100000.0,1272846900000.0
2094.0,1392223700000.0,1338193600000.0,973658000000.0,1269260900000.0
2095.0,1389807500000.0,1327817700000.0,965200000000.0,1268510800000.0
2096.0,1388073800000.0,1317701200000.0,963524700000.0,1267012900000.0
2097.0,1385702100000.0,1306037300000.0,952655600000.0,1252977800000.0
2098.0,1370725300000.0,1300443000000.0,946811000000.0,1248476500000.0
2099.0,1363484700000.0,1297660400000.0,941673100000.0,1249400200000.0
2100.0,1359393000000.0,1292881900000.0,941320600000.0,1249857800000.0
