time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CESM2,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0
2028.0,2614285000000.0,2701785000000.0,2619827600000.0,2662492800000.0,2630648600000.0,2715638800000.0,2693846500000.0,2663264300000.0,2672671600000.0,2526051000000.0,2687892200000.0,2699295200000.0,2675158800000.0
2029.0,2578616000000.0,2689198200000.0,2596819200000.0,2647237900000.0,2597444400000.0,2699904700000.0,2678769300000.0,2658836400000.0,2657323300000.0,2496642700000.0,2678649500000.0,2681214600000.0,2657533600000.0
2030.0,2546710300000.0,2680125000000.0,2575224000000.0,2644361300000.0,2581050000000.0,2694847400000.0,2659817400000.0,2642609400000.0,2653924600000.0,2453805200000.0,2669069000000.0,2655584800000.0,2624660000000.0
2031.0,2525429500000.0,2653575200000.0,2570258700000.0,2630184000000.0,2556603000000.0,2673238300000.0,2641437000000.0,2618533300000.0,2632476000000.0,2414555000000.0,2655968300000.0,2632558600000.0,2609950000000.0
2032.0,2504700500000.0,2632857000000.0,2566065000000.0,2609491000000.0,2532869700000.0,2657895800000.0,2643197400000.0,2619674500000.0,2601720700000.0,2369340300000.0,2645201000000.0,2614845800000.0,2600954800000.0
2033.0,2482618000000.0,2606297500000.0,2546204700000.0,2598930500000.0,2526685400000.0,2657763500000.0,2638929200000.0,2618573700000.0,2583156800000.0,2332889200000.0,2641610100000.0,2605827000000.0,2569531300000.0
2034.0,2462321700000.0,2577884000000.0,2535840000000.0,2585841400000.0,2501436800000.0,2623830000000.0,2621334600000.0,2595484900000.0,2563162000000.0,2290578600000.0,2616182200000.0,2603712000000.0,2550088600000.0
2035.0,2417091400000.0,2547202400000.0,2528807700000.0,2563517700000.0,2479261200000.0,2600260600000.0,2610810000000.0,2570396000000.0,2547819000000.0,2247115400000.0,2592223800000.0,2580800000000.0,2521560000000.0
2036.0,2399463800000.0,2516723000000.0,2522814600000.0,2548049600000.0,2452266000000.0,2600793500000.0,2605394200000.0,2554303300000.0,2522360600000.0,2202261000000.0,2578235800000.0,2561604600000.0,2492103100000.0
2037.0,2373350900000.0,2489501000000.0,2510242000000.0,2544952400000.0,2430281000000.0,2606946300000.0,2580811000000.0,2528107000000.0,2494129200000.0,2148422600000.0,2587670300000.0,2552455800000.0,2469513000000.0
2038.0,2338321900000.0,2472495800000.0,2479942800000.0,2524855000000.0,2407287000000.0,2578040500000.0,2564048000000.0,2511132400000.0,2479548500000.0,2117002000000.0,2559739200000.0,2552141400000.0,2440404000000.0
2039.0,2316705700000.0,2449674900000.0,2474541300000.0,2500832300000.0,2378084600000.0,2564461400000.0,2554617400000.0,2497952400000.0,2468285800000.0,2083438200000.0,2534027000000.0,2537716000000.0,2418610300000.0
2040.0,2300246800000.0,2406833500000.0,2475851300000.0,2491901300000.0,2353473500000.0,2560969400000.0,2543556500000.0,2484845700000.0,2439988600000.0,2050180000000.0,2513097000000.0,2519477800000.0,2383921000000.0
2041.0,2259212300000.0,2370198800000.0,2458864300000.0,2487340800000.0,2327720800000.0,2565904800000.0,2533835700000.0,2479155600000.0,2419076400000.0,2000161700000.0,2491220800000.0,2501152000000.0,2344349900000.0
2042.0,2231736000000.0,2346229000000.0,2426584700000.0,2477037500000.0,2290368400000.0,2546564300000.0,2507597700000.0,2457652000000.0,2386629000000.0,1965285200000.0,2464264200000.0,2479046000000.0,2303227600000.0
2043.0,2210410300000.0,2313830300000.0,2400708200000.0,2466697200000.0,2254532800000.0,2527481600000.0,2495453000000.0,2444887900000.0,2353792500000.0,1933231300000.0,2453251800000.0,2466651600000.0,2275331300000.0
2044.0,2175154100000.0,2276131600000.0,2402317800000.0,2448800600000.0,2230000300000.0,2507907500000.0,2465490000000.0,2413953300000.0,2335806000000.0,1882500500000.0,2450072500000.0,2438772600000.0,2252818600000.0
2045.0,2137988300000.0,2244617000000.0,2380054700000.0,2429951700000.0,2197533200000.0,2484271300000.0,2449879600000.0,2376516500000.0,2320216400000.0,1839812700000.0,2435993000000.0,2427275700000.0,2232429600000.0
2046.0,2120536000000.0,2218259000000.0,2354330700000.0,2408166200000.0,2167392700000.0,2459577400000.0,2425664800000.0,2357070100000.0,2295164600000.0,1807509100000.0,2418884200000.0,2403691400000.0,2199806500000.0
2047.0,2096545400000.0,2180579000000.0,2337802600000.0,2388785600000.0,2154941100000.0,2431014400000.0,2407795300000.0,2335685000000.0,2263720000000.0,1774136300000.0,2411967000000.0,2382285000000.0,2175227100000.0
2048.0,2057163100000.0,2158430100000.0,2319950800000.0,2370963500000.0,2134258700000.0,2416367600000.0,2380123900000.0,2298355600000.0,2222240600000.0,1739826400000.0,2392238900000.0,2367020000000.0,2159587600000.0
2049.0,2047028800000.0,2129159900000.0,2278196800000.0,2349682400000.0,2106432600000.0,2387656000000.0,2357503200000.0,2272274400000.0,2193058600000.0,1698907700000.0,2362451400000.0,2345249000000.0,2131940600000.0
2050.0,2042054600000.0,2088633800000.0,2256158900000.0,2327460000000.0,2089357500000.0,2352558600000.0,2329347000000.0,2243082800000.0,2179578500000.0,1673413400000.0,2324927300000.0,2347332800000.0,2103623300000.0
2051.0,2007573900000.0,2063154800000.0,2254088000000.0,2300115400000.0,2057508200000.0,2326787500000.0,2288712200000.0,2203169000000.0,2155837300000.0,1625205400000.0,2299868500000.0,2331341000000.0,2073607800000.0
2052.0,1977442000000.0,2021735800000.0,2230450000000.0,2285372200000.0,2034334800000.0,2280534800000.0,2257183600000.0,2195716300000.0,2125969000000.0,1584242600000.0,2285771200000.0,2316004000000.0,2052613500000.0
2053.0,1944313100000.0,1987713400000.0,2213151000000.0,2238260700000.0,2007828900000.0,2248480400000.0,2240446500000.0,2167019700000.0,2097060600000.0,1548648800000.0,2252989800000.0,2283230500000.0,2040162500000.0
2054.0,1906634800000.0,1957400800000.0,2187257000000.0,2215198300000.0,1986243300000.0,2218772700000.0,2233207400000.0,2132767700000.0,2072666300000.0,1531304500000.0,2224444000000.0,2254771800000.0,2015512400000.0
2055.0,1884126200000.0,1926167700000.0,2153207600000.0,2179284200000.0,1957169900000.0,2174921300000.0,2233499600000.0,2089563600000.0,2055301400000.0,1493760200000.0,2192241900000.0,2236740300000.0,1990086200000.0
2056.0,1857171900000.0,1873777500000.0,2133462100000.0,2148571300000.0,1920906300000.0,2137029300000.0,2208543000000.0,2069129200000.0,2045690900000.0,1451663300000.0,2163255300000.0,2227466000000.0,1973066900000.0
2057.0,1816871000000.0,1848246800000.0,2104909600000.0,2129057200000.0,1896025000000.0,2115493400000.0,2184074500000.0,2043793500000.0,2023189900000.0,1403519800000.0,2147709600000.0,2196078900000.0,1944765000000.0
2058.0,1791060600000.0,1800176400000.0,2091475700000.0,2113999000000.0,1869996200000.0,2077716600000.0,2154978000000.0,2008087800000.0,1999794000000.0,1372823500000.0,2120683600000.0,2164757600000.0,1927635400000.0
