time,GFDL-ESM4,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,CMCC-CM2-SR5,MRI-ESM2-0,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,CESM2
2035.0,2620752700000.0,2629522000000.0,2456646000000.0,2520432000000.0,2596991400000.0,2485367600000.0,2572668600000.0,2658240000000.0,2505985000000.0,2497966500000.0,2534126000000.0,2601285000000.0,2310385000000.0,2568787300000.0
2036.0,2620598000000.0,2607307800000.0,2420543600000.0,2507052700000.0,2580344500000.0,2465174400000.0,2555472200000.0,2645569600000.0,2470746800000.0,2492380500000.0,2514543200000.0,2567430000000.0,2283899500000.0,2556183200000.0
2037.0,2604596200000.0,2582598600000.0,2395567000000.0,2505585500000.0,2574675300000.0,2427423300000.0,2519350000000.0,2638318000000.0,2457930600000.0,2467428300000.0,2510199200000.0,2543283600000.0,2231186200000.0,2539435000000.0
2038.0,2593896000000.0,2556183000000.0,2363864000000.0,2472344600000.0,2563501500000.0,2400033200000.0,2488843400000.0,2619134000000.0,2426884000000.0,2453811500000.0,2492543800000.0,2534894000000.0,2194909700000.0,2510580000000.0
2039.0,2577959500000.0,2533893600000.0,2346237000000.0,2452935400000.0,2549948400000.0,2378701500000.0,2489871800000.0,2614576000000.0,2405686000000.0,2423387600000.0,2467190500000.0,2524292000000.0,2170981700000.0,2489338800000.0
2040.0,2556721400000.0,2521549800000.0,2316403200000.0,2438112000000.0,2535128300000.0,2356265400000.0,2460172000000.0,2615828000000.0,2400564000000.0,2404315600000.0,2446883800000.0,2489694300000.0,2144413000000.0,2474037500000.0
2041.0,2539956200000.0,2505631000000.0,2290794600000.0,2416999700000.0,2511444600000.0,2318584500000.0,2454290000000.0,2609900000000.0,2388615500000.0,2376689800000.0,2432002200000.0,2458900000000.0,2116123100000.0,2459304500000.0
2042.0,2523149000000.0,2504436700000.0,2260668500000.0,2387419900000.0,2521508000000.0,2280777600000.0,2436129000000.0,2586910000000.0,2344391300000.0,2362097800000.0,2416951700000.0,2438573900000.0,2107003000000.0,2445429400000.0
2043.0,2523181000000.0,2492792300000.0,2238843000000.0,2387046300000.0,2518099700000.0,2261765000000.0,2410461000000.0,2573960000000.0,2309310600000.0,2344906400000.0,2408485500000.0,2414635400000.0,2087746000000.0,2421648300000.0
2044.0,2503238700000.0,2462515700000.0,2206212600000.0,2372744500000.0,2525481100000.0,2238846600000.0,2394235000000.0,2562632700000.0,2279905700000.0,2326456200000.0,2406562100000.0,2388999500000.0,2047570300000.0,2404425400000.0
2045.0,2488455400000.0,2423255200000.0,2183480000000.0,2348480700000.0,2524609500000.0,2209503200000.0,2383953800000.0,2546397300000.0,2267603800000.0,2306218100000.0,2389493700000.0,2367621700000.0,2016133600000.0,2390557000000.0
2046.0,2469548300000.0,2404670200000.0,2145891500000.0,2322711200000.0,2493701400000.0,2183037500000.0,2351993000000.0,2541525000000.0,2248793000000.0,2293845000000.0,2365164600000.0,2334886500000.0,1986424900000.0,2359661200000.0
2047.0,2437042400000.0,2398918500000.0,2102872200000.0,2318193100000.0,2473972700000.0,2157717000000.0,2327470400000.0,2517254500000.0,2226890700000.0,2269901000000.0,2355885200000.0,2323472000000.0,1974398200000.0,2357368000000.0
2048.0,2427781600000.0,2387718000000.0,2070180400000.0,2285402600000.0,2461445400000.0,2126638000000.0,2298349600000.0,2494112200000.0,2216310600000.0,2260768000000.0,2339747000000.0,2296286800000.0,1953741800000.0,2350176800000.0
