time,CESM2-WACCM,ACCESS-CM2,CAMS-CSM1-0,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,IPSL-CM6A-LR,INM-CM4-8,NORESM2-MM,INM-CM5-0,EC-EARTH3,CESM2,GFDL-ESM4,MPI-ESM1-2-HR,TAIESM1,BCC-CSM2-MR,FGOALS-F3-L,CMCC-CM2-SR5,MRI-ESM2-0
2027.0,2634261700000.0,2711318000000.0,2718922200000.0,2574733300000.0,2664851600000.0,2639088300000.0,2684702400000.0,2693685600000.0,2697007500000.0,2697163200000.0,2561217000000.0,2638661800000.0,2688674400000.0,2621115700000.0,2676888700000.0,2670983600000.0,2700540400000.0,2700587000000.0,2633167500000.0
2028.0,2611101800000.0,2711541300000.0,2707378400000.0,2538691600000.0,2650844700000.0,2608590000000.0,2668671800000.0,2678197300000.0,2680196400000.0,2666183300000.0,2533332400000.0,2625678000000.0,2674896000000.0,2601129300000.0,2654405700000.0,2641238700000.0,2693905300000.0,2666822400000.0,2605062600000.0
2029.0,2603567800000.0,2689641500000.0,2684862300000.0,2504407400000.0,2618583700000.0,2587725100000.0,2641259100000.0,2673816400000.0,2661377600000.0,2644247800000.0,2492829500000.0,2610891600000.0,2673126100000.0,2581153400000.0,2647848600000.0,2627416400000.0,2678914800000.0,2649137600000.0,2587302800000.0
2030.0,2569527000000.0,2671003000000.0,2659028300000.0,2462047000000.0,2601743300000.0,2577759000000.0,2626811900000.0,2657179700000.0,2636818400000.0,2615673400000.0,2439758200000.0,2603079200000.0,2642834400000.0,2559564000000.0,2605800200000.0,2590831300000.0,2650898000000.0,2643151800000.0,2573776700000.0
2031.0,2558773200000.0,2656406600000.0,2662936600000.0,2417109000000.0,2560144400000.0,2562718000000.0,2612772200000.0,2648052600000.0,2603110000000.0,2573765700000.0,2389679000000.0,2569732400000.0,2631960400000.0,2563065800000.0,2571041800000.0,2582864700000.0,2644569000000.0,2633132700000.0,2550190800000.0
2032.0,2539633800000.0,2638506400000.0,2643308300000.0,2384088000000.0,2557025700000.0,2538957400000.0,2591922600000.0,2643917300000.0,2591090500000.0,2535574200000.0,2346918300000.0,2541459000000.0,2614816400000.0,2543394500000.0,2531924400000.0,2561485800000.0,2634876500000.0,2621386800000.0,2535152700000.0
2033.0,2504872000000.0,2618616000000.0,2621228000000.0,2340519700000.0,2536799700000.0,2510340200000.0,2573188000000.0,2634899000000.0,2574941200000.0,2503405200000.0,2321919800000.0,2523470200000.0,2596345000000.0,2522898800000.0,2492293700000.0,2531108600000.0,2619163000000.0,2605884600000.0,2501935400000.0
2034.0,2480011200000.0,2609885200000.0,2599229000000.0,2319493000000.0,2518570000000.0,2477114800000.0,2542678600000.0,2612604400000.0,2539744100000.0,2482752500000.0,2282739000000.0,2479948000000.0,2589060500000.0,2502539600000.0,2471422900000.0,2502395400000.0,2588631600000.0,2582887000000.0,2470693300000.0
2035.0,2483154000000.0,2579435600000.0,2586776400000.0,2255895700000.0,2492500800000.0,2438537700000.0,2515862300000.0,2609369300000.0,2519950400000.0,2464243000000.0,2227853900000.0,2461353400000.0,2568249100000.0,2489536000000.0,2461142400000.0,2481769000000.0,2559744100000.0,2568039700000.0,2447061300000.0
2036.0,2477960700000.0,2546607000000.0,2575481000000.0,2215168000000.0,2477832300000.0,2411266300000.0,2502996500000.0,2599085400000.0,2504326400000.0,2426754800000.0,2181274800000.0,2442926200000.0,2545576300000.0,2474049300000.0,2419906000000.0,2452876200000.0,2520476500000.0,2532981600000.0,2419526200000.0
