time,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CANESM5,CESM2,GFDL-ESM4,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,MPI-ESM1-2-HR,IPSL-CM6A-LR,CESM2-WACCM,CAMS-CSM1-0,MRI-ESM2-0
2040.0,197672810000.0,184372130000.0,187425180000.0,219369670000.0,189659230000.0,157762220000.0,199424800000.0,203884380000.0,199198050000.0,214098970000.0,195145910000.0,171543510000.0,193584400000.0,194082930000.0,198788430000.0,197870100000.0,196148670000.0
2041.0,192493170000.0,181725040000.0,182857550000.0,220922990000.0,184210370000.0,152133900000.0,195928950000.0,200475850000.0,196636600000.0,212565750000.0,192672090000.0,166697780000.0,191717180000.0,187112960000.0,190547620000.0,192746290000.0,191389140000.0
2042.0,190068500000.0,176816180000.0,179442650000.0,220885930000.0,179409730000.0,147346590000.0,193012800000.0,198546670000.0,193166660000.0,209948130000.0,190444010000.0,162371960000.0,190993170000.0,183176690000.0,185727190000.0,189219950000.0,187552760000.0
2043.0,185930960000.0,174328840000.0,173703820000.0,217721800000.0,171985880000.0,141474280000.0,191918980000.0,195868250000.0,192069600000.0,207127770000.0,187098460000.0,159889640000.0,191289460000.0,180661160000.0,182625940000.0,186470090000.0,183433740000.0
2044.0,182466530000.0,171432940000.0,172093030000.0,214847420000.0,167626490000.0,133920440000.0,187547240000.0,194328430000.0,190853430000.0,204986630000.0,181411090000.0,155762740000.0,188560240000.0,178805360000.0,177804670000.0,183857510000.0,181127790000.0
2045.0,181591670000.0,168774170000.0,168052690000.0,213100560000.0,163175280000.0,131129090000.0,186226310000.0,191824380000.0,188191540000.0,201870840000.0,178334250000.0,153528980000.0,185741180000.0,176229920000.0,174065600000.0,179510760000.0,179203440000.0
2046.0,182063450000.0,166201620000.0,163785520000.0,208140800000.0,158130930000.0,126098830000.0,181342440000.0,189810030000.0,183186310000.0,201270540000.0,174769360000.0,150573200000.0,182371300000.0,172552810000.0,171609200000.0,176691640000.0,173845820000.0
2047.0,177454610000.0,163105030000.0,160537000000.0,205100630000.0,152263360000.0,121228200000.0,177961100000.0,186248500000.0,180293290000.0,200013560000.0,170979970000.0,145601380000.0,179416530000.0,169761650000.0,164820470000.0,172302750000.0,168242700000.0
2048.0,174682490000.0,160434470000.0,157102030000.0,201716840000.0,148149290000.0,117944400000.0,175788820000.0,183161750000.0,178116770000.0,196982370000.0,166583580000.0,140886500000.0,176883350000.0,163888380000.0,158536970000.0,166527100000.0,165504000000.0
2049.0,171866700000.0,156159720000.0,152186080000.0,200431340000.0,141254120000.0,115253230000.0,170287820000.0,182640770000.0,175325350000.0,193122190000.0,163652370000.0,138178500000.0,176553020000.0,162532020000.0,156198860000.0,164869820000.0,163637230000.0
2050.0,169470380000.0,152887120000.0,150884350000.0,198059020000.0,136766554000.0,112920940000.0,167401830000.0,177034640000.0,171630720000.0,189978410000.0,160765130000.0,134483650000.0,176354790000.0,157714740000.0,151278500000.0,163115170000.0,161722660000.0
2051.0,169458350000.0,149799900000.0,147982730000.0,195635920000.0,131500200000.0,111266824000.0,164888170000.0,174646720000.0,167270450000.0,189135550000.0,156625130000.0,130568495000.0,172086720000.0,154500510000.0,149629680000.0,160667220000.0,160553480000.0
2052.0,167825160000.0,146168640000.0,146519160000.0,195370570000.0,126773050000.0,109045700000.0,162658910000.0,172222090000.0,164673700000.0,186488240000.0,155180070000.0,128670330000.0,168913900000.0,150230960000.0,148114370000.0,158355280000.0,158708120000.0
2053.0,164751430000.0,141828720000.0,144717480000.0,193260010000.0,124065390000.0,104809330000.0,159657670000.0,169408560000.0,162499690000.0,186334250000.0,153788400000.0,125288570000.0,167964590000.0,145455170000.0,146496750000.0,155965870000.0,157260070000.0
2054.0,161238090000.0,140392760000.0,140668850000.0,190831670000.0,119588250000.0,100798990000.0,157171450000.0,166471160000.0,160321720000.0,183076720000.0,153269490000.0,122093830000.0,166735890000.0,142366110000.0,145023750000.0,154598130000.0,154381060000.0
2055.0,159530980000.0,138652910000.0,137112690000.0,186980450000.0,117038130000.0,97614094000.0,155320600000.0,163586540000.0,156510060000.0,178552060000.0,150767830000.0,117923620000.0,165832410000.0,139253860000.0,142796130000.0,151164400000.0,153394250000.0
2056.0,154416710000.0,136773080000.0,134401820000.0,186402180000.0,115030794000.0,93741064000.0,153006960000.0,161193380000.0,151931450000.0,176943660000.0,149794390000.0,114962920000.0,162810610000.0,136057990000.0,139974600000.0,147284200000.0,150408610000.0
2057.0,153474480000.0,134690690000.0,132345930000.0,188678600000.0,111264180000.0,91318540000.0,150683660000.0,157034600000.0,148446450000.0,175648100000.0,148990030000.0,112662950000.0,160699550000.0,131510190000.0,137999190000.0,145233460000.0,147340940000.0
