time,MRI-ESM2-0,CAMS-CSM1-0,GFDL-ESM4,EC-EARTH3-VEG
2037.0,205419020000.0,195733100000.0,202915760000.0,211412650000.0
2038.0,201716630000.0,188661810000.0,199513640000.0,204947260000.0
2039.0,199683560000.0,185473040000.0,195227530000.0,200668180000.0
2040.0,197348470000.0,180567210000.0,192192560000.0,200012350000.0
2041.0,196875170000.0,176842500000.0,189847630000.0,199502860000.0
2042.0,196027920000.0,172340900000.0,188537110000.0,197555730000.0
2043.0,191436490000.0,167295780000.0,185155750000.0,195094790000.0
2044.0,187992490000.0,163113340000.0,182694100000.0,193504100000.0
2045.0,186152030000.0,161560820000.0,180916550000.0,189591440000.0
2046.0,182763750000.0,157388570000.0,177751260000.0,187860960000.0
2047.0,179992740000.0,152196960000.0,176338190000.0,187888810000.0
2048.0,175689560000.0,150489650000.0,173955450000.0,184049240000.0
2049.0,173691110000.0,145856360000.0,171499830000.0,181099500000.0
2050.0,172629180000.0,142427060000.0,168165210000.0,178423090000.0
2051.0,170152170000.0,139690180000.0,167080950000.0,176808480000.0
2052.0,166817230000.0,136755200000.0,165923390000.0,172267060000.0
2053.0,162987050000.0,133060485000.0,162962340000.0,169912900000.0
2054.0,160831060000.0,129730445000.0,160319850000.0,167704440000.0
2055.0,158622330000.0,126042940000.0,158967640000.0,164286680000.0
2056.0,158107630000.0,124806590000.0,156571860000.0,163351100000.0
2057.0,157556360000.0,123679630000.0,153876200000.0,159502550000.0
2058.0,155787820000.0,121366980000.0,151300460000.0,155562660000.0
2059.0,157122630000.0,117130330000.0,150066610000.0,151562500000.0
2060.0,154356480000.0,112364880000.0,149538390000.0,148082800000.0
2061.0,152400510000.0,110265800000.0,147275700000.0,145716220000.0
2062.0,150539270000.0,106601530000.0,144874470000.0,143138390000.0
2063.0,149713680000.0,103685400000.0,142355220000.0,140049630000.0
2064.0,150935200000.0,101728140000.0,140338380000.0,137862230000.0
2065.0,150033920000.0,98354274000.0,137444200000.0,134213665000.0
2066.0,147783060000.0,95773530000.0,135953965000.0,131188520000.0
2067.0,147857820000.0,93290000000.0,133521424000.0,127547480000.0
2068.0,145539500000.0,90353270000.0,132348010000.0,125779190000.0
2069.0,143558800000.0,89463420000.0,128538780000.0,122539170000.0
2070.0,142002200000.0,88041810000.0,128184170000.0,119765390000.0
2071.0,141103630000.0,85994004000.0,127828120000.0,115666620000.0
2072.0,140950180000.0,84371390000.0,125938500000.0,112809850000.0
2073.0,137763720000.0,83452810000.0,125174210000.0,111424940000.0
2074.0,138434700000.0,82185180000.0,123380030000.0,109124530000.0
2075.0,136733170000.0,80286065000.0,123153480000.0,107518845000.0
2076.0,136472030000.0,78545980000.0,123186905000.0,105246880000.0
2077.0,134898670000.0,78050345000.0,122265370000.0,105157650000.0
2078.0,133104610000.0,77425656000.0,121833840000.0,103003510000.0
2079.0,134555910000.0,76473840000.0,120786900000.0,100971330000.0
2080.0,133495050000.0,74950120000.0,120060580000.0,100697190000.0
2081.0,133939724000.0,74163430000.0,121145610000.0,99592200000.0
2082.0,132699310000.0,73303890000.0,119549580000.0,97803780000.0
2083.0,132906950000.0,73005500000.0,119642070000.0,95335514000.0
2084.0,131280036000.0,71253250000.0,117871750000.0,93332880000.0
2085.0,132633450000.0,69595860000.0,117847990000.0,92087990000.0
2086.0,132075650000.0,68984775000.0,117936095000.0,90302220000.0
2087.0,131561685000.0,67744000000.0,117806560000.0,87908560000.0
2088.0,133375840000.0,65786454000.0,117726810000.0,85345570000.0
2089.0,133542480000.0,64113690000.0,115932390000.0,84518175000.0
2090.0,131872750000.0,63599080000.0,116280800000.0,83880660000.0
2091.0,133366440000.0,61796696000.0,115975560000.0,82176850000.0
2092.0,133808740000.0,61988745000.0,114783800000.0,80804630000.0
2093.0,134694340000.0,61595963000.0,115818040000.0,78997590000.0
2094.0,134517410000.0,60671754000.0,114957970000.0,76025995000.0
2095.0,134235490000.0,59579080000.0,115166570000.0,73875270000.0
2096.0,133495790000.0,58509554000.0,113190390000.0,71919140000.0
2097.0,133734910000.0,57678483000.0,112394530000.0,70597540000.0
2098.0,132728190000.0,57435415000.0,112485830000.0,68802585000.0
2099.0,134586655000.0,57184408000.0,112171120000.0,68854140000.0
2100.0,134652380000.0,56726032000.0,110990780000.0,67798286000.0
