time,GFDL-ESM4,CMCC-CM2-SR5,NORESM2-MM,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,ACCESS-CM2,ACCESS-ESM1-5,CESM2,MRI-ESM2-0,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,CAMS-CSM1-0,IPSL-CM6A-LR,CESM2-WACCM,TAIESM1
2013.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0
2014.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0
2015.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0
2016.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0
2017.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0
2018.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0
2019.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0
2020.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0
2021.0,254530850000.0,261908280000.0,254622970000.0,258670940000.0,256634780000.0,255385650000.0,253962940000.0,253975400000.0,256266860000.0,259965750000.0,259975950000.0,259654570000.0,257600030000.0,256715830000.0,258826000000.0,255257760000.0,257897070000.0,257638170000.0,257484260000.0
2022.0,251199750000.0,259586420000.0,252297050000.0,256153000000.0,257585970000.0,253689380000.0,250013580000.0,251326050000.0,254109830000.0,256200540000.0,259277260000.0,258559590000.0,252800270000.0,254015260000.0,254014160000.0,251572110000.0,257432270000.0,254097670000.0,252669050000.0
2023.0,248802800000.0,255370580000.0,248459980000.0,254917360000.0,257089500000.0,249956630000.0,242093930000.0,245686580000.0,252233350000.0,252536030000.0,257606340000.0,256823870000.0,250767110000.0,251655080000.0,254970840000.0,245932330000.0,253507880000.0,251665660000.0,249633620000.0
2024.0,246363730000.0,255274000000.0,246426160000.0,248617440000.0,253323360000.0,250710440000.0,236377260000.0,242178280000.0,250460700000.0,250924420000.0,252060160000.0,254478160000.0,248904730000.0,249728170000.0,251727530000.0,242605230000.0,250677150000.0,248182520000.0,247731160000.0
2025.0,243818740000.0,252328720000.0,243129660000.0,247428170000.0,249732450000.0,250233160000.0,231522680000.0,239576400000.0,249007670000.0,247669240000.0,248295110000.0,254886630000.0,243865320000.0,248178300000.0,247102650000.0,239230480000.0,245921900000.0,244464270000.0,244999180000.0
2026.0,240967060000.0,251713850000.0,237120900000.0,243754630000.0,250303090000.0,249199670000.0,227938730000.0,234200450000.0,244386700000.0,244241270000.0,242417370000.0,255476470000.0,243311800000.0,245344060000.0,244814920000.0,236438600000.0,243238600000.0,242885080000.0,238681800000.0
2027.0,236369950000.0,248864300000.0,233208070000.0,239926500000.0,247428060000.0,246768140000.0,224019120000.0,232125510000.0,242774340000.0,243137220000.0,237388020000.0,256554910000.0,239598620000.0,242252150000.0,240357490000.0,232086450000.0,237857880000.0,241431580000.0,237920370000.0
2028.0,231344370000.0,245162030000.0,233681680000.0,232156410000.0,242897440000.0,242995840000.0,215275370000.0,227019230000.0,241827840000.0,244355810000.0,235314410000.0,257468300000.0,237316870000.0,238476890000.0,240771150000.0,228311090000.0,232012480000.0,240845100000.0,230918550000.0
2029.0,230622560000.0,242110890000.0,234532000000.0,231853410000.0,241445730000.0,240158640000.0,208499250000.0,223590220000.0,239849800000.0,240203830000.0,232873510000.0,255768540000.0,235940460000.0,238140230000.0,236451870000.0,224748950000.0,227396750000.0,234987850000.0,225174780000.0
2030.0,228556140000.0,236089460000.0,230610370000.0,229562060000.0,234838490000.0,238967310000.0,202896570000.0,219382280000.0,236029030000.0,237065900000.0,227082470000.0,253695260000.0,233897560000.0,236831900000.0,231848980000.0,220763960000.0,223967800000.0,230864390000.0,218599110000.0
2031.0,223533350000.0,232417510000.0,228113760000.0,226002060000.0,231544950000.0,236109700000.0,194133160000.0,213762830000.0,233431600000.0,233682170000.0,224998600000.0,250430370000.0,228555060000.0,232269550000.0,222391780000.0,214775000000.0,219961340000.0,228526470000.0,214501950000.0
2032.0,220724720000.0,230580680000.0,225419000000.0,225623300000.0,229408700000.0,234679070000.0,188585030000.0,209277100000.0,232465480000.0,227687970000.0,221216300000.0,249294200000.0,225609320000.0,229526910000.0,216305070000.0,210869400000.0,213464300000.0,224644190000.0,208350220000.0
2033.0,214515910000.0,228069950000.0,221836150000.0,224589820000.0,226557020000.0,233655830000.0,185407540000.0,205905480000.0,230516520000.0,221448370000.0,217364820000.0,245851240000.0,221261800000.0,226594550000.0,211821610000.0,204303730000.0,210221740000.0,220079960000.0,203804520000.0
2034.0,209758910000.0,226185050000.0,216079090000.0,220694840000.0,221961060000.0,232183120000.0,182009460000.0,200661630000.0,227616460000.0,218205750000.0,213102770000.0,241626680000.0,216501650000.0,224169430000.0,205628010000.0,200988720000.0,208014920000.0,215462720000.0,197329780000.0
2035.0,205760920000.0,221330230000.0,214548480000.0,216786040000.0,220501210000.0,229638340000.0,176911120000.0,197086000000.0,222084660000.0,216655610000.0,207825440000.0,239958070000.0,209941890000.0,218241810000.0,197871650000.0,193365660000.0,202172680000.0,213591490000.0,192110690000.0
2036.0,203428950000.0,217152100000.0,208566220000.0,214466920000.0,218743950000.0,226745570000.0,170860410000.0,193865530000.0,217747110000.0,214778530000.0,205529550000.0,237138400000.0,204387830000.0,213541190000.0,193005980000.0,189840640000.0,199043400000.0,209272730000.0,183583390000.0
2037.0,199967600000.0,212567430000.0,204960830000.0,213253440000.0,216623860000.0,223187710000.0,165523520000.0,187345630000.0,216651280000.0,212849030000.0,205010760000.0,234467670000.0,200399000000.0,211407930000.0,184831480000.0,186271290000.0,195538830000.0,205204850000.0,179667100000.0
2038.0,197283990000.0,209243390000.0,199682650000.0,210863100000.0,211740640000.0,221423400000.0,159527000000.0,185350850000.0,212578900000.0,208530780000.0,199518040000.0,231958840000.0,196633690000.0,206690450000.0,180291040000.0,178924100000.0,192763970000.0,202181850000.0,172539330000.0
2039.0,192756150000.0,204227840000.0,199498580000.0,209046440000.0,209001230000.0,218078330000.0,154485440000.0,180877080000.0,212691780000.0,205918000000.0,197046600000.0,230695850000.0,193244530000.0,203006300000.0,176873490000.0,173704230000.0,186762630000.0,200267730000.0,168033470000.0
2040.0,189002510000.0,199961030000.0,195534620000.0,205087770000.0,205699200000.0,217570410000.0,151210430000.0,177143890000.0,207943970000.0,200930660000.0,193938570000.0,228493670000.0,187163150000.0,197633560000.0,172319770000.0,171646390000.0,180646720000.0,197358850000.0,161381090000.0
2041.0,182841020000.0,196650630000.0,189696670000.0,201639900000.0,202334200000.0,213769300000.0,146137600000.0,172255080000.0,206487030000.0,198940740000.0,190245620000.0,226525500000.0,184704450000.0,193990850000.0,166095490000.0,168780230000.0,175880800000.0,193961350000.0,157645010000.0
2042.0,180502280000.0,192098680000.0,185375850000.0,196573610000.0,198806400000.0,211920550000.0,140757070000.0,167117880000.0,204637240000.0,197989880000.0,185347050000.0,222715000000.0,181835380000.0,191236390000.0,161300090000.0,165771870000.0,170643440000.0,188919740000.0,153599160000.0
2043.0,175385210000.0,185988400000.0,183780880000.0,193362560000.0,192701420000.0,210576210000.0,137668430000.0,164815960000.0,203758010000.0,194815100000.0,182459430000.0,223827980000.0,177400500000.0,186527450000.0,153632160000.0,164054560000.0,165843010000.0,183902910000.0,149033120000.0
2044.0,170292330000.0,179430030000.0,178851510000.0,188739960000.0,190592340000.0,206554050000.0,130812430000.0,162123190000.0,199996560000.0,192780090000.0,176213900000.0,222243520000.0,173699660000.0,182294840000.0,146751280000.0,160760450000.0,161092320000.0,178865060000.0,143539620000.0
2045.0,168268940000.0,172163120000.0,176332950000.0,185446660000.0,185422380000.0,202545760000.0,125588040000.0,157666360000.0,199343360000.0,189329880000.0,170536580000.0,218896660000.0,170342660000.0,178732520000.0,140521830000.0,160883080000.0,156260900000.0,176546170000.0,135326570000.0
2046.0,165492850000.0,167859320000.0,172754810000.0,180625560000.0,181968080000.0,200911420000.0,120959630000.0,155326560000.0,196576460000.0,185039730000.0,166091310000.0,214435560000.0,168235550000.0,174691630000.0,136862750000.0,158082290000.0,149573450000.0,172003340000.0,132609470000.0
2047.0,162152000000.0,161658800000.0,169537540000.0,176680300000.0,179056500000.0,196553400000.0,117263910000.0,149885800000.0,193966700000.0,179803600000.0,161272730000.0,212428540000.0,163836640000.0,170982700000.0,130283800000.0,154526470000.0,142782680000.0,168951000000.0,127654650000.0
2048.0,160100830000.0,158174900000.0,164729650000.0,172306920000.0,174046020000.0,192782660000.0,112716860000.0,145822170000.0,190490740000.0,176597250000.0,155796870000.0,208801000000.0,161756640000.0,168103350000.0,126285970000.0,151576500000.0,136938775000.0,165075270000.0,121959145000.0
2049.0,156856610000.0,152242630000.0,159640030000.0,169730440000.0,171102930000.0,189368060000.0,108279380000.0,142313770000.0,186041520000.0,173075150000.0,150877880000.0,205618840000.0,161358660000.0,165613240000.0,119848170000.0,145113840000.0,132051200000.0,160334280000.0,116563130000.0
2050.0,152704700000.0,149231480000.0,153261420000.0,164063600000.0,167544400000.0,185442100000.0,102442770000.0,137246790000.0,178698880000.0,167653880000.0,146440210000.0,201639900000.0,159813160000.0,163062550000.0,114972470000.0,141134900000.0,127124000000.0,156576560000.0,111898850000.0
2051.0,150088200000.0,146543260000.0,149491810000.0,158651630000.0,162421360000.0,183136760000.0,97866950000.0,132250850000.0,177220170000.0,163226910000.0,142140000000.0,198400660000.0,156791210000.0,161305800000.0,109529370000.0,138679370000.0,121806070000.0,153149880000.0,106427245000.0
2052.0,145782590000.0,143394200000.0,145661500000.0,154535970000.0,158886530000.0,180005190000.0,92493040000.0,128126720000.0,173112410000.0,157745770000.0,136852170000.0,195141650000.0,152102620000.0,158087730000.0,104502210000.0,136541190000.0,117024270000.0,149201500000.0,103123380000.0
2053.0,141703820000.0,138176680000.0,144077800000.0,148169800000.0,155055180000.0,176640740000.0,88882070000.0,123285410000.0,167440060000.0,151965990000.0,133088350000.0,190129200000.0,150008900000.0,152914640000.0,99819910000.0,132208665000.0,112180790000.0,146359190000.0,97978490000.0
2054.0,139004330000.0,131970330000.0,139842520000.0,145182620000.0,150412180000.0,171387700000.0,84335190000.0,116445120000.0,163593390000.0,149590850000.0,128653950000.0,188422600000.0,146611370000.0,150356660000.0,96809290000.0,129090945000.0,107764020000.0,140319000000.0,93221855000.0
2055.0,135602750000.0,128214160000.0,137980260000.0,139880820000.0,147272070000.0,164990400000.0,81220220000.0,111481140000.0,158970120000.0,146991550000.0,124905960000.0,184227580000.0,142377160000.0,146385910000.0,92016620000.0,126956330000.0,103023580000.0,134905280000.0,88203320000.0
2056.0,133144820000.0,125275620000.0,134855230000.0,133756060000.0,144090330000.0,156837170000.0,76227350000.0,107447560000.0,152345430000.0,143625080000.0,120989160000.0,180757280000.0,137670790000.0,144064790000.0,88883060000.0,123446140000.0,97904410000.0,134564480000.0,83334820000.0
2057.0,129704720000.0,120375796000.0,131844280000.0,130489620000.0,140413880000.0,152839750000.0,73271935000.0,102572850000.0,148537590000.0,139190680000.0,118699630000.0,179648450000.0,133300290000.0,141689750000.0,84327375000.0,120676884000.0,93583600000.0,128838110000.0,80377740000.0
2058.0,126716360000.0,118189190000.0,128522000000.0,126069750000.0,138050360000.0,150350270000.0,69630060000.0,98856520000.0,143777780000.0,137245530000.0,114235370000.0,176217030000.0,128756840000.0,140444450000.0,79727620000.0,119916200000.0,89339780000.0,124817890000.0,76330550000.0
2059.0,123575020000.0,114412230000.0,124177710000.0,122505220000.0,135202740000.0,146389290000.0,66251300000.0,94353220000.0,140970410000.0,132214140000.0,112328040000.0,174394800000.0,127831890000.0,139323210000.0,77364320000.0,117589550000.0,85200080000.0,122919390000.0,72487140000.0
2060.0,119544190000.0,109338490000.0,120663240000.0,115742300000.0,131567020000.0,143894090000.0,62443934000.0,90454884000.0,135309220000.0,127808676000.0,108024060000.0,172021680000.0,126011515000.0,135103630000.0,74259685000.0,114622880000.0,81384560000.0,118963230000.0,68159870000.0
2061.0,116917300000.0,105028760000.0,117617510000.0,112837150000.0,127308020000.0,140406700000.0,57510818000.0,85503540000.0,131232230000.0,124264235000.0,104857380000.0,169152630000.0,123629986000.0,131468210000.0,70306150000.0,112492470000.0,77180840000.0,114530080000.0,63674340000.0
2062.0,115228100000.0,100101650000.0,114075380000.0,108458690000.0,122956110000.0,137612970000.0,54262796000.0,81914356000.0,126932950000.0,118705880000.0,103077230000.0,165223170000.0,122040140000.0,129127290000.0,67526935000.0,109862070000.0,73446380000.0,111063680000.0,60658196000.0
2063.0,114318460000.0,95262680000.0,109854925000.0,105823265000.0,116321180000.0,134171540000.0,51412290000.0,78642240000.0,124068630000.0,116932240000.0,101073350000.0,160406490000.0,120153555000.0,126693450000.0,65994470000.0,107728070000.0,68829320000.0,107968774000.0,57619698000.0
2064.0,111351900000.0,90647500000.0,106157700000.0,102793370000.0,112755870000.0,131472350000.0,47717777000.0,75886890000.0,120907190000.0,111189230000.0,98374480000.0,157155540000.0,116950160000.0,124495750000.0,63497187000.0,106220370000.0,64418595000.0,106351215000.0,54788805000.0
2065.0,109025490000.0,87096320000.0,102120374000.0,98428715000.0,109410664000.0,125864935000.0,44384970000.0,72480700000.0,121111770000.0,108159560000.0,95377740000.0,153211390000.0,113862220000.0,119813520000.0,61073224000.0,104573550000.0,60809208000.0,103248810000.0,52745695000.0
2066.0,105828550000.0,83354750000.0,99093260000.0,95483765000.0,103242750000.0,121874940000.0,41611993000.0,69484044000.0,119655260000.0,103361100000.0,93215340000.0,148618540000.0,111357820000.0,117148190000.0,59507147000.0,101432115000.0,57332904000.0,98696940000.0,50602537000.0
2067.0,103372366000.0,78833030000.0,95880050000.0,90339020000.0,99512420000.0,117959770000.0,39602377000.0,65882587000.0,114681320000.0,99693460000.0,91254150000.0,143719730000.0,109440460000.0,113846230000.0,56818213000.0,97916110000.0,54185177000.0,96123290000.0,48864610000.0
2068.0,101082956000.0,75187240000.0,91922210000.0,87166570000.0,96874200000.0,115140840000.0,37045230000.0,61625320000.0,112204850000.0,96011470000.0,91672715000.0,139940480000.0,107962660000.0,110132600000.0,53668120000.0,96040100000.0,51060564000.0,93552700000.0,46776345000.0
2069.0,99217270000.0,71301456000.0,90607750000.0,83526470000.0,94069360000.0,112043350000.0,34713650000.0,57982690000.0,108951675000.0,94857690000.0,88816255000.0,135562530000.0,106580025000.0,106472000000.0,51202273000.0,95251170000.0,48106410000.0,90748850000.0,43889558000.0
2070.0,96463090000.0,68481724000.0,86025250000.0,79780900000.0,92548390000.0,107495270000.0,32346128000.0,54767360000.0,103455334000.0,92128580000.0,86118800000.0,131787660000.0,104422520000.0,102705680000.0,48656376000.0,93883110000.0,45443977000.0,89299630000.0,42000870000.0
2071.0,94081300000.0,66383260000.0,83380945000.0,77530490000.0,90179900000.0,102367610000.0,29407940000.0,51194765000.0,97904180000.0,89706600000.0,84115730000.0,129104270000.0,101467220000.0,99448960000.0,45995688000.0,91369980000.0,42856743000.0,86236226000.0,39897727000.0
2072.0,90657330000.0,63914115000.0,82135210000.0,73822120000.0,87729780000.0,99759194000.0,27754803000.0,48117273000.0,96301260000.0,86881650000.0,81186830000.0,126444930000.0,98114000000.0,95910400000.0,44273955000.0,87856380000.0,39770020000.0,84571970000.0,37478527000.0
2073.0,87894360000.0,60537807000.0,81427370000.0,69190430000.0,84001590000.0,95470950000.0,25682008000.0,45022400000.0,94131480000.0,84716140000.0,78462580000.0,122659340000.0,96003015000.0,92261230000.0,41773855000.0,85447110000.0,36698150000.0,80379820000.0,34936205000.0
2074.0,84434200000.0,57839886000.0,79807720000.0,65957070000.0,80595620000.0,91180340000.0,23882652000.0,42250880000.0,91142420000.0,81791115000.0,76413665000.0,118566750000.0,93437305000.0,88349610000.0,39351017000.0,83901340000.0,34642006000.0,77513900000.0,32900989000.0
2075.0,82287870000.0,54866158000.0,78326270000.0,61917843000.0,78917520000.0,89365496000.0,21769046000.0,39613825000.0,87155090000.0,78505260000.0,74188610000.0,115385020000.0,90733650000.0,84927250000.0,37511873000.0,80834880000.0,31559620000.0,75069980000.0,31118977000.0
2076.0,80076505000.0,52974050000.0,76965470000.0,58648564000.0,76680310000.0,85308840000.0,19710340000.0,36960965000.0,84823240000.0,76394540000.0,72124760000.0,112877990000.0,87744230000.0,82032830000.0,34967890000.0,77990980000.0,28495049000.0,72489880000.0,28683485000.0
2077.0,78484740000.0,50130670000.0,75001190000.0,55775980000.0,73986564000.0,81214810000.0,17978601000.0,34456773000.0,82030720000.0,73318540000.0,70339854000.0,110340235000.0,84272450000.0,78610440000.0,32516061000.0,75484950000.0,26059796000.0,69788180000.0,27024861000.0
2078.0,76577750000.0,46826607000.0,72797460000.0,52628940000.0,71971150000.0,76597400000.0,16368877000.0,32410808000.0,77436420000.0,71062600000.0,68978420000.0,107019080000.0,81317410000.0,74767294000.0,30340196000.0,73774190000.0,23780119000.0,66015660000.0,25587001000.0
2079.0,74192080000.0,43907117000.0,71158465000.0,50102096000.0,68931110000.0,72186085000.0,14984390000.0,30265086000.0,73952944000.0,68649378000.0,67371344000.0,103968920000.0,78827454000.0,72427260000.0,28542484000.0,70996040000.0,20831844000.0,64285950000.0,23583110000.0
2080.0,72440030000.0,41004300000.0,68292310000.0,47014576000.0,68425978000.0,68658713000.0,13319925000.0,28211112000.0,69971170000.0,66495738000.0,65694413000.0,99285160000.0,76438340000.0,69830850000.0,26538226000.0,67880610000.0,18772732000.0,60651565000.0,21879132000.0
2081.0,70393000000.0,37862113000.0,65885696000.0,43697852000.0,66179363000.0,63608410000.0,11936662000.0,26169448000.0,67151323000.0,63397024000.0,64235280000.0,97724560000.0,75289625000.0,66919380000.0,24908868000.0,66685256000.0,16653188000.0,58362910000.0,20349487000.0
2082.0,67860677000.0,36091950000.0,63550865000.0,41327923000.0,63962430000.0,60151270000.0,10793188000.0,24096113000.0,64832176000.0,60871885000.0,64136160000.0,94329690000.0,73469230000.0,64336097000.0,22724000000.0,64937160000.0,14712367000.0,55363800000.0,18842352000.0
2083.0,64863660000.0,33596103000.0,61630310000.0,37683300000.0,61931114000.0,56425270000.0,9659913000.0,22040959000.0,63230636000.0,57134993000.0,62446666000.0,90480830000.0,70558520000.0,60749525000.0,20653935000.0,64395588000.0,13079324000.0,52470055000.0,17481370000.0
2084.0,62907710000.0,31325256000.0,59773410000.0,35347750000.0,59599516000.0,53919040000.0,8464441300.0,20398900000.0,61364440000.0,54563180000.0,61550277000.0,88548155000.0,68572176000.0,58522153000.0,18915377000.0,61821680000.0,11898982000.0,49389810000.0,16061918000.0
2085.0,60905530000.0,29254638000.0,56414056000.0,32105292000.0,57669325000.0,51749680000.0,7339489000.0,18396350000.0,59262673000.0,52390580000.0,60507107000.0,86568030000.0,66934006000.0,56573090000.0,16785741000.0,60470215000.0,10672774000.0,46119612000.0,15138405000.0
2086.0,58315334000.0,27229479000.0,53372383000.0,29754081000.0,56000885000.0,48652940000.0,6651344000.0,16444586000.0,55897326000.0,50776146000.0,58915980000.0,84875450000.0,64758362000.0,53717172000.0,15118306000.0,59521446000.0,9293434000.0,44050050000.0,13907198000.0
2087.0,56838046000.0,25152979000.0,50967888000.0,27483337000.0,52471235000.0,45856666000.0,6070012000.0,14572866000.0,52851670000.0,48344580000.0,57361023000.0,83507010000.0,62983516000.0,52102697000.0,13403307000.0,56948937000.0,8182650000.0,41814688000.0,12840724000.0
2088.0,54882963000.0,23833240000.0,49391490000.0,25507287000.0,49917518000.0,42982244000.0,5515422700.0,12986667000.0,50316825000.0,46051270000.0,55474350000.0,81530490000.0,61593430000.0,49759183000.0,11883870000.0,54957680000.0,6924555000.0,39035163000.0,11914003000.0
2089.0,52643148000.0,22099630000.0,46953038000.0,23320752000.0,48558640000.0,40498580000.0,4719833600.0,11717956000.0,46644433000.0,43617042000.0,52967720000.0,79464390000.0,59486410000.0,46598040000.0,10669996000.0,54186970000.0,6064000500.0,37742133000.0,11107855000.0
2090.0,51102237000.0,20329292000.0,45192995000.0,21618035000.0,47746646000.0,38926420000.0,4143687400.0,10184075000.0,43880270000.0,41944760000.0,51171730000.0,76275540000.0,56774636000.0,44891250000.0,9369330000.0,53074645000.0,5175823400.0,35715703000.0,10029848000.0
2091.0,49301010000.0,18862540000.0,42795630000.0,19208638000.0,45668758000.0,36875580000.0,3636008000.0,8769806000.0,42084200000.0,40087650000.0,49777635000.0,75075270000.0,53848020000.0,42734776000.0,8129109500.0,51442647000.0,4432502300.0,33607944000.0,8874871000.0
2092.0,46937640000.0,17286988000.0,40389566000.0,17554661000.0,43965997000.0,34993450000.0,3079151900.0,7635024400.0,40643834000.0,37541950000.0,48622490000.0,72973206000.0,51981033000.0,40985310000.0,7101137400.0,50036450000.0,3744556500.0,31509422000.0,8285523000.0
2093.0,44178610000.0,15997674000.0,39373400000.0,15884594000.0,42846577000.0,32718907000.0,2694274000.0,6511881700.0,37986603000.0,35459576000.0,47322505000.0,71229410000.0,50702066000.0,38434210000.0,6182396000.0,48523346000.0,3152035600.0,29395177000.0,7428691500.0
2094.0,41677330000.0,14418491000.0,37623260000.0,14159801000.0,40228840000.0,30881243000.0,2362676000.0,5529790000.0,35842343000.0,34204396000.0,46261940000.0,68739190000.0,48925170000.0,36959380000.0,5333822500.0,46783350000.0,2649906700.0,27457650000.0,6803305000.0
2095.0,39744467000.0,13212464000.0,35870814000.0,12656628000.0,38451413000.0,29306456000.0,2055555000.0,4687491600.0,33787011000.0,32393888000.0,44956656000.0,66276130000.0,47174644000.0,35583656000.0,4645304300.0,45990830000.0,2145320700.0,25512376000.0,6300511000.0
2096.0,38090973000.0,11870213000.0,34837205000.0,11481062000.0,37125853000.0,26923166000.0,1808360300.0,3951820000.0,31226204000.0,30352394000.0,44698653000.0,64803340000.0,45245660000.0,34124722000.0,4064873700.0,44462200000.0,1571176100.0,23660476000.0,5780263400.0
2097.0,36466168000.0,10434425000.0,32703860000.0,10123341000.0,35128947000.0,25343179000.0,1649118500.0,3327551000.0,29640092000.0,28581908000.0,43306877000.0,62209475000.0,42809950000.0,32265884000.0,3532919300.0,42748817000.0,1148790700.0,22031034000.0,5225552400.0
