time,CCSM4,CSIRO-Mk3-6-0,MPI-ESM-LR
2000,8161364449270.23,8161364449270.23,8161364449270.23
2001,8148617675729.081,8146763973002.959,8143010070819.145
2002,8110449211511.67,8134124773770.489,8135701457726.045
2003,8092963708118.374,8119954884210.935,8121049648972.75
2004,8086600108394.359,8101643659439.611,8111757719419.52
2005,8073986008055.95,8088538065273.832,8092039075079.67
2006,8054977115024.413,8066782025901.224,8088038516218.933
2007,8035441161036.999,8041330183608.431,8073055653024.342
2008,8014772293954.3955,8023293570211.931,8061084741980.516
2009,8007310612307.428,8005460950453.3125,8047811372812.971
2010,7988896830802.604,7979819675192.832,8036581397618.797
2011,7978622089585.658,7959006409936.57,8021576214321.156
2012,7970824937802.943,7937934520682.162,8004774343283.331
2013,7954452577162.713,7913996707645.425,7988154451098.729
2014,7943297928293.95,7902214472029.586,7969846577272.77
2015,7927966589148.404,7890620520743.814,7947826299689.715
2016,7903656530085.353,7868387725801.705,7917929286938.394
2017,7888982708373.45,7854066819901.317,7901163534601.27
2018,7869184900156.8125,7836660676769.976,7875084301545.312
2019,7853820573662.974,7825304612074.699,7840988179600.82
2020,7824518389245.905,7809856216658.531,7822778315100.577
2021,7806119941042.925,7792064890573.823,7799196863314.471
2022,7789611201620.876,7777846823762.421,7782391320771.235
2023,7770639379647.975,7758506421196.848,7764588248187.745
2024,7740740283430.795,7719281618832.299,7732384161321.76
2025,7707852648655.126,7693003140061.733,7707714150421.614
2026,7688829470319.489,7672835523473.382,7670110510616.838
2027,7668898717083.776,7662411151469.445,7646716104613.498
2028,7656341712899.241,7646481039330.467,7624745745401.859
2029,7640013856710.96,7633004127612.225,7602582054992.87
2030,7624887957085.114,7583969775185.917,7570184652507.647
2031,7610622200655.175,7547030419081.9375,7545075074567.397
2032,7578890375870.463,7531735881495.266,7528523133832.543
2033,7559398845147.137,7515890430927.024,7504252676452.981
2034,7544501381897.4,7492277293422.152,7482513433780.59
2035,7523461497237.931,7467404032512.943,7451337959106.474
2036,7485934797920.822,7428917492172.411,7428500576190.208
2037,7469531697659.942,7398871772534.058,7402869324200.965
2038,7452277813383.834,7378500018304.266,7373007360200.8
2039,7425790007714.853,7355094698539.158,7348999411834.691
2040,7411199503672.805,7333921589393.968,7313696355719.782
2041,7398855951007.113,7307110829986.691,7277896790984.41
2042,7387647029431.879,7280448605269.018,7241244773494.035
2043,7363124401222.935,7258612592679.514,7204620066038.74
2044,7335475525308.1455,7231329914417.806,7163464632058.065
2045,7319115312657.241,7190697706008.297,7133067505829.3
2046,7298219984304.781,7155638186716.292,7100648017914.328
2047,7273548591915.709,7122684249507.863,7075119723995.034
2048,7239089295298.088,7088831445663.522,7048232462945.408
2049,7210161447363.321,7059181595633.366,7021091974139.43
2050,7196600586603.44,7028052836412.592,6969265772241.937
2051,7163815190470.567,7002644252344.02,6923765398278.203
2052,7106858117362.467,6965454965288.477,6889543987369.821
2053,7083954890725.144,6926043935700.029,6855339025053.898
2054,7027129448378.543,6898638337048.965,6821026471764.372
2055,6989352864875.467,6869970282105.819,6784671033822.844
2056,6967586769845.015,6844863311052.815,6740622415445.319
2057,6923707290579.8545,6819588094327.1875,6687921792557.65
2058,6876898576334.094,6793951223803.29,6656268712397.066
2059,6822145267784.666,6773683323590.819,6618966681809.913
2060,6773789079392.072,6744982834171.929,6589948311734.121
2061,6750868825722.011,6713801043367.791,6549518307384.846
2062,6720290490105.551,6606474595201.752,6502533362959.435
2063,6689183552096.961,6578253213631.067,6466500624611.799
2064,6646186832929.857,6523758614924.483,6423150320599.385
2065,6603500429813.611,6470698844975.626,6386393869285.499
2066,6559453517352.026,6407827128723.902,6345632081240.487
2067,6502971061435.833,6368652295557.54,6309114861651.115
2068,6454005669707.532,6314904232378.971,6263092554036.368
2069,6364870447155.583,6243024462278.995,6214988558639.554
2070,6288991557644.091,6179554413795.191,6160828076927.76
2071,6237524602301.787,6139711529362.059,6119908291276.408
2072,6207018889522.452,6017686950730.502,6083648635026.458
2073,6164858689945.726,5962371226289.132,6042400772991.961
2074,6116562965111.923,5810124559767.537,5984715805975.535
2075,6059856937599.229,5735704603985.822,5938784784550.955
2076,6000778598536.268,5611085298108.885,5894596754361.26
2077,5937263799915.866,5532246563483.386,5862007968553.175
2078,5874661825572.074,5458564687105.3545,5808332772578.569
2079,5754889720976.263,5357538182727.727,5766997113443.607
2080,5610888341695.345,5269086379981.974,5724943130333.166
