time,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR
2041.0,537974570000.0,490425400000.0,471611200000.0,366764460000.0,453060530000.0
2042.0,533535230000.0,489967420000.0,456301640000.0,347843660000.0,430518300000.0
2043.0,532035900000.0,482616100000.0,443533070000.0,335070430000.0,409616940000.0
2044.0,523653100000.0,472427300000.0,428644800000.0,323738760000.0,402769350000.0
2045.0,507560130000.0,456831430000.0,418281780000.0,308415070000.0,387340730000.0
2046.0,498530550000.0,445216200000.0,402810100000.0,296579400000.0,377174950000.0
2047.0,487644170000.0,431273440000.0,398969900000.0,287136250000.0,363468650000.0
2048.0,474997230000.0,429418120000.0,382462360000.0,276501430000.0,349328100000.0
2049.0,467508660000.0,419484240000.0,371227700000.0,266479630000.0,336128380000.0
2050.0,460745640000.0,405363000000.0,357376070000.0,254637950000.0,322361260000.0
2051.0,449178700000.0,399440020000.0,353158700000.0,247474060000.0,306705140000.0
2052.0,439479730000.0,389914820000.0,343276400000.0,236810620000.0,295730500000.0
2053.0,426560060000.0,380308900000.0,328792000000.0,229063020000.0,285751280000.0
2054.0,416824500000.0,369740550000.0,321297840000.0,221346860000.0,267322430000.0
2055.0,400065130000.0,362723180000.0,311035330000.0,217801720000.0,258046020000.0
2056.0,388153200000.0,351476600000.0,307735000000.0,215461100000.0,247886180000.0
2057.0,373650000000.0,340213700000.0,304750360000.0,207448560000.0,240325300000.0
2058.0,358278140000.0,333667800000.0,297480680000.0,198611940000.0,227156310000.0
2059.0,346702970000.0,317844500000.0,289959300000.0,195056900000.0,218807750000.0
2060.0,334021820000.0,310153120000.0,279973900000.0,185063310000.0,209780850000.0
2061.0,318682600000.0,290361480000.0,271049240000.0,175860680000.0,203015960000.0
2062.0,313598380000.0,279601970000.0,269251170000.0,169542500000.0,198515690000.0
2063.0,301383350000.0,270970590000.0,259712600000.0,163638300000.0,195903110000.0
2064.0,290845700000.0,258906830000.0,250398230000.0,158051160000.0,189274100000.0
