time,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0
2041.0,509627100000.0,401348900000.0,457287900000.0,458840340000.0,394550300000.0
2042.0,498962170000.0,378803850000.0,439649800000.0,451304950000.0,380388540000.0
2043.0,487367400000.0,355479980000.0,423123200000.0,440855170000.0,369011650000.0
2044.0,474740500000.0,344282800000.0,411076130000.0,427351400000.0,351333100000.0
2045.0,467931760000.0,326048450000.0,396309530000.0,419620200000.0,337283600000.0
2046.0,452399860000.0,308504820000.0,384594440000.0,407592700000.0,322994470000.0
2047.0,437220670000.0,295032360000.0,371369380000.0,395130270000.0,308872680000.0
2048.0,428134700000.0,286457700000.0,354590160000.0,382480880000.0,292244650000.0
2049.0,417137300000.0,273884800000.0,341748200000.0,374536700000.0,279892200000.0
2050.0,406814130000.0,259646720000.0,327463500000.0,362583720000.0,274347560000.0
2051.0,383831000000.0,243574400000.0,312275960000.0,346955940000.0,268483940000.0
2052.0,377151030000.0,235104390000.0,299885630000.0,336209280000.0,256741160000.0
2053.0,362458200000.0,216744250000.0,278599100000.0,328242630000.0,244914770000.0
2054.0,350950200000.0,202665970000.0,265479770000.0,316181020000.0,237752340000.0
2055.0,340283900000.0,191083760000.0,256710480000.0,301283740000.0,227070660000.0
2056.0,329455140000.0,178325780000.0,244006850000.0,293022370000.0,214077600000.0
2057.0,317641620000.0,166226850000.0,232571930000.0,286325340000.0,205518200000.0
2058.0,304861050000.0,155971670000.0,219381890000.0,279560800000.0,194815870000.0
2059.0,296404320000.0,146898220000.0,212438370000.0,264442480000.0,192837520000.0
2060.0,290415440000.0,145888600000.0,197032300000.0,251659490000.0,192301150000.0
2061.0,275840570000.0,137411265000.0,189930160000.0,242845190000.0,189203320000.0
2062.0,267668140000.0,133334540000.0,181736750000.0,230061100000.0,185167300000.0
2063.0,260526740000.0,125848330000.0,173473300000.0,225018430000.0,180180030000.0
2064.0,252079550000.0,119987356000.0,160801130000.0,217346520000.0,176459280000.0
2065.0,248522030000.0,112813015000.0,149751070000.0,206531260000.0,167728510000.0
2066.0,245631900000.0,109636240000.0,138889990000.0,199080620000.0,163621340000.0
2067.0,239623450000.0,102647480000.0,127396880000.0,192086110000.0,157241570000.0
2068.0,230629130000.0,100289300000.0,116664525000.0,182510140000.0,155098120000.0
2069.0,229457760000.0,96352200000.0,108936790000.0,174686810000.0,148763790000.0
2070.0,222190270000.0,93741870000.0,104367990000.0,165959810000.0,139984910000.0
2071.0,215521000000.0,87363550000.0,100107320000.0,158195250000.0,137971560000.0
2072.0,206149270000.0,85008410000.0,94420680000.0,151710630000.0,130371200000.0
2073.0,204965530000.0,79980280000.0,88979325000.0,142239920000.0,127223890000.0
2074.0,196557000000.0,74666360000.0,85611590000.0,136401760000.0,120404976000.0
2075.0,189233680000.0,70823180000.0,80425500000.0,128426800000.0,116004090000.0
2076.0,180895400000.0,68436783000.0,77036720000.0,122312890000.0,115859415000.0
2077.0,173051310000.0,64469930000.0,70196896000.0,118122955000.0,111092150000.0
2078.0,167628960000.0,62447833000.0,64562414000.0,114545500000.0,108327000000.0
2079.0,162553040000.0,58713395000.0,59241740000.0,111072575000.0,103457090000.0
2080.0,159741800000.0,56475110000.0,54826697000.0,107175910000.0,97873306000.0
2081.0,153678380000.0,53986533000.0,51554968000.0,104611520000.0,93870490000.0
2082.0,151459510000.0,51418116000.0,46634850000.0,105476415000.0,91760490000.0
2083.0,149894100000.0,48725190000.0,43755960000.0,104070275000.0,86487800000.0
2084.0,142361720000.0,46347338000.0,40765590000.0,101699070000.0,83465460000.0
2085.0,138030530000.0,43090354000.0,38462190000.0,98878730000.0,79647920000.0
2086.0,135565510000.0,40791180000.0,37563175000.0,96506800000.0,78059170000.0
2087.0,131752780000.0,38256108000.0,35399176000.0,94618760000.0,78142145000.0
2088.0,124385730000.0,36477063000.0,32916265000.0,92408816000.0,74384190000.0
2089.0,118958326000.0,34239870000.0,31458664000.0,91113120000.0,72578270000.0
2090.0,117194740000.0,32063355000.0,29679077000.0,89775000000.0,70140450000.0
2091.0,112580020000.0,30167382000.0,26623916000.0,85269570000.0,69226030000.0
2092.0,107895150000.0,29490899000.0,26045630000.0,81693426000.0,68099460000.0
2093.0,102973020000.0,29382773000.0,25563548000.0,80219540000.0,65150460000.0
2094.0,101843304000.0,28113230000.0,24743539000.0,76910010000.0,63528526000.0
2095.0,98412590000.0,26681213000.0,23498934000.0,76874790000.0,62003620000.0
2096.0,94748620000.0,25070166000.0,22069275000.0,73003820000.0,62751210000.0
2097.0,90740875000.0,23021572000.0,21206987000.0,68887740000.0,58992234000.0
2098.0,88655634000.0,21766429000.0,21162064000.0,66602455000.0,56594645000.0
2099.0,87575520000.0,21472467000.0,20024965000.0,63182807000.0,55227085000.0
2100.0,86335990000.0,21217150000.0,19184622000.0,61489287000.0,54455017000.0
