time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,55872213000.0,54060188000.0,53740855000.0,52560736000.0,53591245000.0
2022.0,56746877000.0,57143170000.0,52446147000.0,52480274000.0,51613073000.0
2023.0,56261054000.0,55765470000.0,53258760000.0,50471408000.0,50724102000.0
2024.0,56607814000.0,52489155000.0,51707460000.0,48808206000.0,49935356000.0
2025.0,57375625000.0,50957197000.0,51507163000.0,49246114000.0,51532067000.0
2026.0,56271622000.0,50325010000.0,51443667000.0,49131630000.0,52514020000.0
2027.0,55256076000.0,50180180000.0,49258130000.0,48547610000.0,50072723000.0
2028.0,52420730000.0,49389416000.0,45905140000.0,47915397000.0,48084960000.0
2029.0,50604830000.0,49656620000.0,44320666000.0,48532490000.0,47493080000.0
2030.0,49688175000.0,49051190000.0,42561827000.0,45894038000.0,45448140000.0
2031.0,48792113000.0,48208703000.0,40624968000.0,45027123000.0,45242204000.0
2032.0,47771943000.0,49021452000.0,37849522000.0,44429062000.0,45449590000.0
2033.0,48038253000.0,48000470000.0,37427364000.0,41950527000.0,46379980000.0
2034.0,47953125000.0,48332276000.0,36367622000.0,41728790000.0,47591770000.0
2035.0,49313833000.0,47660340000.0,36128248000.0,41599790000.0,47002698000.0
2036.0,48959260000.0,47368880000.0,35292336000.0,40132860000.0,45765580000.0
2037.0,50067720000.0,48858970000.0,32772653000.0,39509176000.0,43849490000.0
2038.0,50957860000.0,50122346000.0,32727718000.0,40398467000.0,43664097000.0
2039.0,49797420000.0,50408235000.0,32836286000.0,40701130000.0,43277280000.0
2040.0,50166030000.0,50295964000.0,33282826000.0,39191527000.0,43852554000.0
2041.0,49047523000.0,50584146000.0,33515620000.0,37286363000.0,42105820000.0
2042.0,48684663000.0,49732764000.0,32539238000.0,37104824000.0,40558043000.0
2043.0,48076290000.0,49034500000.0,32143966000.0,36440277000.0,41108650000.0
2044.0,48581042000.0,48583010000.0,31144430000.0,35953110000.0,40327890000.0
2045.0,49842385000.0,47364436000.0,30807943000.0,34128062000.0,40199287000.0
2046.0,51038212000.0,48292848000.0,31017153000.0,34066698000.0,40288633000.0
2047.0,49982850000.0,48341380000.0,31477154000.0,32980902000.0,41709610000.0
2048.0,48916005000.0,48461185000.0,30230993000.0,31755110000.0,41297744000.0
2049.0,48381637000.0,47154147000.0,29765698000.0,30661579000.0,39691820000.0
2050.0,47639368000.0,46145220000.0,30382540000.0,29144064000.0,39653487000.0
2051.0,45309770000.0,44743786000.0,29690272000.0,27847502000.0,39243104000.0
2052.0,45529416000.0,45090030000.0,29809986000.0,26180458000.0,40105316000.0
2053.0,45999110000.0,44943690000.0,31527440000.0,26126453000.0,39081560000.0
