time,CCSM4,CSIRO-Mk3-6-0,MPI-ESM-LR
2000,17355628967951.596,17355628967951.596,17355628967951.596
2001,17328493671819.133,17311107576828.0,17324195759513.549
2002,17298981696071.498,17272275193880.965,17293779141205.674
2003,17275051766048.113,17239593689110.16,17259659622864.262
2004,17247806855891.434,17204332545247.332,17219884499629.453
2005,17220816957357.906,17174147992950.941,17179988415927.94
2006,17190588886840.2,17120752255767.256,17150402545086.76
2007,17156637845315.533,17086877170813.97,17114378884675.129
2008,17124547993490.818,17043146705608.24,17079509506931.434
2009,17098184148805.346,17012610231275.914,17043355331436.406
2010,17067672262161.615,16983854504924.732,17010488439518.861
2011,17040577571984.77,16950994362159.824,16981502772815.469
2012,17015151589134.09,16908869883031.164,16952151626093.55
2013,16984332123137.68,16879040414722.455,16924809499791.742
2014,16952587504065.38,16851602053443.902,16892262172958.293
2015,16901810973531.504,16822569136629.21,16857653860873.117
2016,16870871070114.047,16783659606215.502,16821397796241.607
2017,16824940278621.957,16753309682610.87,16790549832807.135
2018,16778034744315.602,16720966343168.797,16756245054563.953
2019,16723681778045.246,16689598028142.191,16690584824463.732
2020,16650922984619.254,16663071475527.818,16658475300845.965
2021,16618149439910.479,16620958543414.979,16625202646919.955
2022,16580003036314.525,16597144966740.098,16577376622608.613
2023,16550654287718.78,16557533762417.47,16522393923155.47
2024,16509351159328.908,16507613343048.623,16490121192640.4
2025,16468879594096.748,16473860640354.012,16461066847974.828
2026,16431173716435.543,16443643331190.074,16408700723678.451
2027,16403651302985.865,16413575751591.85,16373427480857.066
2028,16372690845181.568,16379788251680.688,16331539227476.58
2029,16337438855491.844,16348264165247.57,16288828542391.344
2030,16304093806081.73,16306787738280.732,16247178502453.668
2031,16265309345792.074,16270502497045.215,16208037253403.402
2032,16225836312143.172,16236019280551.578,16161963642626.396
2033,16193733519195.816,16205615037775.371,16108037300582.262
2034,16160411103399.771,16175001588850.51,16066536730113.248
2035,16132264679123.898,16144185965023.775,16035633408563.873
2036,16087486605999.56,16104270745451.2,15989977202106.957
2037,16060479861586.547,16060407100478.984,15933279692356.28
2038,16033814680833.441,16023114642251.854,15897825046620.617
2039,15995526699006.826,15995170105830.209,15839577481432.24
2040,15970373417453.803,15965703374232.932,15801859690396.148
