time,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8,EC-EARTH3,EC-EARTH3-VEG,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM
2028.0,3408104500000.0,3278996500000.0,3301266700000.0,3372587200000.0,3222758000000.0,3348921000000.0,3264683200000.0,3337680600000.0,3326690700000.0,3370175400000.0,3351402500000.0,3344206700000.0,3405546300000.0
2029.0,3396019000000.0,3240503500000.0,3280537600000.0,3368794200000.0,3203032700000.0,3345729500000.0,3224654000000.0,3323517200000.0,3314122800000.0,3358365800000.0,3345372200000.0,3329004100000.0,3389680800000.0
2030.0,3395294300000.0,3215445700000.0,3251861000000.0,3362217000000.0,3182572300000.0,3329645000000.0,3197193200000.0,3299451600000.0,3292416700000.0,3355060500000.0,3335817800000.0,3311736000000.0,3382619700000.0
2031.0,3376254300000.0,3180609100000.0,3223263600000.0,3345881000000.0,3153807500000.0,3308833000000.0,3171969400000.0,3278183300000.0,3276021700000.0,3350605300000.0,3320996000000.0,3297596700000.0,3379822900000.0
2032.0,3366657500000.0,3157341000000.0,3209424500000.0,3341118600000.0,3131782200000.0,3284692000000.0,3152580200000.0,3265171600000.0,3263710400000.0,3339303500000.0,3305730200000.0,3279257900000.0,3371406000000.0
2033.0,3372447000000.0,3140326800000.0,3168458200000.0,3325632200000.0,3110726300000.0,3267682400000.0,3132771500000.0,3254495000000.0,3238827000000.0,3325842000000.0,3297257000000.0,3265569200000.0,3369521000000.0
2034.0,3359406300000.0,3121708000000.0,3133435000000.0,3314919100000.0,3072467400000.0,3249688800000.0,3097124000000.0,3240916700000.0,3221374000000.0,3310741000000.0,3280451100000.0,3250910700000.0,3350354500000.0
2035.0,3348003300000.0,3088858500000.0,3096029000000.0,3294585000000.0,3042039600000.0,3232738800000.0,3067582300000.0,3225500000000.0,3196167400000.0,3285675100000.0,3269399000000.0,3243498800000.0,3340906800000.0
2036.0,3332293000000.0,3068919300000.0,3059764700000.0,3277823700000.0,3017798600000.0,3216057000000.0,3035012000000.0,3219509700000.0,3170153300000.0,3273583500000.0,3259243200000.0,3226591800000.0,3337286000000.0
2037.0,3323495000000.0,3038843000000.0,3029663700000.0,3262006200000.0,2991195200000.0,3203675500000.0,3006080200000.0,3214508000000.0,3158265300000.0,3247416500000.0,3252868600000.0,3204969100000.0,3324272200000.0
2038.0,3304459300000.0,3014406000000.0,3004508700000.0,3240652000000.0,2961152100000.0,3193393600000.0,2984693000000.0,3195684000000.0,3147918000000.0,3226691000000.0,3242681000000.0,3187114800000.0,3308954800000.0
2039.0,3295466700000.0,2992861600000.0,2960689500000.0,3227673700000.0,2933226000000.0,3184254000000.0,2953793200000.0,3176174700000.0,3130284600000.0,3206172400000.0,3228251200000.0,3172071000000.0,3289758800000.0
2040.0,3282996800000.0,2967596200000.0,2925311600000.0,3221460000000.0,2887108500000.0,3168427800000.0,2918745600000.0,3167537300000.0,3115238600000.0,3179246000000.0,3226482800000.0,3151406300000.0,3275167400000.0
2041.0,3254787800000.0,2937530400000.0,2895476400000.0,3212289000000.0,2853676800000.0,3167984000000.0,2888908400000.0,3158749200000.0,3098804500000.0,3162129800000.0,3213605700000.0,3138449000000.0,3272470700000.0
2042.0,3233971400000.0,2912687000000.0,2857002600000.0,3199181800000.0,2822877700000.0,3141071500000.0,2857804500000.0,3135588500000.0,3079556300000.0,3147440800000.0,3197863700000.0,3128247700000.0,3258549000000.0
2043.0,3210129700000.0,2890960500000.0,2826427400000.0,3182857000000.0,2781678700000.0,3116882200000.0,2818702600000.0,3126120400000.0,3049614000000.0,3121456000000.0,3185736700000.0,3117436400000.0,3234384800000.0
2044.0,3202325200000.0,2855580000000.0,2798916700000.0,3164674500000.0,2737296600000.0,3089577000000.0,2790535000000.0,3118079700000.0,3029292000000.0,3088150200000.0,3173202300000.0,3109019200000.0,3222493000000.0
2045.0,3187269200000.0,2827332600000.0,2762457500000.0,3147263600000.0,2698097200000.0,3074771600000.0,2768553600000.0,3099921200000.0,3003547400000.0,3059369600000.0,3154984800000.0,3086278700000.0,3215050400000.0
2046.0,3173131500000.0,2804307000000.0,2731941800000.0,3125137000000.0,2663873200000.0,3053507000000.0,2748716700000.0,3086824200000.0,2987756000000.0,3028335500000.0,3133432100000.0,3070308400000.0,3193557700000.0
2047.0,3145111700000.0,2781000500000.0,2703323300000.0,3102445000000.0,2629576000000.0,3030800100000.0,2718830200000.0,3064268300000.0,2962009400000.0,2996830700000.0,3105254500000.0,3050913100000.0,3176564800000.0
2048.0,3116149800000.0,2756321000000.0,2672757300000.0,3090123000000.0,2591865200000.0,3012055000000.0,2685333400000.0,3059284400000.0,2939121800000.0,2973741600000.0,3085456000000.0,3030080600000.0,3159594000000.0
2049.0,3089482600000.0,2712665600000.0,2648298200000.0,3053662500000.0,2552746700000.0,2985305300000.0,2656188500000.0,3045357300000.0,2924736700000.0,2944453300000.0,3068092000000.0,3015240000000.0,3134874000000.0
2050.0,3070250200000.0,2672047400000.0,2619175600000.0,3041580300000.0,2512061200000.0,2953952400000.0,2624475000000.0,3034380500000.0,2901327000000.0,2910379000000.0,3039392000000.0,2999939500000.0,3118762300000.0
2051.0,3053755600000.0,2630239400000.0,2588451000000.0,3008495000000.0,2477353300000.0,2927857800000.0,2605394700000.0,3032730600000.0,2888255400000.0,2878038300000.0,3025118200000.0,2981517600000.0,3096865000000.0
2052.0,3034560600000.0,2595526500000.0,2557381400000.0,2979310900000.0,2446434500000.0,2901975800000.0,2585566600000.0,3011397000000.0,2852936700000.0,2851681600000.0,3004721500000.0,2965449000000.0,3077475000000.0
2053.0,3017048900000.0,2570624400000.0,2540994800000.0,2951686000000.0,2410133800000.0,2869628500000.0,2558451300000.0,2998719000000.0,2835642000000.0,2812694000000.0,2982270200000.0,2952860800000.0,3054492500000.0
2054.0,3004013000000.0,2531213200000.0,2525568400000.0,2913507200000.0,2364400500000.0,2830052400000.0,2529663600000.0,2994010000000.0,2811249600000.0,2777952600000.0,2952098200000.0,2933944700000.0,3039003700000.0
2055.0,2993246200000.0,2498801700000.0,2512575000000.0,2891980200000.0,2325678400000.0,2800869000000.0,2503877000000.0,2979889700000.0,2781263700000.0,2740360000000.0,2921480300000.0,2914689500000.0,3019900000000.0
2056.0,2978450200000.0,2461762800000.0,2492361000000.0,2865706800000.0,2292880800000.0,2768232500000.0,2477795300000.0,2966512500000.0,2757422500000.0,2707623800000.0,2901269800000.0,2897967800000.0,3000634200000.0
2057.0,2966185300000.0,2422187000000.0,2472722600000.0,2844137400000.0,2249923800000.0,2743817500000.0,2446351700000.0,2955964000000.0,2726079200000.0,2672930300000.0,2881616600000.0,2880750000000.0,2982967800000.0
2058.0,2953810500000.0,2392595600000.0,2459855500000.0,2824356800000.0,2207864300000.0,2714084000000.0,2423897700000.0,2943368800000.0,2693420300000.0,2642281500000.0,2854960000000.0,2863070400000.0,2961918100000.0
2059.0,2938055400000.0,2359620500000.0,2432896900000.0,2792060400000.0,2173117800000.0,2680891400000.0,2396261000000.0,2932170800000.0,2675273400000.0,2609466600000.0,2832429000000.0,2840448700000.0,2934023000000.0
2060.0,2928503000000.0,2321996800000.0,2414059200000.0,2771324800000.0,2140943000000.0,2653345800000.0,2381428800000.0,2921595000000.0,2659129200000.0,2578884300000.0,2804936900000.0,2820055000000.0,2920374000000.0
2061.0,2911211600000.0,2293510700000.0,2389383600000.0,2749041000000.0,2108854100000.0,2622655000000.0,2357717400000.0,2912391500000.0,2630955300000.0,2554454900000.0,2772797000000.0,2801231200000.0,2901312800000.0
2062.0,2896608400000.0,2267825600000.0,2358038800000.0,2726053500000.0,2065214000000.0,2585574200000.0,2327475000000.0,2899362000000.0,2608267000000.0,2531391700000.0,2746426600000.0,2784318500000.0,2878126200000.0
2063.0,2877198400000.0,2241676000000.0,2335967800000.0,2705039800000.0,2025509500000.0,2556538400000.0,2303089200000.0,2884721700000.0,2574377500000.0,2503579000000.0,2719557400000.0,2768533200000.0,2856117300000.0
2064.0,2865175700000.0,2219596800000.0,2310241000000.0,2680931000000.0,1993727800000.0,2524205800000.0,2281513400000.0,2874490200000.0,2553389000000.0,2474531400000.0,2691080000000.0,2751147800000.0,2841739000000.0
2065.0,2843633000000.0,2207240700000.0,2281653400000.0,2653872700000.0,1962483000000.0,2480726300000.0,2255589500000.0,2870201000000.0,2539628800000.0,2436064000000.0,2666718000000.0,2734514800000.0,2825894500000.0
2066.0,2823706600000.0,2186914700000.0,2253411000000.0,2628363700000.0,1925206900000.0,2444854300000.0,2233901500000.0,2863157500000.0,2526855800000.0,2404028000000.0,2638529700000.0,2718967800000.0,2798029600000.0
2067.0,2805073400000.0,2165272300000.0,2233691000000.0,2604699500000.0,1889270400000.0,2403457800000.0,2214596400000.0,2850779600000.0,2506901700000.0,2378365700000.0,2622842700000.0,2703597800000.0,2769498100000.0
2068.0,2795329600000.0,2139938100000.0,2217039400000.0,2570748400000.0,1852477100000.0,2355711400000.0,2186136400000.0,2845672700000.0,2473220600000.0,2348661900000.0,2599769900000.0,2682774600000.0,2749143200000.0
2069.0,2775582500000.0,2117101400000.0,2200835700000.0,2547498000000.0,1818416500000.0,2320415000000.0,2163627300000.0,2836228200000.0,2456458000000.0,2322888000000.0,2582459400000.0,2665083600000.0,2720976600000.0
2070.0,2754075200000.0,2092969000000.0,2184408100000.0,2526104300000.0,1777602000000.0,2275429300000.0,2146619100000.0,2820589000000.0,2431516100000.0,2290214500000.0,2557820800000.0,2645106600000.0,2692414000000.0
2071.0,2744485400000.0,2063563100000.0,2166431300000.0,2497708600000.0,1740532200000.0,2240159000000.0,2121829300000.0,2806224800000.0,2403408300000.0,2261929400000.0,2536339400000.0,2622682300000.0,2673112800000.0
2072.0,2720316500000.0,2043511600000.0,2148301300000.0,2474771000000.0,1704281100000.0,2195292400000.0,2094991500000.0,2787854800000.0,2385691800000.0,2231684600000.0,2508116200000.0,2607939000000.0,2649615000000.0
2073.0,2699933800000.0,2030545700000.0,2122236200000.0,2452140900000.0,1676480000000.0,2149957500000.0,2077244800000.0,2774115800000.0,2356999400000.0,2191915100000.0,2478752400000.0,2591694000000.0,2635526300000.0
2074.0,2684036300000.0,2010340400000.0,2101990800000.0,2424005200000.0,1642602700000.0,2101177400000.0,2056289800000.0,2767605000000.0,2323644400000.0,2158997700000.0,2445863600000.0,2572961700000.0,2621091600000.0
2075.0,2665373200000.0,1994013900000.0,2089561800000.0,2402781200000.0,1611639300000.0,2058270000000.0,2034624500000.0,2757581600000.0,2297930000000.0,2124942000000.0,2414034300000.0,2555678000000.0,2607159200000.0
2076.0,2640125000000.0,1979361800000.0,2072678000000.0,2369740000000.0,1574457800000.0,2021138400000.0,2012449600000.0,2743026300000.0,2270527200000.0,2085774200000.0,2393622400000.0,2539182000000.0,2582705600000.0
2077.0,2622863000000.0,1965578800000.0,2049516100000.0,2349156000000.0,1542437100000.0,1971339300000.0,1990129900000.0,2727875700000.0,2236853000000.0,2052266100000.0,2360669600000.0,2527995600000.0,2559137800000.0
2078.0,2587577800000.0,1957622400000.0,2026672900000.0,2321821500000.0,1506936100000.0,1916328100000.0,1971213000000.0,2721023300000.0,2216260800000.0,2015869400000.0,2332212600000.0,2509999400000.0,2550443500000.0
2079.0,2569886500000.0,1953467100000.0,2006387100000.0,2303216300000.0,1469697800000.0,1876210500000.0,1949259700000.0,2702285700000.0,2197002400000.0,1993381800000.0,2307469600000.0,2494273000000.0,2530007800000.0
2080.0,2558304500000.0,1943915200000.0,1984154200000.0,2286008100000.0,1440360600000.0,1837329200000.0,1930534700000.0,2687264000000.0,2163712900000.0,1956911900000.0,2288283300000.0,2476102400000.0,2512770600000.0
2081.0,2538732800000.0,1936923000000.0,1966165500000.0,2263345000000.0,1407806300000.0,1787988700000.0,1909169700000.0,2672807400000.0,2140759400000.0,1923041700000.0,2263562300000.0,2459366600000.0,2492056700000.0
2082.0,2514911200000.0,1918478300000.0,1952209000000.0,2242506000000.0,1370978600000.0,1743361800000.0,1883608800000.0,2664737500000.0,2120024700000.0,1902146100000.0,2231489800000.0,2449211400000.0,2475026000000.0
2083.0,2493572400000.0,1908609100000.0,1940637400000.0,2216661600000.0,1338008400000.0,1695622900000.0,1863865100000.0,2651988700000.0,2098417800000.0,1866642200000.0,2214278000000.0,2433947800000.0,2453480100000.0
2084.0,2468384000000.0,1887075700000.0,1926915300000.0,2193416500000.0,1305192700000.0,1646039900000.0,1846008500000.0,2638259700000.0,2070953200000.0,1837142900000.0,2188860500000.0,2415082600000.0,2434488600000.0
2085.0,2437461000000.0,1867685200000.0,1914522200000.0,2167066900000.0,1275234900000.0,1602022700000.0,1826980100000.0,2621963500000.0,2043349800000.0,1812227400000.0,2166693300000.0,2399695300000.0,2412620800000.0
2086.0,2405136000000.0,1844741700000.0,1893680200000.0,2149554500000.0,1243613200000.0,1565748800000.0,1813364300000.0,2612100900000.0,2023169200000.0,1788330800000.0,2144717100000.0,2384384800000.0,2389806000000.0
2087.0,2374909300000.0,1825496000000.0,1868425700000.0,2121656600000.0,1208384700000.0,1524597300000.0,1793435200000.0,2598708200000.0,1992208500000.0,1759454600000.0,2123369700000.0,2367277200000.0,2362462200000.0
2088.0,2353627100000.0,1811698400000.0,1854549900000.0,2100445400000.0,1177931000000.0,1483504500000.0,1776637300000.0,2573131800000.0,1967198600000.0,1732250000000.0,2091431100000.0,2348778500000.0,2333178300000.0
2089.0,2334632700000.0,1786820300000.0,1839677200000.0,2082273200000.0,1140873000000.0,1440082300000.0,1760466300000.0,2546788700000.0,1948105600000.0,1704888900000.0,2061836000000.0,2331005400000.0,2301006400000.0
2090.0,2314486700000.0,1755549900000.0,1823811400000.0,2059214900000.0,1103583500000.0,1395960400000.0,1746992200000.0,2527165000000.0,1931052000000.0,1673720400000.0,2034088400000.0,2309279400000.0,2278055500000.0
2091.0,2293626600000.0,1727471400000.0,1807554300000.0,2029043600000.0,1071633300000.0,1360277800000.0,1733208000000.0,2501782000000.0,1921804500000.0,1634349600000.0,2006675900000.0,2295353300000.0,2256078600000.0
2092.0,2268885000000.0,1701945400000.0,1791526200000.0,2001626000000.0,1037954450000.0,1319715700000.0,1721536500000.0,2484620200000.0,1902998200000.0,1601604700000.0,1984724200000.0,2278474400000.0,2221190000000.0
2093.0,2263025000000.0,1676708000000.0,1774336100000.0,1967578200000.0,1006676340000.0,1285849500000.0,1701482100000.0,2458878700000.0,1887753200000.0,1562514000000.0,1958459600000.0,2261240800000.0,2196710000000.0
2094.0,2245083300000.0,1645324500000.0,1760041100000.0,1942629800000.0,971758200000.0,1248262400000.0,1684177300000.0,2440858000000.0,1863753500000.0,1522429500000.0,1935603700000.0,2247928800000.0,2176414000000.0
2095.0,2224759500000.0,1612782900000.0,1739019400000.0,1915641400000.0,938592900000.0,1213542700000.0,1669195900000.0,2416534600000.0,1842200200000.0,1490485800000.0,1916011700000.0,2230157800000.0,2153606400000.0
2096.0,2211806200000.0,1580418100000.0,1715028500000.0,1892605600000.0,905974200000.0,1175195900000.0,1655680800000.0,2396588300000.0,1817972400000.0,1470777400000.0,1897434300000.0,2210499000000.0,2116067800000.0
2097.0,2188679400000.0,1553796300000.0,1703085300000.0,1873055700000.0,876998360000.0,1135414700000.0,1643789500000.0,2379534000000.0,1794299500000.0,1443458800000.0,1881030000000.0,2188913900000.0,2091166200000.0
2098.0,2171230500000.0,1527795700000.0,1690318400000.0,1843377300000.0,847002600000.0,1101403700000.0,1624448300000.0,2357271500000.0,1772730400000.0,1407779500000.0,1862848900000.0,2172650100000.0,2063182600000.0
2099.0,2140352400000.0,1505303900000.0,1674009000000.0,1809743100000.0,810975100000.0,1065420800000.0,1610275200000.0,2334952000000.0,1751878600000.0,1376027300000.0,1843227700000.0,2154834800000.0,2022568900000.0
2100.0,2128445400000.0,1471149600000.0,1658539900000.0,1776642400000.0,781176500000.0,1025733170000.0,1593598800000.0,2315269000000.0,1733579600000.0,1350080900000.0,1822083900000.0,2141848200000.0,1992920900000.0
