time,CANESM5,FGOALS-F3-L,IPSL-CM6A-LR,BCC-CSM2-MR,ACCESS-CM2,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,EC-EARTH3,INM-CM5-0,INM-CM4-8,CAMS-CSM1-0,TAIESM1,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,ACCESS-ESM1-5,CMCC-CM2-SR5
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3429778000000.0,3440502000000.0,3448522700000.0,3449616600000.0,3430670400000.0,3455880500000.0,3441440000000.0,3431119700000.0,3450631600000.0,3441765400000.0,3451479700000.0,3462014000000.0,3440325200000.0,3442550000000.0,3448490000000.0,3445117400000.0,3450536200000.0,3455585400000.0,3460694500000.0
2022.0,3404394700000.0,3425752000000.0,3440596200000.0,3449581500000.0,3413013200000.0,3441164600000.0,3439873500000.0,3412449000000.0,3438979000000.0,3415850600000.0,3425738700000.0,3449758700000.0,3419111400000.0,3420601700000.0,3425122400000.0,3428317000000.0,3433655400000.0,3449298600000.0,3453678000000.0
2023.0,3360043000000.0,3407209600000.0,3424154000000.0,3437171800000.0,3392343000000.0,3422758600000.0,3431166600000.0,3395083000000.0,3429480500000.0,3399701200000.0,3415178000000.0,3440720700000.0,3384880000000.0,3410141400000.0,3407038600000.0,3405312200000.0,3421157000000.0,3434368000000.0,3442606900000.0
2024.0,3318665400000.0,3393861700000.0,3418169000000.0,3425176400000.0,3371300300000.0,3408818600000.0,3425382400000.0,3380926000000.0,3411519500000.0,3376814500000.0,3401255000000.0,3429154200000.0,3347192700000.0,3385074600000.0,3394487500000.0,3372758900000.0,3396040700000.0,3437206700000.0,3446584400000.0
2025.0,3283972000000.0,3388816000000.0,3405781700000.0,3395238500000.0,3368526800000.0,3396012000000.0,3405856400000.0,3367832000000.0,3396153000000.0,3346263200000.0,3380526400000.0,3419262200000.0,3318893200000.0,3364342000000.0,3383600000000.0,3345837500000.0,3384963500000.0,3423195400000.0,3438981400000.0
2026.0,3240610000000.0,3378062000000.0,3390859600000.0,3386404800000.0,3358885000000.0,3377504200000.0,3389415500000.0,3361553300000.0,3390274000000.0,3327366000000.0,3364212700000.0,3405387700000.0,3298546700000.0,3338945200000.0,3362615000000.0,3321772400000.0,3370647000000.0,3412092300000.0,3428975600000.0
2027.0,3210135700000.0,3360513300000.0,3375030600000.0,3361720200000.0,3347262200000.0,3351959300000.0,3371614600000.0,3353066300000.0,3375802600000.0,3291814300000.0,3341298200000.0,3400272000000.0,3266613600000.0,3310821600000.0,3349650000000.0,3296660800000.0,3369357300000.0,3390939600000.0,3423661500000.0
2028.0,3170400200000.0,3341306600000.0,3351959800000.0,3343719300000.0,3330469500000.0,3358221700000.0,3361973200000.0,3339105000000.0,3360812700000.0,3268144300000.0,3323178500000.0,3394690600000.0,3254985700000.0,3269720000000.0,3332312700000.0,3285855200000.0,3342590300000.0,3371846300000.0,3395589200000.0
2029.0,3126638000000.0,3326291500000.0,3342428800000.0,3325004600000.0,3307145000000.0,3353496000000.0,3361948800000.0,3329616800000.0,3355207800000.0,3238814300000.0,3301752700000.0,3379001000000.0,3222967000000.0,3231613700000.0,3310768400000.0,3256089000000.0,3321664600000.0,3364279500000.0,3383877700000.0
2030.0,3094748600000.0,3317380700000.0,3321317600000.0,3299848200000.0,3280334500000.0,3328821400000.0,3347639400000.0,3314747200000.0,3335663400000.0,3197569300000.0,3283910400000.0,3367608800000.0,3200622000000.0,3195004500000.0,3300436500000.0,3226659500000.0,3297777300000.0,3348900300000.0,3354300800000.0
2031.0,3053663800000.0,3314542000000.0,3300438600000.0,3275641000000.0,3247912000000.0,3313272600000.0,3331354800000.0,3298043400000.0,3332702000000.0,3165443000000.0,3245716000000.0,3346011500000.0,3176602000000.0,3174115600000.0,3271365200000.0,3196770300000.0,3278229000000.0,3340057000000.0,3330299100000.0
2032.0,3016803200000.0,3302094300000.0,3278782000000.0,3252893500000.0,3228431500000.0,3285936200000.0,3307039600000.0,3281295000000.0,3311709200000.0,3130988400000.0,3223873700000.0,3333513800000.0,3156036300000.0,3145611600000.0,3254090200000.0,3165945000000.0,3269144600000.0,3319701000000.0,3307766000000.0
2033.0,2981508000000.0,3289458100000.0,3261061000000.0,3230722000000.0,3208927200000.0,3258185400000.0,3291936700000.0,3263095400000.0,3295077000000.0,3102292300000.0,3202984000000.0,3313559100000.0,3146259600000.0,3117427700000.0,3233286000000.0,3131788800000.0,3252853000000.0,3306071300000.0,3287204500000.0
2034.0,2942141000000.0,3280399000000.0,3245198800000.0,3197766200000.0,3186608800000.0,3237849300000.0,3280268200000.0,3246615700000.0,3287202100000.0,3063392000000.0,3170781000000.0,3295199000000.0,3127297700000.0,3081944700000.0,3214544000000.0,3099245400000.0,3227178200000.0,3283841700000.0,3266323700000.0
2035.0,2905810700000.0,3255484300000.0,3219686700000.0,3179236600000.0,3159348200000.0,3215658000000.0,3272960600000.0,3220620700000.0,3272013000000.0,3021618500000.0,3144359000000.0,3277841000000.0,3109802500000.0,3054110800000.0,3193721800000.0,3059414500000.0,3206972400000.0,3263550700000.0,3249316000000.0
2036.0,2862316300000.0,3240415200000.0,3210010700000.0,3155602400000.0,3131129200000.0,3196723000000.0,3252623500000.0,3204659500000.0,3257323200000.0,2982979300000.0,3114289900000.0,3262684900000.0,3077065400000.0,3023495000000.0,3182852800000.0,3030110200000.0,3185859000000.0,3247780400000.0,3230912000000.0
2037.0,2828050000000.0,3226228500000.0,3198526000000.0,3137382000000.0,3100482000000.0,3186149300000.0,3239241300000.0,3191430000000.0,3246573200000.0,2938999400000.0,3087762200000.0,3241235700000.0,3050763200000.0,3002985000000.0,3160467000000.0,3009547000000.0,3163304200000.0,3231913000000.0,3210162200000.0
2038.0,2789244000000.0,3213181800000.0,3181406300000.0,3114556500000.0,3075486300000.0,3168489000000.0,3236717100000.0,3171804800000.0,3223456600000.0,2896831200000.0,3057630800000.0,3226131500000.0,3021050500000.0,2968891700000.0,3143031600000.0,2970509600000.0,3146334900000.0,3220575600000.0,3181069700000.0
2039.0,2745416800000.0,3190783500000.0,3160977200000.0,3097484900000.0,3046820300000.0,3142361000000.0,3225914200000.0,3150756700000.0,3196054100000.0,2853576600000.0,3031495600000.0,3215189600000.0,2999923000000.0,2939261800000.0,3132067400000.0,2946205000000.0,3136086000000.0,3211246700000.0,3143069600000.0
2040.0,2696092000000.0,3175642000000.0,3138599800000.0,3076256200000.0,3028854500000.0,3112058200000.0,3204577800000.0,3132162000000.0,3173161400000.0,2809816000000.0,3002929500000.0,3202570500000.0,2979913300000.0,2908540600000.0,3111364300000.0,2916221200000.0,3109714700000.0,3198755800000.0,3121477300000.0
2041.0,2652406800000.0,3160060200000.0,3122561300000.0,3050839000000.0,3009416300000.0,3087221000000.0,3178025000000.0,3112467200000.0,3140422500000.0,2763678000000.0,2977100000000.0,3187124000000.0,2960312000000.0,2884927500000.0,3090695000000.0,2888093000000.0,3091892500000.0,3187043500000.0,3099971600000.0
2042.0,2610432300000.0,3143653400000.0,3105300200000.0,3027518400000.0,2992847000000.0,3055886800000.0,3157395800000.0,3096057200000.0,3113059400000.0,2718890200000.0,2951809300000.0,3162760500000.0,2944015300000.0,2851661400000.0,3069275500000.0,2853003600000.0,3065255300000.0,3175533000000.0,3076092900000.0
2043.0,2572782100000.0,3131749200000.0,3081545000000.0,2998717600000.0,2977628200000.0,3036810300000.0,3145737700000.0,3072571500000.0,3102867700000.0,2669212000000.0,2925422400000.0,3155095700000.0,2928504700000.0,2822269300000.0,3044730700000.0,2823405700000.0,3035423000000.0,3159510700000.0,3044265200000.0
2044.0,2523045300000.0,3114380800000.0,3064050000000.0,2986655000000.0,2959545700000.0,3021411700000.0,3124913800000.0,3045371400000.0,3085258000000.0,2618971400000.0,2900842000000.0,3143759800000.0,2900720000000.0,2794131000000.0,3024189000000.0,2791362300000.0,3004382000000.0,3132643300000.0,2988502200000.0
2045.0,2460727400000.0,3094715300000.0,3040338000000.0,2966515400000.0,2937827600000.0,3002443000000.0,3103876200000.0,3025674400000.0,3077613800000.0,2578843400000.0,2872946700000.0,3123389100000.0,2876229300000.0,2748146800000.0,3004136700000.0,2760129400000.0,2981451800000.0,3127561400000.0,2949731600000.0
2046.0,2413765300000.0,3080288200000.0,3013246000000.0,2938428000000.0,2904628400000.0,2980893000000.0,3094979800000.0,3001223700000.0,3057838700000.0,2535269300000.0,2854050900000.0,3100217000000.0,2858024400000.0,2719203500000.0,2975650500000.0,2727973700000.0,2961407200000.0,3126236500000.0,2919962500000.0
2047.0,2361604400000.0,3055664500000.0,2983486000000.0,2918490800000.0,2872034200000.0,2955461000000.0,3085448800000.0,2981125700000.0,3043196700000.0,2482053800000.0,2826591300000.0,3079194300000.0,2834028800000.0,2678233500000.0,2956554000000.0,2688620700000.0,2940753100000.0,3110907700000.0,2880450300000.0
2048.0,2312582700000.0,3023086300000.0,2951704000000.0,2890498300000.0,2834762000000.0,2931377600000.0,3068875000000.0,2962878400000.0,3032359000000.0,2439022400000.0,2805156500000.0,3046837600000.0,2805758700000.0,2630837000000.0,2926196300000.0,2648179500000.0,2899239500000.0,3103040200000.0,2830956500000.0
2049.0,2260146800000.0,2985347300000.0,2919655000000.0,2873288600000.0,2810846000000.0,2913112400000.0,3053811400000.0,2948602000000.0,2997558700000.0,2402789000000.0,2784812300000.0,3016090200000.0,2781673000000.0,2582620400000.0,2902223200000.0,2617308600000.0,2871352600000.0,3087635000000.0,2782924400000.0
2050.0,2201316000000.0,2952530200000.0,2899378700000.0,2843815000000.0,2780443200000.0,2881225000000.0,3039797400000.0,2930124300000.0,2972045000000.0,2368978000000.0,2761224600000.0,2992795500000.0,2750267000000.0,2531251700000.0,2874781700000.0,2573624400000.0,2840920000000.0,3059785400000.0,2733186200000.0
2051.0,2147329600000.0,2922490000000.0,2874003000000.0,2811224700000.0,2763933600000.0,2852833700000.0,3017402500000.0,2921929600000.0,2961755600000.0,2322508300000.0,2736159200000.0,2965037000000.0,2729787000000.0,2475716000000.0,2850909600000.0,2537373800000.0,2804446000000.0,3040066400000.0,2705749400000.0
2052.0,2085085200000.0,2887522500000.0,2843956200000.0,2784277800000.0,2739979200000.0,2827331800000.0,3007349000000.0,2895246300000.0,2945797000000.0,2275102200000.0,2701647400000.0,2936477000000.0,2709695000000.0,2431405300000.0,2816446600000.0,2504151300000.0,2777366100000.0,3021370300000.0,2676842000000.0
2053.0,2041208500000.0,2858642800000.0,2817155400000.0,2761813000000.0,2707547200000.0,2791216800000.0,2995617800000.0,2874197000000.0,2924759000000.0,2229517700000.0,2671827200000.0,2907844000000.0,2691515800000.0,2375086000000.0,2795308800000.0,2470611500000.0,2724566000000.0,2995176900000.0,2646205300000.0
2054.0,1991957300000.0,2826953300000.0,2785149500000.0,2734071200000.0,2672266600000.0,2769274500000.0,2982892000000.0,2855589000000.0,2908992600000.0,2201958500000.0,2640667000000.0,2882252300000.0,2674094200000.0,2327476700000.0,2757388100000.0,2430390200000.0,2690163100000.0,2972128400000.0,2607837600000.0
2055.0,1941187300000.0,2786134000000.0,2749043000000.0,2710116000000.0,2637729000000.0,2744798200000.0,2969675200000.0,2830721400000.0,2894670000000.0,2162268300000.0,2608542500000.0,2854307000000.0,2651727300000.0,2271846900000.0,2730104500000.0,2398543400000.0,2650507600000.0,2945015300000.0,2580810300000.0
2056.0,1885601100000.0,2743679800000.0,2718461900000.0,2679498900000.0,2610945900000.0,2722043000000.0,2957242300000.0,2812634000000.0,2876804400000.0,2124400400000.0,2576420400000.0,2818917000000.0,2629611000000.0,2221449400000.0,2714910600000.0,2368750500000.0,2605856600000.0,2922001500000.0,2546266500000.0
2057.0,1832317700000.0,2704319000000.0,2683558200000.0,2653982600000.0,2577850200000.0,2692068400000.0,2937539500000.0,2791599200000.0,2858135000000.0,2085044100000.0,2552006700000.0,2795576800000.0,2605639300000.0,2176081100000.0,2686101200000.0,2338239300000.0,2569545400000.0,2887052200000.0,2499970900000.0
2058.0,1775522700000.0,2660772300000.0,2654670400000.0,2638899000000.0,2546490400000.0,2677618800000.0,2924381500000.0,2770679000000.0,2845203800000.0,2047069800000.0,2519524700000.0,2762790400000.0,2589290400000.0,2135411100000.0,2663463000000.0,2306340600000.0,2533783800000.0,2863068600000.0,2469722300000.0
2059.0,1724897000000.0,2616356200000.0,2630828400000.0,2615650800000.0,2507162800000.0,2650566300000.0,2912537500000.0,2762310000000.0,2818991200000.0,2009113700000.0,2493246600000.0,2744761000000.0,2565776900000.0,2101920300000.0,2643011300000.0,2286800000000.0,2508877700000.0,2849242000000.0,2438041400000.0
2060.0,1667674000000.0,2581786000000.0,2603366700000.0,2597890300000.0,2468381000000.0,2630822700000.0,2895587600000.0,2744445600000.0,2788375400000.0,1971125600000.0,2464304300000.0,2715486300000.0,2529116600000.0,2045862600000.0,2610839000000.0,2262487300000.0,2461095700000.0,2819597500000.0,2395773900000.0
2061.0,1609177600000.0,2551424500000.0,2569685700000.0,2573793200000.0,2432976000000.0,2608578400000.0,2880659000000.0,2731709800000.0,2762910700000.0,1931239400000.0,2440689000000.0,2676588800000.0,2502107600000.0,1990657000000.0,2578868900000.0,2230149700000.0,2429450200000.0,2798034600000.0,2355488400000.0
2062.0,1555088500000.0,2528813300000.0,2543228000000.0,2551841600000.0,2394935500000.0,2581837400000.0,2867289400000.0,2718362500000.0,2747671200000.0,1895418800000.0,2424627300000.0,2646575000000.0,2474724300000.0,1942332900000.0,2552610200000.0,2205880400000.0,2402536000000.0,2769620600000.0,2320809300000.0
2063.0,1508118000000.0,2488567000000.0,2510046600000.0,2510695000000.0,2364385000000.0,2571024500000.0,2848833000000.0,2697041000000.0,2735057700000.0,1864818400000.0,2400336500000.0,2593182200000.0,2456202000000.0,1893730500000.0,2536918700000.0,2181840200000.0,2373643400000.0,2743592300000.0,2267473200000.0
2064.0,1454203000000.0,2462148500000.0,2480325800000.0,2482090800000.0,2337112300000.0,2538601200000.0,2830795800000.0,2686817400000.0,2713796500000.0,1836897700000.0,2375638600000.0,2548878300000.0,2430855500000.0,1847348200000.0,2517356000000.0,2153202300000.0,2348400800000.0,2734255000000.0,2212579000000.0
2065.0,1401474900000.0,2424469200000.0,2452786800000.0,2454577000000.0,2308606500000.0,2502956400000.0,2813481500000.0,2663939000000.0,2692231200000.0,1798153000000.0,2349672400000.0,2516006700000.0,2411062000000.0,1810735300000.0,2503220100000.0,2135628800000.0,2308781400000.0,2726327700000.0,2159428800000.0
2066.0,1353306600000.0,2376282400000.0,2426262000000.0,2409534800000.0,2280207400000.0,2470876500000.0,2800059400000.0,2646443300000.0,2665351500000.0,1763646200000.0,2325884400000.0,2485944800000.0,2380099200000.0,1775763600000.0,2477689000000.0,2115780200000.0,2283396700000.0,2719793300000.0,2112336000000.0
2067.0,1309183300000.0,2341753300000.0,2399689500000.0,2378749200000.0,2246486500000.0,2436884300000.0,2788731000000.0,2627749300000.0,2650251200000.0,1733774900000.0,2296495700000.0,2447067300000.0,2356223100000.0,1738259300000.0,2459436800000.0,2099866100000.0,2243371700000.0,2701022500000.0,2067657900000.0
2068.0,1262143700000.0,2305249000000.0,2373659100000.0,2346412700000.0,2198989000000.0,2413538300000.0,2765662000000.0,2605668000000.0,2633087600000.0,1698609800000.0,2264890900000.0,2408047200000.0,2334275100000.0,1700463200000.0,2438593200000.0,2089895700000.0,2203065300000.0,2690519100000.0,2014156000000.0
2069.0,1206233200000.0,2271538800000.0,2349804300000.0,2320225000000.0,2161777700000.0,2394814000000.0,2754966000000.0,2586940000000.0,2617479000000.0,1659250300000.0,2244084800000.0,2366679000000.0,2320363700000.0,1664557800000.0,2416674600000.0,2069272000000.0,2161831700000.0,2679963600000.0,1958011900000.0
2070.0,1157345800000.0,2228882200000.0,2320738800000.0,2294707400000.0,2128529900000.0,2375416800000.0,2737654200000.0,2572718400000.0,2593196300000.0,1620632400000.0,2219600500000.0,2325819200000.0,2308702000000.0,1633564600000.0,2401102500000.0,2049272200000.0,2099358100000.0,2651169000000.0,1908059100000.0
2071.0,1108024000000.0,2192376500000.0,2291672500000.0,2267560500000.0,2080995100000.0,2347475100000.0,2714870000000.0,2554525400000.0,2574746400000.0,1584240000000.0,2193950800000.0,2295850600000.0,2287319000000.0,1604101200000.0,2385408700000.0,2024979200000.0,2067603500000.0,2622038000000.0,1869019200000.0
2072.0,1065466600000.0,2149710800000.0,2266746000000.0,2236858200000.0,2038794000000.0,2325432500000.0,2698680700000.0,2527286300000.0,2551167300000.0,1547770800000.0,2162558800000.0,2258891000000.0,2253777500000.0,1570269200000.0,2369602000000.0,2005032100000.0,2025167100000.0,2607582000000.0,1830568900000.0
2073.0,1021220000000.0,2103224600000.0,2237535600000.0,2200031700000.0,1999867500000.0,2302772800000.0,2687342000000.0,2505170000000.0,2530419100000.0,1518504500000.0,2142224300000.0,2218737300000.0,2228554300000.0,1540654000000.0,2346218700000.0,1992339900000.0,1984300800000.0,2597259600000.0,1784043900000.0
2074.0,975066200000.0,2054415300000.0,2200769000000.0,2176072200000.0,1969144200000.0,2286458000000.0,2671572200000.0,2480731800000.0,2508095800000.0,1478273700000.0,2118096000000.0,2176683300000.0,2209420100000.0,1506072600000.0,2327304200000.0,1973752600000.0,1939667600000.0,2574697600000.0,1744334900000.0
2075.0,925206300000.0,2017663400000.0,2169905000000.0,2144488800000.0,1926920000000.0,2259082500000.0,2662013300000.0,2456777700000.0,2490448000000.0,1439590600000.0,2095904300000.0,2137088300000.0,2172491100000.0,1476146400000.0,2309969100000.0,1957053900000.0,1905296900000.0,2549915600000.0,1699717600000.0
2076.0,880442900000.0,1967760000000.0,2131234400000.0,2121082600000.0,1883043100000.0,2234349800000.0,2637893500000.0,2437130000000.0,2473362200000.0,1400351400000.0,2071483000000.0,2094379200000.0,2143368000000.0,1442779400000.0,2287229000000.0,1934321900000.0,1863999700000.0,2520832500000.0,1663615200000.0
2077.0,837121340000.0,1915360000000.0,2094701100000.0,2091235900000.0,1843684800000.0,2211567000000.0,2617616600000.0,2418665600000.0,2454500700000.0,1364278800000.0,2045329900000.0,2060036100000.0,2120902800000.0,1409086700000.0,2260627000000.0,1919768500000.0,1825473000000.0,2501155500000.0,1624285600000.0
2078.0,788647700000.0,1860203200000.0,2065034800000.0,2073087800000.0,1801276900000.0,2190684700000.0,2598556000000.0,2398110000000.0,2437109000000.0,1328288000000.0,2020720500000.0,2021893200000.0,2109639200000.0,1383425100000.0,2220392700000.0,1906815100000.0,1778305100000.0,2467007800000.0,1580906600000.0
2079.0,742040300000.0,1808514800000.0,2027009700000.0,2052989300000.0,1759165300000.0,2165481900000.0,2579930800000.0,2381427500000.0,2413644200000.0,1288276100000.0,2000370900000.0,1989860800000.0,2087731500000.0,1348756600000.0,2199125000000.0,1883528200000.0,1731331400000.0,2442707000000.0,1535885600000.0
2080.0,699974300000.0,1760647200000.0,1989630000000.0,2040617100000.0,1719195000000.0,2146956700000.0,2558625300000.0,2361176400000.0,2393482700000.0,1243976600000.0,1980757800000.0,1952743400000.0,2059096400000.0,1319066100000.0,2161462600000.0,1871331500000.0,1683421900000.0,2421992500000.0,1481375900000.0
2081.0,657021400000.0,1714255200000.0,1956908800000.0,2018772800000.0,1685296100000.0,2115111000000.0,2533962800000.0,2341707000000.0,2372027300000.0,1206679200000.0,1961608700000.0,1932272700000.0,2032690300000.0,1289756200000.0,2134757200000.0,1855406700000.0,1637486600000.0,2396934000000.0,1430252700000.0
2082.0,615516600000.0,1665689200000.0,1920381000000.0,1988457700000.0,1652931000000.0,2086686700000.0,2511930700000.0,2319204200000.0,2356059300000.0,1167225700000.0,1938757400000.0,1896037700000.0,2019204500000.0,1258899200000.0,2093238000000.0,1841426500000.0,1590358800000.0,2377653200000.0,1384253100000.0
2083.0,572322100000.0,1619339600000.0,1882470900000.0,1956961500000.0,1612682600000.0,2053056500000.0,2486657400000.0,2296098300000.0,2328548900000.0,1125906600000.0,1904983400000.0,1866878200000.0,1998939500000.0,1226180900000.0,2060739400000.0,1825237100000.0,1536516200000.0,2353440800000.0,1345213200000.0
2084.0,530374700000.0,1579828400000.0,1861641400000.0,1926394500000.0,1574169700000.0,2021437200000.0,2463397000000.0,2275125000000.0,2303190000000.0,1085930730000.0,1881834000000.0,1841627000000.0,1982172200000.0,1197488300000.0,2028050600000.0,1811675900000.0,1486116900000.0,2327786000000.0,1306177300000.0
2085.0,488620030000.0,1537899500000.0,1830479700000.0,1907456000000.0,1537822300000.0,1993854800000.0,2425103300000.0,2259188700000.0,2277284200000.0,1047542370000.0,1859801700000.0,1818093700000.0,1963123000000.0,1176829700000.0,1989741800000.0,1792540800000.0,1431115500000.0,2295256800000.0,1253266000000.0
