time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3432286000000.0,3450801800000.0,3441424900000.0,3444102100000.0,3450371300000.0,3433675400000.0,3442859600000.0,3482191000000.0,3445092300000.0,3444152700000.0,3447979800000.0,3443360300000.0,3442735600000.0,3446287000000.0
2022.0,3402569000000.0,3439317700000.0,3423300200000.0,3427530200000.0,3443051000000.0,3411339400000.0,3417857600000.0,3476740600000.0,3447316300000.0,3430317600000.0,3424605200000.0,3433284000000.0,3429435000000.0,3435882600000.0
2023.0,3378262600000.0,3435217300000.0,3406718300000.0,3412345200000.0,3431492500000.0,3394348800000.0,3405497500000.0,3471433000000.0,3426180100000.0,3408545000000.0,3419863300000.0,3424152700000.0,3409533700000.0,3424621200000.0
2024.0,3349948000000.0,3417664700000.0,3385337300000.0,3384545400000.0,3427195700000.0,3377573700000.0,3386329500000.0,3459426300000.0,3416958700000.0,3384139600000.0,3413511000000.0,3409096000000.0,3392851100000.0,3406331400000.0
2025.0,3323117000000.0,3396290000000.0,3352380300000.0,3343928000000.0,3408827800000.0,3359057400000.0,3364675400000.0,3456507000000.0,3406287300000.0,3363909000000.0,3408750000000.0,3406677000000.0,3377306500000.0,3379549400000.0
2026.0,3288252300000.0,3377606000000.0,3325532600000.0,3308516000000.0,3386504400000.0,3328573700000.0,3354552200000.0,3447264600000.0,3401693500000.0,3337759800000.0,3406634700000.0,3404498200000.0,3362785600000.0,3360329600000.0
2027.0,3248199300000.0,3361398800000.0,3307260600000.0,3278485000000.0,3375682800000.0,3295741500000.0,3339892600000.0,3431856000000.0,3393022900000.0,3319817600000.0,3411588200000.0,3396829000000.0,3348344900000.0,3346042500000.0
2028.0,3220967800000.0,3355792400000.0,3275892700000.0,3246583400000.0,3348765300000.0,3282526000000.0,3329860600000.0,3415852000000.0,3388215100000.0,3289096000000.0,3404882500000.0,3395224000000.0,3333775400000.0,3324207700000.0
2029.0,3201756800000.0,3335007500000.0,3251318800000.0,3226807000000.0,3325760000000.0,3256868000000.0,3305973000000.0,3387945400000.0,3378477300000.0,3268784700000.0,3403816400000.0,3396672400000.0,3324148700000.0,3308452800000.0
2030.0,3165874800000.0,3321658000000.0,3231597700000.0,3205495800000.0,3304285300000.0,3229953600000.0,3288717300000.0,3365204400000.0,3359138400000.0,3246311600000.0,3390848400000.0,3394673600000.0,3311653000000.0,3292039700000.0
2031.0,3137384200000.0,3308522300000.0,3206643400000.0,3177907000000.0,3300410000000.0,3208517000000.0,3267931700000.0,3346511700000.0,3351942300000.0,3210819100000.0,3381509800000.0,3386171000000.0,3294108600000.0,3265239000000.0
2032.0,3119096300000.0,3280177000000.0,3182292400000.0,3154324000000.0,3287926400000.0,3184366200000.0,3240873400000.0,3342596600000.0,3329872600000.0,3178053000000.0,3366929600000.0,3393510400000.0,3274600600000.0,3238676700000.0
