time,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM,CANESM5,BCC-CSM2-MR,IPSL-CM6A-LR,FGOALS-F3-L,ACCESS-CM2,CESM2,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8
2027.0,3367636300000.0,3348308400000.0,3397763500000.0,3208674800000.0,3358189000000.0,3382910400000.0,3351803600000.0,3335450300000.0,3340520400000.0,3324649000000.0,3276948400000.0,3367803300000.0,3264705700000.0,3322988000000.0,3275668300000.0,3313786000000.0,3388555100000.0
2028.0,3344867000000.0,3325096400000.0,3392223300000.0,3175246200000.0,3346114500000.0,3368829600000.0,3324274000000.0,3322483000000.0,3346069000000.0,3299505000000.0,3249731300000.0,3359549400000.0,3228097300000.0,3307458500000.0,3241977300000.0,3282214300000.0,3365736800000.0
2029.0,3329105600000.0,3302834300000.0,3370678500000.0,3135533200000.0,3323625500000.0,3359382000000.0,3306294000000.0,3310149000000.0,3333590400000.0,3274761000000.0,3224733500000.0,3346371200000.0,3184069000000.0,3292707200000.0,3213388700000.0,3254341600000.0,3356464500000.0
2030.0,3315943000000.0,3280159600000.0,3346921400000.0,3100479000000.0,3307362000000.0,3349972000000.0,3289023500000.0,3285633200000.0,3322491700000.0,3257454000000.0,3206840000000.0,3342902000000.0,3143060200000.0,3275085300000.0,3180941300000.0,3223156200000.0,3339695000000.0
2031.0,3310183000000.0,3266897500000.0,3326871600000.0,3051940700000.0,3280047200000.0,3335497400000.0,3269026000000.0,3257682400000.0,3306700100000.0,3247821600000.0,3185792500000.0,3329510600000.0,3113795000000.0,3256817000000.0,3163994000000.0,3197100400000.0,3343827000000.0
2032.0,3294431000000.0,3257444300000.0,3316122000000.0,2993369400000.0,3254488400000.0,3310541000000.0,3259003800000.0,3232035800000.0,3287298900000.0,3225217700000.0,3148751600000.0,3330482400000.0,3088037000000.0,3232417000000.0,3137561400000.0,3162489200000.0,3339936600000.0
2033.0,3280096000000.0,3235980800000.0,3310657500000.0,2945655200000.0,3236972700000.0,3283842000000.0,3240202300000.0,3212216000000.0,3273856600000.0,3205657300000.0,3128027500000.0,3321166000000.0,3045966000000.0,3220793700000.0,3119207700000.0,3141950500000.0,3339316000000.0
2034.0,3271831600000.0,3221549700000.0,3297200300000.0,2898364500000.0,3217297500000.0,3275388000000.0,3224827300000.0,3202928000000.0,3245040500000.0,3182198500000.0,3103707600000.0,3314438400000.0,3007987600000.0,3213784000000.0,3096303000000.0,3116667500000.0,3329550200000.0
2035.0,3248978400000.0,3210142000000.0,3289175600000.0,2862593600000.0,3194124500000.0,3257411600000.0,3211641000000.0,3190751500000.0,3236219000000.0,3161775400000.0,3071781000000.0,3304446000000.0,2983270000000.0,3193919200000.0,3073662000000.0,3096234000000.0,3320127200000.0
2036.0,3242040800000.0,3194548000000.0,3283048200000.0,2829307300000.0,3176553500000.0,3233605000000.0,3186716300000.0,3174440400000.0,3227270000000.0,3132296800000.0,3047521500000.0,3305157000000.0,2950139200000.0,3180651600000.0,3052682000000.0,3068071500000.0,3311191700000.0
2037.0,3231517500000.0,3183431400000.0,3273888000000.0,2779469000000.0,3165536400000.0,3218489200000.0,3176056200000.0,3156649700000.0,3200398100000.0,3110227700000.0,3026872700000.0,3303496200000.0,2909327900000.0,3155549000000.0,3029641700000.0,3052508500000.0,3295511800000.0
2038.0,3217675800000.0,3171104000000.0,3254700700000.0,2731115800000.0,3142461700000.0,3201461400000.0,3156570500000.0,3136270400000.0,3185649000000.0,3095025000000.0,3002769600000.0,3297307500000.0,2873927000000.0,3139445200000.0,3000092600000.0,3035523400000.0,3286458700000.0
2039.0,3201958700000.0,3153314200000.0,3243022700000.0,2695208000000.0,3130376800000.0,3189562000000.0,3138837000000.0,3127058000000.0,3176943600000.0,3068633800000.0,2981225600000.0,3306239800000.0,2845862500000.0,3115692300000.0,2977375200000.0,2999421000000.0,3264617000000.0
2040.0,3192996800000.0,3137184000000.0,3237019400000.0,2663013200000.0,3120018800000.0,3170882600000.0,3125951300000.0,3092741400000.0,3170945000000.0,3061707700000.0,2951984700000.0,3296767500000.0,2807927700000.0,3089548000000.0,2953988300000.0,2977660100000.0,3254654900000.0
2041.0,3180457000000.0,3125031500000.0,3234035100000.0,2616452700000.0,3106935000000.0,3162664900000.0,3111082000000.0,3062273400000.0,3160291400000.0,3026174300000.0,2912398900000.0,3299683300000.0,2771952600000.0,3059706800000.0,2921268800000.0,2954996200000.0,3239896000000.0
2042.0,3173133300000.0,3113548500000.0,3226657400000.0,2584518900000.0,3066591700000.0,3149357600000.0,3090985500000.0,3039179800000.0,3142288100000.0,3008198300000.0,2886295600000.0,3284035700000.0,2741581600000.0,3040156000000.0,2887269500000.0,2927192200000.0,3236047000000.0
2043.0,3158312000000.0,3105543400000.0,3220989500000.0,2542508000000.0,3039884200000.0,3139652300000.0,3069850700000.0,3012504600000.0,3130285600000.0,2985865200000.0,2863791300000.0,3282385500000.0,2713732000000.0,3019013000000.0,2866234000000.0,2902392800000.0,3214950500000.0
2044.0,3145449600000.0,3092155500000.0,3208638000000.0,2498234700000.0,3023504400000.0,3135261400000.0,3049450000000.0,2984954600000.0,3111010000000.0,2970852000000.0,2842433200000.0,3262966100000.0,2679443600000.0,2991585800000.0,2840878400000.0,2879279900000.0,3200008600000.0
2045.0,3136414800000.0,3077639000000.0,3201437800000.0,2452809600000.0,3010864300000.0,3125415000000.0,3037229000000.0,2959707500000.0,3103926000000.0,2937815600000.0,2823960100000.0,3255407500000.0,2656422300000.0,2969695700000.0,2812670000000.0,2846319400000.0,3184125500000.0
2046.0,3120996300000.0,3058774300000.0,3183724700000.0,2396877500000.0,2996180400000.0,3106151600000.0,3028470500000.0,2926530500000.0,3081811300000.0,2912559000000.0,2791352800000.0,3244483400000.0,2623693000000.0,2946094600000.0,2786833200000.0,2810183400000.0,3163585800000.0
2047.0,3112843000000.0,3046072400000.0,3172562400000.0,2351489400000.0,2978387600000.0,3092125600000.0,3002540800000.0,2896573000000.0,3066004000000.0,2886917200000.0,2766875400000.0,3230894700000.0,2585613800000.0,2918351400000.0,2750992400000.0,2775992200000.0,3149056400000.0
2048.0,3100879400000.0,3030614800000.0,3163896400000.0,2297958500000.0,2946303300000.0,3066228600000.0,2980647800000.0,2857479200000.0,3054704000000.0,2863236400000.0,2738893000000.0,3223491200000.0,2545339900000.0,2882260200000.0,2713689000000.0,2745150000000.0,3126676000000.0
2049.0,3086015000000.0,3012747300000.0,3153611500000.0,2247853300000.0,2922655000000.0,3052322400000.0,2961825600000.0,2819736700000.0,3032620500000.0,2842684000000.0,2721434000000.0,3222980800000.0,2512441000000.0,2867056300000.0,2692873700000.0,2722247000000.0,3105687900000.0
2050.0,3080198000000.0,2994533600000.0,3134551800000.0,2206972000000.0,2893536600000.0,3039257400000.0,2941013500000.0,2782652800000.0,3022257000000.0,2826075400000.0,2696207700000.0,3227452400000.0,2480349000000.0,2842782600000.0,2667240500000.0,2695464000000.0,3093737200000.0
