time,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3429778000000.0,3448522700000.0,3445117400000.0,3448490000000.0
2022.0,3404394700000.0,3440596200000.0,3428317000000.0,3425122400000.0
2023.0,3360043000000.0,3424154000000.0,3405312200000.0,3407038600000.0
2024.0,3318665400000.0,3418169000000.0,3372758900000.0,3394487500000.0
2025.0,3283972000000.0,3405781700000.0,3345837500000.0,3383600000000.0
2026.0,3240610000000.0,3390859600000.0,3321772400000.0,3362615000000.0
2027.0,3210135700000.0,3375030600000.0,3296660800000.0,3349650000000.0
2028.0,3170400200000.0,3351959800000.0,3285855200000.0,3332312700000.0
2029.0,3126638000000.0,3342428800000.0,3256089000000.0,3310768400000.0
2030.0,3094748600000.0,3321317600000.0,3226659500000.0,3300436500000.0
2031.0,3053738500000.0,3300443800000.0,3196573500000.0,3271655000000.0
2032.0,3017117800000.0,3278724000000.0,3165846500000.0,3254493400000.0
2033.0,2982121000000.0,3260897600000.0,3131695400000.0,3234185600000.0
2034.0,2943251400000.0,3244972600000.0,3098928700000.0,3216032400000.0
2035.0,2907743000000.0,3219299800000.0,3058371700000.0,3195452800000.0
2036.0,2865177600000.0,3209571900000.0,3028665800000.0,3185006000000.0
2037.0,2831593200000.0,3198059300000.0,3007649400000.0,3163011700000.0
2038.0,2793544000000.0,3181006800000.0,2968380200000.0,3146438700000.0
2039.0,2750358700000.0,3160572700000.0,2943898000000.0,3136407000000.0
2040.0,2701535000000.0,3138196900000.0,2913965000000.0,3116847300000.0
2041.0,2655956500000.0,3115501200000.0,2883437500000.0,3101232000000.0
2042.0,2621168400000.0,3092517700000.0,2855532200000.0,3079681600000.0
2043.0,2586187400000.0,3071896700000.0,2817091200000.0,3070323000000.0
2044.0,2543260300000.0,3051978000000.0,2785886000000.0,3053054300000.0
2045.0,2487647500000.0,3026810800000.0,2743828200000.0,3032910100000.0
2046.0,2433902200000.0,2997352000000.0,2709011300000.0,3021622500000.0
2047.0,2387176800000.0,2977246000000.0,2669884500000.0,3004834300000.0
2048.0,2339445000000.0,2945424300000.0,2634984000000.0,2986605500000.0
2049.0,2284741500000.0,2924941000000.0,2608235300000.0,2971611000000.0
2050.0,2233057000000.0,2909233000000.0,2572186000000.0,2948114000000.0
2051.0,2182540400000.0,2874958400000.0,2548457500000.0,2930034600000.0
2052.0,2128991600000.0,2853149300000.0,2513491700000.0,2903392400000.0
2053.0,2084536000000.0,2823564800000.0,2487167200000.0,2880473400000.0
