time,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4
2054.0,2704406200000.0,2776106300000.0,2900091200000.0,2956593000000.0
2055.0,2678588700000.0,2758145000000.0,2879024800000.0,2952706700000.0
2056.0,2658938000000.0,2746800700000.0,2856161000000.0,2939987700000.0
2057.0,2641498700000.0,2731481200000.0,2845405300000.0,2928887200000.0
2058.0,2620426600000.0,2726111200000.0,2822845500000.0,2919474400000.0
2059.0,2580720400000.0,2721052400000.0,2799682000000.0,2911280300000.0
2060.0,2547914600000.0,2709353700000.0,2770632000000.0,2907242000000.0
2061.0,2533460800000.0,2706106500000.0,2755867200000.0,2896467000000.0
2062.0,2512573700000.0,2696294700000.0,2744879000000.0,2880494400000.0
2063.0,2501104600000.0,2678728400000.0,2721502200000.0,2868091600000.0
2064.0,2480775400000.0,2683506300000.0,2701419300000.0,2855169700000.0
2065.0,2462678300000.0,2682826000000.0,2691070200000.0,2845908100000.0
2066.0,2434190300000.0,2680477700000.0,2677310500000.0,2839110200000.0
2067.0,2416481400000.0,2676754500000.0,2668078000000.0,2826803000000.0
2068.0,2388658500000.0,2675291200000.0,2651910600000.0,2827234800000.0
2069.0,2374187400000.0,2672365100000.0,2635848000000.0,2808965200000.0
2070.0,2343354500000.0,2656628600000.0,2615392300000.0,2805325600000.0
2071.0,2315860000000.0,2648751000000.0,2590459600000.0,2803296600000.0
2072.0,2297691400000.0,2643514600000.0,2584472200000.0,2792569700000.0
2073.0,2283324600000.0,2636428000000.0,2570975000000.0,2780726800000.0
2074.0,2263270600000.0,2633616900000.0,2552675400000.0,2767759000000.0
2075.0,2250889000000.0,2626165100000.0,2534842800000.0,2765262000000.0
2076.0,2221846300000.0,2621055200000.0,2519777000000.0,2759008000000.0
2077.0,2201077000000.0,2619513200000.0,2504694400000.0,2755426300000.0
2078.0,2186275300000.0,2618607300000.0,2489062000000.0,2737390000000.0
2079.0,2172412600000.0,2623459600000.0,2476194000000.0,2734152000000.0
2080.0,2152032600000.0,2611759300000.0,2468874600000.0,2726738500000.0
2081.0,2137337100000.0,2607923600000.0,2460015000000.0,2733960600000.0
2082.0,2123135200000.0,2600127700000.0,2448197700000.0,2732981500000.0
2083.0,2111791300000.0,2596534200000.0,2430143000000.0,2727101300000.0
2084.0,2101544000000.0,2586844600000.0,2410358200000.0,2711867600000.0
2085.0,2089764400000.0,2583780000000.0,2393663300000.0,2700134300000.0
2086.0,2081963800000.0,2581133300000.0,2388020000000.0,2695248700000.0
2087.0,2073226900000.0,2571516800000.0,2378234600000.0,2694182000000.0
2088.0,2055108000000.0,2573999300000.0,2356054600000.0,2689799300000.0
2089.0,2041055400000.0,2575536500000.0,2352715400000.0,2685593200000.0
2090.0,2035754200000.0,2572683300000.0,2344682500000.0,2681869700000.0
2091.0,2020051300000.0,2574404800000.0,2319711200000.0,2679408400000.0
2092.0,2011568300000.0,2571936000000.0,2306605300000.0,2679498300000.0
2093.0,1998656500000.0,2573147600000.0,2294289800000.0,2673710000000.0
2094.0,1994676100000.0,2573055800000.0,2271549600000.0,2673011000000.0
2095.0,1982275300000.0,2577988300000.0,2246727700000.0,2665967800000.0
2096.0,1972251300000.0,2578666000000.0,2235991900000.0,2663142000000.0
2097.0,1964814900000.0,2579729700000.0,2222738400000.0,2661516300000.0
2098.0,1951944300000.0,2577640000000.0,2213140800000.0,2663940000000.0
2099.0,1945903200000.0,2584696300000.0,2200254000000.0,2664054400000.0
2100.0,1939153500000.0,2589723000000.0,2180130000000.0,2652420400000.0
