time,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3432308500000.0,3437882500000.0,3438744700000.0,3453974700000.0
2022.0,3419354200000.0,3421256300000.0,3422873700000.0,3437538000000.0
2023.0,3406826800000.0,3403033300000.0,3400844200000.0,3407731500000.0
2024.0,3391242600000.0,3376542000000.0,3386238300000.0,3386038300000.0
2025.0,3372062300000.0,3362567700000.0,3372300600000.0,3370361000000.0
2026.0,3357271700000.0,3342797000000.0,3355256600000.0,3347150800000.0
2027.0,3343856200000.0,3320817400000.0,3330867700000.0,3341227000000.0
2028.0,3312885700000.0,3297791000000.0,3308100300000.0,3317611400000.0
2029.0,3280497000000.0,3271397200000.0,3281110400000.0,3300676000000.0
2030.0,3261396200000.0,3244747000000.0,3247483000000.0,3284290800000.0
2031.0,3242040800000.0,3220955700000.0,3215193000000.0,3268208200000.0
2032.0,3226038000000.0,3196499500000.0,3204132000000.0,3250630000000.0
2033.0,3212763700000.0,3179463300000.0,3192764800000.0,3231819800000.0
2034.0,3197509000000.0,3161932200000.0,3170816200000.0,3212139000000.0
2035.0,3177316400000.0,3140419600000.0,3151987500000.0,3199601500000.0
2036.0,3160864200000.0,3115620000000.0,3138070200000.0,3183759900000.0
2037.0,3140564500000.0,3100082200000.0,3118767000000.0,3167399700000.0
2038.0,3116618200000.0,3072971500000.0,3095182400000.0,3143013200000.0
2039.0,3105226500000.0,3042296500000.0,3079538200000.0,3123478500000.0
2040.0,3083625000000.0,3020425800000.0,3058844000000.0,3107681000000.0
2041.0,3058425100000.0,2997898200000.0,3044647400000.0,3097004900000.0
2042.0,3021947300000.0,2978775300000.0,3030907400000.0,3082265600000.0
2043.0,2994492100000.0,2954653600000.0,3009619700000.0,3066102000000.0
2044.0,2959084400000.0,2941240000000.0,3007056000000.0,3061429800000.0
2045.0,2940068000000.0,2918471400000.0,2990108000000.0,3049309300000.0
2046.0,2910408400000.0,2900308300000.0,2982515800000.0,3045222800000.0
2047.0,2877990000000.0,2879661800000.0,2987532700000.0,3037025800000.0
2048.0,2853171000000.0,2855386000000.0,2977201400000.0,3023221600000.0
2049.0,2828410000000.0,2842515500000.0,2969384500000.0,3005438800000.0
2050.0,2793899000000.0,2830317600000.0,2954824300000.0,3000872200000.0
2051.0,2777012500000.0,2814163600000.0,2954015300000.0,2989832500000.0
2052.0,2760477000000.0,2802058000000.0,2941335600000.0,2979990300000.0
2053.0,2733861200000.0,2785816000000.0,2920861400000.0,2967714400000.0
