time,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000,8229625945162.118,8229625945162.118,8229625945162.118,8229625945162.118
2001,8213731866689.572,8220596775768.293,8194828109076.91,8210524673354.677
2002,8175620226673.897,8218508061487.577,8166715412104.433,8198280600603.517
2003,8136187086751.393,8194008884644.979,8152440965824.471,8160702897604.185
2004,8102408713228.202,8162775964615.202,8141464781855.493,8153456349338.241
2005,8098134233614.834,8141776674380.821,8118792785384.712,8122854832835.669
2006,8078734022818.138,8114318319964.281,8080430998064.613,8116084436074.372
2007,8064018650712.522,8060161878815.198,8038528454343.013,8091079057410.435
2008,8046750616889.113,8037296221721.405,7987578743239.452,8070178227556.057
2009,8003741671057.11,8012088452559.693,7954474620303.417,8018368129656.509
2010,7931809719162.868,7977028775054.046,7928359451498.772,7977965781836.623
2011,7912116856795.065,7961260867666.684,7900757326713.664,7928741492945.345
2012,7873751931225.58,7938690738569.011,7888669921653.515,7890656499667.861
2013,7842848296584.3545,7914930204685.855,7855974072199.898,7850687690371.195
2014,7815693361573.115,7900508728476.969,7819892914408.449,7816749206010.709
2015,7747286601598.185,7846107306244.868,7785818004475.039,7779425281408.152
2016,7730398353691.658,7827420915393.9,7744153745498.82,7751958456557.25
2017,7718710634393.308,7779413515869.609,7719297247125.441,7702613362423.45
2018,7714098392269.82,7726574222203.526,7671590348849.542,7633405124771.692
2019,7663050064190.582,7658132801195.734,7627656049296.231,7624859184099.183
2020,7606435441982.712,7619986058796.7,7616693207495.518,7603767812758.071
2021,7593413950131.307,7595305953572.817,7589347875701.709,7577608026003.1455
2022,7563053967070.113,7556650529843.03,7538183393953.033,7553369787472.207
2023,7528425347686.333,7503366513204.459,7481449054501.042,7488296817822.671
2024,7505718123560.729,7443612897395.548,7450777450411.575,7432603073645.641
2025,7459112526374.96,7342210364411.59,7408549589456.483,7390749029121.194
2026,7407924022662.841,7306922122988.066,7350176688125.913,7344849434889.659
2027,7376550499482.663,7251360415101.935,7314456776677.724,7308288970848.683
2028,7344016682582.052,7170218732602.747,7271631666652.37,7278716110336.891
2029,7316286920046.998,7092818636847.903,7213254706451.29,7232545406627.459
2030,7280682884778.104,7049421120306.787,7165653115818.639,7196634635942.339
2031,7252725891439.397,7009641380658.756,7129067707578.204,7182995733565.935
2032,7229160742684.768,6966159121054.248,7062831216467.302,7134252157997.773
2033,7155276066697.034,6878463842050.072,7029003141818.979,7085832007288.737
2034,7111032454955.437,6822279228625.664,6973052276923.654,7015739027479.058
2035,7051543835717.428,6770848951263.366,6941037908981.693,6976405965415.92
2036,6975421108799.969,6694254392265.66,6910952965037.483,6951888967453.341
2037,6930948516667.235,6637984844775.707,6877918027287.869,6906218880276.856
2038,6867415102819.8955,6565354941492.884,6829883191238.283,6836969844791.85
2039,6791921844149.271,6494272521707.723,6800007551405.827,6788202903532.386
2040,6695290496930.767,6442370994331.322,6767226367120.428,6752976837503.155
2041,6605664927733.155,6380936780351.438,6719801169367.997,6689676522246.937
2042,6558905274959.338,6274371948587.573,6690477180323.111,6632487322991.171
2043,6490166568452.893,6173101397751.027,6601074337554.169,6524515442845.627
2044,6414047479630.862,6093463868838.733,6525834323081.683,6447526575747.768
2045,6343449889755.263,6025981204248.872,6480785685265.81,6371573668515.702
2046,6277507895138.483,5951442985770.277,6422950606963.419,6285556223802.049
2047,6233959507490.42,5875958098990.313,6353381190246.188,6206533775469.79
2048,6178561744795.033,5774714215291.691,6278095324951.111,6143307617009.729
2049,6116971578497.998,5691251216319.288,6196180392660.523,6083380968588.241
2050,6027559040733.313,5610962181091.015,6126599167949.434,6014635716649.05
2051,5973383833213.905,5546636144035.253,6080927365562.011,5942395950120.967
2052,5889464444010.382,5452101603367.082,6023506228877.233,5869762178005.85
2053,5823954291706.859,5375878677781.584,5974278479162.137,5769210661955.292
2054,5735462805331.903,5276258491686.269,5898219147970.23,5672282816418.681
2055,5645368518975.739,5192926845947.015,5812181777893.824,5580677611420.451
2056,5566695044648.475,5099811793244.462,5736459688767.052,5514114981910.855
2057,5495954992930.328,5018535714841.514,5674970005580.406,5442624567470.587
2058,5405122153134.013,4956683637101.321,5605252890720.127,5367493077344.613
2059,5312071341389.475,4890859067040.156,5522645056409.734,5279971112231.082
2060,5211790261071.458,4824048372991.664,5445361145632.418,5216888544073.918
2061,5113569816143.306,4713172778768.392,5376891666044.245,5120778548872.629
2062,5045110439365.765,4602835679087.103,5301068684429.413,5065513843769.04
2063,4971070997562.508,4504650468960.658,5184061807700.373,5005800848990.664
