time,CCSM4,CESM1-CAM5
2155.0,642818640000.0,466171100000.0
2156.0,629537800000.0,457449830000.0
2157.0,623397100000.0,453066850000.0
2158.0,616601900000.0,447221630000.0
2159.0,607350300000.0,444668050000.0
2160.0,597077800000.0,436311750000.0
2161.0,586694260000.0,432666840000.0
2162.0,584392440000.0,434240720000.0
2163.0,575673100000.0,428203770000.0
2164.0,569432200000.0,423608500000.0
2165.0,562923600000.0,418095760000.0
2166.0,553394960000.0,414791900000.0
2167.0,546575650000.0,413832020000.0
2168.0,539958900000.0,409882500000.0
2169.0,530466540000.0,408454000000.0
2170.0,524691100000.0,405767500000.0
2171.0,522084350000.0,400956160000.0
2172.0,515589440000.0,396173250000.0
2173.0,510542680000.0,393667350000.0
2174.0,504744540000.0,390276350000.0
2175.0,497533980000.0,389880640000.0
2176.0,492164970000.0,386799500000.0
2177.0,480560780000.0,382131000000.0
2178.0,475732280000.0,379671300000.0
2179.0,467938670000.0,383345900000.0
2180.0,461272840000.0,379635530000.0
2181.0,455351730000.0,375417600000.0
2182.0,448092440000.0,373621850000.0
2183.0,444805680000.0,374385380000.0
2184.0,441389120000.0,374431150000.0
2185.0,434577050000.0,374538600000.0
2186.0,430117900000.0,373171620000.0
2187.0,421710760000.0,370492930000.0
2188.0,419227000000.0,370766000000.0
2189.0,419410770000.0,374210360000.0
2190.0,415901160000.0,371242600000.0
2191.0,416961920000.0,370671680000.0
2192.0,412935600000.0,369386980000.0
2193.0,407253200000.0,372466300000.0
2194.0,409683700000.0,366745030000.0
2195.0,407970970000.0,365062400000.0
2196.0,409865100000.0,363422200000.0
2197.0,406877200000.0,362838130000.0
2198.0,407221270000.0,359926530000.0
2199.0,408658540000.0,357008670000.0
2200.0,406816950000.0,355935880000.0
2201.0,403639070000.0,352671920000.0
2202.0,404216740000.0,350905530000.0
2203.0,408697500000.0,350430820000.0
2204.0,405469720000.0,350002770000.0
2205.0,404645400000.0,343220300000.0
2206.0,407309980000.0,340736840000.0
2207.0,405801900000.0,337569500000.0
2208.0,404656500000.0,336651400000.0
2209.0,401944440000.0,336053140000.0
2210.0,402053500000.0,334277350000.0
2211.0,405180970000.0,329559640000.0
2212.0,400598630000.0,326378000000.0
2213.0,397774300000.0,324174220000.0
2214.0,399432970000.0,325085920000.0
2215.0,396010060000.0,321877540000.0
2216.0,395768760000.0,317833870000.0
2217.0,395295130000.0,314703940000.0
2218.0,395808500000.0,318204940000.0
2219.0,395778420000.0,318213400000.0
2220.0,396855570000.0,318171120000.0
2221.0,397016430000.0,318371460000.0
2222.0,392143500000.0,316445030000.0
2223.0,392420560000.0,312011130000.0
2224.0,392553500000.0,312796300000.0
2225.0,392253830000.0,309156700000.0
2226.0,389594220000.0,310034860000.0
2227.0,389631670000.0,309423570000.0
2228.0,388960420000.0,308461140000.0
2229.0,387148700000.0,306513900000.0
2230.0,386374100000.0,307592070000.0
2231.0,384280070000.0,304436970000.0
2232.0,381431000000.0,304880880000.0
2233.0,380787260000.0,306460560000.0
2234.0,381105860000.0,304508860000.0
2235.0,382000900000.0,304197400000.0
2236.0,377834670000.0,301730800000.0
2237.0,377024940000.0,299964760000.0
2238.0,374681730000.0,303851470000.0
2239.0,373023200000.0,301285300000.0
2240.0,372058200000.0,301819820000.0
2241.0,373573320000.0,297974920000.0
2242.0,375924330000.0,301337200000.0
2243.0,371346370000.0,298950720000.0
2244.0,372054360000.0,297998580000.0
2245.0,369012050000.0,294887750000.0
2246.0,366879670000.0,292750000000.0
2247.0,367042130000.0,291132180000.0
2248.0,364989680000.0,292637870000.0
2249.0,366654000000.0,289973600000.0
2250.0,365795500000.0,289424380000.0
2251.0,364461950000.0,287545750000.0
2252.0,362887540000.0,291011230000.0
2253.0,360352650000.0,288426260000.0
2254.0,357685130000.0,284737300000.0
2255.0,357565660000.0,280119740000.0
2256.0,356285480000.0,280081430000.0
2257.0,353308640000.0,281030500000.0
2258.0,350698830000.0,276656420000.0
2259.0,348496040000.0,274587960000.0
2260.0,345178440000.0,271228220000.0
2261.0,342693700000.0,270265090000.0
2262.0,343110840000.0,268588760000.0
2263.0,340953270000.0,269691750000.0
2264.0,339029300000.0,267654140000.0
2265.0,339285540000.0,264242940000.0
2266.0,337199730000.0,264357890000.0
2267.0,335389700000.0,263654060000.0
2268.0,335175350000.0,260515050000.0
2269.0,332278860000.0,259355600000.0
2270.0,329489970000.0,258757500000.0
2271.0,327724170000.0,257087030000.0
2272.0,328206120000.0,252533110000.0
2273.0,327471730000.0,257672250000.0
2274.0,325785680000.0,261582950000.0
2275.0,326212600000.0,260778670000.0
2276.0,325868160000.0,259336360000.0
2277.0,323725950000.0,259416670000.0
2278.0,328113300000.0,261229890000.0
2279.0,325919470000.0,257205170000.0
2280.0,324693070000.0,258690580000.0
2281.0,325420700000.0,253570530000.0
2282.0,327581070000.0,254652630000.0
2283.0,327227800000.0,253206710000.0
2284.0,324175920000.0,254511350000.0
2285.0,326219070000.0,253417390000.0
2286.0,327527960000.0,249506820000.0
2287.0,323954080000.0,249535320000.0
2288.0,320711260000.0,251491760000.0
2289.0,318308550000.0,252261990000.0
2290.0,319389560000.0,254756980000.0
2291.0,318010600000.0,254965560000.0
2292.0,319511270000.0,254978340000.0
2293.0,319437800000.0,254876090000.0
2294.0,319595970000.0,255172410000.0
2295.0,321791230000.0,252698890000.0
2296.0,320314570000.0,253523560000.0
2297.0,322445340000.0,254718130000.0
2298.0,319295500000.0,255248120000.0
2299.0,320353500000.0,256147320000.0
2300.0,321661470000.0,254066980000.0
