time,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR
2068.0,1659248600000.0,1861969100000.0,1628990300000.0,1674876600000.0
2069.0,1622192400000.0,1846839500000.0,1607748700000.0,1654010400000.0
2070.0,1602191200000.0,1823326200000.0,1583000300000.0,1648832500000.0
2071.0,1584627700000.0,1808627800000.0,1586326900000.0,1630917500000.0
2072.0,1570629600000.0,1793127500000.0,1547694100000.0,1595962200000.0
2073.0,1546472900000.0,1783744800000.0,1543549700000.0,1577573700000.0
2074.0,1526815100000.0,1769354400000.0,1526419800000.0,1547100200000.0
2075.0,1515461700000.0,1756888600000.0,1494634600000.0,1532916000000.0
2076.0,1494732100000.0,1729767800000.0,1480287500000.0,1507539700000.0
2077.0,1473989400000.0,1697792300000.0,1458939400000.0,1489947600000.0
2078.0,1454943500000.0,1678484000000.0,1454685000000.0,1474596700000.0
2079.0,1434314700000.0,1668005900000.0,1437876000000.0,1456908000000.0
2080.0,1413374100000.0,1635757900000.0,1417435200000.0,1436620700000.0
2081.0,1390017200000.0,1615070000000.0,1402808300000.0,1423616800000.0
2082.0,1371526300000.0,1589345000000.0,1397246100000.0,1421340000000.0
2083.0,1349423200000.0,1571364300000.0,1399634500000.0,1400879200000.0
2084.0,1322496400000.0,1554699800000.0,1371180000000.0,1367672000000.0
2085.0,1306710100000.0,1524699500000.0,1352981500000.0,1354015700000.0
2086.0,1289269400000.0,1505219400000.0,1344990600000.0,1338832800000.0
2087.0,1268479800000.0,1488272500000.0,1325832900000.0,1325689900000.0
2088.0,1242928900000.0,1464022000000.0,1314020000000.0,1303068500000.0
2089.0,1220753900000.0,1439717800000.0,1298344400000.0,1288174700000.0
2090.0,1209272400000.0,1425362500000.0,1285379700000.0,1257662000000.0
2091.0,1193191700000.0,1407357400000.0,1268589900000.0,1242625000000.0
2092.0,1174425300000.0,1382004300000.0,1243710800000.0,1221547300000.0
2093.0,1164128000000.0,1374917100000.0,1232972400000.0,1193951800000.0
2094.0,1136073600000.0,1366456900000.0,1215002000000.0,1181521300000.0
2095.0,1116400600000.0,1344653400000.0,1196134500000.0,1174313900000.0
2096.0,1102440800000.0,1330051400000.0,1186670300000.0,1174884600000.0
2097.0,1099972100000.0,1315912000000.0,1188043400000.0,1161709400000.0
2098.0,1081693300000.0,1304868200000.0,1189245200000.0,1146158300000.0
2099.0,1059541550000.0,1289984100000.0,1180058800000.0,1133982500000.0
2100.0,1047372800000.0,1275049400000.0,1171937300000.0,1120471500000.0
2101.0,1031774900000.0,1267622000000.0,1151380400000.0,1114036100000.0
2102.0,1017461340000.0,1265397300000.0,1133555200000.0,1102442700000.0
2103.0,998589660000.0,1248899800000.0,1130472800000.0,1096910900000.0
2104.0,980348100000.0,1232606500000.0,1121382400000.0,1095246940000.0
2105.0,968252650000.0,1216153600000.0,1113506000000.0,1084903060000.0
2106.0,956325200000.0,1201342400000.0,1107226800000.0,1074890800000.0
2107.0,947834700000.0,1200989100000.0,1092682650000.0,1068964600000.0
2108.0,931121400000.0,1191663200000.0,1090693900000.0,1060754200000.0
2109.0,919661840000.0,1184843400000.0,1093116300000.0,1050701660000.0
2110.0,914993200000.0,1176855500000.0,1079944350000.0,1041428450000.0
2111.0,910407200000.0,1170781500000.0,1071953940000.0,1026598440000.0
2112.0,898984200000.0,1162328500000.0,1064518940000.0,1022802700000.0
2113.0,888016540000.0,1146869100000.0,1055120160000.0,1010399500000.0
2114.0,879945450000.0,1141018900000.0,1042916440000.0,1001202900000.0
2115.0,873754200000.0,1146353500000.0,1031429100000.0,994418900000.0
2116.0,866888800000.0,1132354900000.0,1014363300000.0,979022500000.0
2117.0,858534900000.0,1121999900000.0,1002766470000.0,965406600000.0
2118.0,846846100000.0,1107033600000.0,993836200000.0,958636400000.0
2119.0,835259400000.0,1108235300000.0,983050550000.0,946983600000.0
2120.0,831706760000.0,1088675800000.0,970014460000.0,937144000000.0
2121.0,822982400000.0,1079724300000.0,959352540000.0,936024340000.0
2122.0,813086300000.0,1067368250000.0,960771400000.0,925982900000.0
2123.0,805665700000.0,1059896000000.0,950519460000.0,915026740000.0
2124.0,793449140000.0,1042387200000.0,953674600000.0,909076000000.0
2125.0,791127800000.0,1045032400000.0,944685400000.0,906005100000.0
2126.0,787569970000.0,1046168540000.0,935855260000.0,891332500000.0
2127.0,785701400000.0,1034693400000.0,935130100000.0,883889860000.0
2128.0,770600800000.0,1026953800000.0,924550500000.0,874242400000.0
2129.0,770127560000.0,1022382100000.0,923700760000.0,861960400000.0
2130.0,762037530000.0,1011577850000.0,909236200000.0,854871050000.0
2131.0,747102100000.0,1004798500000.0,900498800000.0,850207600000.0
2132.0,744923000000.0,992523100000.0,901071440000.0,838993500000.0
2133.0,736540500000.0,982320400000.0,889852850000.0,835159800000.0
2134.0,731758100000.0,970397900000.0,888604900000.0,835125640000.0
2135.0,724649250000.0,975714700000.0,886642440000.0,831558250000.0
2136.0,731180000000.0,970612150000.0,886388750000.0,830580700000.0
2137.0,723053100000.0,965306740000.0,890656100000.0,826828650000.0
2138.0,718879260000.0,954022170000.0,874313000000.0,817207050000.0
2139.0,709361900000.0,945930900000.0,862476100000.0,811500960000.0
2140.0,698581600000.0,934652740000.0,865158400000.0,809765300000.0
2141.0,695335450000.0,938034900000.0,869145250000.0,805839630000.0
2142.0,689984400000.0,928794000000.0,866262060000.0,796803470000.0
2143.0,680696350000.0,918046050000.0,857674740000.0,795175000000.0
2144.0,670569270000.0,918929000000.0,855863100000.0,799161250000.0
2145.0,667777100000.0,913665400000.0,848347700000.0,793472860000.0
2146.0,659768200000.0,905126800000.0,838553440000.0,794431800000.0
2147.0,653423400000.0,896719100000.0,823589540000.0,793456500000.0
2148.0,655432200000.0,895157530000.0,823098500000.0,786128600000.0
2149.0,650433130000.0,885662100000.0,818579800000.0,781224200000.0
2150.0,648120200000.0,884010200000.0,805771100000.0,778167840000.0
2151.0,643208450000.0,875130600000.0,800000000000.0,768002300000.0
2152.0,642081950000.0,869201400000.0,792534060000.0,763714860000.0
2153.0,637082500000.0,867897440000.0,787634650000.0,761210600000.0
2154.0,631574360000.0,871205040000.0,793123100000.0,755972050000.0
2155.0,631375270000.0,868600050000.0,797515840000.0,748842450000.0
2156.0,626428740000.0,854175300000.0,799384670000.0,743929740000.0
2157.0,621524940000.0,851943900000.0,788411200000.0,739952900000.0
2158.0,616858600000.0,840898500000.0,787616700000.0,742098900000.0
2159.0,616061300000.0,832703560000.0,795795300000.0,733380940000.0
