time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2109.0,1514083300000.0,2165937700000.0,1481772900000.0
2110.0,1512262900000.0,2158435600000.0,1516251000000.0
2111.0,1502277700000.0,2152148500000.0,1506468800000.0
2112.0,1486316600000.0,2152985700000.0,1500131400000.0
2113.0,1467356200000.0,2155755200000.0,1486413400000.0
2114.0,1449700800000.0,2145975000000.0,1489452500000.0
2115.0,1443724800000.0,2147931500000.0,1477482000000.0
2116.0,1433898300000.0,2144413200000.0,1469829900000.0
2117.0,1426827600000.0,2144417000000.0,1450301500000.0
2118.0,1417079800000.0,2135418000000.0,1439488100000.0
2119.0,1407336700000.0,2128104800000.0,1438376800000.0
2120.0,1413412800000.0,2130529500000.0,1432394900000.0
2121.0,1398630100000.0,2154553300000.0,1426617500000.0
2122.0,1384430400000.0,2151435000000.0,1413159300000.0
2123.0,1380907000000.0,2152073400000.0,1414090000000.0
2124.0,1379228500000.0,2145916700000.0,1428417500000.0
2125.0,1366500000000.0,2156937500000.0,1416132600000.0
2126.0,1355137400000.0,2159337000000.0,1406670200000.0
2127.0,1350075800000.0,2161437000000.0,1409528900000.0
2128.0,1350146000000.0,2154840700000.0,1407311700000.0
2129.0,1346295700000.0,2156663400000.0,1402996800000.0
2130.0,1340097800000.0,2186800100000.0,1394937300000.0
2131.0,1337405900000.0,2160459800000.0,1390591300000.0
2132.0,1333672300000.0,2144784500000.0,1372934800000.0
2133.0,1330102700000.0,2136945200000.0,1371833900000.0
2134.0,1325742400000.0,2146106600000.0,1379819000000.0
2135.0,1320294000000.0,2143265100000.0,1367998100000.0
2136.0,1306457800000.0,2140909700000.0,1365916900000.0
2137.0,1295832000000.0,2137484200000.0,1358658700000.0
2138.0,1299905400000.0,2147502400000.0,1352943100000.0
2139.0,1292423400000.0,2142096900000.0,1356998800000.0
2140.0,1288071400000.0,2132143100000.0,1353994900000.0
2141.0,1286281900000.0,2130417000000.0,1355343300000.0
2142.0,1285722500000.0,2122605800000.0,1350064100000.0
2143.0,1290473200000.0,2127399500000.0,1339031800000.0
2144.0,1274094300000.0,2128341100000.0,1327066300000.0
2145.0,1270755900000.0,2109232500000.0,1332938800000.0
2146.0,1269657100000.0,2103628300000.0,1332243200000.0
2147.0,1257085600000.0,2090877500000.0,1316917000000.0
2148.0,1251949300000.0,2085392100000.0,1304904700000.0
2149.0,1238084000000.0,2076960200000.0,1306953600000.0
2150.0,1240235000000.0,2082388400000.0,1305562300000.0
2151.0,1240777500000.0,2084640300000.0,1295522900000.0
2152.0,1243151200000.0,2079181000000.0,1290387200000.0
2153.0,1238045400000.0,2075565600000.0,1285147900000.0
2154.0,1233701800000.0,2067768700000.0,1284149900000.0
2155.0,1231275000000.0,2063321900000.0,1284125200000.0
2156.0,1226433400000.0,2074449700000.0,1271460900000.0
2157.0,1228236100000.0,2085794500000.0,1255817600000.0
2158.0,1224481300000.0,2093365000000.0,1263452700000.0
2159.0,1223845500000.0,2091170700000.0,1253964300000.0
2160.0,1213578900000.0,2101966700000.0,1250102100000.0
2161.0,1215181500000.0,2107374000000.0,1246968400000.0
2162.0,1217372700000.0,2101103600000.0,1237777300000.0
2163.0,1208510400000.0,2110477800000.0,1234099900000.0
2164.0,1202338000000.0,2118631200000.0,1239107800000.0
2165.0,1201048900000.0,2132881000000.0,1225923100000.0
2166.0,1192920500000.0,2121692700000.0,1237302900000.0
2167.0,1188246800000.0,2145304300000.0,1241962600000.0
2168.0,1184504900000.0,2143539000000.0,1242674900000.0
2169.0,1188747100000.0,2160845100000.0,1240471400000.0
2170.0,1190036200000.0,2157548400000.0,1239152900000.0
2171.0,1185411600000.0,2152493400000.0,1233351500000.0
2172.0,1173785800000.0,2157885500000.0,1240971000000.0
2173.0,1181880000000.0,2166078300000.0,1242931800000.0
2174.0,1188455400000.0,2163786100000.0,1238375200000.0
2175.0,1185051600000.0,2184645000000.0,1230207600000.0
2176.0,1173256400000.0,2194269500000.0,1237862200000.0
2177.0,1167756900000.0,2193057600000.0,1247005900000.0
2178.0,1163372800000.0,2197049200000.0,1226987500000.0
2179.0,1164361300000.0,2211638400000.0,1237804900000.0
2180.0,1183947300000.0,2234959500000.0,1233435600000.0
2181.0,1169024000000.0,2235974500000.0,1233706800000.0
2182.0,1167672300000.0,2235004400000.0,1226600300000.0
2183.0,1164743300000.0,2228386800000.0,1249562300000.0
2184.0,1168652000000.0,2231626400000.0,1245923600000.0
2185.0,1173361500000.0,2231772400000.0,1246694300000.0
2186.0,1166694800000.0,2239992200000.0,1233201300000.0
2187.0,1165422000000.0,2237306200000.0,1227768100000.0
2188.0,1162919100000.0,2247433700000.0,1231900800000.0
2189.0,1165783600000.0,2249563000000.0,1230680900000.0
2190.0,1165874800000.0,2231973000000.0,1227137500000.0
