time,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2032.0,4254427800000.0,4446953000000.0,4262813200000.0,4412159300000.0,4368481000000.0
2033.0,4218320300000.0,4438475000000.0,4239229200000.0,4399000700000.0,4335392000000.0
2034.0,4160580000000.0,4397143200000.0,4196072000000.0,4372341000000.0,4304899700000.0
2035.0,4137472500000.0,4384335600000.0,4162961800000.0,4330621800000.0,4273653400000.0
2036.0,4119653000000.0,4361986500000.0,4130935100000.0,4310453700000.0,4249448300000.0
2037.0,4089988300000.0,4331951600000.0,4101451800000.0,4277761000000.0,4212540800000.0
2038.0,4046689100000.0,4310878700000.0,4057212400000.0,4244526000000.0,4172716400000.0
2039.0,4019630000000.0,4288478700000.0,3994128500000.0,4209619800000.0,4136134000000.0
2040.0,3962316300000.0,4253064600000.0,3962109200000.0,4185226000000.0,4114910000000.0
2041.0,3909701600000.0,4234643000000.0,3921323800000.0,4191966500000.0,4076730300000.0
2042.0,3855629200000.0,4200490600000.0,3890844500000.0,4163092600000.0,4061266400000.0
2043.0,3816054300000.0,4167743300000.0,3857917000000.0,4164793400000.0,4033170600000.0
2044.0,3775592400000.0,4145359000000.0,3831505600000.0,4141479400000.0,4009165300000.0
2045.0,3742722400000.0,4112223300000.0,3793946700000.0,4139798800000.0,3982421100000.0
2046.0,3701556000000.0,4100918000000.0,3767015800000.0,4117001700000.0,3946890400000.0
2047.0,3634655400000.0,4072417500000.0,3728850300000.0,4076222500000.0,3912602200000.0
2048.0,3587946600000.0,4050994300000.0,3679580300000.0,4043245600000.0,3891060500000.0
2049.0,3540383200000.0,4000438800000.0,3644554500000.0,4029804200000.0,3859261200000.0
2050.0,3488940600000.0,3980665800000.0,3616188100000.0,4005475600000.0,3816371300000.0
2051.0,3443613200000.0,3960778800000.0,3582468300000.0,3984581000000.0,3791594200000.0
2052.0,3387682200000.0,3925167300000.0,3542505200000.0,3959152700000.0,3768229300000.0
2053.0,3341037000000.0,3894371000000.0,3504408000000.0,3950747800000.0,3755099600000.0
2054.0,3279196800000.0,3846101300000.0,3475390300000.0,3909555800000.0,3726083400000.0
2055.0,3243015700000.0,3813240500000.0,3434110800000.0,3879640200000.0,3705025000000.0
2056.0,3184285700000.0,3781484300000.0,3391672800000.0,3843500800000.0,3695680700000.0
2057.0,3146657800000.0,3743194300000.0,3354210900000.0,3816923900000.0,3670329000000.0
2058.0,3080560300000.0,3725540500000.0,3313534000000.0,3755880000000.0,3648727500000.0
2059.0,3035999000000.0,3695820700000.0,3288785200000.0,3717642000000.0,3627575100000.0
2060.0,2993330800000.0,3667306700000.0,3268340000000.0,3675503500000.0,3593922700000.0
2061.0,2955457900000.0,3640669200000.0,3250088800000.0,3660335300000.0,3568045000000.0
2062.0,2920319300000.0,3611843000000.0,3213804000000.0,3623018300000.0,3536993600000.0
2063.0,2878335400000.0,3594468000000.0,3183294500000.0,3575134300000.0,3521128000000.0
2064.0,2824537600000.0,3582887700000.0,3148598200000.0,3537399700000.0,3501584800000.0
2065.0,2782344800000.0,3557685200000.0,3124819000000.0,3501042200000.0,3482347600000.0
2066.0,2740224500000.0,3536327000000.0,3095589300000.0,3494322400000.0,3445051600000.0
2067.0,2689282900000.0,3522104100000.0,3073230200000.0,3441096700000.0,3421102000000.0
2068.0,2641859400000.0,3514724800000.0,3038485000000.0,3392536600000.0,3421794700000.0
2069.0,2598908700000.0,3485355500000.0,3013814800000.0,3354359500000.0,3387207700000.0
2070.0,2551286000000.0,3453323800000.0,2986445400000.0,3298002200000.0,3364337700000.0
2071.0,2508111500000.0,3434049400000.0,2956565700000.0,3238348500000.0,3345161700000.0
2072.0,2464468200000.0,3400564200000.0,2920738200000.0,3191940600000.0,3328263000000.0
2073.0,2426477700000.0,3378172700000.0,2891910500000.0,3151248200000.0,3304426800000.0
2074.0,2380118000000.0,3344121700000.0,2864520000000.0,3137434800000.0,3262579700000.0
2075.0,2341034300000.0,3310231200000.0,2847389800000.0,3085063000000.0,3215702400000.0
2076.0,2309573300000.0,3270743000000.0,2814390800000.0,3050083500000.0,3183658400000.0
2077.0,2262937400000.0,3229687500000.0,2797895200000.0,3033105200000.0,3158224100000.0
2078.0,2218200000000.0,3199198000000.0,2757981000000.0,3015458400000.0,3135064500000.0
2079.0,2183778100000.0,3173805700000.0,2721051300000.0,2994071700000.0,3104920600000.0
2080.0,2140938000000.0,3154893600000.0,2683291600000.0,2978173200000.0,3080595200000.0
2081.0,2102513200000.0,3143351000000.0,2641568700000.0,2948026000000.0,3048306600000.0
2082.0,2065795500000.0,3122985400000.0,2612560000000.0,2906073900000.0,3007378600000.0
2083.0,2027127400000.0,3092372300000.0,2577051200000.0,2878878300000.0,2974911300000.0
2084.0,1990548700000.0,3064602300000.0,2538112800000.0,2852343300000.0,2955962000000.0
2085.0,1938576800000.0,3034866500000.0,2505067000000.0,2825034000000.0,2940851000000.0
2086.0,1887634500000.0,3008558300000.0,2469385700000.0,2779280600000.0,2915016000000.0
2087.0,1839997600000.0,2978822200000.0,2436467500000.0,2750176600000.0,2895137200000.0
2088.0,1801161800000.0,2944803500000.0,2419038400000.0,2734191000000.0,2857881000000.0
2089.0,1770298100000.0,2934425800000.0,2392177000000.0,2704974000000.0,2825166300000.0
2090.0,1727319600000.0,2916544400000.0,2369087600000.0,2680955000000.0,2803276200000.0
2091.0,1676188000000.0,2899841600000.0,2332318500000.0,2656018000000.0,2760293000000.0
2092.0,1644679000000.0,2877362300000.0,2312501500000.0,2629369900000.0,2739199800000.0
2093.0,1602794700000.0,2842780800000.0,2280527000000.0,2598838200000.0,2714334000000.0
2094.0,1564351500000.0,2809042800000.0,2229239800000.0,2575621400000.0,2690673800000.0
2095.0,1522878000000.0,2773724700000.0,2197661400000.0,2559632500000.0,2664780000000.0
2096.0,1488547100000.0,2746250200000.0,2166221800000.0,2520805500000.0,2640832400000.0
2097.0,1453815200000.0,2707176800000.0,2132113500000.0,2486138800000.0,2618405400000.0
2098.0,1427146800000.0,2685817800000.0,2095083000000.0,2456719200000.0,2599505400000.0
2099.0,1384715000000.0,2649252000000.0,2069183500000.0,2435968000000.0,2561154200000.0
2100.0,1350569700000.0,2623332000000.0,2045668200000.0,2387711000000.0,2531769200000.0
