time,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR
2069.0,2389345800000.0,3204667400000.0,2933660600000.0,3143842100000.0,3400391500000.0
2070.0,2345382200000.0,3179009800000.0,2903609400000.0,3117342500000.0,3376803700000.0
2071.0,2298779000000.0,3152249400000.0,2863292700000.0,3091563800000.0,3342700400000.0
2072.0,2254997300000.0,3121041400000.0,2821878200000.0,3061817800000.0,3309509500000.0
2073.0,2209729700000.0,3113167400000.0,2788037800000.0,3027093200000.0,3284898000000.0
2074.0,2156460500000.0,3106655700000.0,2735231200000.0,3012739500000.0,3243341000000.0
2075.0,2109519600000.0,3077207000000.0,2703022000000.0,2979843500000.0,3207525300000.0
2076.0,2064307000000.0,3048431000000.0,2664607800000.0,2925225300000.0,3189218500000.0
2077.0,2004746400000.0,3021978700000.0,2623699700000.0,2895984700000.0,3160050500000.0
2078.0,1956474000000.0,3014326000000.0,2584343700000.0,2867558000000.0,3132887000000.0
2079.0,1912229200000.0,2987606100000.0,2550413700000.0,2853079600000.0,3118822600000.0
2080.0,1851508400000.0,2957883500000.0,2514055300000.0,2817293300000.0,3086765000000.0
2081.0,1798913000000.0,2921901300000.0,2468767900000.0,2781114000000.0,3051308400000.0
2082.0,1751365300000.0,2889279000000.0,2433958800000.0,2745359100000.0,3032971200000.0
2083.0,1701676300000.0,2855667500000.0,2399357600000.0,2709941600000.0,2998043700000.0
2084.0,1653203400000.0,2831860000000.0,2359375200000.0,2688660300000.0,2944082400000.0
2085.0,1591281000000.0,2803753300000.0,2321120000000.0,2660743000000.0,2918646300000.0
2086.0,1554790100000.0,2775154700000.0,2289286500000.0,2615528000000.0,2905792300000.0
2087.0,1506456200000.0,2749602500000.0,2258165000000.0,2583869300000.0,2863888600000.0
2088.0,1455233000000.0,2725127700000.0,2221771300000.0,2561089700000.0,2838027300000.0
2089.0,1396028500000.0,2694468900000.0,2186387500000.0,2526652100000.0,2799331400000.0
2090.0,1344368300000.0,2652878100000.0,2138292400000.0,2504156000000.0,2770952000000.0
2091.0,1303089900000.0,2621474000000.0,2094824300000.0,2460586900000.0,2735285000000.0
2092.0,1271225400000.0,2596595800000.0,2058139000000.0,2425965200000.0,2705594000000.0
2093.0,1230278600000.0,2562975600000.0,2015793800000.0,2385938000000.0,2662013300000.0
2094.0,1190388000000.0,2540885200000.0,1976167300000.0,2348396800000.0,2639987500000.0
2095.0,1157553800000.0,2516093000000.0,1939953300000.0,2295399700000.0,2606075500000.0
2096.0,1108978600000.0,2486500600000.0,1905095100000.0,2259079700000.0,2583733000000.0
2097.0,1075238300000.0,2462607700000.0,1863159800000.0,2231834200000.0,2549233200000.0
2098.0,1032626300000.0,2438320600000.0,1832510400000.0,2178193200000.0,2502803800000.0
2099.0,993164460000.0,2422729300000.0,1799235800000.0,2144433700000.0,2456737000000.0
2100.0,951994350000.0,2385874300000.0,1764460200000.0,2130767500000.0,2406706600000.0
