time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4
2069.0,3073681000000.0,3436995000000.0,3517935800000.0,3778774800000.0,3639377000000.0
2070.0,3036515000000.0,3434948300000.0,3500870200000.0,3759494700000.0,3618676000000.0
2071.0,2992792100000.0,3409119000000.0,3504302700000.0,3754279600000.0,3616049200000.0
2072.0,2986730000000.0,3396543000000.0,3493429200000.0,3741393000000.0,3589679000000.0
2073.0,2959914300000.0,3361482200000.0,3466475900000.0,3738053400000.0,3579129400000.0
2074.0,2924468000000.0,3341592800000.0,3460314000000.0,3708513400000.0,3564416500000.0
2075.0,2893343600000.0,3326308500000.0,3425464700000.0,3696651100000.0,3555761000000.0
2076.0,2869782400000.0,3310552000000.0,3408143300000.0,3686191900000.0,3550498500000.0
2077.0,2861814000000.0,3294478000000.0,3398286200000.0,3677653600000.0,3539650000000.0
2078.0,2839223000000.0,3287510400000.0,3368271700000.0,3661256000000.0,3526536500000.0
2079.0,2838479000000.0,3260240400000.0,3355122900000.0,3617592700000.0,3477072000000.0
2080.0,2831003000000.0,3252099200000.0,3328133300000.0,3595965600000.0,3454694600000.0
2081.0,2825140800000.0,3225279300000.0,3329049200000.0,3563754600000.0,3441668400000.0
2082.0,2799639200000.0,3196030300000.0,3329284600000.0,3548368900000.0,3420523000000.0
2083.0,2769033000000.0,3178735600000.0,3326914000000.0,3535727200000.0,3397474000000.0
2084.0,2767874000000.0,3146304500000.0,3315192800000.0,3513850500000.0,3384830900000.0
2085.0,2769388000000.0,3131163300000.0,3296302200000.0,3506689300000.0,3388817000000.0
2086.0,2750478000000.0,3126418000000.0,3285612500000.0,3472272700000.0,3364558200000.0
2087.0,2720586000000.0,3124208300000.0,3232410600000.0,3470951400000.0,3348421400000.0
2088.0,2701885400000.0,3117612500000.0,3210528400000.0,3459931400000.0,3332706000000.0
2089.0,2690764800000.0,3087243400000.0,3194443000000.0,3449227600000.0,3336996000000.0
2090.0,2680072400000.0,3073728800000.0,3177389200000.0,3418922700000.0,3305356100000.0
2091.0,2659316700000.0,3063298000000.0,3152312000000.0,3429372300000.0,3285297100000.0
2092.0,2627916500000.0,3041876800000.0,3145127200000.0,3422702500000.0,3282822000000.0
2093.0,2595600200000.0,3025575000000.0,3119431000000.0,3414531800000.0,3288897400000.0
2094.0,2583624700000.0,3013383600000.0,3113057000000.0,3419644600000.0,3277634100000.0
2095.0,2574781000000.0,3010447300000.0,3112141300000.0,3405294000000.0,3286447700000.0
2096.0,2559814400000.0,3015810500000.0,3106548500000.0,3392859000000.0,3276798200000.0
2097.0,2542832200000.0,3000394300000.0,3093195700000.0,3374417000000.0,3274641000000.0
2098.0,2539188600000.0,2997989700000.0,3090115700000.0,3361374700000.0,3250764600000.0
2099.0,2530466600000.0,2985465200000.0,3083006400000.0,3359174300000.0,3244186100000.0
2100.0,2525743000000.0,2959507700000.0,3066640700000.0,3354991500000.0,3238800400000.0
