,global_temp_ch_2071-2100_preindustrial,rel_ice_2300_RGI13-14-15
CESM2-WACCM_ssp126_OGGM,2.396573120895828,54.91955534222515
CESM2-WACCM_ssp585_OGGM,5.320880227544369,0.44556993510578013
ACCESS-ESM1-5_ssp585_OGGM,4.554209040457526,0.3126225626848322
ACCESS-ESM1-5_ssp126_OGGM,2.199495508609009,35.62565689797642
ACCESS-CM2_ssp126_OGGM,2.721734634600584,27.47653886322243
ACCESS-CM2_ssp585_OGGM,5.33102945504334,0.19582076526704834
IPSL-CM6A-LR_ssp585_OGGM,5.360255126953125,0.0028877902695682543
IPSL-CM6A-LR_ssp126_OGGM,2.134730224609375,44.73929276981138
MRI-ESM2-0_ssp585_OGGM,4.271657059865452,0.7952139228233199
MRI-ESM2-0_ssp126_OGGM,1.922782874789509,98.02939182098905
CANESM5_ssp126_OGGM,2.5864560248033444,53.47650569208619
CANESM5_ssp585_OGGM,6.274634111566688,1.9440491454715068
MPI-ESM-LR_rcp45_OGGM,2.230734450266259,16.377656577197396
CSIRO-MK3-6-0_rcp45_OGGM,2.810631689648124,12.243819156698493
NORESM1-M_rcp45_OGGM,2.199055291712857,14.582434479129992
CESM1-CAM5_rcp45_OGGM,2.907176938010541,15.246723513338036
CCSM4_rcp60_OGGM,2.646794597021942,9.290669758537298
CESM1-CAM5_rcp60_OGGM,3.299894213889904,7.041149604530378
MPI-ESM-LR_rcp26_OGGM,1.427504187860568,98.40592325455796
CANESM2_rcp26_OGGM,2.120244764241481,50.72959274558575
CESM1-CAM5_rcp26_OGGM,2.1171372631532157,43.139102084801394
CSIRO-MK3-6-0_rcp85_OGGM,4.35665250612107,0.277315485195513
CCSM4_rcp85_OGGM,4.041377764562815,0.943128579819742
MPI-ESM-LR_rcp85_OGGM,3.998043625176483,0.14591436719892412
CESM2-WACCM_ssp126_GloGEM,2.396573120895828,41.03695846543278
CESM2-WACCM_ssp585_GloGEM,5.320880227544369,0.36942099481684326
ACCESS-ESM1-5_ssp585_GloGEM,4.554209040457526,0.09680182318643393
ACCESS-ESM1-5_ssp126_GloGEM,2.199495508609009,17.833603680579838
ACCESS-CM2_ssp126_GloGEM,2.721734634600584,14.083499462568533
ACCESS-CM2_ssp585_GloGEM,5.33102945504334,0.37649361454417407
IPSL-CM6A-LR_ssp585_GloGEM,5.360255126953125,0.006061442595296849
IPSL-CM6A-LR_ssp126_GloGEM,2.134730224609375,134.75809944506042
MRI-ESM2-0_ssp585_GloGEM,4.271657059865452,0.37157596558891653
MRI-ESM2-0_ssp126_GloGEM,1.922782874789509,91.96546481899385
CESM2-WACCM_ssp126_PyGEM-OGGM,2.396573120895828,39.22522619265868
CESM2-WACCM_ssp585_PyGEM-OGGM,5.320880227544369,0.13118060295619113
ACCESS-ESM1-5_ssp585_PyGEM-OGGM,4.554209040457526,0.11882497295178446
ACCESS-ESM1-5_ssp126_PyGEM-OGGM,2.199495508609009,27.978123872115763
ACCESS-CM2_ssp126_PyGEM-OGGM,2.721734634600584,23.639047397191913
ACCESS-CM2_ssp585_PyGEM-OGGM,5.33102945504334,0.012842192228040202
IPSL-CM6A-LR_ssp585_PyGEM-OGGM,5.360255126953125,0.0016432418751915407
IPSL-CM6A-LR_ssp126_PyGEM-OGGM,2.134730224609375,37.59546816054158
MRI-ESM2-0_ssp585_PyGEM-OGGM,4.271657059865452,0.4588808400798667
MRI-ESM2-0_ssp126_PyGEM-OGGM,1.922782874789509,61.72192881955116
MPI-ESM-LR_rcp45_Mar2012,2.230734450266259,24.615930815918947
CNRM-CM5_rcp45_Mar2012,2.484986670790197,30.127377031361803
IPSL-CM5A-LR_rcp45_Mar2012,2.7239921564480527,18.39166328051902
GISS-E2-R_rcp45_Mar2012,1.82770318252597,31.81952409647619
IPSL-CM5A-LR_rcp26_Mar2012,1.860616402203168,36.30956514377781
MPI-ESM-LR_rcp26_Mar2012,1.427504187860568,49.14407664858
IPSL-CM5A-LR_rcp85_Mar2012,4.811367772821375,5.1070556891337295
MPI-ESM-LR_rcp85_Mar2012,3.998043625176483,4.890759519644535
CNRM-CM5_rcp85_Mar2012,3.9004764078537777,3.5881419729508734
GISS-E2-R_rcp85_Mar2012,3.022012858049384,12.804890633947092
