time,MRI-ESM2-0,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4
2025.0,26866121000000.0,26572264000000.0,26688186000000.0,26572690000000.0,26661936000000.0
2026.0,26900362000000.0,26544804000000.0,26636504000000.0,26507425000000.0,26662572000000.0
2027.0,26880686000000.0,26488762000000.0,26666254000000.0,26482003000000.0,26664896000000.0
2028.0,26821060000000.0,26423030000000.0,26650863000000.0,26444440000000.0,26640646000000.0
2029.0,26821926000000.0,26368640000000.0,26670879000000.0,26423310000000.0,26608025000000.0
2030.0,26745718000000.0,26296009000000.0,26629147000000.0,26421112000000.0,26603745000000.0
2031.0,26767494000000.0,26186625000000.0,26628504000000.0,26371542000000.0,26524210000000.0
2032.0,26738176000000.0,26147337000000.0,26622570000000.0,26325662000000.0,26420860000000.0
2033.0,26796260000000.0,26014588000000.0,26586833000000.0,26312990000000.0,26369084000000.0
2034.0,26749906000000.0,25922620000000.0,26574350000000.0,26245358000000.0,26361628000000.0
2035.0,26728188000000.0,25814180000000.0,26585982000000.0,26233279000000.0,26340336000000.0
2036.0,26744545000000.0,25672322000000.0,26584470000000.0,26203799000000.0,26326495000000.0
2037.0,26675446000000.0,25561580000000.0,26589836000000.0,26165987000000.0,26311693000000.0
2038.0,26733426000000.0,25450307000000.0,26522337000000.0,26108441000000.0,26259602000000.0
2039.0,26707432000000.0,25335047000000.0,26502712000000.0,26106816000000.0,26252237000000.0
2040.0,26723855000000.0,25200012000000.0,26439072000000.0,26067864000000.0,26180743000000.0
2041.0,26636783000000.0,25083337000000.0,26405258000000.0,26005056000000.0,26144520000000.0
2042.0,26568650000000.0,24948326000000.0,26369421000000.0,25980354000000.0,26081090000000.0
2043.0,26510470000000.0,24895952000000.0,26408483000000.0,25931916000000.0,26070384000000.0
2044.0,26350160000000.0,24769400000000.0,26392983000000.0,25895203000000.0,25999832000000.0
2045.0,26273863000000.0,24590187000000.0,26347387000000.0,25850376000000.0,25919633000000.0
2046.0,26186007000000.0,24445605000000.0,26359670000000.0,25746328000000.0,25835489000000.0
2047.0,26023725000000.0,24321362000000.0,26394960000000.0,25681019000000.0,25774100000000.0
2048.0,25802867000000.0,24101561000000.0,26318964000000.0,25624784000000.0,25723627000000.0
2049.0,25782882000000.0,23850568000000.0,26307969000000.0,25456273000000.0,25694778000000.0
2050.0,25668811000000.0,23695584000000.0,26357333000000.0,25357281000000.0,25608805000000.0
2051.0,25473602000000.0,23522122000000.0,26276014000000.0,25270333000000.0,25586141000000.0
2052.0,25471876000000.0,23364150000000.0,26289023000000.0,25184856000000.0,25516925000000.0
2053.0,25452947000000.0,23211503000000.0,26247931000000.0,25118152000000.0,25487055000000.0
2054.0,25319824000000.0,23028467000000.0,26214526000000.0,25037556000000.0,25461960000000.0
2055.0,25197680000000.0,22831507000000.0,26192307000000.0,24975360000000.0,25384300000000.0
2056.0,25076993000000.0,22576106000000.0,26143162000000.0,24860000000000.0,25339454000000.0
2057.0,24887486000000.0,22369861000000.0,26131672000000.0,24687220000000.0,25281641000000.0
2058.0,24849280000000.0,22112677000000.0,26086210000000.0,24616270000000.0,25176547000000.0
2059.0,24794299000000.0,21814049000000.0,26042020000000.0,24504774000000.0,25129847000000.0
2060.0,24678080000000.0,21589261000000.0,26022437000000.0,24376481000000.0,25079587000000.0
2061.0,24568423000000.0,21419728000000.0,25882390000000.0,24327815000000.0,25031145000000.0
2062.0,24504573000000.0,21217898000000.0,25839030000000.0,24176901000000.0,24934282000000.0
2063.0,24541089000000.0,20976505000000.0,25747590000000.0,24079583000000.0,24884944000000.0
2064.0,24554310000000.0,20675450000000.0,25731233000000.0,23905029000000.0,24920193000000.0
2065.0,24588606000000.0,20442340000000.0,25663700000000.0,23773177000000.0,24812310000000.0
2066.0,24518305000000.0,20261544000000.0,25576880000000.0,23605446000000.0,24786609000000.0
2067.0,24494184000000.0,20052626000000.0,25501584000000.0,23413905000000.0,24715740000000.0
2068.0,24424695000000.0,19846335000000.0,25472369000000.0,23284786000000.0,24638864000000.0
2069.0,24387598000000.0,19561882000000.0,25367826000000.0,23180226000000.0,24561639000000.0
2070.0,24328532000000.0,19320275000000.0,25308657000000.0,23117181000000.0,24518339000000.0
2071.0,24182006000000.0,19034150000000.0,25290426000000.0,22865158000000.0,24439991000000.0
2072.0,24072753000000.0,18742765000000.0,25296265000000.0,22610413000000.0,24363668000000.0
2073.0,24004706000000.0,18414498000000.0,25219274000000.0,22441610000000.0,24309770000000.0
2074.0,23838746000000.0,18145878000000.0,25195247000000.0,22265792000000.0,24299620000000.0
2075.0,23832067000000.0,17838929000000.0,25187985000000.0,22070535000000.0,24200446000000.0
2076.0,23813497000000.0,17537536000000.0,25145513000000.0,21976410000000.0,24113446000000.0
2077.0,23569294000000.0,17160313000000.0,25051162000000.0,21694094000000.0,24079950000000.0
2078.0,23458476000000.0,16842501000000.0,24947050000000.0,21403462000000.0,24040576000000.0
2079.0,23333045000000.0,16455376000000.0,24866623000000.0,21249812000000.0,23930601000000.0
2080.0,23199960000000.0,16138276000000.0,24848235000000.0,21049630000000.0,23838880000000.0
2081.0,22948058000000.0,15851499000000.0,24758690000000.0,20798176000000.0,23749810000000.0
2082.0,22803428000000.0,15511996000000.0,24699174000000.0,20503668000000.0,23688257000000.0
2083.0,22767080000000.0,15234645000000.0,24636476000000.0,20258425000000.0,23639190000000.0
2084.0,22594569000000.0,14911836000000.0,24564245000000.0,20014998000000.0,23516580000000.0
2085.0,22477718000000.0,14590850000000.0,24567886000000.0,19796763000000.0,23384740000000.0
2086.0,22424366000000.0,14255505000000.0,24513536000000.0,19590738000000.0,23336128000000.0
2087.0,22369008000000.0,13926953000000.0,24428816000000.0,19301520000000.0,23229000000000.0
2088.0,22198073000000.0,13604770000000.0,24314445000000.0,19035347000000.0,23120497000000.0
2089.0,22153502000000.0,13264141000000.0,24287969000000.0,18776228000000.0,23051199000000.0
2090.0,21978476000000.0,12893700000000.0,24175680000000.0,18528789000000.0,22957240000000.0
2091.0,21796594000000.0,12584449000000.0,24125532000000.0,18241710000000.0,22907623000000.0
2092.0,21591965000000.0,12207911000000.0,24057769000000.0,17902959000000.0,22819474000000.0
2093.0,21385130000000.0,11835207000000.0,24033385000000.0,17647922000000.0,22726182000000.0
2094.0,21192994000000.0,11508028000000.0,24043797000000.0,17402239000000.0,22671142000000.0
2095.0,21117402000000.0,11170210000000.0,23931596000000.0,17115710000000.0,22646912000000.0
2096.0,20919114000000.0,10856170000000.0,23870518000000.0,16837335000000.0,22595143000000.0
2097.0,20707767000000.0,10505316000000.0,23809267000000.0,16540673000000.0,22504679000000.0
2098.0,20538578000000.0,10200427000000.0,23781385000000.0,16221387000000.0,22412375000000.0
2099.0,20406956000000.0,9917819000000.0,23736583000000.0,15917623000000.0,22305269000000.0
2100.0,20293108000000.0,9611133000000.0,23648272000000.0,15645567000000.0,22247610000000.0
