time,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,CESM2-WACCM
2085.0,31999510000000.0,31900341000000.0,32165985000000.0,28135236000000.0
2086.0,31807345000000.0,31721364000000.0,31919943000000.0,27900720000000.0
2087.0,31611695000000.0,31619760000000.0,31759120000000.0,27646402000000.0
2088.0,31528755000000.0,31502042000000.0,31517930000000.0,27379540000000.0
2089.0,31366016000000.0,31356057000000.0,31294837000000.0,27056188000000.0
2090.0,31118187000000.0,31055373000000.0,31056017000000.0,26701166000000.0
2091.0,30973282000000.0,30894770000000.0,30852065000000.0,26263940000000.0
2092.0,30794119000000.0,30686260000000.0,30677588000000.0,25900886000000.0
2093.0,30526933000000.0,30495004000000.0,30385757000000.0,25621530000000.0
2094.0,30409916000000.0,30249980000000.0,30104388000000.0,25295277000000.0
2095.0,30203932000000.0,30047380000000.0,29813759000000.0,24982920000000.0
2096.0,30033895000000.0,29903198000000.0,29440682000000.0,24602814000000.0
2097.0,29873985000000.0,29739278000000.0,29156629000000.0,24241452000000.0
2098.0,29707509000000.0,29648094000000.0,28966851000000.0,23931684000000.0
2099.0,29571490000000.0,29537230000000.0,28711164000000.0,23656281000000.0
2100.0,29444991000000.0,29336822000000.0,28453902000000.0,23258236000000.0
