time,CMCC-CM2-SR5,EC-EARTH3,INM-CM5-0,INM-CM4-8,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,MRI-ESM2-0,CESM2,MPI-ESM1-2-HR,NORESM2-MM,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4
2015.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0
2016.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0
2017.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0
2018.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0
2019.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0
2020.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0
2021.0,44534870000000.0,44582738000000.0,44688100000000.0,44614450000000.0,44614854000000.0,44555500000000.0,44702010000000.0,44589537000000.0,44646294000000.0,44633028000000.0,44655807000000.0,44580234000000.0,44644720000000.0,44587914000000.0
2022.0,44507656000000.0,44401850000000.0,44632650000000.0,44542493000000.0,44531510000000.0,44371408000000.0,44646617000000.0,44323790000000.0,44602774000000.0,44553690000000.0,44498504000000.0,44617750000000.0,44633862000000.0,44565017000000.0
2023.0,44392677000000.0,44295980000000.0,44549653000000.0,44491070000000.0,44422465000000.0,44232547000000.0,44611230000000.0,44257105000000.0,44545170000000.0,44580905000000.0,44383357000000.0,44628120000000.0,44598030000000.0,44552650000000.0
2024.0,44352924000000.0,44288330000000.0,44505697000000.0,44411728000000.0,44346240000000.0,44122023000000.0,44483366000000.0,44070350000000.0,44513740000000.0,44495358000000.0,44221742000000.0,44649940000000.0,44466497000000.0,44496030000000.0
2025.0,44214640000000.0,44156070000000.0,44501746000000.0,44272246000000.0,44286062000000.0,43995480000000.0,44362084000000.0,43990703000000.0,44462280000000.0,44408820000000.0,44128067000000.0,44616087000000.0,44403666000000.0,44400600000000.0
2026.0,44124808000000.0,44102473000000.0,44423275000000.0,44132735000000.0,44104696000000.0,43879445000000.0,44269855000000.0,43977010000000.0,44351418000000.0,44375208000000.0,43999197000000.0,44652237000000.0,44352852000000.0,44287450000000.0
2027.0,44010440000000.0,43951210000000.0,44464098000000.0,43947510000000.0,43970244000000.0,43736310000000.0,44140390000000.0,43957002000000.0,44199440000000.0,44277050000000.0,43977357000000.0,44614610000000.0,44290230000000.0,44132496000000.0
2028.0,43967186000000.0,43814750000000.0,44394653000000.0,43830846000000.0,43971246000000.0,43561785000000.0,43906940000000.0,43998170000000.0,44169940000000.0,44232830000000.0,43907080000000.0,44524324000000.0,44148220000000.0,44010600000000.0
2029.0,43924744000000.0,43680070000000.0,44354824000000.0,43761443000000.0,43938030000000.0,43279555000000.0,43814274000000.0,43987038000000.0,44110110000000.0,44112400000000.0,43826270000000.0,44476756000000.0,44096027000000.0,43910490000000.0
2030.0,43799124000000.0,43573555000000.0,44246967000000.0,43676084000000.0,43894370000000.0,43116678000000.0,43656707000000.0,43979463000000.0,44045036000000.0,44029300000000.0,43626470000000.0,44371815000000.0,44027590000000.0,43880310000000.0
2031.0,43739163000000.0,43504390000000.0,44167862000000.0,43583617000000.0,43847880000000.0,42916626000000.0,43542873000000.0,43906440000000.0,43956516000000.0,43945875000000.0,43503170000000.0,44303310000000.0,43865130000000.0,43682883000000.0
2032.0,43711912000000.0,43442690000000.0,44042197000000.0,43482690000000.0,43722570000000.0,42771200000000.0,43453070000000.0,43845178000000.0,43837863000000.0,43910190000000.0,43406640000000.0,44239795000000.0,43792060000000.0,43552500000000.0
2033.0,43696427000000.0,43322840000000.0,43977676000000.0,43334450000000.0,43575350000000.0,42518943000000.0,43394360000000.0,43837140000000.0,43682470000000.0,43802547000000.0,43405145000000.0,44172002000000.0,43613460000000.0,43461640000000.0
2034.0,43638034000000.0,43256805000000.0,43881895000000.0,43273196000000.0,43544484000000.0,42442690000000.0,43341387000000.0,43705944000000.0,43576310000000.0,43714620000000.0,43361240000000.0,44141044000000.0,43464293000000.0,43346286000000.0
2035.0,43438720000000.0,43218813000000.0,43815247000000.0,43193290000000.0,43334022000000.0,42279170000000.0,43262080000000.0,43529477000000.0,43479740000000.0,43627993000000.0,43263076000000.0,44064320000000.0,43320970000000.0,43197506000000.0
2036.0,43102580000000.0,43162958000000.0,43783590000000.0,43141350000000.0,43268356000000.0,42121700000000.0,43157513000000.0,43450320000000.0,43466734000000.0,43606580000000.0,43149657000000.0,43895750000000.0,43218740000000.0,42967566000000.0
2037.0,42825030000000.0,42984960000000.0,43708305000000.0,42986742000000.0,43082486000000.0,42019580000000.0,43063502000000.0,43416746000000.0,43360102000000.0,43479384000000.0,43059970000000.0,43918360000000.0,43025888000000.0,42804320000000.0
2038.0,42721960000000.0,42748623000000.0,43646480000000.0,42861050000000.0,42989146000000.0,41911784000000.0,42983374000000.0,43343330000000.0,43242170000000.0,43416713000000.0,42921357000000.0,43912380000000.0,42941754000000.0,42622250000000.0
2039.0,42645905000000.0,42694440000000.0,43628496000000.0,42700450000000.0,42838990000000.0,41777100000000.0,42920304000000.0,43177604000000.0,43015373000000.0,43387957000000.0,42724790000000.0,43923910000000.0,42845935000000.0,42445937000000.0
2040.0,42618235000000.0,42571650000000.0,43532760000000.0,42592285000000.0,42724850000000.0,41588265000000.0,42796287000000.0,43078635000000.0,42925728000000.0,43321230000000.0,42568970000000.0,43985096000000.0,42668667000000.0,42292883000000.0
2041.0,42491353000000.0,42388647000000.0,43523970000000.0,42502520000000.0,42668747000000.0,41383843000000.0,42659163000000.0,42926126000000.0,42692150000000.0,43192910000000.0,42482105000000.0,43882067000000.0,42464858000000.0,42245986000000.0
2042.0,42376735000000.0,42234220000000.0,43461407000000.0,42360980000000.0,42566710000000.0,41109160000000.0,42492045000000.0,42880526000000.0,42587604000000.0,43145044000000.0,42315196000000.0,43772893000000.0,42258896000000.0,42121590000000.0
2043.0,42219193000000.0,42122057000000.0,43367673000000.0,42294300000000.0,42527450000000.0,40913057000000.0,42447240000000.0,42802646000000.0,42487385000000.0,42963615000000.0,42199362000000.0,43617217000000.0,42008260000000.0,41915416000000.0
2044.0,42063396000000.0,41946035000000.0,43329975000000.0,42123040000000.0,42368967000000.0,40680200000000.0,42389943000000.0,42643816000000.0,42335656000000.0,42789564000000.0,42094157000000.0,43652043000000.0,41744170000000.0,41876615000000.0
2045.0,41839770000000.0,41767982000000.0,43336967000000.0,42022426000000.0,42229486000000.0,40414020000000.0,42310646000000.0,42626246000000.0,42196970000000.0,42633984000000.0,41973776000000.0,43573966000000.0,41553690000000.0,41816578000000.0
2046.0,41659685000000.0,41542750000000.0,43339227000000.0,41934425000000.0,42101510000000.0,40221270000000.0,42234045000000.0,42536390000000.0,42017390000000.0,42554133000000.0,41927920000000.0,43484237000000.0,41379225000000.0,41767743000000.0
2047.0,41456150000000.0,41294466000000.0,43269858000000.0,41766690000000.0,42020345000000.0,40052017000000.0,42136985000000.0,42358400000000.0,41892110000000.0,42455756000000.0,41728120000000.0,43410890000000.0,41127957000000.0,41640820000000.0
2048.0,41394916000000.0,41072093000000.0,43165660000000.0,41554375000000.0,41911990000000.0,39807955000000.0,41999286000000.0,42101362000000.0,41727017000000.0,42365440000000.0,41584870000000.0,43235770000000.0,40915290000000.0,41572326000000.0
2049.0,41242637000000.0,40789860000000.0,43106464000000.0,41432530000000.0,41781870000000.0,39537060000000.0,41806817000000.0,41993137000000.0,41502120000000.0,42204550000000.0,41486190000000.0,43135124000000.0,40748450000000.0,41447407000000.0
2050.0,41149430000000.0,40551773000000.0,43065840000000.0,41246820000000.0,41495890000000.0,39193686000000.0,41624990000000.0,41719895000000.0,41367875000000.0,42068408000000.0,41368395000000.0,43110240000000.0,40452110000000.0,41442880000000.0
2051.0,41066460000000.0,40322566000000.0,43058574000000.0,41173943000000.0,41461786000000.0,38969035000000.0,41507000000000.0,41498234000000.0,41091982000000.0,41943883000000.0,41317522000000.0,42993180000000.0,40282767000000.0,41326030000000.0
2052.0,40963653000000.0,40124767000000.0,43076450000000.0,41083262000000.0,41258194000000.0,38788395000000.0,41449165000000.0,41279550000000.0,40872444000000.0,41849730000000.0,41215680000000.0,42946840000000.0,40111727000000.0,41086200000000.0
2053.0,40818413000000.0,39951207000000.0,43038580000000.0,40862667000000.0,41108017000000.0,38488045000000.0,41259675000000.0,41095963000000.0,40610000000000.0,41745890000000.0,41091890000000.0,42835070000000.0,39895200000000.0,41058060000000.0
2054.0,40618780000000.0,39729120000000.0,42978085000000.0,40704210000000.0,40940720000000.0,38086797000000.0,41017720000000.0,40908066000000.0,40376630000000.0,41653350000000.0,41005360000000.0,42793926000000.0,39643546000000.0,40971910000000.0
2055.0,40448333000000.0,39460670000000.0,42942715000000.0,40537554000000.0,40815116000000.0,37923336000000.0,40738730000000.0,40801810000000.0,40129430000000.0,41601905000000.0,40827460000000.0,42720250000000.0,39278613000000.0,40813275000000.0
2056.0,40229554000000.0,39181430000000.0,42870160000000.0,40420243000000.0,40665410000000.0,37669736000000.0,40519837000000.0,40659500000000.0,39910384000000.0,41473072000000.0,40756815000000.0,42696400000000.0,38992804000000.0,40770200000000.0
2057.0,40074280000000.0,38933765000000.0,42887490000000.0,40407744000000.0,40532760000000.0,37481945000000.0,40319056000000.0,40541983000000.0,39695514000000.0,41146835000000.0,40672535000000.0,42705430000000.0,38654710000000.0,40671600000000.0
2058.0,39890805000000.0,38747670000000.0,42806526000000.0,40252647000000.0,40408084000000.0,37129476000000.0,40124270000000.0,40400420000000.0,39466070000000.0,41019156000000.0,40568340000000.0,42610513000000.0,38216317000000.0,40479412000000.0
2059.0,39758315000000.0,38556542000000.0,42772283000000.0,40202250000000.0,40302644000000.0,36774330000000.0,39915094000000.0,40133957000000.0,39226893000000.0,40970610000000.0,40482870000000.0,42526500000000.0,37982990000000.0,40276190000000.0
2060.0,39558720000000.0,38389350000000.0,42743003000000.0,40094170000000.0,40057306000000.0,36507290000000.0,39780240000000.0,39936347000000.0,38939510000000.0,40778382000000.0,40434244000000.0,42447670000000.0,37673117000000.0,40041036000000.0
2061.0,39376113000000.0,38219865000000.0,42664720000000.0,39984250000000.0,39793245000000.0,36227570000000.0,39628350000000.0,39739495000000.0,38587580000000.0,40652010000000.0,40171605000000.0,42427604000000.0,37435598000000.0,39925840000000.0
2062.0,39207640000000.0,37980020000000.0,42628400000000.0,39894470000000.0,39599695000000.0,35893660000000.0,39299337000000.0,39606125000000.0,38231593000000.0,40486304000000.0,40041820000000.0,42380060000000.0,37044387000000.0,39893732000000.0
2063.0,38975738000000.0,37686065000000.0,42558936000000.0,39712803000000.0,39462040000000.0,35666595000000.0,39045753000000.0,39470890000000.0,38000835000000.0,40392300000000.0,39872962000000.0,42271064000000.0,36624973000000.0,39774020000000.0
2064.0,38808860000000.0,37443760000000.0,42476210000000.0,39653100000000.0,39262372000000.0,35447313000000.0,38768450000000.0,39398660000000.0,37714370000000.0,40289796000000.0,39562894000000.0,42160343000000.0,36256453000000.0,39644880000000.0
2065.0,38612470000000.0,37090876000000.0,42486274000000.0,39530820000000.0,39021500000000.0,35229200000000.0,38361220000000.0,39356870000000.0,37435400000000.0,40206296000000.0,39482162000000.0,42078720000000.0,35920380000000.0,39540677000000.0
2066.0,38416320000000.0,36872277000000.0,42312994000000.0,39408320000000.0,38761060000000.0,34959916000000.0,38089725000000.0,39256910000000.0,37211620000000.0,40031213000000.0,39363360000000.0,41986208000000.0,35693284000000.0,39392680000000.0
2067.0,38259153000000.0,36724994000000.0,42207944000000.0,39314776000000.0,38581500000000.0,34828162000000.0,37759733000000.0,39062535000000.0,36928820000000.0,39909190000000.0,39297026000000.0,41908382000000.0,35352380000000.0,39278800000000.0
2068.0,38167718000000.0,36553556000000.0,42167840000000.0,39154350000000.0,38336950000000.0,34654933000000.0,37464390000000.0,38850966000000.0,36598717000000.0,39845708000000.0,39229963000000.0,41870395000000.0,35023862000000.0,39133813000000.0
2069.0,38031843000000.0,36234286000000.0,42116060000000.0,39026107000000.0,38209030000000.0,34397320000000.0,37210530000000.0,38559914000000.0,36185590000000.0,39723502000000.0,39156750000000.0,41821790000000.0,34706783000000.0,38930506000000.0
2070.0,37896260000000.0,36002366000000.0,42019720000000.0,38993520000000.0,38132920000000.0,34217457000000.0,36982177000000.0,38226543000000.0,35824800000000.0,39546205000000.0,39108873000000.0,41773494000000.0,34266715000000.0,38800093000000.0
2071.0,37684827000000.0,35714553000000.0,41881015000000.0,38840648000000.0,38021470000000.0,34069470000000.0,36623500000000.0,38003955000000.0,35527990000000.0,39414244000000.0,39037320000000.0,41723263000000.0,33951928000000.0,38624710000000.0
2072.0,37509577000000.0,35446820000000.0,41742390000000.0,38639880000000.0,37817195000000.0,33878413000000.0,36443456000000.0,37762414000000.0,35291370000000.0,39264410000000.0,38806493000000.0,41709900000000.0,33529673000000.0,38552478000000.0
2073.0,37362790000000.0,35212400000000.0,41636330000000.0,38546550000000.0,37715412000000.0,33607767000000.0,36188006000000.0,37577374000000.0,34938961000000.0,39107600000000.0,38674025000000.0,41636920000000.0,33112373000000.0,38432265000000.0
2074.0,37162175000000.0,34986340000000.0,41506650000000.0,38342680000000.0,37567005000000.0,33373767000000.0,35983286000000.0,37396010000000.0,34595095000000.0,38886563000000.0,38643817000000.0,41569957000000.0,32771318000000.0,38304780000000.0
2075.0,37015874000000.0,34788132000000.0,41334354000000.0,38102530000000.0,37451813000000.0,33217363000000.0,35793486000000.0,37183940000000.0,34233072000000.0,38791683000000.0,38533050000000.0,41496100000000.0,32431288000000.0,38166052000000.0
2076.0,36873790000000.0,34443601000000.0,41173040000000.0,37843913000000.0,37260600000000.0,33083294000000.0,35575495000000.0,37049667000000.0,33887332000000.0,38679616000000.0,38404755000000.0,41459227000000.0,32023014000000.0,38058196000000.0
2077.0,36755270000000.0,34170445000000.0,41091400000000.0,37659540000000.0,37066964000000.0,32821509000000.0,35352750000000.0,36868737000000.0,33445802000000.0,38562762000000.0,38227168000000.0,41355053000000.0,31613413000000.0,37939183000000.0
2078.0,36611280000000.0,33951295000000.0,41036810000000.0,37546760000000.0,36965597000000.0,32608543000000.0,35121451000000.0,36733680000000.0,33089520000000.0,38475844000000.0,38083910000000.0,41330835000000.0,31320393000000.0,37694915000000.0
2079.0,36436816000000.0,33810900000000.0,40903990000000.0,37419894000000.0,36776360000000.0,32422387000000.0,34811324000000.0,36553825000000.0,32751010000000.0,38459020000000.0,37923580000000.0,41316654000000.0,30996336000000.0,37551100000000.0
2080.0,36209032000000.0,33639274000000.0,40855790000000.0,37350155000000.0,36613418000000.0,32236559000000.0,34528303000000.0,36320336000000.0,32487118000000.0,38347030000000.0,37813525000000.0,41179958000000.0,30563160000000.0,37329010000000.0
2081.0,36040850000000.0,33470840000000.0,40720816000000.0,37241000000000.0,36420030000000.0,31823774000000.0,34245680000000.0,36205540000000.0,32125022000000.0,38213650000000.0,37625243000000.0,41094060000000.0,30019426000000.0,37174167000000.0
2082.0,35701593000000.0,33150537000000.0,40633255000000.0,37115300000000.0,36318880000000.0,31618356000000.0,33894064000000.0,35985908000000.0,31701472000000.0,38060083000000.0,37472168000000.0,40937212000000.0,29510899000000.0,37076205000000.0
2083.0,35531233000000.0,32859444000000.0,40571400000000.0,36932900000000.0,36150153000000.0,31450361000000.0,33538560000000.0,35681162000000.0,31382825000000.0,37948876000000.0,37367450000000.0,40899650000000.0,29201592000000.0,36873020000000.0
2084.0,35400337000000.0,32710679000000.0,40479907000000.0,36787810000000.0,35966650000000.0,31249861000000.0,33122714000000.0,35403915000000.0,30897559000000.0,37863287000000.0,37288734000000.0,40766790000000.0,28663024000000.0,36732607000000.0
2085.0,35039694000000.0,32540253000000.0,40367936000000.0,36611933000000.0,35887027000000.0,30974648000000.0,32882270000000.0,35119553000000.0,30455257000000.0,37784635000000.0,37134484000000.0,40631560000000.0,28301282000000.0,36647677000000.0
2086.0,34596652000000.0,32286146000000.0,40323846000000.0,36406475000000.0,35794597000000.0,30782666000000.0,32513005000000.0,34865340000000.0,30102748000000.0,37711790000000.0,36984353000000.0,40537952000000.0,27841430000000.0,36531633000000.0
2087.0,34379766000000.0,32129918000000.0,40197023000000.0,36209630000000.0,35727904000000.0,30600990000000.0,32004490000000.0,34652465000000.0,29709383000000.0,37634382000000.0,36850290000000.0,40431035000000.0,27478639000000.0,36433400000000.0
2088.0,34205470000000.0,31926073000000.0,40065368000000.0,36075070000000.0,35628377000000.0,30428595000000.0,31668277000000.0,34415500000000.0,29407865000000.0,37561263000000.0,36724460000000.0,40300383000000.0,27065244000000.0,36278320000000.0
2089.0,34034877000000.0,31636243000000.0,39922434000000.0,35980103000000.0,35441265000000.0,30248477000000.0,31424227000000.0,34071787000000.0,28996643000000.0,37445593000000.0,36648470000000.0,40223540000000.0,26613962000000.0,36164333000000.0
2090.0,33909120000000.0,31396198000000.0,39850600000000.0,35811900000000.0,35309614000000.0,29983337000000.0,31147904000000.0,33797018000000.0,28618600000000.0,37366547000000.0,36499690000000.0,40100713000000.0,26207685000000.0,36095840000000.0
2091.0,33735395000000.0,31156095000000.0,39773860000000.0,35683805000000.0,35101704000000.0,29754309000000.0,30828856000000.0,33554312000000.0,28211980000000.0,37294216000000.0,36289127000000.0,40063290000000.0,25851112000000.0,35968325000000.0
2092.0,33447177000000.0,30843423000000.0,39685334000000.0,35624460000000.0,34878303000000.0,29521554000000.0,30557980000000.0,33388160000000.0,27787591000000.0,37209320000000.0,36123500000000.0,39932547000000.0,25399443000000.0,35814747000000.0
2093.0,33227930000000.0,30594770000000.0,39620356000000.0,35507900000000.0,34745497000000.0,29297167000000.0,30319105000000.0,33160130000000.0,27320262000000.0,37148816000000.0,35958137000000.0,39819556000000.0,24940930000000.0,35651180000000.0
2094.0,32974590000000.0,30219398000000.0,39557593000000.0,35355660000000.0,34692137000000.0,29069775000000.0,30039888000000.0,32912949000000.0,26970381000000.0,36978310000000.0,35830496000000.0,39749075000000.0,24562073000000.0,35497754000000.0
2095.0,32804627000000.0,29961700000000.0,39442736000000.0,35251934000000.0,34579742000000.0,28855150000000.0,29726624000000.0,32659320000000.0,26551780000000.0,36757810000000.0,35696648000000.0,39677856000000.0,24210578000000.0,35357190000000.0
2096.0,32694728000000.0,29756393000000.0,39377920000000.0,35026637000000.0,34379592000000.0,28645475000000.0,29451604000000.0,32450164000000.0,26216710000000.0,36624096000000.0,35560714000000.0,39634470000000.0,23912539000000.0,35194006000000.0
2097.0,32492873000000.0,29471996000000.0,39253233000000.0,34756016000000.0,34155421000000.0,28399798000000.0,29213455000000.0,32164983000000.0,25770181000000.0,36513140000000.0,35455853000000.0,39525816000000.0,23491190000000.0,35059122000000.0
2098.0,32272795000000.0,29188736000000.0,39063734000000.0,34607440000000.0,33887084000000.0,28073626000000.0,28965060000000.0,31846306000000.0,25312640000000.0,36348384000000.0,35302910000000.0,39456204000000.0,23054072000000.0,34930956000000.0
2099.0,32067105000000.0,28949740000000.0,39055040000000.0,34451988000000.0,33742345000000.0,27742135000000.0,28701176000000.0,31586821000000.0,24952743000000.0,36241250000000.0,35088799000000.0,39355290000000.0,22670096000000.0,34768459000000.0
2100.0,31804050000000.0,28636046000000.0,38926144000000.0,34312783000000.0,33535950000000.0,27506954000000.0,28394683000000.0,31168817000000.0,24645646000000.0,36128653000000.0,34922555000000.0,39312600000000.0,22293646000000.0,34489999000000.0
