time,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0
2068.0,39335540000000.0,38021504000000.0,39735820000000.0,42328000000000.0
2069.0,39241870000000.0,37892185000000.0,39729177000000.0,42300640000000.0
2070.0,39052630000000.0,37792176000000.0,39658360000000.0,42277160000000.0
2071.0,38922067000000.0,37768634000000.0,39672360000000.0,42266396000000.0
2072.0,38755860000000.0,37690780000000.0,39644360000000.0,42277636000000.0
2073.0,38687463000000.0,37534260000000.0,39561430000000.0,42297110000000.0
2074.0,38602113000000.0,37393516000000.0,39487490000000.0,42233353000000.0
2075.0,38502840000000.0,37327940000000.0,39422347000000.0,42140697000000.0
2076.0,38453836000000.0,37281930000000.0,39240270000000.0,42033054000000.0
2077.0,38418820000000.0,37121503000000.0,39181254000000.0,41972614000000.0
2078.0,38283500000000.0,37085100000000.0,39164544000000.0,41856010000000.0
2079.0,38213087000000.0,36994910000000.0,39089173000000.0,41809074000000.0
2080.0,38067540000000.0,36875524000000.0,39161110000000.0,41790610000000.0
2081.0,37862270000000.0,36730665000000.0,39035230000000.0,41706540000000.0
2082.0,37573050000000.0,36667352000000.0,38919150000000.0,41620220000000.0
2083.0,37350750000000.0,36562090000000.0,38843143000000.0,41585000000000.0
2084.0,37195790000000.0,36441880000000.0,38803935000000.0,41511430000000.0
2085.0,37027840000000.0,36364800000000.0,38721617000000.0,41387800000000.0
2086.0,36936983000000.0,36281594000000.0,38669826000000.0,41344106000000.0
2087.0,36895594000000.0,36215454000000.0,38608476000000.0,41328222000000.0
2088.0,36838283000000.0,36176426000000.0,38511885000000.0,41380982000000.0
2089.0,36830003000000.0,36072620000000.0,38473290000000.0,41338160000000.0
2090.0,36671807000000.0,35995920000000.0,38462095000000.0,41298340000000.0
2091.0,36530810000000.0,35975774000000.0,38426490000000.0,41208907000000.0
2092.0,36386840000000.0,35944187000000.0,38416113000000.0,41161138000000.0
2093.0,36318667000000.0,35799786000000.0,38381803000000.0,41060470000000.0
2094.0,36108386000000.0,35766625000000.0,38274534000000.0,40969530000000.0
2095.0,35984160000000.0,35707240000000.0,38237536000000.0,40915977000000.0
2096.0,35797010000000.0,35599923000000.0,38179710000000.0,40857800000000.0
2097.0,35737353000000.0,35494017000000.0,38163435000000.0,40816280000000.0
2098.0,35556017000000.0,35397107000000.0,38083135000000.0,40827650000000.0
2099.0,35510560000000.0,35179305000000.0,37977850000000.0,40844573000000.0
2100.0,35483124000000.0,35097050000000.0,37905820000000.0,40810372000000.0
