time,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0
2000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0
2001.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0
2002.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0
2003.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0
2004.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0
2005.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0
2006.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0
2007.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0
2008.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0
2009.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0
2010.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0
2011.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0
2012.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0
2013.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0
2014.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0
2015.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0
2016.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0
2017.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0
2018.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0
2019.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0
2020.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0
2021.0,44628292000000.0,44553640000000.0,44610590000000.0,44702666000000.0
2022.0,44501716000000.0,44492254000000.0,44557000000000.0,44677827000000.0
2023.0,44405696000000.0,44429516000000.0,44488570000000.0,44579575000000.0
2024.0,44370498000000.0,44389246000000.0,44377292000000.0,44520008000000.0
2025.0,44223198000000.0,44365760000000.0,44314770000000.0,44383026000000.0
2026.0,44196417000000.0,44295140000000.0,44153208000000.0,44337128000000.0
2027.0,44053170000000.0,44224137000000.0,44034412000000.0,44325103000000.0
2028.0,43829460000000.0,44083754000000.0,43891440000000.0,44273676000000.0
2029.0,43809044000000.0,43988420000000.0,43779270000000.0,44226243000000.0
2030.0,43834466000000.0,43876316000000.0,43579947000000.0,44224410000000.0
2031.0,43745910000000.0,43767320000000.0,43391530000000.0,44233034000000.0
2032.0,43599614000000.0,43642903000000.0,43331585000000.0,44258803000000.0
2033.0,43578310000000.0,43482354000000.0,43207650000000.0,44269046000000.0
2034.0,43394563000000.0,43301382000000.0,43090174000000.0,44228378000000.0
2035.0,43269350000000.0,43216838000000.0,43044863000000.0,44099915000000.0
2036.0,43313797000000.0,43083950000000.0,42956002000000.0,44068445000000.0
2037.0,43262954000000.0,42949765000000.0,42830383000000.0,44012786000000.0
2038.0,43116585000000.0,42821220000000.0,42756060000000.0,43937690000000.0
2039.0,43090035000000.0,42743837000000.0,42613642000000.0,43913767000000.0
2040.0,43068464000000.0,42508264000000.0,42560760000000.0,43885665000000.0
2041.0,42996860000000.0,42295700000000.0,42512910000000.0,43880217000000.0
2042.0,42774140000000.0,42185210000000.0,42422720000000.0,43772876000000.0
2043.0,42787655000000.0,42049980000000.0,42275170000000.0,43665030000000.0
2044.0,42775072000000.0,41921016000000.0,42094245000000.0,43646737000000.0
2045.0,42582140000000.0,41743005000000.0,41855316000000.0,43595814000000.0
2046.0,42422457000000.0,41552303000000.0,41690648000000.0,43478856000000.0
2047.0,42347803000000.0,41273486000000.0,41523534000000.0,43373243000000.0
2048.0,42243415000000.0,41097233000000.0,41377723000000.0,43370820000000.0
2049.0,42069780000000.0,40958024000000.0,41228716000000.0,43388552000000.0
2050.0,42067040000000.0,40854136000000.0,41141408000000.0,43384274000000.0
2051.0,41908173000000.0,40644240000000.0,41035150000000.0,43364540000000.0
2052.0,41802800000000.0,40442712000000.0,40960660000000.0,43395657000000.0
2053.0,41684120000000.0,40241430000000.0,40884544000000.0,43364385000000.0
2054.0,41455040000000.0,40143294000000.0,40808846000000.0,43318660000000.0
2055.0,41298824000000.0,40021780000000.0,40788944000000.0,43299300000000.0
2056.0,41151600000000.0,39821695000000.0,40679464000000.0,43129105000000.0
2057.0,40832342000000.0,39604414000000.0,40522282000000.0,43061065000000.0
2058.0,40701120000000.0,39398842000000.0,40439580000000.0,42960876000000.0
2059.0,40543460000000.0,39264687000000.0,40331723000000.0,42815166000000.0
2060.0,40454010000000.0,39079014000000.0,40290140000000.0,42678930000000.0
2061.0,40327205000000.0,38838890000000.0,40145670000000.0,42684945000000.0
2062.0,40159794000000.0,38792540000000.0,40018286000000.0,42668046000000.0
2063.0,40048993000000.0,38700840000000.0,39943950000000.0,42639650000000.0
2064.0,39941367000000.0,38633660000000.0,39908807000000.0,42585867000000.0
2065.0,39729714000000.0,38504540000000.0,39915656000000.0,42450380000000.0
2066.0,39643324000000.0,38387147000000.0,39811956000000.0,42405870000000.0
2067.0,39502874000000.0,38292540000000.0,39765383000000.0,42401566000000.0
