time,GFDL-ESM2G,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CCSM4,CSIRO-MK3-6-0,GISS-E2-R
2031.0,613841000000.0,614407800000.0,552408300000.0,498518400000.0,625673000000.0,637723600000.0,653970600000.0,646649200000.0
2032.0,606217760000.0,603382740000.0,541615520000.0,480227400000.0,630480200000.0,630248900000.0,651133100000.0,627026700000.0
2033.0,593702300000.0,607808800000.0,530736480000.0,468486300000.0,622556300000.0,615604750000.0,645284100000.0,614992640000.0
2034.0,588757000000.0,596461200000.0,507987200000.0,449199830000.0,615223000000.0,605566400000.0,644174400000.0,610867400000.0
2035.0,579728500000.0,580289700000.0,488681180000.0,426189000000.0,605708300000.0,586528850000.0,643711800000.0,604748600000.0
2036.0,568733860000.0,560735300000.0,471376600000.0,406881530000.0,606786400000.0,579942900000.0,647735300000.0,586832000000.0
2037.0,560443360000.0,543884770000.0,454228700000.0,396412130000.0,601910900000.0,565849900000.0,638245400000.0,586853800000.0
2038.0,548626560000.0,537473220000.0,433292180000.0,383056700000.0,579726340000.0,557259160000.0,634632670000.0,576792600000.0
2039.0,536885850000.0,521442800000.0,422921760000.0,370649170000.0,568490200000.0,535029150000.0,624901550000.0,566965700000.0
2040.0,531830050000.0,516934800000.0,402417600000.0,360622260000.0,560822550000.0,526784950000.0,617981300000.0,565755840000.0
2041.0,519595230000.0,511926600000.0,389812800000.0,345338940000.0,556517360000.0,518276740000.0,616324300000.0,557890860000.0
2042.0,511864830000.0,505526260000.0,381681600000.0,335378700000.0,551308170000.0,509249300000.0,609430100000.0,555454760000.0
2043.0,502526540000.0,497966020000.0,373874850000.0,318663660000.0,537724220000.0,500440370000.0,602616700000.0,546965320000.0
2044.0,490786900000.0,487165660000.0,365184650000.0,307423100000.0,537648430000.0,492667830000.0,602283500000.0,548864300000.0
2045.0,478074900000.0,469415360000.0,344025070000.0,293482270000.0,529185080000.0,479853120000.0,593136840000.0,546566400000.0
2046.0,470698750000.0,462202000000.0,326789800000.0,279102400000.0,526391930000.0,467040860000.0,601702500000.0,537154360000.0
2047.0,467277480000.0,450559050000.0,323430780000.0,270084620000.0,519810450000.0,462311720000.0,593876100000.0,523941840000.0
2048.0,457294100000.0,449872100000.0,311972600000.0,261729700000.0,508063480000.0,452251650000.0,580896500000.0,511817020000.0
2049.0,448931660000.0,445153180000.0,295311080000.0,247335240000.0,494620100000.0,442070500000.0,574728800000.0,507314860000.0
2050.0,438211800000.0,437123320000.0,283956740000.0,237428340000.0,491483820000.0,430861300000.0,581266960000.0,498874420000.0
2051.0,425411200000.0,428510050000.0,275112460000.0,230492550000.0,471789140000.0,419965730000.0,572620100000.0,490592370000.0
2052.0,411239580000.0,419188150000.0,273536710000.0,224321590000.0,466387570000.0,414189900000.0,581498440000.0,486071630000.0
2053.0,399135900000.0,409528140000.0,274289660000.0,215314780000.0,456902380000.0,410167440000.0,563758000000.0,477392240000.0
2054.0,402975260000.0,400964160000.0,274303390000.0,210883770000.0,447700240000.0,394264770000.0,560824500000.0,469793540000.0
2055.0,406973940000.0,389585900000.0,265112170000.0,203531490000.0,434405200000.0,386188970000.0,546396670000.0,460666080000.0
2056.0,398331670000.0,386530020000.0,271547650000.0,194411050000.0,421719300000.0,377466900000.0,537156450000.0,456933200000.0
2057.0,391218500000.0,383454540000.0,275572060000.0,187556900000.0,412748940000.0,369307250000.0,530335960000.0,454572640000.0
2058.0,384299370000.0,380042870000.0,267449270000.0,182592080000.0,400426660000.0,359031500000.0,520221430000.0,456875100000.0
2059.0,375030550000.0,374896330000.0,259847860000.0,178707070000.0,391819760000.0,353163440000.0,502787470000.0,455899640000.0
2060.0,371410570000.0,368519840000.0,263576320000.0,169699660000.0,381526340000.0,349864950000.0,489529280000.0,448748520000.0
2061.0,364021580000.0,365128000000.0,256984560000.0,161182800000.0,373614840000.0,348292940000.0,472636600000.0,444062370000.0
2062.0,360426700000.0,356742730000.0,252586980000.0,155759070000.0,359288600000.0,345824230000.0,460048170000.0,440808960000.0
2063.0,352547670000.0,347721500000.0,248187290000.0,152331300000.0,354352430000.0,342578820000.0,450071270000.0,431132970000.0
2064.0,344659260000.0,336237720000.0,239093890000.0,147760740000.0,349559030000.0,335920230000.0,444212540000.0,428261570000.0
2065.0,352671040000.0,325179900000.0,233502700000.0,141771180000.0,346718240000.0,328247480000.0,432476360000.0,423731430000.0
2066.0,346797740000.0,316103130000.0,228192800000.0,137181160000.0,338333300000.0,324751230000.0,423102700000.0,419653160000.0
2067.0,343005800000.0,304212840000.0,215898590000.0,131093290000.0,328841500000.0,318993070000.0,408201460000.0,411608220000.0
2068.0,337662500000.0,292098440000.0,212951970000.0,128326390000.0,324525300000.0,311156380000.0,395758300000.0,402014800000.0
2069.0,328153800000.0,283701900000.0,205345200000.0,122761535000.0,317657250000.0,301765400000.0,384279180000.0,390510400000.0
2070.0,325718600000.0,278928920000.0,201980600000.0,118423830000.0,308254770000.0,297965000000.0,374261250000.0,378871020000.0
2071.0,320975800000.0,269182270000.0,196811310000.0,113434670000.0,298050800000.0,289221280000.0,359620740000.0,370834150000.0
2072.0,308454620000.0,260042210000.0,201174270000.0,109391920000.0,292766480000.0,284625140000.0,341883100000.0,366008000000.0
2073.0,300462400000.0,253031220000.0,197078070000.0,105372760000.0,280355730000.0,282165970000.0,341061370000.0,358663300000.0
2074.0,295094400000.0,247411000000.0,186478530000.0,101792640000.0,269501370000.0,278010230000.0,328740370000.0,355952700000.0
2075.0,289013040000.0,238357890000.0,181634560000.0,98552080000.0,259350090000.0,267447070000.0,313372670000.0,341006940000.0
2076.0,280022100000.0,228129720000.0,180833940000.0,95390030000.0,255314400000.0,256687520000.0,307152160000.0,330673200000.0
2077.0,276394180000.0,219816890000.0,175702880000.0,91805170000.0,247360490000.0,247084760000.0,312047900000.0,321915130000.0
2078.0,275658960000.0,210282680000.0,168541960000.0,89548750000.0,241713250000.0,239801470000.0,306665780000.0,313458900000.0
2079.0,267989220000.0,205209490000.0,160707890000.0,85939356000.0,237578910000.0,234057220000.0,298290600000.0,311814880000.0
2080.0,261798380000.0,196708710000.0,154378220000.0,83563890000.0,228165710000.0,230674870000.0,287175100000.0,307475550000.0
2081.0,256066630000.0,188205680000.0,150765400000.0,80647670000.0,228002300000.0,225496150000.0,295186860000.0,300362700000.0
2082.0,253151330000.0,184208690000.0,146858360000.0,79773670000.0,223431600000.0,215337710000.0,284897100000.0,289222750000.0
2083.0,246811800000.0,179501320000.0,143264420000.0,76306400000.0,217868710000.0,211463860000.0,276375340000.0,284664660000.0
2084.0,246279240000.0,176864720000.0,138665770000.0,74640300000.0,217170200000.0,209180520000.0,279442850000.0,276149730000.0
2085.0,239342880000.0,173689500000.0,132853826000.0,71394200000.0,209809850000.0,203382130000.0,267792940000.0,263710830000.0
2086.0,237728940000.0,169228420000.0,131601540000.0,69261600000.0,212168050000.0,196054320000.0,259960110000.0,256060420000.0
2087.0,236155630000.0,164091250000.0,131176060000.0,67907550000.0,216130900000.0,189762160000.0,259107420000.0,251060160000.0
2088.0,232733460000.0,158538400000.0,126441734000.0,65441590000.0,209008380000.0,187371210000.0,248452580000.0,248869680000.0
2089.0,230069420000.0,155106430000.0,122334440000.0,63393350000.0,209207230000.0,185245660000.0,235966150000.0,243274220000.0
2090.0,223599350000.0,150892990000.0,121291120000.0,62017073000.0,204830920000.0,182863790000.0,231715650000.0,241763400000.0
2091.0,220139700000.0,146403750000.0,114062630000.0,59709186000.0,198961740000.0,179039270000.0,226353970000.0,232818640000.0
2092.0,213497740000.0,140821070000.0,108262466000.0,58519570000.0,199384630000.0,175634480000.0,217267040000.0,223926000000.0
2093.0,208943580000.0,136587250000.0,106217850000.0,56957395000.0,191098730000.0,173825820000.0,206268920000.0,220730430000.0
2094.0,208272440000.0,130625350000.0,102886560000.0,57047196000.0,183970870000.0,171407210000.0,197034080000.0,218469170000.0
2095.0,203516130000.0,126960270000.0,103576960000.0,55911640000.0,180543720000.0,167083210000.0,191445550000.0,213173710000.0
2096.0,198651070000.0,123962280000.0,102143140000.0,55773192000.0,179433300000.0,165809850000.0,192210600000.0,206760800000.0
2097.0,195185560000.0,119846850000.0,96589185000.0,54278394000.0,175596290000.0,163531930000.0,187681700000.0,200127940000.0
2098.0,195892500000.0,117721000000.0,93086070000.0,53481247000.0,171309860000.0,161122980000.0,181054880000.0,197523520000.0
2099.0,193337840000.0,115386400000.0,93618320000.0,53074235000.0,168933310000.0,159543500000.0,177732730000.0,194944660000.0
2100.0,189455990000.0,113867230000.0,88936645000.0,53583540000.0,166703320000.0,158033740000.0,173000020000.0,190983180000.0
