time,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,UKESM1-0-LL,IPSL-CM6A-LR
2023.0,2697518000000.0,2775118500000.0,2732641700000.0,2673428100000.0,2723477200000.0
2024.0,2655513200000.0,2773519700000.0,2706767300000.0,2643911500000.0,2695151000000.0
2025.0,2638719200000.0,2770477800000.0,2688857400000.0,2603037800000.0,2676349200000.0
2026.0,2629331600000.0,2748881600000.0,2663689000000.0,2566412000000.0,2682975000000.0
2027.0,2589058400000.0,2723417400000.0,2614739900000.0,2512780800000.0,2653210500000.0
2028.0,2543960700000.0,2696407200000.0,2584269000000.0,2468841300000.0,2623831300000.0
2029.0,2509232400000.0,2664423000000.0,2559033000000.0,2459716600000.0,2590516000000.0
2030.0,2503013000000.0,2639876300000.0,2528371500000.0,2396478000000.0,2568918700000.0
2031.0,2474186400000.0,2606342000000.0,2528779200000.0,2363342700000.0,2540739800000.0
2032.0,2450504500000.0,2583824400000.0,2500052600000.0,2335654300000.0,2510760000000.0
2033.0,2418442500000.0,2562243400000.0,2481918300000.0,2284341700000.0,2499230800000.0
2034.0,2401239000000.0,2547684200000.0,2470921000000.0,2240145300000.0,2478353700000.0
2035.0,2365583300000.0,2539059700000.0,2443171000000.0,2208388000000.0,2430760000000.0
2036.0,2315412300000.0,2571163100000.0,2417395200000.0,2173402700000.0,2384505000000.0
2037.0,2297336200000.0,2555536200000.0,2410123000000.0,2140761800000.0,2381388700000.0
2038.0,2257933000000.0,2531971300000.0,2400822000000.0,2109287400000.0,2348781700000.0
2039.0,2244425500000.0,2502993600000.0,2377758800000.0,2061464900000.0,2350577400000.0
2040.0,2190417900000.0,2494397200000.0,2347497000000.0,2025307100000.0,2306986200000.0
2041.0,2150475900000.0,2495559500000.0,2333947000000.0,1981599200000.0,2287862800000.0
2042.0,2131395000000.0,2481597700000.0,2353005600000.0,1941007200000.0,2286211800000.0
2043.0,2147468600000.0,2459557700000.0,2353369700000.0,1910505300000.0,2253416300000.0
2044.0,2149102400000.0,2440454700000.0,2341677800000.0,1888579700000.0,2236366200000.0
2045.0,2120482600000.0,2430735200000.0,2341592600000.0,1860291700000.0,2200862000000.0
2046.0,2093158400000.0,2429396000000.0,2307769500000.0,1820539500000.0,2190447600000.0
2047.0,2055426800000.0,2433481200000.0,2260756600000.0,1796784500000.0,2162070400000.0
2048.0,2037157200000.0,2406575500000.0,2236616800000.0,1767825600000.0,2136472800000.0
2049.0,2007439200000.0,2384363000000.0,2232048700000.0,1726020200000.0,2102222000000.0
2050.0,1983618100000.0,2365908600000.0,2231499800000.0,1682571500000.0,2053583300000.0
2051.0,1955290700000.0,2346480300000.0,2179923700000.0,1644218800000.0,2011810500000.0
2052.0,1924580800000.0,2334249700000.0,2158866000000.0,1633597900000.0,1998998100000.0
2053.0,1891799900000.0,2321514000000.0,2149922000000.0,1601965000000.0,1977506200000.0
2054.0,1878292300000.0,2326313300000.0,2100993600000.0,1575711400000.0,1957612900000.0
2055.0,1845399700000.0,2289045600000.0,2064752300000.0,1544689200000.0,1933193100000.0
2056.0,1835914500000.0,2285478300000.0,2054461800000.0,1517762900000.0,1922059000000.0
2057.0,1816553600000.0,2273411300000.0,2035014200000.0,1495465500000.0,1893406500000.0
2058.0,1785423900000.0,2252221200000.0,2002799200000.0,1456539200000.0,1859312400000.0
2059.0,1771126500000.0,2208945700000.0,1967495300000.0,1441543100000.0,1865495900000.0
2060.0,1745600400000.0,2218049400000.0,1964840800000.0,1428081900000.0,1844840400000.0
2061.0,1714339400000.0,2187102800000.0,1925508000000.0,1384564500000.0,1809487500000.0
2062.0,1720465800000.0,2151719200000.0,1906170000000.0,1338031600000.0,1791585700000.0
2063.0,1691686700000.0,2126784000000.0,1870473900000.0,1308220200000.0,1766425800000.0
2064.0,1676625200000.0,2122834200000.0,1847492300000.0,1298889200000.0,1731266200000.0
2065.0,1656353800000.0,2117846800000.0,1826760300000.0,1271727400000.0,1723504500000.0
2066.0,1646224700000.0,2109384700000.0,1795295000000.0,1260371600000.0,1693550800000.0
2067.0,1631440500000.0,2109576600000.0,1771919900000.0,1252962500000.0,1661492100000.0
2068.0,1629121000000.0,2094242900000.0,1759177200000.0,1228248000000.0,1644220300000.0
2069.0,1633863000000.0,2096540400000.0,1744263400000.0,1208759000000.0,1627057600000.0
2070.0,1622693000000.0,2085824100000.0,1712387900000.0,1200429000000.0,1612755000000.0
2071.0,1609037300000.0,2069227100000.0,1693521300000.0,1184407000000.0,1604229400000.0
2072.0,1604851500000.0,2063785700000.0,1666979700000.0,1158187800000.0,1579261600000.0
2073.0,1592253100000.0,2064170400000.0,1642078400000.0,1130943300000.0,1562096200000.0
2074.0,1582885800000.0,2048513000000.0,1611168900000.0,1105264100000.0,1536413300000.0
2075.0,1566383000000.0,2056449800000.0,1598997400000.0,1082892800000.0,1520443900000.0
2076.0,1538110400000.0,2034611100000.0,1576732500000.0,1059035500000.0,1495647000000.0
2077.0,1523339100000.0,2021427900000.0,1577304600000.0,1040067130000.0,1483693500000.0
2078.0,1506506700000.0,2001953900000.0,1586476000000.0,1022225740000.0,1459404400000.0
2079.0,1501481800000.0,1998716000000.0,1601009900000.0,1001125840000.0,1437831000000.0
2080.0,1481210300000.0,1991400200000.0,1584453800000.0,972263000000.0,1422874200000.0
2081.0,1480682200000.0,1964798400000.0,1605738300000.0,952131600000.0,1406238000000.0
2082.0,1453217400000.0,1953642000000.0,1586907600000.0,937442200000.0,1381837600000.0
2083.0,1437399400000.0,1921290200000.0,1581582500000.0,920492700000.0,1359824000000.0
2084.0,1431335600000.0,1912976200000.0,1558925100000.0,909901400000.0,1360937000000.0
2085.0,1433832900000.0,1902639400000.0,1517260200000.0,899279400000.0,1342426400000.0
2086.0,1429163100000.0,1911505300000.0,1501521100000.0,887852700000.0,1322468900000.0
2087.0,1421856100000.0,1903702300000.0,1484536300000.0,877034900000.0,1304864400000.0
2088.0,1402507600000.0,1895364700000.0,1482116000000.0,862141100000.0,1295461000000.0
2089.0,1397106700000.0,1877411000000.0,1478575300000.0,842769100000.0,1284888200000.0
2090.0,1396777500000.0,1874235500000.0,1477656600000.0,827768960000.0,1272850000000.0
2091.0,1389479000000.0,1877117200000.0,1469025500000.0,815201200000.0,1273674900000.0
2092.0,1395100700000.0,1856820500000.0,1444965600000.0,794296300000.0,1238335600000.0
2093.0,1372909200000.0,1846739500000.0,1439008800000.0,789319300000.0,1224465400000.0
2094.0,1365172200000.0,1828695700000.0,1433433000000.0,779807950000.0,1213227300000.0
2095.0,1351045300000.0,1839495600000.0,1410903800000.0,774996750000.0,1211180800000.0
2096.0,1355771000000.0,1841787600000.0,1396533100000.0,763248500000.0,1199104300000.0
2097.0,1352448700000.0,1843965500000.0,1394284800000.0,750629300000.0,1176138400000.0
2098.0,1352811500000.0,1818288500000.0,1368715400000.0,733649960000.0,1172545700000.0
2099.0,1346612400000.0,1806576000000.0,1355402000000.0,721030900000.0,1167975800000.0
2100.0,1354830400000.0,1796514000000.0,1347384000000.0,717483200000.0,1158914500000.0
