time,MRI-ESM2-0,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR
2069.0,1484641100000.0,1725125000000.0,979790000000.0,1600865600000.0,1315328100000.0
2070.0,1453700400000.0,1691671100000.0,952345200000.0,1597018500000.0,1287970800000.0
2071.0,1409435300000.0,1656773800000.0,923952300000.0,1569178100000.0,1260988300000.0
2072.0,1389894800000.0,1637029000000.0,883739600000.0,1546131600000.0,1247670800000.0
2073.0,1358615800000.0,1621118200000.0,853433400000.0,1517423000000.0,1215202700000.0
2074.0,1332415000000.0,1605118700000.0,825045350000.0,1492737600000.0,1180145800000.0
2075.0,1317988500000.0,1590151300000.0,797867840000.0,1478262400000.0,1151804000000.0
2076.0,1271622100000.0,1550024400000.0,762633100000.0,1451343500000.0,1130171200000.0
2077.0,1237697800000.0,1522959600000.0,736034750000.0,1390789400000.0,1102498900000.0
2078.0,1213224300000.0,1482380000000.0,704658540000.0,1368028900000.0,1067280430000.0
2079.0,1194567000000.0,1439203300000.0,678144640000.0,1350495600000.0,1041309400000.0
2080.0,1181672800000.0,1406921300000.0,659186100000.0,1318448400000.0,1012552400000.0
2081.0,1155772200000.0,1377836600000.0,640178600000.0,1296394000000.0,987187200000.0
2082.0,1142453600000.0,1352047300000.0,615951200000.0,1280534000000.0,956057100000.0
2083.0,1117082200000.0,1349315700000.0,590005800000.0,1264226700000.0,932620200000.0
2084.0,1098508530000.0,1329995000000.0,566668170000.0,1223660300000.0,908328100000.0
2085.0,1078960200000.0,1297639800000.0,549760600000.0,1202519100000.0,883399200000.0
2086.0,1053880350000.0,1273388200000.0,529125870000.0,1180657500000.0,864899200000.0
2087.0,1021256200000.0,1256825300000.0,505359660000.0,1159191200000.0,837985960000.0
2088.0,1001930160000.0,1219205000000.0,479333000000.0,1125692900000.0,814592000000.0
2089.0,981506460000.0,1198267800000.0,453609550000.0,1105831000000.0,791019700000.0
2090.0,972431700000.0,1189952000000.0,435130730000.0,1078965600000.0,765994860000.0
2091.0,955752840000.0,1156911900000.0,421290380000.0,1060294950000.0,745860200000.0
2092.0,950875900000.0,1128460300000.0,399069120000.0,1052781640000.0,718199460000.0
2093.0,930269100000.0,1109928800000.0,376499730000.0,1018590600000.0,700962770000.0
2094.0,913110500000.0,1078095100000.0,356754400000.0,990673400000.0,673641900000.0
2095.0,885068200000.0,1063752400000.0,339919700000.0,978095300000.0,658796100000.0
2096.0,876173200000.0,1038379400000.0,323295440000.0,962835250000.0,633892900000.0
2097.0,861204400000.0,1020316350000.0,310587030000.0,940589500000.0,611389500000.0
2098.0,857836600000.0,990445800000.0,294467630000.0,917895700000.0,589306270000.0
2099.0,837193300000.0,967717800000.0,287314480000.0,897903950000.0,569297100000.0
2100.0,812856300000.0,950981500000.0,274868010000.0,882195100000.0,553783800000.0
