time,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL
2069.0,1497187200000.0,1196137100000.0,1166332500000.0,1451956200000.0,803942240000.0
2070.0,1476565900000.0,1177381400000.0,1130133300000.0,1426994600000.0,781038300000.0
2071.0,1459231000000.0,1142663700000.0,1099719100000.0,1397314200000.0,754694360000.0
2072.0,1418025100000.0,1118586800000.0,1073103440000.0,1383204100000.0,741495870000.0
2073.0,1387053000000.0,1112770700000.0,1040791440000.0,1356656300000.0,723399200000.0
2074.0,1365634000000.0,1103061500000.0,1013530500000.0,1337812200000.0,692317650000.0
2075.0,1324357300000.0,1073463700000.0,988488200000.0,1323642000000.0,655056900000.0
2076.0,1282627500000.0,1035678840000.0,957363600000.0,1291810600000.0,630453960000.0
2077.0,1250050400000.0,1014031600000.0,925903750000.0,1264853300000.0,601328800000.0
2078.0,1229407800000.0,984733200000.0,894294700000.0,1240985200000.0,586617600000.0
2079.0,1195086700000.0,950162950000.0,858824970000.0,1205330600000.0,558770700000.0
2080.0,1155736100000.0,927640450000.0,818212700000.0,1169498300000.0,537042220000.0
2081.0,1130338700000.0,912885100000.0,786363300000.0,1134309000000.0,506969500000.0
2082.0,1113906300000.0,890603440000.0,748547600000.0,1108240900000.0,485464280000.0
2083.0,1090304900000.0,882247100000.0,715126000000.0,1082733200000.0,464048230000.0
2084.0,1057488800000.0,846755200000.0,689254800000.0,1045927400000.0,445981160000.0
2085.0,1040342650000.0,831335960000.0,667503360000.0,1019211740000.0,427085400000.0
2086.0,1006481100000.0,806332200000.0,633247800000.0,991303760000.0,401655820000.0
2087.0,986907540000.0,787663700000.0,612305500000.0,966743600000.0,377322570000.0
2088.0,948773100000.0,773074000000.0,579039700000.0,937037800000.0,358650000000.0
2089.0,919229370000.0,756701130000.0,558427340000.0,911261900000.0,339246400000.0
2090.0,890666900000.0,740653660000.0,538334560000.0,889014500000.0,320308740000.0
2091.0,868655600000.0,724117950000.0,508537670000.0,864709500000.0,299994250000.0
2092.0,846819400000.0,709150300000.0,482706750000.0,847078400000.0,279823420000.0
2093.0,814237550000.0,690723160000.0,461409980000.0,819214400000.0,261571380000.0
2094.0,784964850000.0,670816100000.0,442737360000.0,785247900000.0,244532660000.0
2095.0,760738150000.0,654056700000.0,423657050000.0,775740650000.0,231274530000.0
2096.0,744542600000.0,630738450000.0,403725980000.0,765071500000.0,215003350000.0
2097.0,722081940000.0,613696000000.0,382953750000.0,740380100000.0,202831020000.0
2098.0,705680600000.0,589040400000.0,364960400000.0,707509500000.0,191569100000.0
2099.0,691635360000.0,567300260000.0,348617830000.0,681280200000.0,181560180000.0
2100.0,671875660000.0,550388960000.0,333970370000.0,656251600000.0,171947460000.0
