time,NORESM2-MM,IPSL-CM6A-LR,CAMS-CSM1-0,CESM2-WACCM,TAIESM1,ACCESS-ESM1-5,EC-EARTH3,ACCESS-CM2,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,MRI-ESM2-0,CESM2,GFDL-ESM4,CMCC-CM2-SR5,MPI-ESM1-2-HR
2020.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0
2021.0,87299370000.0,89761430000.0,89425070000.0,90179910000.0,89362490000.0,86924210000.0,88518370000.0,89438750000.0,87739245000.0,87409025000.0,87728600000.0,90869030000.0,89796650000.0,87744230000.0,88359510000.0,90017750000.0,89254450000.0,90751050000.0,92479420000.0
2022.0,83704720000.0,84553744000.0,88280630000.0,88790500000.0,87887550000.0,83384880000.0,86055510000.0,84825280000.0,85368440000.0,85837760000.0,84561240000.0,87961360000.0,86387620000.0,83244030000.0,84470020000.0,91881640000.0,89219285000.0,89741795000.0,91647360000.0
2023.0,79304516000.0,83708620000.0,86277000000.0,88619280000.0,84423130000.0,83808800000.0,82374080000.0,82539450000.0,83595050000.0,83444170000.0,83464660000.0,85970210000.0,84517626000.0,81630430000.0,82977100000.0,92015860000.0,86968280000.0,90152840000.0,87333330000.0
2024.0,76057485000.0,79329450000.0,85897770000.0,85884660000.0,79685900000.0,79532100000.0,78836920000.0,79774474000.0,81056930000.0,80865220000.0,82491870000.0,81891570000.0,83638260000.0,82153470000.0,80109670000.0,92675300000.0,84180795000.0,86127860000.0,85356060000.0
2025.0,73275924000.0,78532330000.0,86689866000.0,87440280000.0,76611625000.0,76489750000.0,76306130000.0,77014490000.0,80809590000.0,80087000000.0,78447755000.0,80753254000.0,82282600000.0,79793545000.0,76953090000.0,88959420000.0,82517070000.0,85326700000.0,80611990000.0
2026.0,70334456000.0,76216710000.0,87734510000.0,85288060000.0,75472670000.0,75221070000.0,71742505000.0,76856070000.0,77121030000.0,77067430000.0,76636150000.0,78613110000.0,79333240000.0,77172690000.0,73273970000.0,85965595000.0,81471080000.0,82597585000.0,82061830000.0
2027.0,70402890000.0,73324356000.0,88602740000.0,81939130000.0,70890490000.0,74338796000.0,68514836000.0,73022770000.0,72861790000.0,72370815000.0,74510910000.0,78431130000.0,76499900000.0,75790720000.0,70821000000.0,84605895000.0,77560350000.0,80943960000.0,79072690000.0
2028.0,67440730000.0,72141870000.0,86379130000.0,75163530000.0,67615990000.0,72016036000.0,65202024000.0,69714050000.0,70256910000.0,69036750000.0,72595276000.0,75839850000.0,75274140000.0,72363250000.0,66843267000.0,78064560000.0,76593545000.0,78661200000.0,77669390000.0
2029.0,64826410000.0,70929030000.0,83918496000.0,72796550000.0,64779362000.0,69443480000.0,59692564000.0,66807720000.0,65602740000.0,63262302000.0,67845652000.0,75264910000.0,72430290000.0,71332420000.0,63900140000.0,74106390000.0,72424600000.0,77061005000.0,75248290000.0
