time,MRI-ESM2-0,GFDL-ESM4,CESM2,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,CESM2-WACCM,CAMS-CSM1-0,NORESM2-MM,INM-CM5-0,INM-CM4-8,EC-EARTH3-VEG,EC-EARTH3
2011.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0
2012.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0
2013.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0
2014.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0
2015.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0
2016.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0
2017.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0
2018.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0
2019.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0
2020.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0
2021.0,89401270000.0,86840000000.0,88140570000.0,87072500000.0,87971050000.0,85131575000.0,84923050000.0,87531330000.0,88329580000.0,89236046000.0,88911856000.0,89797770000.0,86860210000.0
2022.0,87706845000.0,84428140000.0,85837970000.0,84208000000.0,86769020000.0,84372800000.0,82835520000.0,86657155000.0,87438000000.0,88986140000.0,85722620000.0,87252795000.0,83664190000.0
2023.0,84011385000.0,82892890000.0,84489720000.0,81802900000.0,83707130000.0,84591950000.0,81467900000.0,85762580000.0,84860080000.0,85881930000.0,88995010000.0,83578585000.0,81638430000.0
2024.0,78869185000.0,80168920000.0,79257910000.0,78707925000.0,79413880000.0,82142360000.0,81581900000.0,81720975000.0,80501650000.0,83453215000.0,87578330000.0,80625690000.0,78403180000.0
2025.0,75796095000.0,78618780000.0,78546215000.0,78370330000.0,76756386000.0,77079330000.0,78946680000.0,81565770000.0,79178260000.0,82092110000.0,87457760000.0,79780480000.0,76048150000.0
2026.0,70695790000.0,78304480000.0,75551360000.0,77892220000.0,76395340000.0,76998090000.0,76476916000.0,80663960000.0,75449030000.0,77974250000.0,85464350000.0,78206660000.0,74190780000.0
2027.0,67640820000.0,77910140000.0,70525936000.0,75842740000.0,72635170000.0,73899790000.0,73434810000.0,78605540000.0,73361310000.0,74270900000.0,83968690000.0,76980520000.0,72190100000.0
2028.0,65967420000.0,75591670000.0,67809567000.0,70177250000.0,71027390000.0,71843980000.0,71292850000.0,75783150000.0,67958320000.0,75179120000.0,81446850000.0,74187910000.0,67957260000.0
2029.0,65249817000.0,74092400000.0,64294535000.0,67138417000.0,69331330000.0,73188516000.0,70530920000.0,75685904000.0,64115753000.0,71694140000.0,78979720000.0,73153420000.0,64894640000.0
2030.0,62254950000.0,72424510000.0,62152344000.0,63346885000.0,67285910000.0,72970080000.0,68836730000.0,73359380000.0,63769293000.0,68439480000.0,77732920000.0,71931500000.0,61403240000.0
2031.0,60191703000.0,71686030000.0,60311230000.0,61795030000.0,62940303000.0,67690470000.0,64876300000.0,74886590000.0,61466018000.0,67124820000.0,76323810000.0,70785810000.0,57613870000.0
2032.0,57732473000.0,69243830000.0,60922040000.0,60733764000.0,59958833000.0,65304390000.0,62647770000.0,75428190000.0,59590676000.0,62363000000.0,73845820000.0,68146610000.0,52809368000.0
2033.0,55477870000.0,67892810000.0,58886267000.0,56773693000.0,58177917000.0,61673243000.0,63099770000.0,72827060000.0,56697030000.0,59599270000.0,70980930000.0,64845898000.0,47741518000.0
2034.0,52668290000.0,66685174000.0,57270493000.0,54110330000.0,59240907000.0,59183180000.0,60485108000.0,71704670000.0,54196820000.0,57601410000.0,70304660000.0,63514740000.0,43544113000.0
2035.0,50985100000.0,65146020000.0,52332530000.0,52449206000.0,57529934000.0,56982155000.0,58880627000.0,69584700000.0,51841315000.0,56050390000.0,64725270000.0,62935876000.0,40313336000.0
2036.0,47799640000.0,63339426000.0,48924230000.0,50607590000.0,55009030000.0,56550970000.0,54946066000.0,65796340000.0,48683250000.0,52749066000.0,64612820000.0,62031774000.0,37430313000.0
2037.0,45367263000.0,62717000000.0,46966950000.0,50655720000.0,53886610000.0,54838850000.0,52045540000.0,65715462000.0,45761384000.0,51173667000.0,60281086000.0,58421264000.0,34880090000.0
2038.0,43706470000.0,61420024000.0,45819015000.0,48571232000.0,51582554000.0,53568987000.0,48894423000.0,64791320000.0,42759234000.0,48084713000.0,59272610000.0,52890374000.0,32070910000.0
2039.0,40681250000.0,58637824000.0,44594920000.0,46834250000.0,45622206000.0,52374565000.0,49510466000.0,64808830000.0,42324400000.0,46620280000.0,57750794000.0,49608480000.0,30324914000.0
2040.0,38750630000.0,56751360000.0,42801103000.0,47065203000.0,43440026000.0,53358360000.0,47084850000.0,65009824000.0,40577245000.0,43491254000.0,54872340000.0,47934145000.0,28682142000.0
2041.0,36108320000.0,53168275000.0,40232346000.0,45933250000.0,40063910000.0,52269370000.0,46290890000.0,64228073000.0,39658420000.0,41875760000.0,52595044000.0,45393363000.0,26418784000.0
2042.0,33734466000.0,52259086000.0,40095560000.0,44217200000.0,38176686000.0,49768563000.0,45421662000.0,62236320000.0,36208110000.0,40076866000.0,51507122000.0,45683170000.0,25713025000.0
2043.0,31501410000.0,50892567000.0,38774130000.0,42924335000.0,36200145000.0,48670286000.0,44887073000.0,61984993000.0,34444900000.0,37715763000.0,48363225000.0,42238534000.0,24753314000.0
2044.0,30060202000.0,47724777000.0,35563352000.0,41592150000.0,34768523000.0,47313410000.0,43402437000.0,61855870000.0,33324540000.0,33479877000.0,45328620000.0,42999874000.0,22707466000.0
2045.0,29311355000.0,47267955000.0,35255788000.0,40540320000.0,31155532000.0,46044700000.0,42003976000.0,62149660000.0,31756323000.0,32101597000.0,43683520000.0,41756940000.0,20479277000.0
2046.0,28199983000.0,45768570000.0,33853626000.0,39193522000.0,28592263000.0,45147540000.0,40290165000.0,61441327000.0,29987496000.0,30051617000.0,41452790000.0,39793380000.0,19050885000.0
2047.0,27675705000.0,44912267000.0,30433780000.0,35935363000.0,26765058000.0,43690365000.0,38526640000.0,59320990000.0,28484060000.0,29846356000.0,40796762000.0,39079113000.0,18155366000.0
2048.0,26340640000.0,43766874000.0,26961590000.0,33760780000.0,25723316000.0,41686987000.0,37458006000.0,57236290000.0,26297990000.0,28176710000.0,39859430000.0,36722696000.0,17311881000.0
2049.0,24140863000.0,41484173000.0,24672352000.0,32468677000.0,25319127000.0,41686626000.0,35770990000.0,56302686000.0,25572645000.0,27565658000.0,37057606000.0,34630310000.0,16604629000.0
2050.0,23400098000.0,40374596000.0,22817192000.0,30493970000.0,23953967000.0,39301300000.0,34679160000.0,55361987000.0,24510812000.0,27395033000.0,35787580000.0,33527247000.0,16441520000.0
2051.0,21835823000.0,38981095000.0,21441083000.0,29526667000.0,22288329000.0,36444656000.0,33082660000.0,52083134000.0,23442946000.0,26558462000.0,34748180000.0,32681208000.0,16155020000.0
2052.0,21399640000.0,38160597000.0,20923830000.0,28111854000.0,20730923000.0,34945597000.0,32557165000.0,51869073000.0,22234184000.0,25868018000.0,33459229000.0,30540132000.0,14626445000.0
2053.0,20730452000.0,34885630000.0,19666995000.0,27661353000.0,19697205000.0,32917459000.0,30189386000.0,50264860000.0,20163960000.0,24000625000.0,31919030000.0,29100112000.0,13552466000.0
2054.0,20277285000.0,34021218000.0,17829319000.0,26954820000.0,17871256000.0,31876835000.0,28841763000.0,49416622000.0,18801635000.0,22719260000.0,30964204000.0,28312003000.0,12522670000.0
2055.0,20752732000.0,32536973000.0,16920211000.0,26604208000.0,17382957000.0,30537085000.0,26985554000.0,50703905000.0,17766443000.0,20965386000.0,30038245000.0,27464320000.0,11704251000.0
2056.0,20522412000.0,31311389000.0,16062738000.0,25025296000.0,16279353000.0,29287055000.0,25272780000.0,48786768000.0,16138084000.0,19612062000.0,29875368000.0,24994638000.0,11457578000.0
2057.0,19556817000.0,28932330000.0,15154179000.0,23605807000.0,15380503000.0,29763980000.0,23317318000.0,48065250000.0,14896025000.0,18742854000.0,28193972000.0,24069515000.0,11084124000.0
2058.0,18626474000.0,28348342000.0,15068485000.0,23317387000.0,14490496000.0,28751712000.0,22481529000.0,46263394000.0,14242063000.0,18145993000.0,26292077000.0,22318610000.0,10061075000.0
2059.0,18577484000.0,27564438000.0,13902604000.0,22193099000.0,13957034000.0,27884323000.0,22230258000.0,44977664000.0,12614341000.0,17521760000.0,24404525000.0,21120537000.0,9541736000.0
2060.0,17309297000.0,26716692000.0,13530623000.0,21638170000.0,12940431000.0,27294005000.0,20306063000.0,44069278000.0,12317279000.0,16112164000.0,23582230000.0,20119190000.0,8836188000.0
2061.0,16801683000.0,26122346000.0,12924564000.0,21045860000.0,11777303000.0,27752020000.0,19593360000.0,42966217000.0,11507407000.0,15013338000.0,21608208000.0,19612908000.0,7949426700.0
2062.0,15900386000.0,25087630000.0,12020204000.0,20386107000.0,11042685000.0,25637409000.0,18188222000.0,41158308000.0,10547147000.0,14665265000.0,20506917000.0,17957632000.0,8032216000.0
2063.0,15977048000.0,23908346000.0,11375770000.0,19014808000.0,10176566000.0,23079717000.0,16705740000.0,40726750000.0,10121698000.0,13426178000.0,18891830000.0,16652080000.0,7281029000.0
2064.0,15608010000.0,23281760000.0,11257113000.0,18067515000.0,9405487000.0,20746902000.0,15494363000.0,38249620000.0,9973317000.0,13112545000.0,18127393000.0,14631268000.0,6966707700.0
2065.0,15309666000.0,22227612000.0,10482175000.0,16927506000.0,8936434000.0,19856652000.0,14645222000.0,36199797000.0,9107761000.0,12560427000.0,18433065000.0,13551186000.0,6371027500.0
2066.0,15019987000.0,22246290000.0,9764093000.0,16498376000.0,8582635000.0,19887868000.0,14358161000.0,33951240000.0,8438343700.0,12391292000.0,17582025000.0,12861584000.0,6426194400.0
2067.0,14550889000.0,20739598000.0,9271907000.0,15852737000.0,8638753000.0,17870385000.0,13445052000.0,34377440000.0,7877187000.0,12034303000.0,16098404000.0,12108494000.0,5978417700.0
2068.0,14205582000.0,19304250000.0,9559593000.0,14407302000.0,8065972000.0,17172323000.0,12534075000.0,33636854000.0,7278776000.0,11797574000.0,14797813000.0,10982051000.0,5742798300.0
2069.0,13494532000.0,18506349000.0,9064217000.0,13431873000.0,7705630000.0,16792089000.0,12284410000.0,33359817000.0,6877789700.0,11325720000.0,13680581000.0,9791537000.0,5497875000.0
2070.0,12773837000.0,17105194000.0,8833660000.0,12865751000.0,7108260000.0,16401770000.0,11525644000.0,31996856000.0,6659336700.0,10604740000.0,12467326000.0,9290278000.0,5068950000.0
2071.0,12012380000.0,15973124000.0,9054750000.0,12515251000.0,6778878500.0,16151353000.0,10987483000.0,30281988000.0,6067519000.0,10100479000.0,11893870000.0,8479780000.0,4279570200.0
2072.0,11527541000.0,16377920000.0,8388281000.0,11798393000.0,6275761700.0,15701571000.0,10958439000.0,29428101000.0,5408366000.0,9796222000.0,11298434000.0,8111622000.0,3974648800.0
2073.0,10929218000.0,15422283000.0,7788706300.0,11436986000.0,5983753700.0,15648160000.0,10767781000.0,26617825000.0,5281672700.0,9263255000.0,10742749000.0,7512740000.0,3812463000.0
2074.0,10828475000.0,13949097000.0,6718990300.0,10755214000.0,5793586700.0,13748137000.0,10228803000.0,26831843000.0,5046859300.0,8874616000.0,10697465000.0,7351704000.0,3516187000.0
2075.0,10325427000.0,13214219000.0,6661141000.0,10285750000.0,5316080600.0,12911373000.0,10014484000.0,26628150000.0,4884035600.0,8949051000.0,9672500000.0,7313064000.0,3193152500.0
2076.0,9820422000.0,12532212000.0,7033868300.0,10192980000.0,5061220400.0,12270122000.0,9560757000.0,25877285000.0,4543835000.0,8431800300.0,9541870000.0,7001209300.0,3006720800.0
2077.0,9736356000.0,12506821000.0,6786264600.0,9242192000.0,4886738400.0,12041527000.0,9226579000.0,24598325000.0,4448814600.0,8532693500.0,8797310000.0,6491503000.0,2851155200.0
2078.0,8937414000.0,12035157000.0,6623987700.0,8994821000.0,4563534300.0,11694310000.0,8767970000.0,23558013000.0,4325795000.0,8178736600.0,8692011000.0,5585698300.0,2668668000.0
2079.0,8624096000.0,11638725000.0,6547818500.0,8677823000.0,4183639300.0,11987764000.0,8336215000.0,21292425000.0,4291455700.0,7697541000.0,8761703000.0,5280557600.0,2482262500.0
2080.0,8531729400.0,10752411000.0,6470004700.0,8200520700.0,3947039500.0,11228012000.0,7436159000.0,21125448000.0,4149778700.0,7492146000.0,8473626600.0,5049919500.0,2157832400.0
2081.0,8583566000.0,10356695000.0,6124776000.0,8130262000.0,3654046700.0,11190422000.0,7071745500.0,20633567000.0,4055368000.0,7063372000.0,7978621000.0,4742928400.0,2144036600.0
2082.0,8728393000.0,10225743000.0,5993120000.0,7773298000.0,3187912400.0,11075507000.0,6320515600.0,19939380000.0,3949198300.0,6528851000.0,7982661600.0,4391500300.0,2071180000.0
2083.0,8580503600.0,9584378000.0,5388941000.0,7742787000.0,2916335400.0,10464234000.0,5683285500.0,19181713000.0,3737767700.0,6221776400.0,7742987300.0,4159061800.0,1903776800.0
2084.0,8136233000.0,9397437000.0,4959420400.0,7316654000.0,2665743000.0,9873891000.0,5239896600.0,18708713000.0,3357802800.0,5843406000.0,7697457000.0,4024827400.0,1991160300.0
2085.0,7908752400.0,8969097000.0,4878552000.0,6976172500.0,2475095800.0,10022743000.0,5011726000.0,18596692000.0,3194549200.0,5288260000.0,7257036300.0,3868088000.0,1852686100.0
2086.0,7737292000.0,8465615000.0,4352445000.0,6622169000.0,2210624500.0,8956028000.0,4766606000.0,17852770000.0,2963885600.0,5325987000.0,7084391400.0,3239457800.0,1731719800.0
2087.0,7235525600.0,8301744000.0,4188555500.0,6349662700.0,1878357000.0,8228567600.0,4455120400.0,16863779000.0,2780365800.0,5272553500.0,6880027600.0,2861107000.0,1634310000.0
2088.0,6547135000.0,8218838500.0,4144210200.0,6273919000.0,1857867600.0,7647933400.0,4330160000.0,14872958000.0,2522760200.0,4824159700.0,6847509500.0,2661693400.0,1554057200.0
2089.0,6197582300.0,7946177000.0,3788779800.0,6141929000.0,1791538600.0,7317348000.0,4091166500.0,14578990000.0,2446136600.0,4066180400.0,6240267000.0,2489614800.0,1644093300.0
2090.0,5838693000.0,7696731600.0,3770689300.0,5986697000.0,1758606500.0,7030916600.0,4001826000.0,14071584000.0,2283726000.0,3808692000.0,5725865000.0,2185938000.0,1580807000.0
2091.0,5535410700.0,7394678300.0,3612570000.0,5856875000.0,1628548400.0,6920726000.0,3737894700.0,13573100000.0,2117169700.0,3442485000.0,5355514000.0,2080474900.0,1539594500.0
2092.0,5289590000.0,6983623700.0,3422230800.0,5591201300.0,1616075300.0,6964544500.0,3445769700.0,13120744000.0,2155649300.0,3099231200.0,5106730500.0,2029200100.0,1497185500.0
2093.0,5160526000.0,6876552700.0,3270854700.0,5651567600.0,1483336000.0,6551290000.0,3081940000.0,12943133000.0,2118244000.0,2990253600.0,4801957000.0,1842980000.0,1499317900.0
2094.0,5359870000.0,6287348000.0,2829414400.0,5375552500.0,1341274900.0,6068872000.0,2764326100.0,12415720000.0,1977691500.0,2866760200.0,4364631600.0,1606935700.0,1373341400.0
2095.0,4958435000.0,5985474600.0,2681297000.0,5134561300.0,1263589900.0,5534455000.0,2583337500.0,12123028000.0,1973021200.0,2525052200.0,4231743700.0,1575273700.0,1336501400.0
2096.0,4789740000.0,5583222000.0,2576442000.0,4938434000.0,1119728900.0,5270726000.0,2141469300.0,11533395000.0,1907790700.0,2287282700.0,4024205300.0,1408222600.0,1222074500.0
2097.0,4415255600.0,5527425500.0,2519875600.0,4661984000.0,1042949060.0,4977118700.0,1996942200.0,10691327000.0,1711231100.0,2238153700.0,3755360300.0,1361634300.0,998131840.0
2098.0,4224900600.0,5122063000.0,2489598000.0,4681224700.0,1042669440.0,5057004500.0,1809813900.0,9950253000.0,1610771200.0,2222460000.0,3452910800.0,1152191500.0,924702850.0
2099.0,3990238500.0,4851668000.0,2187023600.0,4366147000.0,969135940.0,5136077000.0,1544677800.0,9840344000.0,1580830600.0,2151611400.0,3198158000.0,1046705540.0,903375700.0
2100.0,3771266600.0,4568467000.0,1854279200.0,3897250000.0,933783000.0,5037724000.0,1413315300.0,9967843000.0,1493118600.0,1875524400.0,2986906000.0,933425540.0,866195700.0
