time,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,CESM1-CAM5,CCSM4
2030.0,44139700000000.0,44437028000000.0,43823888000000.0,44789605000000.0,43288694000000.0,44450387000000.0,43906450000000.0,43492040000000.0,44047720000000.0,43542530000000.0,43900564000000.0
2031.0,44140323000000.0,44397975000000.0,43670082000000.0,44737034000000.0,43301617000000.0,44428730000000.0,43825393000000.0,43390243000000.0,43930687000000.0,43340444000000.0,43631370000000.0
2032.0,44017413000000.0,44341550000000.0,43616743000000.0,44739957000000.0,43244900000000.0,44378446000000.0,43651460000000.0,43253005000000.0,43853583000000.0,43122480000000.0,43381917000000.0
2033.0,44051064000000.0,44349555000000.0,43502810000000.0,44669304000000.0,43228560000000.0,44342337000000.0,43505000000000.0,43219840000000.0,43631285000000.0,43004280000000.0,43303570000000.0
2034.0,43975092000000.0,44233763000000.0,43384230000000.0,44585225000000.0,43160110000000.0,44354513000000.0,43457680000000.0,43147485000000.0,43541140000000.0,42904735000000.0,43138870000000.0
2035.0,43968012000000.0,44192410000000.0,43330004000000.0,44637977000000.0,43172424000000.0,44249815000000.0,43354746000000.0,43108280000000.0,43364024000000.0,42706170000000.0,43088550000000.0
2036.0,43947680000000.0,44156410000000.0,43251140000000.0,44602715000000.0,43124546000000.0,44212790000000.0,43308852000000.0,43008334000000.0,43262694000000.0,42554985000000.0,42958234000000.0
2037.0,43903880000000.0,44075490000000.0,43178825000000.0,44679945000000.0,43126173000000.0,44208410000000.0,43203575000000.0,42988090000000.0,43105960000000.0,42470872000000.0,42768114000000.0
2038.0,43935920000000.0,43969468000000.0,43123010000000.0,44703857000000.0,43138580000000.0,44208694000000.0,43174462000000.0,42926067000000.0,42882774000000.0,42386380000000.0,42661760000000.0
2039.0,43882330000000.0,43941852000000.0,43079524000000.0,44777810000000.0,43113110000000.0,44230270000000.0,43056246000000.0,42775672000000.0,42743250000000.0,42264570000000.0,42626070000000.0
2040.0,43919370000000.0,43935343000000.0,42990270000000.0,44796593000000.0,42969470000000.0,44181385000000.0,42923454000000.0,42687170000000.0,42580377000000.0,42141250000000.0,42559343000000.0
2041.0,43971196000000.0,43854850000000.0,42888700000000.0,44836380000000.0,43011950000000.0,44071003000000.0,42886326000000.0,42508768000000.0,42548983000000.0,41826710000000.0,42477176000000.0
2042.0,44016250000000.0,43819190000000.0,42841860000000.0,44868546000000.0,42951216000000.0,44083016000000.0,42755284000000.0,42326860000000.0,42419853000000.0,41502995000000.0,42443480000000.0
2043.0,44021766000000.0,43740773000000.0,42749480000000.0,44895335000000.0,42826176000000.0,44047390000000.0,42636237000000.0,42289292000000.0,42288273000000.0,41227676000000.0,42380317000000.0
2044.0,44011070000000.0,43721560000000.0,42570980000000.0,44857305000000.0,42722258000000.0,43889424000000.0,42423730000000.0,42204230000000.0,42208305000000.0,41112287000000.0,42243927000000.0
2045.0,43927110000000.0,43705770000000.0,42439893000000.0,44826090000000.0,42680880000000.0,43844813000000.0,42187260000000.0,42084556000000.0,42102990000000.0,40980410000000.0,42014884000000.0
2046.0,43908285000000.0,43595017000000.0,42382817000000.0,44909705000000.0,42453155000000.0,43842200000000.0,42042350000000.0,41969284000000.0,42023457000000.0,40765210000000.0,41866725000000.0
2047.0,43845845000000.0,43535437000000.0,42330497000000.0,45032938000000.0,42323983000000.0,43872256000000.0,41829387000000.0,41814443000000.0,41961490000000.0,40584698000000.0,41805547000000.0
2048.0,43856536000000.0,43480747000000.0,42235307000000.0,45135040000000.0,42198170000000.0,43752396000000.0,41593270000000.0,41649990000000.0,41799268000000.0,40343655000000.0,41661910000000.0
2049.0,43879286000000.0,43466143000000.0,42173945000000.0,45163955000000.0,42085827000000.0,43626830000000.0,41329180000000.0,41593843000000.0,41711370000000.0,40079674000000.0,41494220000000.0
2050.0,43958483000000.0,43370040000000.0,42086292000000.0,45166484000000.0,41930977000000.0,43608500000000.0,41127510000000.0,41454490000000.0,41631848000000.0,39849336000000.0,41405320000000.0
2051.0,43990045000000.0,43367266000000.0,41980923000000.0,45193010000000.0,41792510000000.0,43578617000000.0,40930535000000.0,41370490000000.0,41371012000000.0,39566673000000.0,41369640000000.0
2052.0,43950070000000.0,43343090000000.0,41975850000000.0,45042320000000.0,41686646000000.0,43468546000000.0,40741910000000.0,41293447000000.0,41109380000000.0,39313966000000.0,41312527000000.0
2053.0,43856090000000.0,43298438000000.0,41968740000000.0,45116180000000.0,41601435000000.0,43488477000000.0,40711148000000.0,41184236000000.0,41028543000000.0,39055560000000.0,41232160000000.0
2054.0,43802250000000.0,43333422000000.0,41837270000000.0,45069570000000.0,41615247000000.0,43531574000000.0,40579030000000.0,41035707000000.0,40866830000000.0,38859460000000.0,41168126000000.0
2055.0,43745400000000.0,43298390000000.0,41761733000000.0,45102890000000.0,41489630000000.0,43541154000000.0,40405870000000.0,40859310000000.0,40645704000000.0,38687648000000.0,41054292000000.0
2056.0,43698805000000.0,43347863000000.0,41690463000000.0,45141440000000.0,41374833000000.0,43486700000000.0,40195680000000.0,40720312000000.0,40513642000000.0,38592910000000.0,40953356000000.0
2057.0,43727440000000.0,43353467000000.0,41639080000000.0,45060935000000.0,41293480000000.0,43403570000000.0,39969104000000.0,40604134000000.0,40381786000000.0,38353060000000.0,40907852000000.0
2058.0,43749573000000.0,43418126000000.0,41574470000000.0,44981167000000.0,41339780000000.0,43356453000000.0,39730754000000.0,40460324000000.0,40273397000000.0,38187737000000.0,40870410000000.0
2059.0,43688588000000.0,43460262000000.0,41542723000000.0,44911080000000.0,41347533000000.0,43166816000000.0,39519735000000.0,40296450000000.0,40115406000000.0,37921640000000.0,40806640000000.0
2060.0,43686142000000.0,43470020000000.0,41360392000000.0,44968130000000.0,41344618000000.0,43130435000000.0,39341530000000.0,40156136000000.0,39975794000000.0,37773843000000.0,40755167000000.0
2061.0,43657554000000.0,43453258000000.0,41258324000000.0,44897113000000.0,41317187000000.0,43054790000000.0,39122180000000.0,40030995000000.0,39915245000000.0,37424420000000.0,40655600000000.0
2062.0,43628072000000.0,43389380000000.0,41229492000000.0,44961530000000.0,41259860000000.0,42993118000000.0,38869110000000.0,39940205000000.0,39756560000000.0,37148225000000.0,40553180000000.0
2063.0,43592383000000.0,43407578000000.0,41188283000000.0,44974666000000.0,41202300000000.0,42949600000000.0,38730203000000.0,39817044000000.0,39615205000000.0,36808610000000.0,40418430000000.0
2064.0,43555087000000.0,43423172000000.0,41123834000000.0,45036460000000.0,41127005000000.0,42818643000000.0,38581855000000.0,39616246000000.0,39511925000000.0,36566932000000.0,40295303000000.0
2065.0,43535294000000.0,43375030000000.0,41088346000000.0,44926350000000.0,41080360000000.0,42759734000000.0,38394880000000.0,39454290000000.0,39390466000000.0,36376104000000.0,40170405000000.0
2066.0,43561740000000.0,43305960000000.0,41024995000000.0,44882777000000.0,40945530000000.0,42683075000000.0,38231425000000.0,39396443000000.0,39086518000000.0,36129790000000.0,40140830000000.0
2067.0,43556283000000.0,43368105000000.0,40882904000000.0,44919608000000.0,40920003000000.0,42604364000000.0,38050710000000.0,39271570000000.0,38960194000000.0,35885750000000.0,40142274000000.0
2068.0,43561265000000.0,43308034000000.0,40877960000000.0,44926344000000.0,40838540000000.0,42571087000000.0,37884044000000.0,39182894000000.0,38746817000000.0,35684857000000.0,40041305000000.0
2069.0,43516344000000.0,43266708000000.0,40671720000000.0,44874624000000.0,40714977000000.0,42625340000000.0,37721335000000.0,39087750000000.0,38570413000000.0,35522236000000.0,39998670000000.0
2070.0,43568106000000.0,43236333000000.0,40669695000000.0,44900247000000.0,40657972000000.0,42592985000000.0,37417900000000.0,39020800000000.0,38567942000000.0,35365436000000.0,39846446000000.0
2071.0,43579783000000.0,43184240000000.0,40710447000000.0,44848030000000.0,40589710000000.0,42426568000000.0,37207746000000.0,38899730000000.0,38447796000000.0,35077443000000.0,39754250000000.0
2072.0,43615544000000.0,43145340000000.0,40666360000000.0,44931826000000.0,40412920000000.0,42283366000000.0,36927454000000.0,38723194000000.0,38414817000000.0,34834779000000.0,39647610000000.0
2073.0,43639758000000.0,43169425000000.0,40575350000000.0,44917246000000.0,40373450000000.0,42317230000000.0,36800706000000.0,38667440000000.0,38265450000000.0,34573782000000.0,39589820000000.0
2074.0,43636553000000.0,43131110000000.0,40522136000000.0,44855787000000.0,40297686000000.0,42243770000000.0,36712978000000.0,38565960000000.0,38198936000000.0,34331035000000.0,39517793000000.0
2075.0,43709190000000.0,43113330000000.0,40365380000000.0,44837940000000.0,40206490000000.0,42217790000000.0,36449097000000.0,38517414000000.0,38170070000000.0,34200086000000.0,39375460000000.0
2076.0,43726170000000.0,43129776000000.0,40307157000000.0,44812846000000.0,40101680000000.0,42190780000000.0,36298778000000.0,38409070000000.0,38170914000000.0,33988813000000.0,39179845000000.0
2077.0,43732154000000.0,43123530000000.0,40247930000000.0,44718000000000.0,39864918000000.0,42098456000000.0,36084994000000.0,38294760000000.0,38101347000000.0,33782780000000.0,39120470000000.0
2078.0,43793726000000.0,43028580000000.0,40238810000000.0,44637754000000.0,39726745000000.0,42001460000000.0,35824054000000.0,38193294000000.0,38058892000000.0,33698680000000.0,39010865000000.0
2079.0,43779835000000.0,43016983000000.0,40219920000000.0,44548047000000.0,39556255000000.0,41896903000000.0,35636807000000.0,38096020000000.0,38043590000000.0,33478207000000.0,38842860000000.0
2080.0,43817580000000.0,43015524000000.0,40249050000000.0,44510810000000.0,39376923000000.0,41864190000000.0,35403646000000.0,37871575000000.0,38008390000000.0,33059982000000.0,38728974000000.0
2081.0,43862773000000.0,42980606000000.0,40197310000000.0,44530590000000.0,39126740000000.0,41761875000000.0,35190517000000.0,37706013000000.0,37899106000000.0,32861705000000.0,38637413000000.0
2082.0,43885506000000.0,42950373000000.0,40072036000000.0,44580385000000.0,39020900000000.0,41704715000000.0,35027251000000.0,37623930000000.0,37882924000000.0,32706142000000.0,38485377000000.0
2083.0,43919954000000.0,42965607000000.0,39907314000000.0,44578732000000.0,38831610000000.0,41659727000000.0,34790512000000.0,37445333000000.0,37844580000000.0,32573350000000.0,38390897000000.0
2084.0,43900100000000.0,42888520000000.0,39710722000000.0,44612440000000.0,38723308000000.0,41628643000000.0,34686676000000.0,37282630000000.0,37703425000000.0,32441690000000.0,38284360000000.0
2085.0,43933107000000.0,42908963000000.0,39661830000000.0,44635080000000.0,38610540000000.0,41524247000000.0,34545273000000.0,37152400000000.0,37569694000000.0,32231781000000.0,38179885000000.0
2086.0,43957053000000.0,42895105000000.0,39625804000000.0,44644250000000.0,38471760000000.0,41403200000000.0,34342860000000.0,36984310000000.0,37447216000000.0,32035985000000.0,38158340000000.0
2087.0,44004335000000.0,42935022000000.0,39641105000000.0,44660340000000.0,38376913000000.0,41326820000000.0,34135016000000.0,36736980000000.0,37337904000000.0,31902812000000.0,37992492000000.0
2088.0,44044596000000.0,42967250000000.0,39598307000000.0,44685970000000.0,38202933000000.0,41240213000000.0,33952415000000.0,36569690000000.0,37333303000000.0,31667962000000.0,38015674000000.0
2089.0,44032960000000.0,42980686000000.0,39540627000000.0,44609158000000.0,38063107000000.0,41166863000000.0,33740880000000.0,36401756000000.0,37293637000000.0,31465107000000.0,37923140000000.0
2090.0,44008504000000.0,42989370000000.0,39439405000000.0,44564560000000.0,38003318000000.0,41155656000000.0,33623829000000.0,36246920000000.0,37186070000000.0,31252063000000.0,37809973000000.0
2091.0,44044357000000.0,42947720000000.0,39434670000000.0,44520037000000.0,37921170000000.0,41134820000000.0,33414623000000.0,36123963000000.0,37077190000000.0,31028083000000.0,37734830000000.0
2092.0,44098522000000.0,42967377000000.0,39351703000000.0,44402290000000.0,37805737000000.0,41081123000000.0,33301239000000.0,35934970000000.0,36930008000000.0,30839499000000.0,37681550000000.0
2093.0,44071217000000.0,42917553000000.0,39381080000000.0,44261488000000.0,37588564000000.0,41001430000000.0,33120670000000.0,35809193000000.0,36796570000000.0,30589707000000.0,37538585000000.0
2094.0,44087994000000.0,42978047000000.0,39320338000000.0,44272530000000.0,37566610000000.0,40969408000000.0,32976840000000.0,35622752000000.0,36605864000000.0,30417168000000.0,37427524000000.0
2095.0,44050330000000.0,42946368000000.0,39284493000000.0,44210397000000.0,37533320000000.0,40946090000000.0,32724002000000.0,35456595000000.0,36482526000000.0,30252682000000.0,37380840000000.0
2096.0,44013900000000.0,42901350000000.0,39309400000000.0,44164863000000.0,37492160000000.0,40932140000000.0,32545534000000.0,35234096000000.0,36407226000000.0,30017099000000.0,37244946000000.0
2097.0,44039827000000.0,42795410000000.0,39205920000000.0,44134510000000.0,37449644000000.0,40845156000000.0,32357925000000.0,35097273000000.0,36312904000000.0,29799460000000.0,37146590000000.0
2098.0,44057050000000.0,42750930000000.0,39201454000000.0,44105740000000.0,37346370000000.0,40800680000000.0,32192583000000.0,34889680000000.0,36191370000000.0,29606462000000.0,37046310000000.0
2099.0,44092357000000.0,42643780000000.0,39126284000000.0,44065555000000.0,37329314000000.0,40691317000000.0,32075520000000.0,34697042000000.0,36098848000000.0,29349307000000.0,36957497000000.0
2100.0,44123835000000.0,42599350000000.0,38997624000000.0,43890020000000.0,37295395000000.0,40513540000000.0,31973305000000.0,34530344000000.0,35961560000000.0,29087702000000.0,36915080000000.0
