time,GFDL-CM3,CESM1-CAM5,NORESM1-M,GFDL-ESM2G,CCSM4,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2045.0,45398996000000.0,42223560000000.0,43072810000000.0,43727590000000.0,42492817000000.0,43097237000000.0,42150557000000.0,42775437000000.0
2046.0,45454587000000.0,42114020000000.0,43019850000000.0,43617876000000.0,42385195000000.0,43034574000000.0,42012816000000.0,42652530000000.0
2047.0,45416796000000.0,41929070000000.0,42937380000000.0,43567985000000.0,42226020000000.0,42980130000000.0,41898366000000.0,42603180000000.0
2048.0,45390703000000.0,41773573000000.0,42859156000000.0,43514046000000.0,42081045000000.0,42885940000000.0,41760244000000.0,42609330000000.0
2049.0,45338937000000.0,41725175000000.0,42769666000000.0,43401320000000.0,41865122000000.0,42766780000000.0,41605105000000.0,42564670000000.0
2050.0,45340875000000.0,41568346000000.0,42682257000000.0,43368822000000.0,41754920000000.0,42691130000000.0,41508992000000.0,42469945000000.0
2051.0,45301480000000.0,41361120000000.0,42501314000000.0,43387950000000.0,41655994000000.0,42588246000000.0,41368450000000.0,42361506000000.0
2052.0,45312517000000.0,41155778000000.0,42429713000000.0,43381888000000.0,41532288000000.0,42570755000000.0,41097758000000.0,42167670000000.0
2053.0,45198920000000.0,40923145000000.0,42381260000000.0,43368890000000.0,41499930000000.0,42395270000000.0,40927590000000.0,41970966000000.0
2054.0,45051420000000.0,40862360000000.0,42354910000000.0,43336807000000.0,41370157000000.0,42240020000000.0,40750956000000.0,41854624000000.0
2055.0,44972636000000.0,40697164000000.0,42160890000000.0,43342885000000.0,41168834000000.0,42175000000000.0,40599114000000.0,41690290000000.0
2056.0,44775450000000.0,40523016000000.0,42020786000000.0,43305576000000.0,40960466000000.0,42119842000000.0,40440275000000.0,41501770000000.0
2057.0,44717660000000.0,40288433000000.0,41891085000000.0,43272643000000.0,40780563000000.0,42046310000000.0,40246960000000.0,41387345000000.0
2058.0,44710178000000.0,40057726000000.0,41810575000000.0,43276240000000.0,40668990000000.0,41964083000000.0,40030878000000.0,41245884000000.0
