time,GFDL-CM3,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,CCSM4,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R
2033.0,45235594000000.0,44236276000000.0,43701740000000.0,43321050000000.0,43143690000000.0,43805090000000.0,43243576000000.0,43249146000000.0,43276730000000.0,44470813000000.0,44005857000000.0
2034.0,45256163000000.0,44274840000000.0,43550864000000.0,43324635000000.0,42990404000000.0,43811200000000.0,43238107000000.0,43126410000000.0,43017143000000.0,44358730000000.0,43912720000000.0
2035.0,45182276000000.0,44237010000000.0,43481440000000.0,43239227000000.0,42813576000000.0,43667998000000.0,43096868000000.0,43061447000000.0,42822620000000.0,44231800000000.0,43747320000000.0
2036.0,45115658000000.0,44253910000000.0,43384630000000.0,43201507000000.0,42523385000000.0,43472820000000.0,42970440000000.0,43036164000000.0,42691240000000.0,44131910000000.0,43695332000000.0
2037.0,45072780000000.0,44234443000000.0,43285117000000.0,43033043000000.0,42289976000000.0,43409557000000.0,42749550000000.0,42958414000000.0,42606920000000.0,44002890000000.0,43614790000000.0
2038.0,44925056000000.0,44166055000000.0,43185860000000.0,42952340000000.0,42185950000000.0,43361770000000.0,42618726000000.0,42877472000000.0,42462756000000.0,43897883000000.0,43595936000000.0
2039.0,44792980000000.0,44124925000000.0,43109390000000.0,42894150000000.0,42018324000000.0,43311407000000.0,42445824000000.0,42816440000000.0,42321580000000.0,43794163000000.0,43608110000000.0
2040.0,44817510000000.0,43963370000000.0,43069576000000.0,42798370000000.0,41915560000000.0,43134530000000.0,42237044000000.0,42708014000000.0,42167590000000.0,43682296000000.0,43601640000000.0
2041.0,44806806000000.0,43895660000000.0,42956890000000.0,42769930000000.0,41752170000000.0,43018530000000.0,42058094000000.0,42619426000000.0,42085310000000.0,43470576000000.0,43511180000000.0
2042.0,44893334000000.0,43761233000000.0,42799560000000.0,42691274000000.0,41563875000000.0,42898410000000.0,41945515000000.0,42566624000000.0,41933154000000.0,43327706000000.0,43480480000000.0
2043.0,44874007000000.0,43719068000000.0,42544460000000.0,42697016000000.0,41293825000000.0,42711004000000.0,41856293000000.0,42476044000000.0,41782990000000.0,43162643000000.0,43415853000000.0
2044.0,44896266000000.0,43636247000000.0,42464832000000.0,42530054000000.0,41041550000000.0,42570994000000.0,41578152000000.0,42429403000000.0,41551883000000.0,43006674000000.0,43277150000000.0
2045.0,44881480000000.0,43596447000000.0,42303410000000.0,42396163000000.0,40723127000000.0,42374877000000.0,41384233000000.0,42143540000000.0,41350007000000.0,42895474000000.0,43254890000000.0
2046.0,44813525000000.0,43607910000000.0,42107545000000.0,42299363000000.0,40513850000000.0,42203385000000.0,41195787000000.0,42095985000000.0,41194944000000.0,42813476000000.0,43135240000000.0
2047.0,44735998000000.0,43539500000000.0,41941470000000.0,42199070000000.0,40379194000000.0,42043600000000.0,41038920000000.0,41937610000000.0,41007605000000.0,42648417000000.0,43082477000000.0
2048.0,44729694000000.0,43530945000000.0,41877900000000.0,42104480000000.0,40071302000000.0,41956223000000.0,40931047000000.0,41765910000000.0,40872560000000.0,42388844000000.0,43060835000000.0
2049.0,44628934000000.0,43390870000000.0,41749340000000.0,41988557000000.0,39727743000000.0,41880770000000.0,40752776000000.0,41656963000000.0,40730050000000.0,42131394000000.0,43042660000000.0
2050.0,44628653000000.0,43326523000000.0,41523490000000.0,41858047000000.0,39531135000000.0,41836836000000.0,40579610000000.0,41556405000000.0,40527416000000.0,42039130000000.0,42997266000000.0
2051.0,44630465000000.0,43280730000000.0,41472087000000.0,41740490000000.0,39214180000000.0,41681756000000.0,40357467000000.0,41389706000000.0,40315914000000.0,42002980000000.0,43019747000000.0
2052.0,44629490000000.0,43285284000000.0,41294190000000.0,41685053000000.0,38840723000000.0,41648604000000.0,40249917000000.0,41202905000000.0,40141503000000.0,41896693000000.0,42899780000000.0
2053.0,44618670000000.0,43265940000000.0,41171150000000.0,41575065000000.0,38539110000000.0,41558498000000.0,40057017000000.0,40985216000000.0,39906215000000.0,41866054000000.0,42842560000000.0
2054.0,44554296000000.0,43261712000000.0,40983966000000.0,41407255000000.0,38240464000000.0,41355997000000.0,39881010000000.0,40912200000000.0,39734900000000.0,41826010000000.0,42772527000000.0
2055.0,44556393000000.0,43276724000000.0,40842060000000.0,41323090000000.0,38042970000000.0,41187550000000.0,39683506000000.0,40791737000000.0,39558905000000.0,41711233000000.0,42683398000000.0
2056.0,44573270000000.0,43260496000000.0,40664113000000.0,41177525000000.0,37753440000000.0,41106610000000.0,39454648000000.0,40558567000000.0,39277052000000.0,41419297000000.0,42561870000000.0
2057.0,44488295000000.0,43200555000000.0,40528230000000.0,40983190000000.0,37320045000000.0,40938903000000.0,39192873000000.0,40318695000000.0,38984080000000.0,41219390000000.0,42507354000000.0
2058.0,44301090000000.0,43197140000000.0,40383840000000.0,40849210000000.0,36989960000000.0,40829970000000.0,38950593000000.0,40271590000000.0,38730360000000.0,41105090000000.0,42504800000000.0
2059.0,44256526000000.0,43234700000000.0,40224020000000.0,40763396000000.0,36651290000000.0,40653480000000.0,38732520000000.0,40280500000000.0,38501800000000.0,41024200000000.0,42497350000000.0
2060.0,44261770000000.0,43210454000000.0,40074880000000.0,40648950000000.0,36455645000000.0,40460404000000.0,38510036000000.0,40157634000000.0,38231090000000.0,40902433000000.0,42340295000000.0
2061.0,44179787000000.0,43175330000000.0,39921000000000.0,40525227000000.0,36241500000000.0,40252240000000.0,38188337000000.0,40034790000000.0,37922963000000.0,40718307000000.0,42269797000000.0
2062.0,44049424000000.0,43174542000000.0,39869650000000.0,40404397000000.0,35978440000000.0,40074760000000.0,37880227000000.0,39867627000000.0,37756323000000.0,40435060000000.0,42185253000000.0
2063.0,43983787000000.0,43190447000000.0,39693770000000.0,40316890000000.0,35771320000000.0,39907024000000.0,37471780000000.0,39526655000000.0,37522944000000.0,40178333000000.0,42119566000000.0
2064.0,44031220000000.0,43147158000000.0,39554170000000.0,40277427000000.0,35545384000000.0,39569018000000.0,37184160000000.0,39320750000000.0,37292933000000.0,39843830000000.0,42108837000000.0
2065.0,44153182000000.0,43091986000000.0,39439498000000.0,40208406000000.0,35381655000000.0,39361810000000.0,36865588000000.0,39311932000000.0,37089916000000.0,39496716000000.0,41973010000000.0
2066.0,44134287000000.0,43073116000000.0,39160937000000.0,40050914000000.0,35209370000000.0,39196773000000.0,36578490000000.0,39101483000000.0,36847670000000.0,39217490000000.0,41726640000000.0
2067.0,44198284000000.0,43059283000000.0,39026845000000.0,39937794000000.0,35052409000000.0,39009530000000.0,36406664000000.0,38971392000000.0,36606180000000.0,39080507000000.0,41485750000000.0
2068.0,44259177000000.0,43040760000000.0,38920025000000.0,39865236000000.0,34717190000000.0,38816410000000.0,36258806000000.0,38858348000000.0,36417420000000.0,38838253000000.0,41374510000000.0
2069.0,44266130000000.0,42984024000000.0,38756317000000.0,39787457000000.0,34433902000000.0,38510774000000.0,35994280000000.0,38799208000000.0,36168377000000.0,38633025000000.0,41290220000000.0
2070.0,44191520000000.0,42959316000000.0,38665010000000.0,39667794000000.0,34059592000000.0,38371573000000.0,35785714000000.0,38724843000000.0,36010096000000.0,38400750000000.0,41203274000000.0
2071.0,44108748000000.0,42855146000000.0,38596224000000.0,39581440000000.0,33598913000000.0,38224043000000.0,35591157000000.0,38555880000000.0,35740180000000.0,38252040000000.0,41190825000000.0
2072.0,44102440000000.0,42859590000000.0,38382328000000.0,39531360000000.0,33242967000000.0,38064310000000.0,35447810000000.0,38472090000000.0,35489747000000.0,38062890000000.0,41061506000000.0
2073.0,44127178000000.0,42798450000000.0,38231360000000.0,39402143000000.0,33000790000000.0,37911286000000.0,35324135000000.0,38439570000000.0,35270762000000.0,37892310000000.0,40933383000000.0
2074.0,44132437000000.0,42760770000000.0,38052995000000.0,39297890000000.0,32747964000000.0,37674388000000.0,35189530000000.0,38198198000000.0,35095027000000.0,37635007000000.0,40824120000000.0
2075.0,44059045000000.0,42629720000000.0,37946670000000.0,39247537000000.0,32457814000000.0,37470608000000.0,35098584000000.0,38017760000000.0,34958167000000.0,37391550000000.0,40766250000000.0
2076.0,43931924000000.0,42633780000000.0,37781313000000.0,39098996000000.0,32223093000000.0,37213750000000.0,34979550000000.0,37820664000000.0,34717708000000.0,36953800000000.0,40643343000000.0
2077.0,43846160000000.0,42654855000000.0,37521073000000.0,38868745000000.0,32031790000000.0,36976520000000.0,34848792000000.0,37703047000000.0,34461490000000.0,36633664000000.0,40530360000000.0
2078.0,43825733000000.0,42660807000000.0,37305113000000.0,38710788000000.0,31818938000000.0,36834000000000.0,34694509000000.0,37532640000000.0,34254579000000.0,36279960000000.0,40504977000000.0
2079.0,43853667000000.0,42650720000000.0,37223517000000.0,38622787000000.0,31561903000000.0,36738170000000.0,34488700000000.0,37285614000000.0,34042137000000.0,35988596000000.0,40472404000000.0
2080.0,43947896000000.0,42718063000000.0,37033955000000.0,38576870000000.0,31181502000000.0,36585740000000.0,34311512000000.0,36990544000000.0,33782038000000.0,35654840000000.0,40386140000000.0
2081.0,44012216000000.0,42782330000000.0,36801990000000.0,38498875000000.0,30914430000000.0,36484500000000.0,34173160000000.0,36718917000000.0,33547023000000.0,35274570000000.0,40257030000000.0
2082.0,44065000000000.0,42756290000000.0,36604752000000.0,38426745000000.0,30748707000000.0,36298337000000.0,33979512000000.0,36518463000000.0,33261820000000.0,34934285000000.0,40063296000000.0
2083.0,44113630000000.0,42721680000000.0,36512016000000.0,38424010000000.0,30412953000000.0,35903884000000.0,33708619000000.0,36223763000000.0,33010850000000.0,34642500000000.0,39875575000000.0
2084.0,44111847000000.0,42635348000000.0,36338124000000.0,38452347000000.0,30006938000000.0,35609760000000.0,33451999000000.0,36072550000000.0,32660863000000.0,34417146000000.0,39769780000000.0
2085.0,44125966000000.0,42556820000000.0,36189227000000.0,38372907000000.0,29749575000000.0,35297980000000.0,33301910000000.0,35951175000000.0,32297368000000.0,34148956000000.0,39663973000000.0
2086.0,44171755000000.0,42496436000000.0,36060940000000.0,38329593000000.0,29409585000000.0,35167947000000.0,32994020000000.0,35862516000000.0,32000610000000.0,33834697000000.0,39505814000000.0
2087.0,44189950000000.0,42452210000000.0,35946083000000.0,38127140000000.0,29088998000000.0,35034795000000.0,32718608000000.0,35741854000000.0,31722465000000.0,33598229000000.0,39340265000000.0
2088.0,44195453000000.0,42444985000000.0,35792130000000.0,38020695000000.0,28800256000000.0,34948025000000.0,32477326000000.0,35648954000000.0,31438540000000.0,33381811000000.0,39166495000000.0
2089.0,44152520000000.0,42440080000000.0,35682070000000.0,37830244000000.0,28517954000000.0,34696388000000.0,32248233000000.0,35555850000000.0,31168462000000.0,33186342000000.0,39090624000000.0
2090.0,44101685000000.0,42376780000000.0,35586560000000.0,37728062000000.0,28132445000000.0,34542352000000.0,32049518000000.0,35438620000000.0,30943680000000.0,32966347000000.0,38985140000000.0
2091.0,44143560000000.0,42281386000000.0,35450760000000.0,37584856000000.0,27804087000000.0,34360242000000.0,31868852000000.0,35303520000000.0,30571940000000.0,32668322000000.0,38911926000000.0
2092.0,44149380000000.0,42180547000000.0,35321622000000.0,37443676000000.0,27458693000000.0,34216161000000.0,31765008000000.0,35133040000000.0,30308020000000.0,32461055000000.0,38846067000000.0
2093.0,44035040000000.0,42065870000000.0,35161270000000.0,37277175000000.0,27237180000000.0,34032457000000.0,31645430000000.0,34988804000000.0,29983047000000.0,32302283000000.0,38764047000000.0
2094.0,43882330000000.0,41979967000000.0,34971870000000.0,37145717000000.0,27018354000000.0,33913867000000.0,31476517000000.0,34806442000000.0,29696247000000.0,32165730000000.0,38657675000000.0
2095.0,43763473000000.0,41833183000000.0,34817310000000.0,36943380000000.0,26756290000000.0,33713969000000.0,31211766000000.0,34727400000000.0,29440590000000.0,31833727000000.0,38625857000000.0
2096.0,43685073000000.0,41794557000000.0,34722508000000.0,36696956000000.0,26552413000000.0,33627060000000.0,30986050000000.0,34627234000000.0,29259832000000.0,31407523000000.0,38399770000000.0
2097.0,43677552000000.0,41850497000000.0,34614200000000.0,36574847000000.0,26275341000000.0,33471093000000.0,30792010000000.0,34512786000000.0,29055924000000.0,31028358000000.0,38292507000000.0
2098.0,43542823000000.0,41833896000000.0,34528414000000.0,36512536000000.0,25969344000000.0,33213210000000.0,30588998000000.0,34425664000000.0,28790953000000.0,30763196000000.0,38030800000000.0
2099.0,43466290000000.0,41824240000000.0,34278200000000.0,36421755000000.0,25590147000000.0,32979554000000.0,30370366000000.0,34241113000000.0,28466582000000.0,30405440000000.0,37899647000000.0
2100.0,43376270000000.0,41839980000000.0,34254992000000.0,36281837000000.0,25259036000000.0,32744474000000.0,30098848000000.0,34127890000000.0,28154080000000.0,30085543000000.0,37794676000000.0
