time,GFDL-CM3,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,IPSL-CM5A-LR,CANESM2
2036.0,44576023000000.0,43193127000000.0,43576604000000.0,43937450000000.0,42516347000000.0,43002123000000.0,42833977000000.0,43597366000000.0,43693410000000.0,43761535000000.0
2037.0,44562710000000.0,43094255000000.0,43451530000000.0,43855785000000.0,42366652000000.0,42835100000000.0,42677090000000.0,43611350000000.0,43522686000000.0,43641990000000.0
2038.0,44542577000000.0,42988880000000.0,43353727000000.0,43789343000000.0,42103673000000.0,42680587000000.0,42547053000000.0,43558760000000.0,43432844000000.0,43489165000000.0
2039.0,44606423000000.0,42897454000000.0,43275410000000.0,43707705000000.0,41987230000000.0,42484100000000.0,42497480000000.0,43491510000000.0,43331820000000.0,43443812000000.0
2040.0,44522750000000.0,42769290000000.0,43262730000000.0,43620602000000.0,41843980000000.0,42238193000000.0,42307930000000.0,43398598000000.0,43375250000000.0,43401416000000.0
2041.0,44546300000000.0,42671536000000.0,43118934000000.0,43540705000000.0,41647290000000.0,42111810000000.0,42067460000000.0,43154204000000.0,43381573000000.0,43309494000000.0
2042.0,44544763000000.0,42737877000000.0,43007533000000.0,43476977000000.0,41518476000000.0,41857110000000.0,41883920000000.0,43111710000000.0,43366110000000.0,43289140000000.0
2043.0,44531836000000.0,42583060000000.0,42934443000000.0,43396484000000.0,41424263000000.0,41705538000000.0,41579146000000.0,43086663000000.0,43258265000000.0,43081668000000.0
2044.0,44541378000000.0,42508537000000.0,42740490000000.0,43296416000000.0,41250607000000.0,41509236000000.0,41268302000000.0,42965397000000.0,43039645000000.0,42977740000000.0
2045.0,44481525000000.0,42412290000000.0,42587740000000.0,43167610000000.0,41116780000000.0,41323120000000.0,41049163000000.0,42923228000000.0,42780210000000.0,42871210000000.0
2046.0,44444390000000.0,42297933000000.0,42436928000000.0,43163557000000.0,40954590000000.0,41106666000000.0,40860847000000.0,42886813000000.0,42559120000000.0,42622207000000.0
