time,CANESM2,IPSL-CM5A-LR,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,CESM1-CAM5,CNRM-CM5,NORESM1-M
2033.0,142460968479000.0,141385288207000.0,143107250033000.0,145697319641000.0,143208547344000.0,141576096305000.0,145020982869000.0,142933522171000.0,140627543420000.0,143501527260000.0,142117442430000.0
2034.0,141790490317000.0,140629963380000.0,142502096993000.0,145411237837000.0,142735235702000.0,140940936497000.0,144773991747000.0,142386073534000.0,139828059028000.0,143137601143000.0,141477210410000.0
2035.0,141186653725000.0,140068664067000.0,142154120367000.0,145229027992000.0,142204133084000.0,140334741728000.0,144356666076000.0,141784696752000.0,138977604615000.0,142625312988000.0,140719459763000.0
2036.0,140452918404000.0,139448778866000.0,141614816902000.0,144911295100000.0,141656988524000.0,139690964321000.0,144076839430000.0,141394809956000.0,138185774719000.0,142170083518000.0,140049717034000.0
2037.0,139858545737000.0,138832003838000.0,140891620538000.0,144512940367000.0,141241128601000.0,138941203042000.0,143758216085000.0,141039954296000.0,137525428011000.0,141688770155000.0,139474788642000.0
2038.0,139164450257000.0,138196375620000.0,140249615034000.0,144192273677000.0,140620803252000.0,138384615025000.0,143472865042000.0,140592401913000.0,136821509772000.0,141338621734000.0,138929916416000.0
2039.0,138481861924000.0,137524386410000.0,139739606212000.0,143712358489000.0,139947693651000.0,137839530081000.0,143209878128000.0,139875224501000.0,136027951905000.0,140784329678000.0,138558606908000.0
2040.0,137955763468000.0,136764948823000.0,139291461465000.0,143458560331000.0,139344225261000.0,137151130025000.0,142709308349000.0,139493231821000.0,135061680637000.0,140215831269000.0,137909447108000.0
2041.0,137520607171000.0,136331402424000.0,138812627987000.0,143146087992000.0,138790684518000.0,136487386418000.0,142285834420000.0,138976490113000.0,134215462058000.0,139783915946000.0,137251146524000.0
2042.0,136911320848000.0,135953787573000.0,138470611203000.0,143004112482000.0,138273438362000.0,135687092314000.0,141934865235000.0,138393228811000.0,133113201809000.0,139314023374000.0,136616822791000.0
2043.0,136159243898000.0,135330294217000.0,138021127590000.0,142645424152000.0,137796297203000.0,134933169053000.0,141684104413000.0,137945284915000.0,131944334498000.0,138761259102000.0,136031515848000.0
2044.0,135474000624000.0,134770290652000.0,137528118976000.0,142329637434000.0,137209911905000.0,134162109221000.0,141160138174000.0,137442740684000.0,131132170282000.0,138163349170000.0,135291607088000.0
2045.0,134860507993000.0,134121404237000.0,136805041390000.0,142006619643000.0,136380823751000.0,133388485518000.0,140743443003000.0,136982300393000.0,130391863702000.0,137574023466000.0,134572783600000.0
2046.0,134286732655000.0,133426154843000.0,136147606803000.0,141599712427000.0,135686213764000.0,132685813243000.0,140458527890000.0,136443143254000.0,129570108199000.0,137117932888000.0,133911792603000.0
2047.0,133796765938000.0,132786185771000.0,135571638490000.0,141125140183000.0,135019644681000.0,132077776707000.0,140302589015000.0,135948677331000.0,128813038712000.0,136374649771000.0,133288571851000.0
2048.0,133080628523000.0,132097731158000.0,135008112790000.0,140827767904000.0,134546135724000.0,131409593014000.0,139760708009000.0,135441106847000.0,128021163018000.0,135998504798000.0,132770529932000.0
2049.0,132549464220000.0,131432638114000.0,134419171649000.0,140573540620000.0,134039613628000.0,130634577783000.0,139320302047000.0,134980348584000.0,127042253700000.0,135424080595000.0,132254376089000.0
2050.0,132010289812000.0,130928399143000.0,133945921334000.0,140244259199000.0,133497820202000.0,129866375633000.0,138859023604000.0,134377854240000.0,126248850546000.0,134705043900000.0,131645213456000.0
2051.0,131125923221000.0,130282136547000.0,133646327900000.0,140132317386000.0,133169266856000.0,129130793991000.0,138501271274000.0,133863173955000.0,125570168800000.0,134235270839000.0,131090493242000.0
2052.0,130366490884000.0,129520731284000.0,133317226575000.0,139676582151000.0,132634106395000.0,128191028780000.0,138193974151000.0,133378856926000.0,124641604552000.0,133664020959000.0,130683614231000.0
2053.0,129795035006000.0,128859912274000.0,132874398063000.0,139439536620000.0,132087544389000.0,127497585038000.0,137995425257000.0,132953827129000.0,123691894511000.0,133042208117000.0,130321122523000.0
2054.0,129091846995000.0,128298609568000.0,132481829809000.0,139234452554000.0,131615306165000.0,126491197980000.0,137646309062000.0,132427138133000.0,122834958236000.0,132560621548000.0,129622537095000.0
2055.0,128439161496000.0,127745548486000.0,131864452998000.0,139059695482000.0,131054838583000.0,125784595822000.0,137458893122000.0,131884765106000.0,122018137243000.0,131958967010000.0,129027293550000.0
2056.0,127729913114000.0,127187154504000.0,131593484019000.0,138726180558000.0,130682414975000.0,125105319888000.0,137171463421000.0,131456698837000.0,121185935886000.0,131308652460000.0,128646829100000.0
2057.0,127072908691000.0,126681480500000.0,131265565494000.0,138502465341000.0,130345061596000.0,124275375302000.0,136819311931000.0,130869947039000.0,120312717993000.0,130634546365000.0,128287629230000.0
2058.0,126563649049000.0,126138174749000.0,131031097775000.0,138310275489000.0,130053900407000.0,123562462293000.0,136496228979000.0,130390210420000.0,119430847695000.0,130063324472000.0,127665319899000.0
2059.0,125909005965000.0,125890723036000.0,130659766658000.0,137911141356000.0,129815740267000.0,122787763694000.0,136036566116000.0,129785552373000.0,118456915708000.0,129412122105000.0,127042970960000.0
2060.0,125297708129000.0,125314726331000.0,130243361188000.0,137700462940000.0,129456681648000.0,122213657942000.0,135569365816000.0,129294263618000.0,117549459945000.0,128498003798000.0,126403442140000.0
2061.0,124734058841000.0,124891634805000.0,129945679596000.0,137539443591000.0,128860694879000.0,121382147090000.0,135293868705000.0,128934796786000.0,116464909903000.0,127734207947000.0,125691175368000.0
2062.0,124125398498000.0,124373686010000.0,129499928127000.0,137258400364000.0,128414223943000.0,120835927136000.0,135138042914000.0,128510350131000.0,115399801567000.0,127009872781000.0,125177439088000.0
2063.0,123565546151000.0,123901029446000.0,129088221962000.0,137016983431000.0,127992258813000.0,120140247147000.0,134758082757000.0,128103825929000.0,114327477390000.0,126306455646000.0,124698336002000.0
