time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2036.0,139531359697000.0,142122415048000.0,140739282060000.0,140534525021000.0,141747940260000.0,140726800777000.0,142140879972000.0,139603878075000.0,140722421158000.0,141953591516000.0
2037.0,138707706001000.0,141637752847000.0,139824665964000.0,139774998358000.0,141260018184000.0,139975909737000.0,141508899056000.0,138715095089000.0,139922706047000.0,141337100309000.0
2038.0,137924393879000.0,141099989779000.0,139019723524000.0,138981533368000.0,140518484763000.0,139039404824000.0,140976151176000.0,138064186930000.0,139171546624000.0,140659617411000.0
2039.0,137203694440000.0,140601370580000.0,138150141657000.0,138262620803000.0,139959852036000.0,138405002997000.0,140295616904000.0,137304805494000.0,138546163661000.0,140025750595000.0
2040.0,136337701654000.0,140022335212000.0,137424346706000.0,137493572315000.0,139424250040000.0,137799997780000.0,139814607152000.0,136618793549000.0,137740464838000.0,139276726806000.0
2041.0,135525200392000.0,139359632300000.0,136823310359000.0,136807611171000.0,138798354512000.0,137179614949000.0,139126395320000.0,135946668389000.0,136962404231000.0,138574541502000.0
2042.0,134644725511000.0,138733657392000.0,136172809678000.0,136057005215000.0,138198875802000.0,136552660148000.0,138615180938000.0,135461457437000.0,136086072471000.0,137726437282000.0
2043.0,133790911585000.0,138112258140000.0,135231738251000.0,135131197169000.0,137588695859000.0,135885936297000.0,138172602122000.0,134690857441000.0,135112582275000.0,137067961902000.0
2044.0,132886887568000.0,137434427646000.0,134179111058000.0,134336548304000.0,136605755126000.0,135100138073000.0,137651262355000.0,134008617902000.0,134205439101000.0,136418034670000.0
2045.0,131938433711000.0,136642647974000.0,133194522758000.0,133464358403000.0,135853531894000.0,134315875572000.0,137002407454000.0,133062693820000.0,133307250302000.0,135411453262000.0
2046.0,130916535366000.0,135997033259000.0,132138919463000.0,132295433158000.0,135083186215000.0,133617925276000.0,136505539872000.0,132392014432000.0,132562594799000.0,134617498752000.0
2047.0,130002917238000.0,135377127695000.0,131131688461000.0,131334072641000.0,134240611124000.0,132915765163000.0,136020802820000.0,131493328651000.0,131754143640000.0,133818793849000.0
2048.0,128954940066000.0,134762335087000.0,130309316062000.0,130272835547000.0,133526196404000.0,132252226463000.0,135345660864000.0,130734616698000.0,130764768920000.0,132939645142000.0
2049.0,127912990235000.0,133966866798000.0,129253631309000.0,129225516345000.0,132637481517000.0,131410388318000.0,134914492959000.0,129847933638000.0,129917787813000.0,132224697584000.0
2050.0,126930935691000.0,133254943317000.0,128254969414000.0,128306872506000.0,131890075569000.0,130739407668000.0,134236749935000.0,129103652443000.0,129015442790000.0,131617004216000.0
2051.0,126066946778000.0,132609901918000.0,127171409682000.0,127505394844000.0,130959643479000.0,129805060064000.0,133508748635000.0,128165601055000.0,128055188826000.0,131003120863000.0
2052.0,125087592189000.0,131963059458000.0,126114750993000.0,126581515031000.0,130150718479000.0,128928773304000.0,132824339718000.0,127284905437000.0,127225618692000.0,130291973615000.0
2053.0,124154879749600.0,131144623461000.0,125163313072000.0,125564356968000.0,129361648346000.0,127890325768000.0,132244826466000.0,126312046940000.0,126517838140000.0,129419918593000.0
2054.0,123160718172000.0,130517130669000.0,123964079811000.0,124544701149000.0,128451533231000.0,127063495330000.0,131654369960000.0,125341849539000.0,125560002185000.0,128560397270000.0
2055.0,122340219559500.0,129864398472000.0,122937057844000.0,123559491972000.0,127847325358000.0,126320571509000.0,130923424156000.0,124531668434000.0,124691060199000.0,127769979396000.0
