time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5
2033.0,144679704282000.0,141387962813000.0,144013262112000.0,144314078990000.0,142582084799000.0,141887147087000.0,142194788761000.0,142916411400000.0,143569310935000.0,144058055396000.0,140500536780000.0
2034.0,144122181037000.0,140720236619000.0,143638018777000.0,143978555023000.0,142037671204000.0,141455802924000.0,141485259370000.0,142435571027000.0,142759433788000.0,143569233484000.0,139550030654000.0
2035.0,143610190407000.0,139872667737000.0,143385799730000.0,143379694108000.0,141515878430000.0,140704363383000.0,140906413950000.0,141773158943000.0,142153466113000.0,142971399720000.0,138664840081000.0
2036.0,143069211119000.0,139238800977000.0,142985969329000.0,142721412348000.0,141035174576000.0,139953052042000.0,140321634745000.0,141304404257000.0,141568677132000.0,142338704992000.0,137638797476000.0
2037.0,142541320774000.0,138500708647000.0,142580676242000.0,142303607231000.0,140444666430000.0,139057126845000.0,139733644316000.0,140605916209000.0,140979536282000.0,141766737289000.0,136576824851000.0
2038.0,142121552044000.0,137618087811000.0,142273489554000.0,141823704026000.0,139872550767000.0,138253016759000.0,139045410635000.0,139847844907000.0,140440316017000.0,141276136123000.0,135575261978000.0
2039.0,141727194152000.0,136874543120000.0,141968634819000.0,141364869085000.0,139278711660000.0,137349988172000.0,138354667209000.0,139144631605000.0,139917552747000.0,140664187028000.0,134479181935000.0
2040.0,141269307526000.0,136278774828000.0,141418904889000.0,140793137868000.0,138621978624000.0,136537640338000.0,137604542144000.0,138587756641000.0,139277950958000.0,139898331944000.0,133654231521000.0
2041.0,140637811699000.0,135374149808000.0,141000275740000.0,140277998597000.0,138059958034000.0,135819007862000.0,136909831866000.0,137813117251000.0,138780238975000.0,139231012178000.0,132620640943000.0
2042.0,140144885346000.0,134616566690000.0,140454623648000.0,139721502749000.0,137502215570000.0,135066013877000.0,136202218930000.0,137062345172000.0,137957799656000.0,138603995917000.0,131656845996000.0
2043.0,139750708128000.0,133829040255000.0,139983165666000.0,139032224114000.0,136998006583000.0,134424494510000.0,135392346133000.0,136091067136000.0,137471727731000.0,138030287486000.0,130680538556000.0
2044.0,139161891030000.0,133018529254000.0,139587812199000.0,138620200731000.0,136411718485000.0,133662771808000.0,134599954686000.0,135389669781000.0,136768179002000.0,137315103054000.0,129556079080000.0
2045.0,138670270645000.0,132170115597000.0,139122423445000.0,138115515966000.0,135764571437000.0,132686604051000.0,133636522255000.0,134562587496000.0,136014040400000.0,136724929097000.0,128226536737000.0
2046.0,138068469511000.0,131282151233000.0,138737106520000.0,137594578429000.0,135075710753000.0,131763284070000.0,132768353840000.0,133626869827000.0,135360729299000.0,136160862852000.0,127141786433000.0
2047.0,137652384008000.0,130296992439000.0,138183619518000.0,136881597343000.0,134511955503000.0,130939650757000.0,132071006763000.0,132830355790000.0,134586987388000.0,135453359445000.0,126111174324000.0
2048.0,137150804619000.0,129496896977000.0,137655771490000.0,136348168067000.0,133907633866000.0,130115883353000.0,131232644528000.0,132175213966000.0,133791998596000.0,134763228604000.0,124936188688000.0
2049.0,136673519098000.0,128631336342000.0,136986437378000.0,135756293946000.0,133318465139000.0,129293127703000.0,130433362037000.0,131414809224000.0,133183943376000.0,133876397559000.0,123792773774000.0
2050.0,136092198757000.0,127945369851000.0,136568365542000.0,135346205840000.0,132788969420000.0,128547142224000.0,129507865804000.0,130401820901000.0,132598306286000.0,133111358570000.0,122802988765000.0
2051.0,135595608733000.0,127351917708000.0,136121075206000.0,134795050737000.0,132208238336000.0,127612776473000.0,128481269590000.0,129722999405000.0,131859858551000.0,132622146214000.0,121546553818000.0
