time,CESM1-CAM5,NORESM1-M,MPI-ESM-LR,CSIRO-MK3-6-0
2049.0,39685108000.0,45801464000.0,37395935000.0,36373807000.0
2050.0,38939360000.0,44349223000.0,37478060000.0,36059726000.0
2051.0,38901973000.0,43946790000.0,37087790000.0,35548905000.0
2052.0,38678250000.0,43657980000.0,36354355000.0,35726225000.0
2053.0,37420462000.0,42015880000.0,36175370000.0,35593290000.0
2054.0,36704825000.0,41474728000.0,36222247000.0,36438730000.0
2055.0,35422257000.0,40655300000.0,35996910000.0,36819910000.0
2056.0,34300700000.0,39808720000.0,36262007000.0,37378245000.0
2057.0,33256421000.0,38660930000.0,35487110000.0,36672450000.0
2058.0,31958843000.0,38481318000.0,34242640000.0,36644237000.0
2059.0,31101710000.0,37292585000.0,33445396000.0,37028975000.0
2060.0,29911708000.0,36867523000.0,33190732000.0,36262570000.0
2061.0,28725465000.0,35594932000.0,32593406000.0,35592070000.0
2062.0,27953537000.0,34495130000.0,32505696000.0,35669170000.0
2063.0,27222202000.0,34399400000.0,33291074000.0,35210605000.0
2064.0,26380440000.0,33844118000.0,33991694000.0,35496837000.0
2065.0,25276980000.0,33764626000.0,33085546000.0,35526275000.0
2066.0,24333732000.0,33109682000.0,32389853000.0,35414544000.0
2067.0,24146387000.0,33996503000.0,31261028000.0,35993140000.0
2068.0,23288627000.0,33160150000.0,30536124000.0,36354093000.0
2069.0,22728990000.0,32490424000.0,30594853000.0,36721512000.0
2070.0,22758044000.0,32043320000.0,30675431000.0,37291745000.0
2071.0,22649178000.0,31612508000.0,29995395000.0,37043597000.0
2072.0,21972126000.0,31204987000.0,29097814000.0,36261892000.0
2073.0,21285192000.0,31628409000.0,28056926000.0,36854874000.0
2074.0,20888790000.0,31987395000.0,27691438000.0,36000748000.0
2075.0,20730626000.0,32104468000.0,27772436000.0,35264803000.0
2076.0,20122421000.0,31467660000.0,27172602000.0,35180343000.0
2077.0,19643525000.0,30914666000.0,26051826000.0,34522450000.0
2078.0,19063335000.0,30759970000.0,24930775000.0,33938379000.0
2079.0,18746430000.0,31019485000.0,23949328000.0,33736649000.0
2080.0,18445738000.0,30987538000.0,24695845000.0,34472178000.0
2081.0,17850630000.0,30282031000.0,24911325000.0,34531713000.0
2082.0,17518123000.0,30303277000.0,25323792000.0,33995725000.0
2083.0,17219334000.0,30340190000.0,25343582000.0,34683930000.0
2084.0,16500029000.0,30182527000.0,24986524000.0,34665878000.0
2085.0,16033651000.0,29847530000.0,24763988000.0,34065517000.0
2086.0,16281201000.0,29848637000.0,24952349000.0,33955960000.0
2087.0,16348100000.0,29916385000.0,25098705000.0,34339242000.0
2088.0,16132954000.0,29435972000.0,25260520000.0,33685766000.0
2089.0,16120975000.0,28946110000.0,24801137000.0,33171053000.0
2090.0,16120603000.0,27947747000.0,24973695000.0,32013560000.0
2091.0,16619714000.0,27537850000.0,25416780000.0,31492401000.0
2092.0,16454736000.0,27472260000.0,24902597000.0,31656909000.0
2093.0,16127725000.0,27299019000.0,24522467000.0,32023792000.0
2094.0,16053044000.0,27321911000.0,23902513000.0,32086786000.0
2095.0,15895464000.0,27393560000.0,23219250000.0,32264776000.0
2096.0,15514247000.0,28325583000.0,23229649000.0,32106201000.0
2097.0,15367803000.0,27855288000.0,22751726000.0,32350605000.0
2098.0,15123932000.0,27987590000.0,22542793000.0,32407010000.0
2099.0,15797352000.0,27818811000.0,21858154000.0,32140364000.0
2100.0,15548843000.0,27421820000.0,22078913000.0,31893463000.0
2101.0,15142146000.0,26874919000.0,21993200000.0,31562090000.0
2102.0,15350643000.0,27135072000.0,22313122000.0,31003700000.0
2103.0,15102731000.0,26952010000.0,21683720000.0,30750296000.0
2104.0,14894604000.0,26666707000.0,20969620000.0,30354199000.0
2105.0,14416962000.0,26653352000.0,20382330000.0,29849137000.0
2106.0,14502430000.0,26727110000.0,20449880000.0,29237120000.0
2107.0,15206455000.0,27402205000.0,20387817000.0,29021720000.0
2108.0,14693930000.0,27672046000.0,20818502000.0,28815220000.0
2109.0,14627754000.0,27671437000.0,20615324000.0,28312523000.0
2110.0,14682511000.0,28239305000.0,20770175000.0,28121145000.0
2111.0,14349638000.0,27936158000.0,20854718000.0,27003079000.0
2112.0,14260723000.0,27454680000.0,21433328000.0,26650335000.0
2113.0,13892470000.0,27399360000.0,21182245000.0,26463468000.0
2114.0,13995086000.0,26711112000.0,20751845000.0,26327028000.0
2115.0,13835058000.0,26760921000.0,21568586000.0,26042333000.0
2116.0,13456220000.0,27312392000.0,21659693000.0,25913858000.0
2117.0,13305214000.0,27832089000.0,21695984000.0,25871389000.0
2118.0,13351854000.0,27350480000.0,21813447000.0,25726763000.0
2119.0,13935736000.0,26949763000.0,22827557000.0,25806300000.0
2120.0,13704595000.0,27648164000.0,23144847000.0,25672163000.0
2121.0,13387151000.0,27680660000.0,23282252000.0,25286427000.0
2122.0,12989520000.0,27260630000.0,24104188000.0,25035964000.0
2123.0,12722798000.0,26850324000.0,24874180000.0,25149977000.0
2124.0,12519132000.0,26450125000.0,24025907000.0,25270831000.0
2125.0,12380212000.0,26249347000.0,24600349000.0,25193361000.0
2126.0,12202564000.0,26221240000.0,24786772000.0,25024483000.0
2127.0,12286623000.0,26353203000.0,24758962000.0,24906280000.0
2128.0,12063959000.0,26390983000.0,24916292000.0,25290068000.0
2129.0,11949808000.0,26651015000.0,25323694000.0,25259356000.0
2130.0,12009542000.0,26546788000.0,25098328000.0,24501197000.0
2131.0,12075103000.0,26388836000.0,24871390000.0,24924920000.0
2132.0,11748436000.0,25866193000.0,24264804000.0,25143239000.0
2133.0,11469726000.0,25488398000.0,23984658000.0,24793350000.0
2134.0,11179071000.0,24998627000.0,24295516000.0,24763503000.0
2135.0,11250779000.0,25312322000.0,24977953000.0,25164906000.0
2136.0,11396545000.0,25095934000.0,25426563000.0,24873420000.0
2137.0,11038147000.0,25048426000.0,25749596000.0,24838038000.0
2138.0,10688348000.0,24675832000.0,24771150000.0,24465566000.0
2139.0,10572419000.0,25171923000.0,25132368000.0,24156148000.0
2140.0,10562966000.0,24903956000.0,24963795000.0,24180232000.0
2141.0,10438990000.0,25170215000.0,24271575000.0,25166790000.0
2142.0,10199053000.0,25072466000.0,24738947000.0,25210558000.0
2143.0,10195494000.0,24974246000.0,25668890000.0,25327317000.0
2144.0,10212989000.0,24910103000.0,26118860000.0,25834015000.0
2145.0,10031150000.0,25157409000.0,25599205000.0,25538333000.0
2146.0,9941194000.0,25215572000.0,25645488000.0,24981277000.0
2147.0,9552188000.0,25207964000.0,25382461000.0,25416694000.0
2148.0,9515300000.0,25477976000.0,25234070000.0,25064298000.0
2149.0,9438957000.0,24716120000.0,24915923000.0,24770515000.0
2150.0,9361106000.0,24022477000.0,24281969000.0,24350500000.0
2151.0,9125262000.0,23607261000.0,24180834000.0,24059710000.0
2152.0,9003417000.0,23970402000.0,23961582000.0,23938830000.0
2153.0,9001520000.0,24155280000.0,23948030000.0,23872490000.0
2154.0,9100839000.0,24257935000.0,24345800000.0,23683172000.0
2155.0,8896359000.0,23865885000.0,23497871000.0,24259936000.0
2156.0,8864099000.0,23566790000.0,23042850000.0,23985164000.0
2157.0,9190678000.0,23436030000.0,23423603000.0,23506145000.0
2158.0,9034445000.0,23592903000.0,22990220000.0,23923990000.0
2159.0,9073613000.0,23725838000.0,22605693000.0,23754120000.0
2160.0,9073946000.0,23530619000.0,22533997000.0,23870642000.0
2161.0,8797676000.0,23524276000.0,22434230000.0,23874662000.0
2162.0,8838497000.0,23324220000.0,21817182000.0,23692198000.0
2163.0,8794940000.0,23271305000.0,22331360000.0,23913665000.0
2164.0,8819094000.0,23267074000.0,22597984000.0,23125530000.0
2165.0,8929894000.0,23001440000.0,23174455000.0,22424373000.0
2166.0,8954878000.0,22795983000.0,22988978000.0,22221726000.0
2167.0,8918277000.0,22170806000.0,23481426000.0,21887982000.0
2168.0,8787950000.0,22272115000.0,23819805000.0,21642390000.0
2169.0,8666623000.0,22301688000.0,23688868000.0,21293787000.0
2170.0,8786199000.0,21495595000.0,24481212000.0,21064184000.0
2171.0,8988917000.0,21249026000.0,24883739000.0,20605614000.0
2172.0,8885777000.0,21279324000.0,25189580000.0,20414681000.0
2173.0,8745844000.0,21133236000.0,24972153000.0,19796036000.0
2174.0,8898088000.0,20948515000.0,24723510000.0,19878902000.0
2175.0,8956167000.0,20515183000.0,25587266000.0,20060170000.0
2176.0,9052078000.0,20361777000.0,25645101000.0,19989737000.0
2177.0,8848924000.0,20253538000.0,25803459000.0,19207289000.0
2178.0,8972118000.0,20403202000.0,26865443000.0,19065391000.0
2179.0,9564903000.0,20170780000.0,27485061000.0,19193448000.0
2180.0,9375416000.0,20655540000.0,28300550000.0,19114602000.0
2181.0,9206502000.0,20684771000.0,29743809000.0,19058491000.0
2182.0,9162929000.0,20831269000.0,29270380000.0,18493573000.0
2183.0,9313059000.0,20290697000.0,29304173000.0,18139275000.0
2184.0,9403152000.0,20115507000.0,29170530000.0,17859054000.0
2185.0,9523619000.0,20181879000.0,29631451000.0,17850180000.0
2186.0,9499100000.0,20097745000.0,30191920000.0,17531892000.0
2187.0,9464627000.0,20013036000.0,30213267000.0,17589787000.0
2188.0,9198680000.0,19984202000.0,29763295000.0,17615059000.0
2189.0,8864504000.0,19374752000.0,30303220000.0,17171547000.0
2190.0,8837061000.0,19099066000.0,31915096000.0,16919458000.0
2191.0,8743591000.0,19108560000.0,30992912000.0,16958881000.0
2192.0,8809992000.0,19150074000.0,30916882000.0,17145188000.0
2193.0,8922458000.0,19119970000.0,30680918000.0,16701970000.0
2194.0,8779189000.0,18572712000.0,30711050000.0,16499847000.0
2195.0,8712208000.0,18271025000.0,30635387000.0,16755585000.0
2196.0,8707581000.0,18948323000.0,31021005000.0,17373985000.0
2197.0,8979129000.0,18723594000.0,30269913000.0,17133645000.0
2198.0,8826000000.0,18525934000.0,29867282000.0,16638235000.0
2199.0,8874398000.0,18262174000.0,29260435000.0,16775314000.0
2200.0,8812280000.0,17719583000.0,29793343000.0,16943731000.0
2201.0,8672251000.0,18119650000.0,29725458000.0,16657281000.0
2202.0,8726389000.0,18033666000.0,29763170000.0,16778352000.0
2203.0,8589862000.0,18387794000.0,29427837000.0,16665134000.0
2204.0,8650534000.0,18615054000.0,29337910000.0,16514505000.0
2205.0,8632264000.0,18711615000.0,28659878000.0,16161061000.0
2206.0,8684600000.0,18547796000.0,28330197000.0,16103765000.0
2207.0,8348814300.0,18248862000.0,27902026000.0,16046036000.0
2208.0,8425238000.0,17933038000.0,27321844000.0,15824053000.0
2209.0,8576660500.0,17888106000.0,27142074000.0,15647024000.0
2210.0,8350956000.0,17630073000.0,27676592000.0,15243870000.0
2211.0,8337682400.0,17962650000.0,28056610000.0,15274448000.0
2212.0,8287346000.0,18380708000.0,28423148000.0,15001987000.0
2213.0,8441891000.0,18240550000.0,28216445000.0,14936932000.0
2214.0,8564188000.0,17960305000.0,27305535000.0,15231002000.0
2215.0,8583436000.0,18076344000.0,27566483000.0,15044676000.0
2216.0,8603865000.0,18528176000.0,27849937000.0,14759426000.0
2217.0,8408480000.0,19132144000.0,26520381000.0,15171033000.0
2218.0,8337154600.0,19217353000.0,25543784000.0,14638609000.0
2219.0,8292399600.0,19219030000.0,25492260000.0,14386394000.0
2220.0,8122812400.0,19204424000.0,24918696000.0,14250361000.0
2221.0,7919747000.0,19416560000.0,24116953000.0,14497415000.0
2222.0,7707955000.0,19378088000.0,22888313000.0,14839113000.0
2223.0,7863353300.0,19308737000.0,22457991000.0,14876937000.0
2224.0,7904808400.0,18945978000.0,21938844000.0,14603040000.0
2225.0,7784095000.0,18594605000.0,22428064000.0,14984864000.0
2226.0,7662523400.0,18138743000.0,22375810000.0,14986700000.0
2227.0,7516370000.0,18139677000.0,22056850000.0,15157076000.0
2228.0,7508476400.0,18813106000.0,22345939000.0,14739600000.0
2229.0,7641370000.0,18783850000.0,22038825000.0,13941052000.0
2230.0,7471582000.0,18726672000.0,21639141000.0,13486001000.0
2231.0,7401221600.0,18776074000.0,21293777000.0,13397461000.0
2232.0,7502355500.0,19130845000.0,21024586000.0,13378060000.0
2233.0,7523694600.0,19250704000.0,21328863000.0,13167913000.0
2234.0,7718440000.0,19434058000.0,21143910000.0,13087998000.0
2235.0,7995004000.0,19602915000.0,21153737000.0,12942755000.0
2236.0,7977932300.0,19722965000.0,22325443000.0,12584616000.0
2237.0,7940844500.0,19671955000.0,22246945000.0,12420542000.0
2238.0,7784510500.0,20232554000.0,22634418000.0,12641063000.0
2239.0,7790575600.0,20102916000.0,23443550000.0,12583297000.0
2240.0,7935358000.0,20099529000.0,24413925000.0,12447720000.0
2241.0,7691095000.0,19795816000.0,25070815000.0,12196963000.0
2242.0,7671641000.0,19763600000.0,24424694000.0,12051482000.0
2243.0,7454927000.0,20079071000.0,24246063000.0,11871117000.0
2244.0,7523803600.0,20103959000.0,24754151000.0,11817692000.0
2245.0,7477922000.0,20345790000.0,25652662000.0,11828884000.0
2246.0,7281568300.0,20336910000.0,25817602000.0,11943496000.0
2247.0,7190989000.0,20098180000.0,25324327000.0,11788059000.0
2248.0,7436205600.0,20111526000.0,25100920000.0,11759932000.0
2249.0,7278367000.0,19329230000.0,25509001000.0,11751103000.0
2250.0,7091664000.0,19268035000.0,25927580000.0,11493378000.0
2251.0,7049812500.0,19043934000.0,26634700000.0,11252862000.0
2252.0,7332669000.0,18652518000.0,26499205000.0,11526871000.0
2253.0,7331602000.0,18721004000.0,25733214000.0,11633914000.0
2254.0,7276282400.0,18139982000.0,25275226000.0,11805556000.0
2255.0,7223372300.0,17652363000.0,25588066000.0,11988680000.0
2256.0,7329395700.0,17213889000.0,25562462000.0,12316392000.0
2257.0,7363924500.0,16898064000.0,24386386000.0,12673206000.0
2258.0,7325965000.0,16732116000.0,23605416000.0,12773322000.0
2259.0,7157328000.0,16665755000.0,24082407000.0,12938123000.0
2260.0,7170327600.0,16784057000.0,23741946000.0,12930359000.0
2261.0,7371692000.0,17346417000.0,23314588000.0,12814820000.0
2262.0,7464765400.0,17611147000.0,22991485000.0,12862515000.0
2263.0,7454070300.0,17701532000.0,22668091000.0,12840917000.0
2264.0,7594401300.0,17910907000.0,22662334000.0,12665357000.0
2265.0,7461155000.0,18520015000.0,22463600000.0,12431379000.0
2266.0,7210817000.0,18893110000.0,23150676000.0,12424637000.0
2267.0,7168253000.0,18848956000.0,23453104000.0,12488707000.0
2268.0,7002255000.0,18300766000.0,23014880000.0,12054827000.0
2269.0,6947953000.0,17909504000.0,22729032000.0,12170596000.0
2270.0,6959271400.0,17655517000.0,23062010000.0,11711393000.0
2271.0,6990777300.0,17850274000.0,22814992000.0,11740897000.0
2272.0,6943486500.0,18902487000.0,22658535000.0,11682236000.0
2273.0,6992968700.0,18982267000.0,22193588000.0,11629350000.0
2274.0,6917663000.0,19339596000.0,21659793000.0,11726637000.0
2275.0,6997098000.0,19296455000.0,23391058000.0,11671997000.0
2276.0,7056453000.0,19919677000.0,23692786000.0,11935646000.0
2277.0,7265754000.0,20349458000.0,23904033000.0,11856230000.0
2278.0,7364804600.0,20340990000.0,24114538000.0,11654002000.0
2279.0,7308076500.0,19884138000.0,24355880000.0,11739256000.0
2280.0,7333201400.0,19659096000.0,23964170000.0,11918550000.0
2281.0,7426315000.0,18952647000.0,24225802000.0,12012675000.0
2282.0,7310305000.0,19180320000.0,24484878000.0,11950621000.0
2283.0,7156250000.0,19195531000.0,23965094000.0,12161098000.0
2284.0,7199467500.0,18909168000.0,23406946000.0,12389788000.0
2285.0,7520285700.0,19011422000.0,22473378000.0,12250689000.0
2286.0,7657858000.0,18547565000.0,22369487000.0,12336373000.0
2287.0,7570681300.0,18591390000.0,22764534000.0,12445819000.0
2288.0,7550976000.0,18641295000.0,22564383000.0,12361773000.0
2289.0,7661814300.0,18292343000.0,23226728000.0,12205371000.0
2290.0,7597987300.0,18019160000.0,24061487000.0,12459518000.0
2291.0,7539954700.0,18139560000.0,24577337000.0,12559309000.0
2292.0,7471436300.0,18185968000.0,24973648000.0,12239952000.0
2293.0,7472287000.0,18540923000.0,25743130000.0,12055369000.0
2294.0,7666988000.0,18425113000.0,27629853000.0,11928421000.0
2295.0,7637241000.0,17863336000.0,28148023000.0,11589191000.0
2296.0,7606180400.0,17372774000.0,26974306000.0,11204887000.0
2297.0,7618888000.0,17389703000.0,26231830000.0,11159184000.0
2298.0,7447596000.0,17558274000.0,26656848000.0,11352554000.0
2299.0,7391735000.0,17363706000.0,26813719000.0,11206144000.0
2300.0,7335778000.0,16932886000.0,27538538000.0,10888398000.0
