time,CESM1-CAM5,NORESM1-M,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,54947230000.0,56035914000.0,55650898000.0,54924480000.0
2022.0,54141395000.0,56974600000.0,55263674000.0,55129166000.0
2023.0,53020540000.0,56856556000.0,54182715000.0,53960348000.0
2024.0,51882670000.0,56845844000.0,51987915000.0,53738115000.0
2025.0,52731527000.0,56656556000.0,50036048000.0,54503743000.0
2026.0,51624767000.0,55653474000.0,49141006000.0,53776765000.0
2027.0,50666512000.0,54419677000.0,49558245000.0,52240220000.0
2028.0,49060233000.0,52939137000.0,48903946000.0,50943783000.0
2029.0,47762997000.0,51179553000.0,47166816000.0,49048550000.0
2030.0,47459475000.0,49814245000.0,45532720000.0,47822930000.0
2031.0,47374010000.0,49554490000.0,44658710000.0,46759363000.0
2032.0,46606647000.0,48872804000.0,43898663000.0,45104554000.0
2033.0,45788127000.0,47993766000.0,43875260000.0,43313725000.0
2034.0,45608514000.0,47872910000.0,44582846000.0,41694650000.0
2035.0,45083976000.0,46813008000.0,44144247000.0,40491147000.0
2036.0,44507062000.0,46715625000.0,42431100000.0,40075088000.0
2037.0,43688860000.0,46386143000.0,42510360000.0,39570043000.0
2038.0,44530510000.0,46959423000.0,43105874000.0,38826680000.0
2039.0,43959624000.0,47094395000.0,44197896000.0,38618055000.0
2040.0,43891430000.0,47632660000.0,42330710000.0,39129498000.0
2041.0,43567575000.0,46409052000.0,42185376000.0,38628524000.0
2042.0,43538366000.0,46616680000.0,41465033000.0,38881595000.0
2043.0,42741290000.0,47607050000.0,39532614000.0,38419640000.0
2044.0,42630558000.0,48217210000.0,39253070000.0,38731297000.0
2045.0,42365880000.0,47705674000.0,39052080000.0,39352807000.0
2046.0,41174970000.0,48021590000.0,38626296000.0,39592227000.0
2047.0,40660374000.0,47777354000.0,37357306000.0,38413115000.0
2048.0,40566075000.0,46796464000.0,37151818000.0,36979410000.0
