time,CCSM4,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0
2021.0,55408740000.0,56375235000.0,54387515000.0
2022.0,53831890000.0,58881840000.0,55043850000.0
2023.0,53320933000.0,59459610000.0,54907167000.0
2024.0,52339257000.0,58064593000.0,53868260000.0
2025.0,50739840000.0,57396720000.0,52270180000.0
2026.0,50635723000.0,56732850000.0,51530236000.0
2027.0,51079107000.0,56882970000.0,49757160000.0
2028.0,51355754000.0,56132927000.0,50634207000.0
2029.0,50867106000.0,53811577000.0,50891747000.0
2030.0,50583080000.0,52903834000.0,51396825000.0
2031.0,49866146000.0,51954220000.0,49266030000.0
2032.0,48736340000.0,50852050000.0,48497627000.0
2033.0,49577860000.0,49805054000.0,47323734000.0
2034.0,48983896000.0,50558040000.0,46070190000.0
2035.0,47524350000.0,51291580000.0,44639846000.0
2036.0,47742240000.0,49642664000.0,43089560000.0
2037.0,46783680000.0,48208880000.0,41601503000.0
2038.0,45704286000.0,47282960000.0,41714483000.0
2039.0,45129425000.0,47659164000.0,41274864000.0
2040.0,43879174000.0,48542470000.0,40261337000.0
2041.0,41707086000.0,48967344000.0,38623736000.0
2042.0,40266658000.0,47978967000.0,38221787000.0
2043.0,40039145000.0,47077753000.0,37790716000.0
2044.0,39560573000.0,46765360000.0,36126028000.0
2045.0,38300385000.0,45294313000.0,35853038000.0
2046.0,38480420000.0,44118594000.0,35795030000.0
2047.0,36866773000.0,42751754000.0,35997196000.0
2048.0,35764770000.0,40092290000.0,36027220000.0
2049.0,34831830000.0,38878777000.0,35165225000.0
2050.0,33629446000.0,37399490000.0,34782190000.0
2051.0,32913652000.0,36785623000.0,34651513000.0
2052.0,32355000000.0,36838360000.0,33966973000.0
2053.0,31112612000.0,35752444000.0,34406620000.0
2054.0,29783663000.0,35022676000.0,34449924000.0
2055.0,29437479000.0,34598347000.0,34909350000.0
2056.0,29303480000.0,33305006000.0,34876756000.0
2057.0,28778297000.0,31932594000.0,34631900000.0
2058.0,28113840000.0,31090936000.0,34221144000.0
2059.0,27178324000.0,31215604000.0,32815495000.0
2060.0,27418399000.0,30453985000.0,32018983000.0
2061.0,26580360000.0,29085080000.0,32046842000.0
2062.0,26028997000.0,29008101000.0,31007386000.0
2063.0,25863793000.0,28907780000.0,30423763000.0
2064.0,25135153000.0,28638999000.0,29848572000.0
2065.0,24326490000.0,28428755000.0,28626375000.0
2066.0,23828685000.0,27007795000.0,28098367000.0
2067.0,23480756000.0,26286395000.0,27708867000.0
2068.0,22334249000.0,24604115000.0,26317324000.0
2069.0,21392843000.0,24209553000.0,25320796000.0
2070.0,20789078000.0,23964109000.0,25030740000.0
2071.0,20703713000.0,22716762000.0,24594328000.0
2072.0,20005452000.0,21576835000.0,24347080000.0
2073.0,18741901000.0,20861290000.0,24271618000.0
2074.0,18168895000.0,20991965000.0,24720228000.0
2075.0,17407541000.0,19849232000.0,24404275000.0
2076.0,16557162000.0,19250684000.0,23750347000.0
2077.0,15620071000.0,19121117000.0,22760612000.0
2078.0,14776452000.0,19033577000.0,22139582000.0
2079.0,14046378000.0,18935333000.0,21888985000.0
2080.0,13396735000.0,18192028000.0,21797345000.0
2081.0,13039806000.0,17234936000.0,21060671000.0
2082.0,12560106000.0,16168825000.0,20488774000.0
2083.0,12107524000.0,16200991000.0,20058518000.0
2084.0,11317427000.0,15326463000.0,19727640000.0
2085.0,10990263000.0,14892431000.0,19055374000.0
