time,GFDL-CM3,CCSM4,NORESM1-M,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR,GISS-E2-R,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G
2025.0,3331915800000.0,3375272300000.0,3396647800000.0,3412564000000.0,3442723800000.0,3364431300000.0,3388742600000.0,3389962600000.0,3397703700000.0,3409280800000.0
2026.0,3298725200000.0,3357736000000.0,3379493300000.0,3393834500000.0,3440448400000.0,3339833000000.0,3363718600000.0,3365169300000.0,3384739600000.0,3407571800000.0
2027.0,3274158400000.0,3347703100000.0,3365643000000.0,3370226500000.0,3433400600000.0,3315062800000.0,3347880300000.0,3346146500000.0,3378916600000.0,3385658700000.0
2028.0,3243072800000.0,3347333800000.0,3340491600000.0,3338417700000.0,3431941500000.0,3291201100000.0,3326926400000.0,3320214200000.0,3360770800000.0,3376840200000.0
2029.0,3210180600000.0,3347048800000.0,3333539000000.0,3320760500000.0,3432201300000.0,3265990000000.0,3305402500000.0,3309029000000.0,3352002000000.0,3363849400000.0
2030.0,3192307000000.0,3329847500000.0,3325069000000.0,3308819600000.0,3431289800000.0,3239710300000.0,3286996400000.0,3294989400000.0,3334288000000.0,3352430600000.0
2031.0,3174155400000.0,3318713000000.0,3313718000000.0,3276517700000.0,3425234000000.0,3207827800000.0,3262307600000.0,3275033400000.0,3314906000000.0,3325254000000.0
2032.0,3147590300000.0,3307140500000.0,3305642000000.0,3254795000000.0,3422350700000.0,3184235000000.0,3251025700000.0,3259579500000.0,3304530400000.0,3317922500000.0
2033.0,3130621700000.0,3294615300000.0,3292243400000.0,3236602000000.0,3404619300000.0,3163201700000.0,3228232600000.0,3248377000000.0,3294837300000.0,3310037000000.0
2034.0,3103218000000.0,3281960000000.0,3294341600000.0,3220544400000.0,3397390700000.0,3137800800000.0,3208102000000.0,3227854000000.0,3281932000000.0,3301034400000.0
2035.0,3078072000000.0,3253720300000.0,3271838700000.0,3207374800000.0,3392682000000.0,3101533100000.0,3184975000000.0,3214003700000.0,3279666300000.0,3297780400000.0
2036.0,3048309500000.0,3228066600000.0,3256582700000.0,3194717200000.0,3380529900000.0,3072095000000.0,3163351000000.0,3192736400000.0,3265777000000.0,3289111900000.0
2037.0,3023113800000.0,3200832800000.0,3234594300000.0,3171969400000.0,3372247700000.0,3037937800000.0,3134614700000.0,3186636600000.0,3253179000000.0,3283162500000.0
2038.0,3008226000000.0,3174778500000.0,3215941200000.0,3146194400000.0,3366462200000.0,3004256000000.0,3106966300000.0,3174178800000.0,3238228700000.0,3271096000000.0
2039.0,2986015200000.0,3165109600000.0,3201169400000.0,3125799600000.0,3359776200000.0,2965149300000.0,3086842000000.0,3157063400000.0,3221420500000.0,3250873000000.0
2040.0,2951597800000.0,3147211500000.0,3171056600000.0,3100042900000.0,3334482400000.0,2917857500000.0,3063868300000.0,3137301600000.0,3215012700000.0,3232250200000.0
2041.0,2930921400000.0,3133137700000.0,3144804500000.0,3088046000000.0,3330527700000.0,2889853200000.0,3039138200000.0,3124044500000.0,3199444000000.0,3214587200000.0
2042.0,2909235600000.0,3118246100000.0,3129919700000.0,3063723000000.0,3321109200000.0,2843970600000.0,3004788000000.0,3099382300000.0,3183700300000.0,3196670700000.0
2043.0,2879505000000.0,3104839300000.0,3107480700000.0,3044356000000.0,3321931000000.0,2811584000000.0,2965542500000.0,3078601000000.0,3173900400000.0,3194971800000.0
2044.0,2859824600000.0,3080640300000.0,3084389000000.0,3023229400000.0,3326511700000.0,2770463600000.0,2934985200000.0,3052489400000.0,3159983700000.0,3192489500000.0
2045.0,2831955800000.0,3068564600000.0,3058440600000.0,2996455300000.0,3305138300000.0,2718165000000.0,2902286000000.0,3036123500000.0,3148841700000.0,3188498600000.0
2046.0,2807425700000.0,3044616700000.0,3038006500000.0,2954464600000.0,3289144000000.0,2672849000000.0,2865766300000.0,3010072700000.0,3132068500000.0,3177927400000.0
2047.0,2773807000000.0,3021539400000.0,3019881000000.0,2932562200000.0,3280119300000.0,2632714000000.0,2829197500000.0,2988851300000.0,3121226000000.0,3171896800000.0
2048.0,2744280400000.0,2993529000000.0,2994424000000.0,2899021000000.0,3267516200000.0,2591606400000.0,2802560500000.0,2959649500000.0,3104145100000.0,3157654800000.0
2049.0,2710311500000.0,2968517300000.0,2961817500000.0,2862226300000.0,3276883600000.0,2550932400000.0,2771501000000.0,2954588000000.0,3090461000000.0,3147003000000.0
2050.0,2681648400000.0,2938978000000.0,2944465000000.0,2830472300000.0,3285001400000.0,2504004200000.0,2747764300000.0,2940116700000.0,3073467200000.0,3115404800000.0
2051.0,2653754000000.0,2915969500000.0,2912763000000.0,2809318600000.0,3274487600000.0,2457039000000.0,2717168400000.0,2917073000000.0,3062249300000.0,3094764300000.0
2052.0,2633319000000.0,2883634300000.0,2879383700000.0,2787731000000.0,3266796300000.0,2411529800000.0,2679001600000.0,2901351000000.0,3044408000000.0,3084568200000.0
2053.0,2607732200000.0,2857995300000.0,2844747600000.0,2759420300000.0,3260504000000.0,2375375700000.0,2654300000000.0,2883749400000.0,3037001000000.0,3075313800000.0
2054.0,2575172600000.0,2833841000000.0,2823617000000.0,2731424400000.0,3238940400000.0,2338483000000.0,2632246400000.0,2870746500000.0,3012810500000.0,3055363000000.0
2055.0,2548705500000.0,2815113300000.0,2794793200000.0,2699501800000.0,3242880000000.0,2293801400000.0,2610249900000.0,2852024700000.0,2992865800000.0,3029972800000.0
2056.0,2517160000000.0,2784970100000.0,2768545000000.0,2668408000000.0,3236116000000.0,2260827600000.0,2580610500000.0,2835817200000.0,2976897800000.0,3021405000000.0
2057.0,2481775400000.0,2761056000000.0,2757262300000.0,2625696200000.0,3240549400000.0,2225726000000.0,2555989700000.0,2811276800000.0,2965683800000.0,2998163000000.0
2058.0,2449589400000.0,2742303900000.0,2730220800000.0,2610019000000.0,3229929700000.0,2188376900000.0,2543078300000.0,2797572700000.0,2942287200000.0,2966633600000.0
2059.0,2408795000000.0,2721507400000.0,2705902000000.0,2591851800000.0,3231172300000.0,2141244000000.0,2524378600000.0,2784518500000.0,2926162700000.0,2942820200000.0
2060.0,2374909600000.0,2696159400000.0,2691201800000.0,2564134300000.0,3238494700000.0,2102022100000.0,2506913000000.0,2772597500000.0,2910661000000.0,2925625000000.0
2061.0,2344786900000.0,2673637900000.0,2664762400000.0,2534008700000.0,3238780700000.0,2064798700000.0,2489218500000.0,2751983300000.0,2903027500000.0,2906527400000.0
2062.0,2314230300000.0,2648798100000.0,2652919300000.0,2516302400000.0,3240099800000.0,2021868000000.0,2481188000000.0,2719250000000.0,2884322700000.0,2877974400000.0
2063.0,2286305100000.0,2631542800000.0,2632965000000.0,2476952500000.0,3239606500000.0,1983143700000.0,2463665000000.0,2694424800000.0,2867182200000.0,2855388000000.0
2064.0,2253605300000.0,2605906400000.0,2605429300000.0,2450725300000.0,3237617600000.0,1945093300000.0,2448162300000.0,2665338600000.0,2848279200000.0,2839535200000.0
2065.0,2226317400000.0,2582244800000.0,2578496000000.0,2421736900000.0,3240045600000.0,1908557200000.0,2429524000000.0,2638484900000.0,2835445700000.0,2813881200000.0
2066.0,2199764900000.0,2554271400000.0,2558394600000.0,2381444500000.0,3239588000000.0,1874558800000.0,2409341600000.0,2624886100000.0,2815681000000.0,2786311500000.0
2067.0,2165998500000.0,2527256400000.0,2535681000000.0,2363312600000.0,3229293700000.0,1841795000000.0,2399470400000.0,2607045700000.0,2795330900000.0,2755466600000.0
2068.0,2132535500000.0,2494708800000.0,2502036300000.0,2350893500000.0,3230440400000.0,1806030300000.0,2387232200000.0,2583091200000.0,2772839700000.0,2739741000000.0
2069.0,2094400500000.0,2464111700000.0,2472801700000.0,2329169000000.0,3221978600000.0,1767817600000.0,2368532600000.0,2562815400000.0,2750317300000.0,2720036000000.0
2070.0,2068700300000.0,2435390000000.0,2441886800000.0,2305833600000.0,3208021500000.0,1736109300000.0,2360679600000.0,2542471700000.0,2731676800000.0,2695368000000.0
2071.0,2039278900000.0,2391426000000.0,2416963200000.0,2273857200000.0,3187815700000.0,1704337600000.0,2356097000000.0,2516775300000.0,2712523500000.0,2676341900000.0
2072.0,2007691300000.0,2364910000000.0,2382797500000.0,2253426800000.0,3178036000000.0,1673903500000.0,2345857400000.0,2492925500000.0,2688773300000.0,2675226700000.0
2073.0,1979037400000.0,2338325500000.0,2358816800000.0,2224701300000.0,3156889300000.0,1643379400000.0,2338447000000.0,2469430000000.0,2673197700000.0,2652140500000.0
2074.0,1954671500000.0,2313159400000.0,2333654600000.0,2187270600000.0,3137380500000.0,1611361300000.0,2316090200000.0,2438723800000.0,2648395000000.0,2625033200000.0
2075.0,1928611400000.0,2291189000000.0,2302771700000.0,2159274900000.0,3128770700000.0,1584522600000.0,2299196000000.0,2419573700000.0,2623593000000.0,2599607000000.0
2076.0,1901733600000.0,2264385200000.0,2276847500000.0,2124664300000.0,3125229600000.0,1562224400000.0,2280664000000.0,2395653000000.0,2583714300000.0,2567269000000.0
2077.0,1873329900000.0,2240099600000.0,2242102400000.0,2095401000000.0,3125178300000.0,1534353000000.0,2263116400000.0,2375857500000.0,2554239000000.0,2542414300000.0
2078.0,1845643000000.0,2213901500000.0,2215993000000.0,2058594300000.0,3131223800000.0,1503898600000.0,2243352300000.0,2353508600000.0,2524069000000.0,2522731000000.0
2079.0,1816007700000.0,2190514700000.0,2192226600000.0,2038190800000.0,3109088700000.0,1483399000000.0,2231879900000.0,2337316300000.0,2501435500000.0,2496210100000.0
2080.0,1790310100000.0,2161057300000.0,2157800200000.0,2010824700000.0,3085622300000.0,1459530500000.0,2217882000000.0,2325495700000.0,2471217900000.0,2475763200000.0
2081.0,1767813700000.0,2133539200000.0,2139293100000.0,1981789500000.0,3081520300000.0,1425943400000.0,2199194700000.0,2306126400000.0,2438991400000.0,2455275800000.0
2082.0,1743675500000.0,2102769700000.0,2109527600000.0,1966538500000.0,3068791400000.0,1401458800000.0,2186370500000.0,2289876300000.0,2412338200000.0,2422407200000.0
2083.0,1716069200000.0,2071289400000.0,2081714900000.0,1942969000000.0,3044124100000.0,1385379700000.0,2172036000000.0,2276928500000.0,2374103200000.0,2404831500000.0
2084.0,1696298800000.0,2047609700000.0,2054586000000.0,1906065700000.0,3029844400000.0,1362170900000.0,2162826700000.0,2249803000000.0,2357501400000.0,2369623400000.0
2085.0,1669441900000.0,2020727800000.0,2019837500000.0,1871156600000.0,3017102600000.0,1342167300000.0,2152435700000.0,2225298500000.0,2332548400000.0,2345082600000.0
2086.0,1638347000000.0,1997066500000.0,1996050300000.0,1833108200000.0,3020572900000.0,1317307200000.0,2133999900000.0,2213640400000.0,2307747000000.0,2308322400000.0
2087.0,1609938600000.0,1966404300000.0,1972651400000.0,1814554200000.0,3009523000000.0,1294120600000.0,2118444400000.0,2191611900000.0,2281090300000.0,2276135000000.0
2088.0,1579363200000.0,1942531700000.0,1942868200000.0,1792117800000.0,2997560300000.0,1263865200000.0,2103018400000.0,2167457200000.0,2246029300000.0,2241269300000.0
2089.0,1546464400000.0,1914011100000.0,1915086300000.0,1765427600000.0,2988950400000.0,1236692600000.0,2096183100000.0,2141414900000.0,2212634300000.0,2209557800000.0
2090.0,1515211000000.0,1882955800000.0,1891489800000.0,1744456900000.0,2963584600000.0,1206398000000.0,2081481800000.0,2116036100000.0,2182772400000.0,2177443600000.0
2091.0,1484111900000.0,1850047700000.0,1867574800000.0,1728410300000.0,2930537100000.0,1174342900000.0,2071849500000.0,2098360000000.0,2146229600000.0,2139629600000.0
2092.0,1452426700000.0,1817979400000.0,1847872300000.0,1710450100000.0,2896600000000.0,1141767700000.0,2068170900000.0,2076860900000.0,2115065000000.0,2110252800000.0
2093.0,1426027400000.0,1794254400000.0,1816727100000.0,1686379600000.0,2869234000000.0,1118284800000.0,2053379600000.0,2063378200000.0,2092079400000.0,2070697100000.0
2094.0,1391480900000.0,1767995100000.0,1793335600000.0,1664751000000.0,2849061500000.0,1099873000000.0,2040739700000.0,2036610800000.0,2059904700000.0,2039246200000.0
2095.0,1353667700000.0,1737544700000.0,1774903600000.0,1633941600000.0,2831863800000.0,1080686400000.0,2025955800000.0,2016158200000.0,2041621500000.0,2005276600000.0
2096.0,1324888400000.0,1715392100000.0,1759914400000.0,1611776400000.0,2806844200000.0,1061619700000.0,2012363800000.0,1996017900000.0,2020185700000.0,1969954500000.0
2097.0,1297531900000.0,1695013500000.0,1736659300000.0,1580433300000.0,2769166500000.0,1034709500000.0,1996021600000.0,1980346700000.0,1999173000000.0,1933386300000.0
2098.0,1261546200000.0,1680988600000.0,1722893100000.0,1555132600000.0,2745554200000.0,1006541200000.0,1982754000000.0,1958328700000.0,1963810000000.0,1895465000000.0
2099.0,1230031300000.0,1651432800000.0,1700562000000.0,1538186400000.0,2735347000000.0,977687200000.0,1967109200000.0,1944130800000.0,1930509400000.0,1858988500000.0
2100.0,1203259600000.0,1626627500000.0,1681847100000.0,1510030700000.0,2717533900000.0,943815100000.0,1955136500000.0,1926253400000.0,1899766900000.0,1826479700000.0
