time,CCSM4,GFDL-CM3,CANESM2,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-ESM2G,CNRM-CM5,GISS-E2-R,CESM1-CAM5,MPI-ESM-LR
2033.0,3242882500000.0,3125079200000.0,3241298000000.0,3294991500000.0,3181387400000.0,3360389900000.0,3277503900000.0,3246326800000.0,3314997000000.0,3138701000000.0,3253354000000.0
2034.0,3230237700000.0,3104171400000.0,3224245600000.0,3278214800000.0,3163606500000.0,3354688200000.0,3269547800000.0,3235761600000.0,3299352200000.0,3104764900000.0,3229468600000.0
2035.0,3203756000000.0,3077832400000.0,3209338000000.0,3256507700000.0,3143100300000.0,3340524800000.0,3259450800000.0,3215867200000.0,3291699000000.0,3080244000000.0,3224589800000.0
2036.0,3177962500000.0,3051094500000.0,3180380300000.0,3243235900000.0,3123813300000.0,3325555600000.0,3242172400000.0,3198236800000.0,3265134000000.0,3059122400000.0,3208856700000.0
2037.0,3162055400000.0,3024155800000.0,3154710600000.0,3222005400000.0,3095721100000.0,3315211200000.0,3234653500000.0,3191200500000.0,3249245800000.0,3038224600000.0,3188751900000.0
2038.0,3144691700000.0,2999487600000.0,3128529500000.0,3199896600000.0,3066180000000.0,3309843800000.0,3230884200000.0,3176353200000.0,3224071000000.0,3017735000000.0,3173131200000.0
2039.0,3122682000000.0,2975028500000.0,3104294300000.0,3174152500000.0,3042209000000.0,3295520000000.0,3220051900000.0,3152922800000.0,3198118500000.0,2984269000000.0,3150725000000.0
2040.0,3104113200000.0,2944701300000.0,3081105600000.0,3150869700000.0,3005123700000.0,3278640500000.0,3200765100000.0,3137756700000.0,3179733000000.0,2963758400000.0,3134693000000.0
2041.0,3077211700000.0,2925229000000.0,3058502000000.0,3128384600000.0,2966063000000.0,3279736000000.0,3197469000000.0,3113660000000.0,3147396000000.0,2942920800000.0,3112512000000.0
2042.0,3050946000000.0,2899682800000.0,3044408300000.0,3113462500000.0,2934489500000.0,3268471400000.0,3184694700000.0,3091704300000.0,3131427300000.0,2917613400000.0,3088264500000.0
2043.0,3020361000000.0,2868684300000.0,3026521400000.0,3078837000000.0,2904758700000.0,3270844000000.0,3169945600000.0,3084624300000.0,3115586200000.0,2888592500000.0,3069246000000.0
2044.0,2993112500000.0,2841619700000.0,3017035700000.0,3051937600000.0,2874136900000.0,3246383400000.0,3147187600000.0,3072626500000.0,3106920500000.0,2860889000000.0,3057208300000.0
2045.0,2966582500000.0,2826938000000.0,2988293200000.0,3025266000000.0,2843539100000.0,3225752400000.0,3130937800000.0,3048946800000.0,3083782300000.0,2814782000000.0,3037576600000.0
2046.0,2950009700000.0,2797388000000.0,2976916200000.0,2995455300000.0,2799299200000.0,3214658800000.0,3113446500000.0,3026486800000.0,3057456800000.0,2783335400000.0,3008581300000.0
2047.0,2926342000000.0,2776894300000.0,2941221600000.0,2980916000000.0,2766760000000.0,3204854300000.0,3098108000000.0,3014109400000.0,3034529100000.0,2761928700000.0,2976111700000.0
2048.0,2899915300000.0,2758379800000.0,2921887700000.0,2966714300000.0,2733165500000.0,3189736500000.0,3078451600000.0,2986921000000.0,3011394100000.0,2722790400000.0,2958346200000.0
2049.0,2871911500000.0,2742770000000.0,2891822700000.0,2947269300000.0,2697588400000.0,3184758600000.0,3051771100000.0,2964725400000.0,2991111000000.0,2695867000000.0,2941712300000.0
2050.0,2851677700000.0,2730313400000.0,2864770400000.0,2919495600000.0,2662135200000.0,3196507400000.0,3037289800000.0,2939892000000.0,2965698500000.0,2679178300000.0,2919493300000.0
2051.0,2818530600000.0,2710251000000.0,2837258400000.0,2897647800000.0,2635794500000.0,3209058800000.0,3024545600000.0,2920891500000.0,2949991600000.0,2646778600000.0,2903231200000.0
2052.0,2776989400000.0,2687236800000.0,2788885000000.0,2872314000000.0,2605392300000.0,3202014800000.0,2997783000000.0,2906617300000.0,2922819000000.0,2610188000000.0,2871356300000.0
2053.0,2746739300000.0,2674508000000.0,2757843200000.0,2846433500000.0,2577478200000.0,3197689100000.0,2986057400000.0,2898233700000.0,2908766000000.0,2573985600000.0,2846394400000.0
2054.0,2724216700000.0,2646397000000.0,2727185700000.0,2829639500000.0,2544655000000.0,3201101000000.0,2957218000000.0,2893848800000.0,2886418600000.0,2538087600000.0,2825264600000.0
2055.0,2696308900000.0,2615608900000.0,2696820800000.0,2810375300000.0,2515325200000.0,3204161500000.0,2935189000000.0,2869182300000.0,2866011000000.0,2507445400000.0,2810229300000.0
2056.0,2673500700000.0,2583150500000.0,2674059000000.0,2797504800000.0,2482631000000.0,3204373300000.0,2913216000000.0,2854611300000.0,2849365800000.0,2467508000000.0,2788642500000.0
2057.0,2651335400000.0,2559024000000.0,2649903600000.0,2781956300000.0,2456096300000.0,3188700200000.0,2890514600000.0,2835514400000.0,2842960300000.0,2438089100000.0,2764789000000.0
2058.0,2631876200000.0,2532671000000.0,2617194000000.0,2761543000000.0,2419520400000.0,3169832100000.0,2875744600000.0,2816256000000.0,2835425800000.0,2415018000000.0,2751627500000.0
2059.0,2607628000000.0,2513528700000.0,2591784400000.0,2743235000000.0,2386107000000.0,3156911000000.0,2862349800000.0,2790942300000.0,2823309000000.0,2390905000000.0,2732130600000.0
2060.0,2585486700000.0,2489683000000.0,2559644300000.0,2733159700000.0,2360500600000.0,3148012800000.0,2845036800000.0,2777687000000.0,2809233700000.0,2363994100000.0,2715863500000.0
2061.0,2558112800000.0,2473844500000.0,2543840000000.0,2715471000000.0,2333865100000.0,3134378700000.0,2835379700000.0,2767419600000.0,2788762800000.0,2338143300000.0,2700315700000.0
2062.0,2538888200000.0,2441696800000.0,2511639000000.0,2692784800000.0,2296841500000.0,3140104000000.0,2834175400000.0,2756739000000.0,2775525000000.0,2311858000000.0,2686509000000.0
2063.0,2510822800000.0,2418753700000.0,2482898200000.0,2680560500000.0,2268996300000.0,3134443500000.0,2806196700000.0,2735569400000.0,2761202000000.0,2290337400000.0,2679223000000.0
2064.0,2486728700000.0,2390563200000.0,2461685000000.0,2669879000000.0,2234970800000.0,3142940000000.0,2792836800000.0,2723499700000.0,2746726700000.0,2265683300000.0,2658540200000.0
2065.0,2466517600000.0,2363599600000.0,2430903800000.0,2657618200000.0,2209939700000.0,3131899600000.0,2768199200000.0,2710723600000.0,2737027000000.0,2242411000000.0,2645274000000.0
2066.0,2440740000000.0,2329722000000.0,2395619500000.0,2637665700000.0,2170039000000.0,3119625000000.0,2749599600000.0,2700006700000.0,2722881000000.0,2222962500000.0,2637996800000.0
2067.0,2422527500000.0,2300293200000.0,2371403400000.0,2617888000000.0,2133723300000.0,3119170700000.0,2734006500000.0,2695587700000.0,2715819000000.0,2207442800000.0,2626513000000.0
2068.0,2395821600000.0,2270936000000.0,2350484000000.0,2597089200000.0,2105070600000.0,3120125400000.0,2724059000000.0,2676636000000.0,2705455800000.0,2188792000000.0,2599005200000.0
2069.0,2372961000000.0,2253427300000.0,2329089100000.0,2584865000000.0,2078771500000.0,3101780300000.0,2710555600000.0,2669097800000.0,2695355400000.0,2173729600000.0,2577954500000.0
2070.0,2347522600000.0,2232080400000.0,2306028300000.0,2562559000000.0,2048641200000.0,3102393800000.0,2702979600000.0,2651210400000.0,2681867300000.0,2150883500000.0,2555728000000.0
2071.0,2318330200000.0,2200653500000.0,2289071300000.0,2543563600000.0,2018908700000.0,3107502400000.0,2700194000000.0,2643032000000.0,2668158000000.0,2120410500000.0,2533428600000.0
2072.0,2294689000000.0,2173936600000.0,2270701800000.0,2530128000000.0,1987268200000.0,3120483000000.0,2693597800000.0,2626645400000.0,2659290700000.0,2101869300000.0,2513164300000.0
2073.0,2271229000000.0,2155121300000.0,2248294800000.0,2504866700000.0,1965858400000.0,3136149500000.0,2678142800000.0,2601291000000.0,2654420900000.0,2083772300000.0,2492970000000.0
2074.0,2246836700000.0,2133453800000.0,2239301700000.0,2489860200000.0,1941655500000.0,3153927600000.0,2664557200000.0,2586247000000.0,2647107600000.0,2073532600000.0,2478302000000.0
2075.0,2223159400000.0,2114286100000.0,2221313400000.0,2465073200000.0,1918070000000.0,3167536800000.0,2648278000000.0,2565695600000.0,2634010600000.0,2047908600000.0,2466235800000.0
2076.0,2199850800000.0,2095365200000.0,2209795800000.0,2438697800000.0,1892313000000.0,3173795500000.0,2636242200000.0,2542772000000.0,2631193900000.0,2031822700000.0,2449585200000.0
2077.0,2186023000000.0,2067690700000.0,2191876800000.0,2422939600000.0,1875873600000.0,3172311500000.0,2624788600000.0,2517300700000.0,2619415500000.0,2008546300000.0,2435166500000.0
2078.0,2173584100000.0,2052329000000.0,2169522600000.0,2405388500000.0,1863445100000.0,3172952700000.0,2622069400000.0,2499261500000.0,2613805600000.0,1990618000000.0,2420493800000.0
2079.0,2155101200000.0,2030589600000.0,2146060900000.0,2388190300000.0,1840372100000.0,3164489600000.0,2606916000000.0,2484777000000.0,2608103200000.0,1969743100000.0,2399048800000.0
